hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2357035459332276224,整租·海院新村 2室1厅 南,https://image1.ljcdn.com/lease-image/house/46deedb8-dbb8-4321-8c24-80aba83d496f.jpg.250x182.jpg,浦东,梅园,海院新村,59,2室1厅1卫,南,5500,新上;近地铁;随时看房;,中楼层/5层,2020-02-24,,整租,季付,5500,0,2750,6号线-民生路-715m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,False,民水,False,https://image1.ljcdn.com/lease-image/house/46deedb8-dbb8-4321-8c24-80aba83d496f.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/c6f7dbf3-321f-4f4e-833a-75769ba60883.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/d015c1e9-2c85-4581-a266-02f1350f913b.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/5eb7d24f-0439-4ced-af12-218e02241500.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/5407be88-24d8-4946-b572-7341fdfd76b2.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/3d43a8f0-227e-4440-9928-53170b4c11aa.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/b20b0ddd-c119-486c-8589-515f7c051934.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/3533632f-7764-4a1b-ad9c-573e6c32c864.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/f43c5e0d-7a05-4a87-91ba-af018b40d0a7.jpg.780x439.jpg;,
SH2380476846354464768,整租·崂山一村 1室1厅 南,https://image1.ljcdn.com/310000-inspection/23a159fe-e868-4434-bc56-906708047c15.jpg.250x182.jpg,浦东,梅园,崂山一村,33,1室1厅1卫,南,3600,近地铁;随时看房;,低楼层/3层,2020-02-25,,整租,需咨询,3600,0,需咨询,9号线-商城路-918m;9号线-商城路-918m;9号线-商城路-918m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/23a159fe-e868-4434-bc56-906708047c15.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/87c347c9-43e8-446d-ad02-80fc41fb6864.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/59ad64eb-ab9b-4d09-9a51-7bc9ca165329.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/c0bb8ae7-c720-4728-81cd-f5dda9e5a033.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/993bfe78-69be-4462-ad15-8eb7d38ef613.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/4beee998-ca8c-499b-9352-9728c8c55e74.jpg.780x439.jpg;,【交通出行】区距四号线浦东大道站走路3-4min绰绰有余，到世纪大道走路12-15min，到2号线东昌路8min左右【周边配套】百联世纪 九六广场 八佰伴 正大广场 菜市场：福山菜市场，锦德菜市场，崂山菜市场，竹园菜市场 医院：东方医院，仁济医院，上海儿童医学 运动健身：梅园，滨江绿道，塘桥公园，北张家浜绿道，世纪公园。【小区介绍】小区出门和4号线浦东大道站相邻，小区旁公交车站较多。各种单车数量充足
SH2407159691583946752,整租·崂山三村 1室0厅 北,https://image1.ljcdn.com/310000-inspection/e06accc8-140b-4b3e-9f02-f33f638932b7.jpg.250x182.jpg,浦东,梅园,崂山三村,29,1室0厅1卫,北,2300,近地铁;,低楼层/4层,2020-02-23,,整租,需咨询,2300,0,需咨询,2号线，4号线，6号线，9号线-世纪大道-1067m;2号线，4号线，6号线，9号线-世纪大道-1067m;2号线，4号线，6号线，9号线-世纪大道-1067m;2号线，4号线，6号线，9号线-世纪大道-1067m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/3d4ebd4a-9a33-4e45-99a3-21554584a93e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e06accc8-140b-4b3e-9f02-f33f638932b7.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/2571689d-0eec-4bca-b79e-ec266008b8bd.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a47ea106-f425-4231-ae2f-53031e425990.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/fe80f09e-5231-48b2-984b-11f61f0773ae.jpg.780x439.jpg;,【装修描述】房子是毛坯状态，如图所示，看房方便，有兴趣可以实地看房了解。【交通出行】东昌路地铁步行650米，到2469四轨交汇的世纪大道站约1000米（信息来源于百度地图）。 公交： 573路 597路 610路 746路 819路 870路 871路 970路 975路 989路 浦东21路 浦东73路 隧道八线【周边配套】配套实施齐全， 便利店，各种饭馆、药店，菜市场等都在步行范围内，生活便利
SH2431626140088549376,整租·崂山二村 1室0厅 西,https://image1.ljcdn.com/310000-inspection/49673b9b-38f6-42e5-8ee1-8d6f8925bb8b.jpg.250x182.jpg,浦东,梅园,崂山二村,20,1室0厅1卫,西,3500,近地铁;,低楼层/5层,2020-02-24,,整租,需咨询,3500,0,需咨询,2号线，4号线，6号线，9号线-世纪大道-945m;2号线，4号线，6号线，9号线-世纪大道-945m;2号线，4号线，6号线，9号线-世纪大道-945m;2号线，4号线，6号线，9号线-世纪大道-945m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/49673b9b-38f6-42e5-8ee1-8d6f8925bb8b.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/5f8fc429-994c-443d-84cc-fca38fce4030.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/39b8a7d3-d2b5-4b07-a132-51db877b5f1c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/731020d9-4c84-4f64-b29f-6cfbc5e229ac.jpg.780x439.jpg;,【交通出行】4号线浦东大道站5min左右，2号线东昌路站9min左右，到2469四轨交汇的世纪大道站12min左右。 公交：573路;597路;610路;746路;819路;871路;970路;975路;989路;隧道九线。出行十分方便【周边配套】百联世纪 九六广场 八佰伴 正大广场 菜市场：福山菜市场，锦德菜市场，崂山菜市场，竹园菜市场 医院：东方医院，仁济医院，上海儿童医学 运动健身：梅园，滨江绿道，塘桥公园，北张家浜绿道，世纪公园。【小区介绍】房子样式受到大众喜欢，精装修，带客厅，适合长租，交通方便，出门即公交站，离地铁也比较近
SH2462945951833399296,整租·梅园三村 1室1厅 南,https://image1.ljcdn.com/110000-inspection/45d1931bdd04295962783738dde7f4af.jpg.250x182.jpg,浦东,梅园,梅园三村,43,1室1厅1卫,南,5300,新上;近地铁;,中楼层/6层,2020-02-23,,整租,需咨询,5300,0,需咨询,2号线-东昌路-973m;2号线-东昌路-973m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,2020-03-05,False,民水,False,https://image1.ljcdn.com/110000-inspection/45d1931bdd04295962783738dde7f4af.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/17d3ba8ca024cacdef308abe89f05f2d.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/248625e0282fe8fd47b0bead8f012f60.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/f94810cb70a84802bb9ff4c3edb75532.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/b0908f9e2aac58185568ddb6db00072e.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/05387ecffce0b97d0c880976f391fece.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/364bd8db-d8ec-4aad-bd61-f3869a19fd9d.png.780x439.jpg;,【房源亮点】房子位于浦东交通最方便的世纪大道区域，商圈：百联世纪 九六广场 八佰伴 菜市场：福山菜市场，锦德菜市场，崂山菜市场，竹园菜市场 医院：东方医院，仁济医院 运动健身：梅园，滨江绿道，塘桥公园配套齐全，生活便利，治安也很好【交通出行】4号线浦东大道站步行都在10分内，到2469四轨交汇的世纪大道站也在15分左右。 公交：573路;597路;610路;746路;819路;871路;970路;975路;989路;隧道九线【周边配套】百联世纪 九六广场 八佰伴 菜市场：福山菜市场，锦德菜市场，崂山菜市场，竹园菜市场 医院：东方医院，仁济医院 运动健身：梅园，滨江绿道，塘桥公园
SH2460010472892530688,整租·梅园三街坊 1室1厅 南,https://image1.ljcdn.com/110000-inspection/c7e57a1376ffa738295a567ad4a84c67.jpg.250x182.jpg,浦东,梅园,梅园三街坊,35,1室1厅1卫,南,4700,新上;近地铁;随时看房;,低楼层/6层,2020-02-26,,整租,需咨询,4700,0,需咨询,6号线-源深体育中心-1141m;6号线-源深体育中心-1141m;6号线-源深体育中心-1141m;6号线-源深体育中心-1141m;6号线-源深体育中心-1141m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/110000-inspection/554c1fe37d4ad33952feae2813c4f0b6.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/c7e57a1376ffa738295a567ad4a84c67.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/58cf7a52936159d3b0156c21e6bca756.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/3b5370cfadf7fef35e7ef3e44d897ef7.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/6ba0c9b38098ae5c5598eec96c99534e.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/00b07b8206c5ac17e587ebd2173e053a.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/47d4df0d-4c63-4247-a1e1-ea3068f89b46.png.780x439.jpg;,【交通出行】2号线东昌路站5分左右，9号线浦东大道站步行3分内，到2/4/6/9四轨交汇的世纪大道站也在11分左右。 公交：573路;597路;610路;746路;819路;871路;970路;975路;989路;隧道九线【周边配套】百联世纪 九六广场 八佰伴 正大广场 菜市场：福山菜市场，锦德菜市场，崂山菜市场，竹园菜市场 医院：东方医院，仁济医院，上海儿童医学 运动健身：梅园，滨江绿道【小区介绍】房子位于浦东交通最方便的世纪大道区域，商圈：百联世纪 九六广场 八佰伴 菜市场：福山菜市场，锦德菜市场，崂山菜市场，竹园菜市场 医院：东方医院，仁济医院 运动健身：梅园，滨江绿道，塘桥公园配套齐全，生活便利，治安也很好
SH2426659263410601984,整租·梅园五街坊 1室1厅 南,https://image1.ljcdn.com/310000-inspection/245ca2d5-3717-4755-a3a3-688017d4f3c0.jpg.250x182.jpg,浦东,梅园,梅园五街坊,0,,,4500,近地铁;,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,,,,,,,False,,False,,
SH2422945324533825536,整租·乳山三村 2室1厅 南/北,https://image1.ljcdn.com/310000-inspection/afbb627b-d273-4107-a703-9db22fe84647.jpeg.250x182.jpg,浦东,梅园,乳山三村,48,2室1厅1卫,南/北,5000,近地铁;,中楼层/6层,2020-02-16,,整租,需咨询,5000,0,需咨询,2号线，4号线，6号线，9号线-世纪大道-841m;2号线，4号线，6号线，9号线-世纪大道-841m;2号线，4号线，6号线，9号线-世纪大道-841m;2号线，4号线，6号线，9号线-世纪大道-841m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/afbb627b-d273-4107-a703-9db22fe84647.jpeg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/2d0f046c-aad5-4829-b47f-a8b7fb52b555.jpeg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/502a2ffc-d0c4-498f-b4e8-ac97f0d89c29.jpeg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/803cbe25-a800-41d4-b5f6-84e0ba86dc19.jpeg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/5af81253-41fd-4132-918f-577a3ce2f1b2.jpeg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/04071e08-4f91-4470-a90a-10a0e528e967.jpeg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/b50f1206-d4b9-4816-81d8-678a2a5b65e6.png.780x439.jpg;,【户型介绍】两室一厅一厨一卫，南北通透，通风效果好，中间楼层，近地铁东昌路，近陆家嘴【交通出行】地铁：2号线东昌路站，9号线浦东大道站步行都在10分内，到2/4/6/9四轨交汇的世纪大道站也在11分左右。 公交：573路;597路;610路;746路;819路;871路;970路;975路;989路;隧道九线【周边配套】商圈：百联世纪 九六广场 八佰伴 正大广场 菜市场：福山菜市场，锦德菜市场，崂山菜市场，竹园菜市场 医院：东方医院，仁济医院，上海儿童医学 运动健身：梅园，滨江绿道，塘桥公园，北张家浜绿道，世纪公园
SH2392709193057705984,整租·梅园三街坊 1室1厅 南,https://image1.ljcdn.com/310000-inspection/2e79cc39-273e-46b7-8e73-4b514d2902ad.jpg.250x182.jpg,浦东,梅园,梅园三街坊,31,1室1厅1卫,南,4700,近地铁;,高楼层/6层,2020-02-16,,整租,需咨询,4700,0,需咨询,6号线-源深体育中心-1141m;6号线-源深体育中心-1141m;6号线-源深体育中心-1141m;6号线-源深体育中心-1141m;6号线-源深体育中心-1141m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/2e79cc39-273e-46b7-8e73-4b514d2902ad.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/6c0e720d-0bde-44e8-a894-a07122493242.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/02813d68-75aa-4fa8-bc5c-118d813f60a9.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/41e7529f-3bc3-4d79-b258-197845939a54.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/973ac9b2-8aaa-4074-89ab-99f0e7f5c8e7.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/0842eca7-9b97-4c69-b814-623eb18d9899.jpg.780x439.jpg;,【交通出行】可步行到世纪大道2/4/6/9地铁站约，张杨福山公交：130路 169路[低谷定班] 639路 775路 783路 785路 790路 961路 961路区间 隧道三线；商城路福山路 - 公交站 522路 573路【周边配套】百联世纪 九六广场 八佰伴 正大广场 菜市场：福山菜市场，锦德菜市场，崂山菜市场，竹园菜市场 医院：东方医院，仁济医院，上海儿童医学 运动健身：梅园，滨江绿道，塘桥公园，北张家浜绿道，世纪公园【小区介绍】小区处于世纪大道地铁站旁，环境舒适，有花园，上班和居家陪读的合适选择
SH2425243951419097088,整租·梅园二街坊 1室1厅 南,https://image1.ljcdn.com/310000-inspection/4e98964b-8d5e-44d5-96e1-53034b61d333.jpg.250x182.jpg,浦东,梅园,梅园二街坊,38,1室1厅1卫,南,4100,近地铁;,中楼层/6层,2020-02-19,,整租,季付,4100,0,需咨询,9号线-商城路-1122m;9号线-商城路-1122m;9号线-商城路-1122m;9号线-商城路-1122m;,False,True,True,True,True,False,True,False,True,True,租用车位,民电,自采暖,1年以内,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/4e98964b-8d5e-44d5-96e1-53034b61d333.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/9fb98c5c-9cb0-4e12-a3ba-1fa4f41cfa4c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/73090bcc-17c8-4081-bfc9-55bd624b78a4.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e9d86104-1994-49ad-85f2-499cf8d481d3.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/52bc1540-3fc6-4e0c-98f6-f8138396d720.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/6728f771-13a9-4790-863c-a9d9e04daef8.jpg.780x439.jpg;,【交通出行】2号线东昌路站，4号线浦东大道站步行都在10分左右，到2/4/6/9四轨交汇的世纪大道站也在15分左右。 公交：573路;597路;610路;746路;819路;871路;970路;975路;989路;隧道九线【周边配套】百联世纪 九六广场 八佰伴 正大广场 菜市场：福山菜市场，锦德菜市场，崂山菜市场，竹园菜市场 医院：东方医院，仁济医院，上海儿童医学 运动健身：梅园，滨江绿道，塘桥公园，北张家浜绿道，世纪公园【小区介绍】小区位于乳山路和福山路交叉处，已经全面翻新，柏油路面，崭新面貌，居住舒适，交通方便，配套全
