hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2461656247377084416,整租·丽都华庭 2室2厅 复式 南,https://image1.ljcdn.com/110000-inspection/bc0ac967a0a17f76ca4042d1e98e773c.jpg.250x182.jpg,浦东,泥城镇,丽都华庭,88,2室2厅2卫,南,1250,新上;双卫生间;,低楼层/11层,2020-02-24,,整租,需咨询,1250,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,True,民水,True,https://image1.ljcdn.com/110000-inspection/0379650d3ea3e63f751a41882e777be7.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/bc0ac967a0a17f76ca4042d1e98e773c.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/5e927f41c0b290d034f56884bc51bf5f.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/57b30bd267a7518297ad73394df9d86d.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/b29239f455eee5c6add61946364eaee7.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/897a58d25d5412ce1278eb81de8628a1.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/prod-7538dae9-93df-4b9a-91f5-aadd03c83256.png.780x439.jpg;,【房源亮点】这个房子是复式的，下层客厅、厨房、餐厅、卫生间，上层2个卧室、卫生间，动静分离。【户型介绍】此房房龄新，小区位置好，中间楼层，视野开阔，采光通透。该房为毛坯复式，动静分离。【交通出行】公交：泥城1路，泥城2路，泥城4路到16号线书院地铁站，泥城5路，申港3路到滴水湖，惠临专线，龙港快线，大泥专线等；高速：驾车1公里即到达S2沪芦高速，直接连接中环、外环【出租原因】房子是房东新入手的，在泥城还有别的房子，暂时不住，打算先出租。【周边配套】公园：临港滨河文化公园； 银行: 上海农商银行，中国邮政银行，中国工商银行，上海银行，华夏银行等； 医院：泥城社区医院，第六人民医院东院；【小区介绍】该小区环境优美，生活舒适，生活配套完善，出行便利，建成于2006年；
SH2463555580825182208,整租·云帆花苑 3室1厅 南,https://image1.ljcdn.com/110000-inspection/d9fadf3ae56e01a83cb45cb435ac3358.jpg.250x182.jpg,浦东,泥城镇,云帆花苑,103,3室1厅1卫,南,1000,新上;,中楼层/6层,2020-02-24,,整租,需咨询,1000,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/110000-inspection/d9fadf3ae56e01a83cb45cb435ac3358.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/260da2a5ab37d83548b5d7edad9180ff.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/b30fb8b8401de3a6bb333231f86c43a0.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/90a64cd07f19182ade8c3df21130fbe0.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/ac5ced7e3e97065bbf9dab79cd63cfe7.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/8667e1ab581ae06ab69d9e04f01d48d1.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/b02940b0172884ad5d6c97d577c52bb3.jpg.780x439.jpg;,
SH2431743164885762048,整租·清风花苑 2室1厅 南,https://image1.ljcdn.com/310000-inspection/2fd715e8-ecae-4586-a0b9-dae19b06f622.jpg.250x182.jpg,浦东,泥城镇,清风花苑,81,2室1厅1卫,南,1600,,高楼层/6层,2020-02-24,,整租,需咨询,1600,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,一般下班后可看,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/dfe3e118-7a6a-45a7-ba5e-60ba01d8bb46.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/d29d1af6-a9f4-4cdc-8c58-88bee9e005fc.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/83c7c757-a79f-4bff-a000-b768f8d0002f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/180b4b22-115a-47b4-b034-c6e9171ed265.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/0c733f5c-29c4-41ae-a8db-bd43b1f94b7a.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/2fd715e8-ecae-4586-a0b9-dae19b06f622.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/4469ba9c-3f78-43fe-b991-9a1ff7480c39.png.780x439.jpg;,【房源亮点】房子干净，没有很多东西，比较简洁。位于六楼，高层，采光好。房子基本硬装风格比较清爽。家电全新，冰箱，洗衣机，排油机都是全新的。【周边配套】小区生活设施较全，公交车站，商场，幼儿园，派出所，医院具备。【小区介绍】小区比较安静，住户多为退休老人，免停车费。地理位置好，有主干线路，商圈较繁荣，交通方便。
SH2415820865356185600,整租·东亚阳光里 2室1厅 南/北,https://image1.ljcdn.com/310000-inspection/d9f98246-a198-49b1-bf93-82fbbe162a1b.jpg.250x182.jpg,浦东,泥城镇,东亚阳光里,79,2室1厅1卫,南/北,1200,,低楼层/11层,2020-01-19,,整租,需咨询,1200,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/991f197f-924f-49c9-a769-abb464a1f3d2.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/aecf9936-e5d6-458c-a11d-c3c1b427dcc4.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/d9f98246-a198-49b1-bf93-82fbbe162a1b.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b2758698-79c3-418b-bcc5-8f75d8a4eb54.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/ae70f65e-e6d0-48ab-8bd1-41e4671b05ec.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/c0036cbe-6283-4417-8c83-57f41cf42c98.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/9104432d-5210-413c-a3f1-35bd4ffebfad.jpg.780x439.jpg;,
SH2401906717370613760,整租·云锦雅苑 1室1厅 南,https://image1.ljcdn.com/310000-inspection/565fab7e-da34-4772-8940-fcc918932c13.jpg.250x182.jpg,浦东,泥城镇,云锦雅苑,0,,,1400,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,,,,,,,False,,False,,
SH2412068801832296448,整租·乾耀东港 2室2厅 南,https://image1.ljcdn.com/310000-inspection/7b475a40-a3d6-44c7-8391-c825e62b7bc2.jpg.250x182.jpg,浦东,泥城镇,乾耀东港,88,2室2厅1卫,南,1100,,低楼层/13层,2020-02-22,,整租,需咨询,1100,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,一般下班后可看,随时入住,True,民水,True,https://image1.ljcdn.com/310000-inspection/7fe0a380-4920-4a50-b604-7b0112d6468e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/2746e49b-d7fd-42a1-91a3-11fe9ff5261c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/100c9592-b2ae-4a97-b0ec-6a2175da0799.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/7b475a40-a3d6-44c7-8391-c825e62b7bc2.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/187dfda2-aee3-4fc2-8a8b-e075d67363ad.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f46921b7-ad4f-475e-a0df-cb82baa1b4b4.jpg.780x439.jpg;,
SH2435436123913461760,整租·丽都华庭 1室2厅 南/北,https://image1.ljcdn.com/310000-inspection/prod-512c3f00-2241-4bc9-97e8-98847bdfacf2.jpg.250x182.jpg,浦东,泥城镇,丽都华庭,73,1室2厅1卫,南/北,1000,,低楼层/13层,2020-02-10,,整租,需咨询,1000,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,True,民水,True,https://image1.ljcdn.com/310000-inspection/prod-62236e89-5c64-4e06-9ae0-7247b98f225f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-512c3f00-2241-4bc9-97e8-98847bdfacf2.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-83d791f1-921d-44c3-b92c-cfe0e0a18622.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-d8eb5f5e-02fd-40b7-bca5-0ae28e209ff7.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-c74212f0-d506-4179-8987-3c98afa1b36d.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/prod-70e2e7b9-fd9a-462e-afdf-450cf74f677c.png.780x439.jpg;,
SH2313655230748688384,整租·云树仁居 1室1厅 南,https://image1.ljcdn.com/310000-inspection/99a2c196-2204-4c00-87b7-5263ff703168.jpg.250x182.jpg,浦东,泥城镇,云树仁居,61,1室1厅1卫,南,1000,,低楼层/6层,2020-02-21,,整租,需咨询,1000,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/13373b11-5f67-49ab-bc3a-71bb24529219.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/99a2c196-2204-4c00-87b7-5263ff703168.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/1d9336fc-b147-4987-a4b9-b06ec6aef00c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/3bce75d9-20f5-4d8f-9094-b2835286bb43.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/afd7b194-1c3d-4334-b46f-cb9afe415a82.jpg.780x439.jpg;,【户型介绍】客厅较大，南北通透。采光较好，客厅和主卧明亮，厨房朝北面，光线较好，但不太耀眼。通风性好，湿气弱。【装修描述】小区基本装修，白墙，有门，基础的生活所需能够满足，洗手间装修清爽，干湿不分离。【小区介绍】小区环境优美，四季如春，空气清新，适合生活。小区门口即是快餐店和干洗店，超市和菜市场也不太远，很省事。
SH2409279966740496384,整租·云树欣居 2室1厅 南,https://image1.ljcdn.com/310000-inspection/9e8c5bd4-1a92-4591-a7af-da08c16a2461.jpg.250x182.jpg,浦东,泥城镇,云树欣居,82,2室1厅1卫,南,1300,,低楼层/11层,2020-02-24,,整租,需咨询,1300,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,True,民水,False,https://image1.ljcdn.com/310000-inspection/63fd6970-011e-4447-8aff-86788907e0d3.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b6bf09b6-1941-4962-89ee-07c711bf2d04.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/9e8c5bd4-1a92-4591-a7af-da08c16a2461.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/34320056-ddf6-4588-a1d8-ec397ceb81b7.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/eae183ac-3f5d-4b60-9f61-7486152d549b.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20170320/d2a6dfc3-9f01-4fe4-b612-0ce95550e390.jpg.780x439.jpg;,
SH2233735270476283904,整租·云树欣居 2室2厅 南,https://image1.ljcdn.com/310000-inspection/cde6ab00-ed58-4eed-8d61-fef83a0d2304.jpg.250x182.jpg,浦东,泥城镇,云树欣居,83,2室2厅1卫,南,2000,,高楼层/10层,2020-02-16,,整租,需咨询,2000,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,True,民水,False,https://image1.ljcdn.com/310000-inspection/ec6ad54c-dcc4-4c93-995e-585219ad7655.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/21b4da00-10ca-425c-a765-0dc50ca89208.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/cde6ab00-ed58-4eed-8d61-fef83a0d2304.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/2b19d458-e5d5-4314-a7ef-299dfb5b5152.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/9ea1185c-34e7-4d4b-ae13-a1895e09b9f6.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/8bb1628f-8597-4bc1-b397-a833b3bb8dce.jpg.780x439.jpg;,【房源亮点】该房是两房朝南，一房朝北，装修年轻时尚，房东对租客要求比较高，诚意出租【户型介绍】该房是两个房间朝南，一个房间朝北，独立阳台，独立卫生间，装修风格年轻，适合年轻人居住【交通出行】小区门口有公交车站，泥城1路，2路，3路，交通发达出行方便，小区内停车方便【周边配套】小区旁边有宝龙广场，华亮广场，大润发超市，门口有农工商超市，宪法公园
