hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2424600505818300416,整租·三林新村(永泰路136弄) 1室2厅 南,https://image1.ljcdn.com/lease-image/house/4e651a7b-3088-4bd9-82e5-2966dc653bcb.jpg.250x182.jpg,浦东,三林,三林新村(永泰路136弄),60,1室2厅1卫,南,4600,精装;随时看房;,低楼层/14层,2020-01-01,精装修,整租,季付,4600,0,2300,,False,False,True,False,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,True,民水,False,https://image1.ljcdn.com/lease-image/house/4e651a7b-3088-4bd9-82e5-2966dc653bcb.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/245735d1-255b-494e-9eca-5fba76050d7c.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/f8fcf02f-f7cf-4541-a55f-10ffb45ed96d.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/85ac44f5-69dc-4c4e-9030-bbd93e755c32.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/ce5cfe5e-e944-4f7a-862b-55817e73e247.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/7270e761-c678-4ed8-a185-c4e19706c405.png.780x439.jpg;,
SH2424603263162138624,整租·凌兆新村(上浦路165弄) 2室2厅 南,https://image1.ljcdn.com/lease-image/house/8a48cecc-aaf7-4c7e-9828-0983e12ca1cc.jpg.250x182.jpg,浦东,三林,凌兆新村(上浦路165弄),80,2室2厅1卫,南,5400,近地铁;随时看房;,高楼层/6层,2020-01-01,,整租,季付,5400,0,2700,8号线-凌兆新村-565m;8号线-凌兆新村-565m;,False,False,True,False,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,False,民水,False,https://image1.ljcdn.com/lease-image/house/a354edd0-a37f-4a16-99d9-6b8b544aef99.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/8a48cecc-aaf7-4c7e-9828-0983e12ca1cc.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/0178f261-1d42-4804-a05f-7f633be0f908.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/77789d95-33d3-4a63-9ad1-012ba22af1eb.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/90c431de-e33f-44ab-b2aa-deb325ffe5a5.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/ab072af2-881d-47e7-889a-a61f5b39530c.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/2fc7d23d-b854-4321-a9e6-d45a640e7ac8.png.780x439.jpg;,
SH2422433961465880576,整租·杉林新月环林东路879弄 2室1厅 南,https://image1.ljcdn.com/lease-image/house/dc6a70d527c98c51097d46dfb01306d4.jpeg.250x182.jpg,浦东,三林,杉林新月环林东路879弄,72,2室1厅1卫,南,5500,近地铁;精装;随时看房;,低楼层/6层,2020-01-09,精装修,整租,季付,5500,0,2750,11号线(花桥-迪士尼)，11号线(嘉定北-1018m;,False,True,False,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,False,民水,False,https://image1.ljcdn.com/lease-image/house/dc6a70d527c98c51097d46dfb01306d4.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/4b10930c1b6c2e9f4189b5699dde28d7.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/c7bf5dd641aef25653d5020978c10d05.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/62a26a6cdfdb328451131994234f962b.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/53c1953a1b4453a4516170e659334765.jpeg.780x439.jpg;,
SH2424598947231440896,整租·凌兆新村(凌兆路711弄) 2室1厅 南,https://image1.ljcdn.com/lease-image/house/b2400ed1-b5db-4ffa-b889-dbcbd2147023.jpg.250x182.jpg,浦东,三林,凌兆新村(凌兆路711弄),70,2室1厅1卫,南,5200,近地铁;随时看房;,高楼层/6层,2020-01-01,,整租,季付,5200,0,2600,11号线(花桥-迪士尼)，11号线(嘉定北-847m;11号线(花桥-迪士尼)，11号线(嘉定北-847m;11号线(花桥-迪士尼)，11号线(嘉定北-847m;11号线(花桥-迪士尼)，11号线(嘉定北-847m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,False,民水,False,https://image1.ljcdn.com/lease-image/house/b2400ed1-b5db-4ffa-b889-dbcbd2147023.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/957bbb0e-e796-4a18-bef4-913b8d51b601.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/649edadd-4bb5-4c7e-9516-934bd418b851.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/1ba4189a-f335-4727-9711-4fd5c45836de.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/a2608477-7ab4-433d-aded-175316467944.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/67f8949e-4db7-4161-b700-4be438029f75.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/a78aa915-2b06-45d1-b40f-a6e2486ddcc1.png.780x439.jpg;,
SH2424602301374676992,整租·凌兆新村(上浦路202弄) 2室1厅 南,https://image1.ljcdn.com/lease-image/house/f3a337bf-7d83-4949-abc4-b8c7b52d37b1.jpg.250x182.jpg,浦东,三林,凌兆新村(上浦路202弄),74,2室1厅1卫,南,5500,近地铁;随时看房;,低楼层/6层,2020-01-18,,整租,季付,5500,0,2750,8号线-凌兆新村-632m;8号线-凌兆新村-632m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,False,民水,False,https://image1.ljcdn.com/lease-image/house/d9ec2a37-8997-49c7-a87c-43f903473aed.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/f3a337bf-7d83-4949-abc4-b8c7b52d37b1.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/40cf304d-3a16-4d11-96a3-64926d166947.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/5e7ba950-e3c8-4f6f-bdaa-ee50aa8ef9be.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/d0af3f11-3800-478b-876c-ca76f5b84cd7.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/cb0b8efd-8937-436f-bc91-d9260693e3a0.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/c29e9f83-ed26-4647-8a95-bfd30af0c9aa.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/b0cbc746-2f01-47e0-826b-a3a5be9e707e.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/e287a96c-2a46-499d-bed6-dd8686ef62b8.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/bf3e698b-641c-4a9b-9277-d35dfbfe0115.png.780x439.jpg;,
SH2424587302534914048,整租·杉林新月环林东路879弄 2室1厅 南,https://image1.ljcdn.com/lease-image/house/7f431d47635f3331454232462ccd7206.jpeg.250x182.jpg,浦东,三林,杉林新月环林东路879弄,78,2室1厅1卫,南,5300,近地铁;精装;随时看房;,低楼层/8层,2020-01-09,精装修,整租,季付,5300,0,2650,11号线(花桥-迪士尼)，11号线(嘉定北-1018m;,False,True,False,True,True,False,False,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,True,民水,False,https://image1.ljcdn.com/lease-image/house/7f431d47635f3331454232462ccd7206.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/c45119063aa1e1a1f14f73c8c8e7848d.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/f9b77ab8529ac52791562f0ddff891d1.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/12a3c8868e104864b8b9f9a0b148cce5.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/ed44e09f66078135e2dfd78e37ecf3bc.jpeg.780x439.jpg;,【房源亮点】杉林新月879弄少见的电梯房，二楼带露台，方便晾衣服以及夏天乘凉。【交通出行】小区出大门步行约12分 钟可乘地铁11号线三林东站，两站换乘地铁6号线，8号线。开车五分 钟左右上中环和外环。【小区介绍】小区内楼栋造型简单简约，舒适自然，楼盘中间引入天然河道：8000平方米月亮湾形状的人工湖环 绕楼盘四周，沿河布置数个景观绿化绿化带，公园有健身器材。
SH2372440064123731968,整租·金谊河畔 2室2厅 南,https://image1.ljcdn.com/lease-image/house/c2d7401c1d2864c21f78b43c524f4ddc.jpeg.250x182.jpg,浦东,三林,金谊河畔,113,2室2厅1卫,南,6500,近地铁;随时看房;,中楼层/17层,2020-02-21,,整租,季付,6500,0,3250,11号线(花桥-迪士尼)，11号线(嘉定北-985m;11号线(花桥-迪士尼)，11号线(嘉定北-985m;,False,True,False,True,False,False,True,False,False,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,True,民水,True,https://image1.ljcdn.com/lease-image/house/c2d7401c1d2864c21f78b43c524f4ddc.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/20785543721bab2d961db4c06ae27ae3.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/2a2757b0bbba040709b7d3ccad3850cc.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/a870e82b2bfda6be02273e63a0c52ac9.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/f281510457a98db001860202aff40a40.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/42435f5c922f911fea759273cc10e037.jpeg.780x439.jpg;,
SH2423666070075482112,整租·三林安居苑 3室2厅 南/北,https://image1.ljcdn.com/lease-image/house/3becc43e-9aa3-4dd0-b19b-2b7dea3a7b3d.jpg.250x182.jpg,浦东,三林,三林安居苑,97,3室2厅2卫,南/北,8200,近地铁;双卫生间;随时看房;,高楼层/6层,2020-01-09,,整租,季付,8200,0,4100,11号线(花桥-迪士尼)，11号线(嘉定北-319m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,False,民水,True,https://image1.ljcdn.com/lease-image/house/bb6dcf7c-c999-4bc9-af9c-1773790a59d7.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/8ca28fca-900c-450d-9782-ea11a098d0f4.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/ef928476-9c0b-478a-ab10-dcab793c15f6.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/ee95c76b-73ec-4e28-b904-47f4a50eaf43.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/8d95089b-b780-44ce-8159-8dab05e0652d.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/9bb108ab-c9e0-4016-9970-3e3465eaa493.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/3becc43e-9aa3-4dd0-b19b-2b7dea3a7b3d.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/0b7c8955-ce9b-4fd4-b405-5bd6a0bb5b51.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/55d6dfe3-c6d1-4de5-936a-b5c8dd08e00d.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/3504fb91-fe32-480e-817f-edc878f65f27.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/8fe47870-8bb9-4f5b-92a8-5ecdfc535723.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/fe598edb-24b4-4042-bead-272f51def5f9.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/35335fe6-73c5-4279-ae5c-992ed03f7ad2.png.780x439.jpg;,【房源亮点】三林安居苑罕见的大三房户型，屋内精装修家具家电全配，拎包即可入住。【交通出行】小区出门就是11号线三林东站，乘地铁去徐家汇上班十分方便，驾车上中环也仅需几分 钟。【周边配套】小区南边即是三林印象城，往西边有金谊广场，出行游玩十分方便。
SH2431047684690821120,整租·金谊河畔 2室2厅 南,https://image1.ljcdn.com/lease-image/house/8c713093-7acd-4df1-b716-b6c2f41efbcf.jpg.250x182.jpg,浦东,三林,金谊河畔,107,2室2厅1卫,南,8500,近地铁;精装;随时看房;,低楼层/18层,2020-01-10,精装修,整租,季付,8500,0,4250,11号线(花桥-迪士尼)，11号线(嘉定北-985m;11号线(花桥-迪士尼)，11号线(嘉定北-985m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,True,民水,True,https://image1.ljcdn.com/lease-image/house/8c713093-7acd-4df1-b716-b6c2f41efbcf.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/653218eb-1a75-447c-98ad-641e499d1810.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/360d9c2b-f765-434b-a570-41c25fe4bb64.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/60a9f955-d926-4e7e-a103-c02368127141.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/97b82d98-1b1b-4665-963f-bf73ae0a1f92.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/ce95d436-1d32-446e-9036-c76d9f4f47ea.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/a3fa892c-eaff-4c1e-ab0b-b5b2ecdafc43.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/4390d91d-f8b5-4d03-b2d0-2ae870d71970.png.780x439.jpg;,
SH2406275963450302464,整租·品新苑 3室1厅 南,https://image1.ljcdn.com/lease-image/house/3851600aa12bf1c5d582b39f3e82592e.jpeg.250x182.jpg,浦东,三林,品新苑,112,3室1厅1卫,南,6800,近地铁;随时看房;,高楼层/18层,2020-01-09,,整租,季付,6800,0,3400,11号线(花桥-迪士尼)，11号线(嘉定北-888m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,True,民水,False,https://image1.ljcdn.com/lease-image/house/3851600aa12bf1c5d582b39f3e82592e.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/0a0b0149df162418294eafa4078796f8.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/4c666818f0ce6443b80e37932ce9aede.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/f9b9bf276c82e8ef89beda366609334a.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/d533c6088965ca2da6e29e250defb400.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/9b8b01999165ffc191e99184ec4a2e64.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/fbf1a5deeddff017dc4b0f5f70ae61b2.jpeg.780x439.jpg;,
