hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2436083935155847168,整租·新舒苑 3室2厅 南/北,https://image1.ljcdn.com/310000-inspection/dc20e334-3782-4472-b53e-18234a0a82c1.jpg.250x182.jpg,浦东,书院镇,新舒苑,105,3室2厅1卫,南/北,1900,,中楼层/4层,2020-02-24,,整租,需咨询,1900,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/3c7bc1da-67c9-43fe-bcc9-370f96061806.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/bdc101e5-31eb-4bb1-94e8-60b028c9dec1.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/cdfaa6e4-2df7-43b4-a9e3-eb436d7133f0.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/dc20e334-3782-4472-b53e-18234a0a82c1.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/4a57fe54-0980-462b-b109-d149d323d749.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f65b8026-f250-45d0-bbda-ebcf3739e802.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/1d845424-136d-4d80-91ca-b70636bcbc9f.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/139ad021-f71b-4667-a39a-31a36ae65a7c.png.780x439.jpg;,
SH2426574989181591552,整租·丽泽兰馨苑 1室1厅 南,https://image1.ljcdn.com/310000-inspection/85148e70-5407-4c0e-be56-1cd113f11ff1.jpg.250x182.jpg,浦东,书院镇,丽泽兰馨苑,61,1室1厅1卫,南,1200,,低楼层/6层,2020-02-21,,整租,需咨询,1200,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/776c2d48-9bce-4959-88a9-1dc6155dd16a.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/85148e70-5407-4c0e-be56-1cd113f11ff1.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/1ae28b67-1214-480e-b95d-befd75e07f1d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/7e64bc5a-ba2e-4107-a591-9d8bd318988f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/aee46af7-04ce-4802-8313-a483e4d1d9f1.jpg.780x439.jpg;,
SH2421481125789564928,整租·丽泽梅傲苑 3室2厅 南,https://image1.ljcdn.com/310000-inspection/83ea3995-cad3-458c-b9f1-ebcf00894f4f.jpg.250x182.jpg,浦东,书院镇,丽泽梅傲苑,129,3室2厅2卫,南,1000,双卫生间;,中楼层/6层,2020-01-13,,整租,需咨询,1000,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/83ea3995-cad3-458c-b9f1-ebcf00894f4f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/d7f67b4c-a97c-43dd-90e3-cde54d82c685.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/c6fefd27-d3e9-48f7-8fe9-25a6ce30125c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/490223b9-632f-4855-9d1f-71a42bc1571d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/9429ecb8-2525-4697-8a34-6c8a7fbb12bd.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/2341477e-c8bc-46d6-b12b-eb018480c19d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/6f82d67d-075c-4a4e-b9fe-d65b26fec46f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/9e8164a2-3a17-4e97-ac01-f2e862e0b4bc.jpg.780x439.jpg;,
SH2432423893101977600,整租·书院一号公寓 1室1厅 南/北,https://image1.ljcdn.com/310000-inspection/b0884ce9-7a17-4fc2-9070-d5fe5b6f9db5.jpg.250x182.jpg,浦东,书院镇,书院一号公寓,66,1室1厅1卫,南/北,1600,,中楼层/13层,2020-02-01,,整租,需咨询,1600,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,True,民水,True,https://image1.ljcdn.com/310000-inspection/b0884ce9-7a17-4fc2-9070-d5fe5b6f9db5.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/dac662cc-dd8b-466f-830e-067b5c1bf6a2.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/8c78c0a3-7430-4639-908b-3a95541baa8b.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/9480258c-f53b-4963-8eef-1bbbec15a482.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/8fbe7671-8427-4db7-9d5c-cd3ebf1891fa.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/6c87ed39-6e5c-424f-a056-acf621b95397.png.780x439.jpg;,
SH2326848767023915008,整租·新舒苑 2室1厅 南/北,https://image1.ljcdn.com/310000-inspection/bf1a9f97-166a-4610-9b4c-3574fcd79e84.jpg.250x182.jpg,浦东,书院镇,新舒苑,66,2室1厅1卫,南/北,1300,,低楼层/5层,2020-02-23,,整租,需咨询,1300,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/933857d8-bea3-42ed-a26e-650bf5bd437d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/81c9bf83-5357-4fcd-b6c4-0abaeafeccbb.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/bf1a9f97-166a-4610-9b4c-3574fcd79e84.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/db31bac0-4138-4749-a72f-ddd31da8b9ac.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/6a737019-8629-4fb1-9520-647c033f86bd.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/prod-cf905cbd-963e-40d7-92c2-d66d2dc88645.png.780x439.jpg;,
SH2436862165152702464,整租·新舒苑 2室1厅 南,https://image1.ljcdn.com/110000-inspection/1ab6b9c7c59110bfdf86f6a62c3da839.jpg.250x182.jpg,浦东,书院镇,新舒苑,0,,,1700,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,,,,,,,False,,False,,
SH2414977574582362112,整租·丽泽荷亭苑 2室2厅 南,https://image1.ljcdn.com/310000-inspection/35bbee96-4d83-40ec-8e19-fb6089f589d4.jpg.250x182.jpg,浦东,书院镇,丽泽荷亭苑,82,2室2厅1卫,南,1800,,高楼层/6层,2020-02-23,,整租,需咨询,1800,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/0a940111-43d2-4728-bd58-a61690f95566.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/eaaa694a-2524-49ad-9a0a-9aafbfd9a730.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/35bbee96-4d83-40ec-8e19-fb6089f589d4.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/fba72c4a-9107-4849-b39d-47fe89b8f283.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/ef013d33-5b7b-4377-add6-2cfb1762978e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/22e604d6-52f2-4d79-ad7f-dde2e2a58a73.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/bb9cb5b7-7e38-4a12-b883-8a0933f292f4.jpg.780x439.jpg;,
SH2425118856831320064,整租·新舒苑 3室1厅 南,https://image1.ljcdn.com/310000-inspection/2ae6d2ea-092d-41a0-92c1-79a7562d84cb.jpg.250x182.jpg,浦东,书院镇,新舒苑,98,3室1厅1卫,南,2200,,低楼层/5层,2020-02-23,,整租,需咨询,2200,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/24a9f952-b258-4350-abdb-5efcd5730dd0.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/6b3108ca-2159-4be2-b06b-a16d1d1aa98a.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/05df1463-7200-4a1a-bc1c-f88e142ee6e1.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/2ae6d2ea-092d-41a0-92c1-79a7562d84cb.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f3522f55-02b9-42d3-8ee7-cc9116c88c10.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b6522f07-f444-4741-b864-e6780fc8a5dd.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/24869219-371c-4653-8cb2-9c3f999619a1.jpg.780x439.jpg;,
SH2402044546260140032,整租·丽泽菊清苑 2室2厅 南,https://image1.ljcdn.com/310000-inspection/e4e856b9-a501-438e-9c6c-542ad55b9da3.jpg.250x182.jpg,浦东,书院镇,丽泽菊清苑,82,2室2厅1卫,南,1000,,高楼层/6层,2020-02-23,,整租,需咨询,1000,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/e4e856b9-a501-438e-9c6c-542ad55b9da3.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/5bfc88e4-7dbc-4a4b-bf07-d8722caebda6.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/d0533a76-0a11-4d75-8071-d4564d01ad79.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/adbfaf5a-399a-48d3-a65f-3250df6590de.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/37689d11-26bc-499c-92be-cdf23a30e1f7.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/aadda19d-1921-47f9-9b20-07eb69dde241.jpg.780x439.jpg;,
SH2404860082383749120,整租·丽泽菊清苑 1室1厅 南,https://image1.ljcdn.com/310000-inspection/fc08de6b-1e59-4dc0-901d-3ee195ea7105.jpg.250x182.jpg,浦东,书院镇,丽泽菊清苑,0,,,1200,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,,,,,,,False,,False,,
