hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2430929761933983744,整租·峨山小区 1室1厅 南,https://image1.ljcdn.com/310000-inspection/27410fa1-c297-455c-892b-9e0ee290258c.jpg.250x182.jpg,浦东,塘桥,峨山小区,42,1室1厅1卫,南,4000,近地铁;,低楼层/6层,2020-02-23,,整租,需咨询,4000,0,需咨询,4号线，6号线-浦电路-1091m;4号线，6号线-浦电路-1091m;4号线，6号线-浦电路-1091m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/d2038efd-a3b3-426f-99b2-01cdc1853cd2.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/27410fa1-c297-455c-892b-9e0ee290258c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/8aa11005-7761-432f-82e2-e98154d0112d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/6b2d8cbc-7f60-4826-8a5d-7c67a4ec4d58.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/3dcf177c-6f15-4f4c-a49a-c5271e83f4f6.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/916e603d-9ead-42ff-8038-b68800411679.jpg.780x439.jpg;,【房源亮点】此房所在的地理位置比较繁华，出门就是蓝村路一条小吃街，商场是巴黎春天+富都广场，医院是仁济医院。【交通出行】小区最近地铁是4号线和6号线地铁蓝村路站，出门也有公交站，直达陆家嘴，交通便利。【周边配套】新塘桥广场，巴黎春天，沃尔玛，蓝村路小吃一条街，仁济医院，交通、工商、民生三大银行.
SH2457139797173469184,整租·塘东小区 1室1厅 南,https://image1.ljcdn.com/110000-inspection/a74a0a21-9f29-427d-ba7f-b19245961087.jpg.250x182.jpg,浦东,塘桥,塘东小区,43,1室1厅1卫,南,5500,近地铁;,低楼层/6层,2020-02-25,,整租,需咨询,5500,0,需咨询,6号线-上海儿童医学中心-1045m;6号线-上海儿童医学中心-1045m;6号线-上海儿童医学中心-1045m;6号线-上海儿童医学中心-1045m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/110000-inspection/021da0d3-436f-4924-a786-28d046c39459.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/a74a0a21-9f29-427d-ba7f-b19245961087.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/badb0854-5f21-487f-98aa-5d042626d3e4.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/a55b2079-0bc6-465c-a6a3-f486a94193d5.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/2ebf8f19-9e8d-4827-bd21-0625a47cda2f.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/233881a7-0f20-48f4-9933-5bd75bd4b566.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/b7f22c1c-a0bb-4504-a824-c78b98116878.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/e5785f4a-4cb7-433d-b6f9-767338858ad4.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/d983ef4e-e8bc-4957-9497-f9b890043358.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/2258f331-4ff2-4342-95e8-c5b58b597feb.png.780x439.jpg;,
SH2430318215852212224,整租·宁阳小区 2室1厅 南,https://image1.ljcdn.com/310000-inspection/6f4e4113-7977-4cf9-869a-32b2b62cfe5d.jpg.250x182.jpg,浦东,塘桥,宁阳小区,52,2室1厅1卫,南,5000,近地铁;随时看房;,中楼层/6层,2020-01-15,,整租,需咨询,5000,0,需咨询,4号线-塘桥-394m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/6f4e4113-7977-4cf9-869a-32b2b62cfe5d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/c31a9993-110e-49ad-8778-1143f432589d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/1e0bb816-d116-444d-a9ac-fc3cf80c5989.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/48c00616-d5a3-49c5-94cd-6378e715130e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/cbec0ab0-b3e2-4265-b2dc-d360ce0a5d96.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e7a706be-1163-4261-823f-dac0fb578b79.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/6f398cb9-161c-4766-90ee-54aa4c2e1033.jpg.780x439.jpg;,【房源亮点】小区交通便利，出门几百米就是4号线塘桥地铁站，门口多个公交站点， 房子虽是简装但是干净，简约不失大方，屋内家具家电齐全，家居环境优质。【交通出行】此房近塘桥地铁四号线四号口，交通便利，浦东南路公交车居多，西边近滨江大道，江边【周边配套】此房近塘桥地铁四号线四号口，交通便利，浦东南路公交车居多，西边近滨江大道，江边，近巴黎春天，周有中国工商银行，交通银行，肯德基麦当劳，南泉菜市场，沃尔玛生活超市，交通生活都很便利【小区介绍】小区位于浦东塘桥商圈，小区环境优美 ，生活设施齐全，交通便利，适合居民生活
SH2405681378378661888,整租·港驳小区 1室1厅 南,https://image1.ljcdn.com/310000-inspection/pc1_sR5eQgttZ_1.jpg.250x182.jpg,浦东,塘桥,港驳小区,42,1室1厅1卫,南,4300,近地铁;,高楼层/6层,2020-02-25,,整租,需咨询,4300,0,需咨询,4号线-塘桥-1145m;4号线-塘桥-1145m;4号线-塘桥-1145m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/pc1_sR5eQgttZ_1.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/apc_LWrcmJnrz_1.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/pc0_bX8FZjYyI_1.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/pc0_lJx9PRjy1_1.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/pc0_grjHrUubW_1.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/standard_ef6165f4-498f-45b8-a1fe-cc8b7a600855.png.780x439.jpg;,【房源亮点】小区环境和安保都很好，生活配套设施齐全。出行便利，生活适宜，自住率极高。房东人很好，和蔼亲切，入住会有很好的舒适体验。【交通出行】蓝村路地铁站349米 4号线，6号线；上班出行便利与东方路和南泉路交汇的公交站很多，出行方便，适宜日常居住【周边配套】从南门可以直接出去右转可到达富都广场。往南走，1000左右可到达大型商圈巴黎春天。往南走900米左右，有上海仁济医院；再往南走到上海儿童医院，并配有地铁6号线。
SH2428813249203421184,整租·宁阳小区 1室1厅 南,https://image1.ljcdn.com/310000-inspection/25191d40-665e-4b29-af8a-5268c467e9f2.jpg.250x182.jpg,浦东,塘桥,宁阳小区,36,1室1厅1卫,南,5500,近地铁;,中楼层/6层,2020-02-23,,整租,需咨询,5500,0,需咨询,4号线-塘桥-394m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/b9b27095-9d34-44c0-9b11-639eb9adec33.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/01df994d-c728-4eed-84e9-2b7f79e5574c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/507bd0c2-edcc-4a6a-8627-3eaea1d7085c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/25191d40-665e-4b29-af8a-5268c467e9f2.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b4371639-674c-4716-8068-98aa52828388.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/633c676f-361d-433a-beff-d428df6d7c05.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/fbe2ebce-cc26-4194-ba93-f2189c9c3d65.jpg.780x439.jpg;,【房源亮点】小区交通便利，出门几百米就是4号线塘桥地铁站，门口多个公交站点， 房子虽是简装但是干净，简约不失大方，屋内家具家电齐全，家居环境优质。【交通出行】此房近塘桥地铁四号线四号口，交通便利，浦东南路公交车居多，西边近滨江大道，江边【周边配套】此房近塘桥地铁四号线四号口，交通便利，浦东南路公交车居多，西边近滨江大道，江边，近巴黎春天，周有中国工商银行，交通银行，肯德基麦当劳，南泉菜市场，沃尔玛生活超市，交通生活都很便利【小区介绍】小区位于浦东塘桥商圈，小区环境优美 ，生活设施齐全，交通便利，适合居民生活
SH2416405678513201152,整租·塘东小区 1室1厅 南/北,https://image1.ljcdn.com/310000-inspection/5c94fb62-3a98-4958-9b17-80a4466af450.jpg.250x182.jpg,浦东,塘桥,塘东小区,43,1室1厅1卫,南/北,4500,近地铁;,高楼层/6层,2020-02-25,,整租,需咨询,4500,0,需咨询,6号线-上海儿童医学中心-1045m;6号线-上海儿童医学中心-1045m;6号线-上海儿童医学中心-1045m;6号线-上海儿童医学中心-1045m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,一般下班后可看,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/5c94fb62-3a98-4958-9b17-80a4466af450.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a9e294bd-81ba-4922-aae5-1d4def974eef.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/5bbe37b9-be05-4ddb-bbdb-7a6e233ba8b4.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/1769e893-5965-4dc3-b2da-675daffe2493.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/3fb89032-1981-4032-adf9-359957134590.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e91762c2-7cd6-48bc-baa3-7def5391263d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/9e8448e5-56c2-42d4-80cf-c6e7215a952f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/6b61b421-9dcb-4476-9004-3da775a8d274.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/62d1bc07-e1f4-446c-8e4f-7ddc6ad1a7b7.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/2258f331-4ff2-4342-95e8-c5b58b597feb.png.780x439.jpg;,【户型介绍】精装修，边套全明南北通透，客厅有窗，采光充足，视野宽阔。 小区近地铁6号线蓝村路地铁站，配套齐全，交通便利【装修描述】装修风格好，保养得很好，家具家电齐全，随时起租。小区环境好，生活配套设施齐全，.【周边配套】富都广场，巴黎春天，沃尔玛，出门即是蓝村路小吃一条街，仁济医院，交通、工商、民生三大银行
SH2338906391286390784,整租·港驳小区 1室1厅 南,https://image1.ljcdn.com/310000-inspection/7a08a510-a4cd-4c14-b7a1-0e6f567791f1.jpg.250x182.jpg,浦东,塘桥,港驳小区,32,1室1厅1卫,南,4700,近地铁;随时看房;,高楼层/6层,2020-02-22,,整租,需咨询,4700,0,需咨询,4号线-塘桥-1145m;4号线-塘桥-1145m;4号线-塘桥-1145m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/ca7a0ab2-3078-4a9e-808c-bab37d6e8033.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/7a08a510-a4cd-4c14-b7a1-0e6f567791f1.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/0fdb066e-6c30-4314-be01-4211b153c598.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/5d5b0f6a-abcd-4dd0-ab44-c3f3d50fd528.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/75e464b6-21db-4b14-9fa7-55d7426d9445.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b0480473-691a-421c-b735-4849f611a4c1.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/c1d1728f-ca30-4f6e-88ae-5a469401115b.jpg.780x439.jpg;,【房源亮点】精装修拎包入住，生活便利。。。。。。。。。。。。4、6号线轨交，步行可达陆家嘴软件园、上交所新大楼、世纪金融广场【装修描述】精装修一室户，家具家电全新，随时入住，楼层高采光好，，，，，，【交通出行】4、6号线轨交，步行可达陆家嘴软件园、上交所新大楼、世纪金融广场【周边配套】精装修家具家电全新，配套成熟，邻近富都广场、美食街、银行、超市菜场
SH2412346375552368640,整租·港驳小区 2室1厅 南,https://image1.ljcdn.com/310000-inspection/pc1_1TUlGYVyn_1.jpg.250x182.jpg,浦东,塘桥,港驳小区,52,2室1厅1卫,南,5300,近地铁;随时看房;,高楼层/6层,2020-02-18,,整租,需咨询,5300,0,需咨询,4号线-塘桥-1145m;4号线-塘桥-1145m;4号线-塘桥-1145m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/pc1_1TUlGYVyn_1.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/08edc4e6-330d-40a0-b825-5c20ff46838e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/7973f3a2-7824-48d5-9818-23e816136e10.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/9dbb4bcf-deee-428e-8850-ff09befa46b0.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/54f328e5-17a5-472c-883d-9787d3c773a6.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/c936777d-702a-4892-b065-58989ecf2336.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a721a4ae-ce5f-4565-805b-5179bf3bc404.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/standard_b1b33f66-5eb9-4c92-9db8-f66b4e6ed99b.png.780x439.jpg;,【房源亮点】精装修，采光充足，视野宽阔。 小区近地铁6号线蓝村路地铁站，配套齐全，交通便利【装修描述】装修风格好，保养得很好，家具家电齐全，随时起租。小区环境好，生活配套设施齐全，【周边配套】富都广场，巴黎春天，沃尔玛，蓝村路小吃一条街，仁济医院，交通、工商、民生三大银行.
SH2428276295470153728,整租·港驳小区 1室0厅 南,https://image1.ljcdn.com/310000-inspection/675fa7e7-3a9e-46ae-b81f-f67aa6fcadcb.jpg.250x182.jpg,浦东,塘桥,港驳小区,31,1室0厅1卫,南,3800,近地铁;,高楼层/6层,2020-02-25,,整租,需咨询,3800,0,需咨询,4号线-塘桥-1145m;4号线-塘桥-1145m;4号线-塘桥-1145m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/675fa7e7-3a9e-46ae-b81f-f67aa6fcadcb.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e266b107-e8c7-4af1-b862-d4311707cfcb.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/8180aef8-391f-4b22-bccd-5074256cda16.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/ca6f6108-8f66-43cb-aa13-b0ab644a929e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/dde0594c-61f6-412d-9bf3-14135fbba5fe.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/0d912a2e-e5d8-4b4a-b35d-dfb57895f603.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/c53f5e22-150c-46c3-8d62-b2404cc03abe.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/7b76cf73-30c4-418c-a8bc-fbf26a0a4fa4.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/cbcc54a0-4dc2-4276-b7a1-6585fa22b821.jpg.780x439.jpg;,【装修描述】业主诚意出租，装修风格好，保养得很好，家具家电齐全，随时起租。小区环境好，生活配套设施齐全【交通出行】小区近地铁6号线蓝村路地铁站，配套齐全，交通便利，居家上班都不错的选择【周边配套】富都广场，巴黎春天，沃尔玛，出门即是蓝村路小吃一条街，仁济医院，交通、工商、民生三大银行
SH2461461534665080832,整租·塘桥小区 1室0厅 南,https://image1.ljcdn.com/110000-inspection/a8e6092d-0ae2-455c-84b3-f4899076a697.jpg.250x182.jpg,浦东,塘桥,塘桥小区,37,1室0厅1卫,南,4600,新上;近地铁;,高楼层/6层,2020-02-24,,整租,需咨询,4600,0,需咨询,4号线，6号线-蓝村路-757m;4号线，6号线-蓝村路-757m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/110000-inspection/a8e6092d-0ae2-455c-84b3-f4899076a697.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/5c98dbd9-68b8-4f17-bb51-c63ec514d4a3.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/ff2b95b7-2760-4ebb-8a16-66f1dbf0d995.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/8b4b60f0-b703-4f74-b8f2-53e5bf624d8e.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/6efe2ebc-40cd-4b98-84ee-50dc30b80403.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/c40f164d-a182-4268-a6ef-13e5bd90bb50.jpg.780x439.jpg;,
