hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2417314083557605376,整租·鑫港苑 1室1厅 南,https://image1.ljcdn.com/lease-image/house/52fe61bc-7920-474c-83d0-14a09efa8224.jpg.250x182.jpg,浦东,唐镇,鑫港苑,54,1室1厅1卫,南,4600,精装;随时看房;,中楼层/6层,2020-01-20,精装修,整租,季付,4600,0,2300,,False,True,False,True,True,False,True,False,True,False,暂无数据,民电,自采暖,暂无数据,随时可看,随时入住,False,民水,True,https://image1.ljcdn.com/lease-image/house/52fe61bc-7920-474c-83d0-14a09efa8224.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/42c2a508-302d-4fd7-9de9-8f2696afbc26.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/e765bdce-56fa-4d71-89f4-73fd44519d65.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/baeddb29-9d9b-45be-9fd3-e3db85c29aae.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/df2e5df6-7fd3-4ecf-9f89-773222c0e9bf.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/22b29c9c-1361-42ca-af7b-d85a055ad12a.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/9a49844a-24d6-494c-8ee8-f43abe5a9dfe.jpg.780x439.jpg;,【房源亮点】一房精装，配套设施齐全，采光好，通风好，楼层好，民用水电，出行方便【交通出行】小区近2号线唐镇站，9号线民雷路站，公交有991，636，浦东2路，出行方便【周边配套】小区门口恒生广场，近金枫公园，500米王港公园，餐饮娱乐设施齐全，KTV，  KFC
SH2406298332830892032,整租·培元新苑 2室1厅 南/北,https://image1.ljcdn.com/lease-image/house/e5941e66-33a4-4c20-b11d-46605bb36a83.jpg.250x182.jpg,浦东,唐镇,培元新苑,77,2室1厅1卫,南/北,6000,近地铁;精装;随时看房;,高楼层/17层,2019-12-20,精装修,整租,季付,6000,0,3000,2号线-创新中路-252m;,False,True,True,True,True,False,True,False,True,False,暂无数据,暂无数据,暂无数据,暂无数据,随时可看,随时入住,False,暂无数据,False,https://image1.ljcdn.com/lease-image/house/ad44ed52-a2c0-4259-b85d-af2f70b82160.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/358be3d0-9c0c-4b80-99be-03b3adbc5577.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/c041ae61-5a3c-424f-bece-f6eb50b3e856.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/e5941e66-33a4-4c20-b11d-46605bb36a83.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/77f31379-3d9b-4ef2-b63f-1514e241f576.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/978d5209-23e2-4ad9-84c6-da3afb51e775.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/192c0fbd-42ec-404a-abdc-388f53499621.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/ce51e790-c876-4db2-aaad-892e150f9617.jpg.780x439.jpg;,【户型介绍】楼间距很大，户型周正合理，采光充足，客厅宽敞舒适，厨房宽敞。【装修描述】房子装修的很好，家具家电齐全，风格清雅别致，南北通透。是居家，合租的不错选择。【小区介绍】位于地段很好，交通便利，小区配套完善，有医院，卖场，菜市场。
SH2461562523154128896,整租·毕加索小镇(一期)(公寓) 1室1厅 南,https://image1.ljcdn.com/310000-inspection/56addd42-8fa3-44bc-a480-123adec58e20.jpg.250x182.jpg,浦东,唐镇,毕加索小镇(一期)(公寓),60,1室1厅1卫,南,3700,新上;,中楼层/8层,2020-02-22,,整租,需咨询,3700,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,True,民水,True,https://image1.ljcdn.com/310000-inspection/b772d611-658d-4ae8-9b56-6802d39e8918.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/56addd42-8fa3-44bc-a480-123adec58e20.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/ccb35e31-2cbc-4c0c-8ddf-98cfae80c831.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/962f33e5-c1dc-44c2-aee7-86601ebb6d38.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f921d371-e230-40ad-a731-461beab73023.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/46ef51d2-fa3a-40b6-aea3-fc69cf6d5445.png.780x439.jpg;,
SH2399911712603521024,整租·宏伟新村 2室1厅 南,https://image1.ljcdn.com/310000-inspection/7724e4e2-1703-4d0a-923d-697e64c84563.jpg.250x182.jpg,浦东,唐镇,宏伟新村,66,2室1厅1卫,南,3500,,高楼层/6层,2020-02-21,,整租,需咨询,3500,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/5e46b20f-3bff-478a-96cb-4a03398c0d63.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/77b8fabb-3082-4b34-b1e4-c276c94bbc03.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/7724e4e2-1703-4d0a-923d-697e64c84563.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/76f7532d-00c1-4acb-ae68-5ccd5729378e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/ef7cca0a-a8a6-4708-a6ac-97643d260284.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/aa3417ac-4d0e-468e-b5f6-ac09e84109b8.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f3f5daef-619b-403e-8637-67b6ddaac68f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b0d363b4-341b-48a2-956f-1b70a8d18013.jpg.780x439.jpg;,【房源亮点】两房，简装，配套设施齐全，通风好，采光好，上下楼方便，民用水电【交通出行】房源近地铁2号线唐镇站，公交991，636，浦东2路，浦东20路都可到达唐镇地铁站，交通方便【周边配套】近恒生广场，近金枫公园，500米王港公园，餐饮娱乐设施齐全，KTV，肯德基，星巴克等
SH2407280084844019712,整租·保利金色唐城 1室1厅 南,https://image1.ljcdn.com/310000-inspection/prod-795c61c7-7c3c-422f-884e-447a415c757c.jpg.250x182.jpg,浦东,唐镇,保利金色唐城,60,1室1厅1卫,南,3500,随时看房;,中楼层/5层,2020-02-19,,整租,需咨询,3500,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/prod-a39d4a7a-de71-4c8f-b204-7e617da267d6.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-795c61c7-7c3c-422f-884e-447a415c757c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-d486bb6b-7295-4e56-bb9e-78b697b44db1.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-f8ba575a-4ab1-485c-8df2-89bf59417078.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-406b22cf-3f10-4964-8b2d-e1d350865df5.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/prod-d984888b-a51e-4013-908a-c9e2b56d8c26.png.780x439.jpg;,
SH2434640706380505088,整租·虹盛小区 1室1厅 东南,https://image1.ljcdn.com/310000-inspection/pc1_marcNnGOf_1.jpg.250x182.jpg,浦东,唐镇,虹盛小区,51,1室1厅1卫,东南,3200,,高楼层/6层,2020-02-22,,整租,季付,3200,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,2年以内,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/pc1_marcNnGOf_1.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/3ddb458c-31be-4114-a311-8f19e22f5833.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/6b61c34b-de3d-4739-9d6f-da264881dba2.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/518784fc-bafe-44dd-930a-5f97ef7959ab.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/2d15a8de-e76f-47a8-953a-3173c39a5d1a.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/standard_20968b05-3358-4cca-b3db-36e98df24c26.png.780x439.jpg;,【房源亮点】一房，简装，配套设施齐全，通风好，采光好，上下楼方便，民用水电【交通出行】旁边公交线路多，636路、1039路、沪川线、浦东48等，交通便利【周边配套】小区近恒生广场，近金枫公园，王港公园，餐饮娱乐设施齐全，KTV，肯德基，星巴克等
SH2461352343376510976,整租·唐丰苑 2室1厅 南,https://image1.ljcdn.com/110000-inspection/9730cbebb6d379f3e5b5bec7f0c92a0b.jpg.250x182.jpg,浦东,唐镇,唐丰苑,77,2室1厅1卫,南,4800,新上;随时看房;,高楼层/14层,2020-02-23,,整租,需咨询,4800,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,True,民水,True,https://image1.ljcdn.com/110000-inspection/9730cbebb6d379f3e5b5bec7f0c92a0b.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/e4c8e133b73cfc23efab6f0b3fc6aeb9.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/c57520550022dbf273029cc22683f6cd.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/5edab97cd909b386ab90ae0137e0219c.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/3d19cf6cc14326dce2a2f1512cf28554.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/5ec567d829bd77190d5fbfdcc3053c3e.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/464e922230f3b8eb57ca5b35a63e7d74.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/ecba2c794f3709d269b8e8fe0bd24ba9.jpg.780x439.jpg;,
SH2459352963933028352,整租·绿波城 2室2厅 南,https://image1.ljcdn.com/310000-inspection/c4cc4fe5-1e3a-4f12-b0fc-9544038eb9eb.jpg.250x182.jpg,浦东,唐镇,绿波城,91,2室2厅1卫,南,5300,近地铁;,低楼层/6层,2020-02-24,,整租,需咨询,5300,0,需咨询,2号线-创新中路-1037m;2号线-创新中路-1037m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,2020-03-10,False,民水,True,https://image1.ljcdn.com/310000-inspection/a8e5abc3-fc0f-4eeb-bb4b-9e3f15339be0.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/d02668b8-6a9e-4b60-ae59-78534fac1dcd.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/c4cc4fe5-1e3a-4f12-b0fc-9544038eb9eb.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/96c10bfd-19dc-47ce-b3f8-e93c0ce37b7e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/dc4bb6f6-9d31-4990-9de8-d4561ad7784f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/ddd9e0fa-4512-4dfd-b439-11498d84a5c2.jpg.780x439.jpg;,【房源亮点】精装修，面积大，家具家电齐全，一家人或者朋友合租都很合适。【装修描述】房子是原始户型。用的都是自己居住的材料，气氛温馨，适合居家人士和情侣入住。【交通出行】公交：创新中路有张江1路公交，浦东2路公交。齐爱路这里有1099路公交，一站就直到唐镇地铁站。【周边配套】银行：建设银行；中国工商银行；浦发银行；上海农商银行；邮政储蓄银行；农业银行。 商场：阳光天地，恒生广场，金瑟年华广场； 酒店：世际皇廷酒店，华美达酒店。 医院；曙光医院，川沙人民医院。
SH2463023328135757824,整租·齐友佳苑 3室1厅 南,https://image1.ljcdn.com/310000-inspection/e82805af-8787-45ca-8e68-09b4b4806bdf.jpg.250x182.jpg,浦东,唐镇,齐友佳苑,85,3室1厅1卫,南,5200,新上;,高楼层/14层,2020-02-25,,整租,需咨询,5200,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,True,民水,True,https://image1.ljcdn.com/310000-inspection/7378317e-4e0a-4732-a627-863bfa8320e1.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/3cdb26f3-bdf4-4c7d-a261-1b5daf603ce9.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e82805af-8787-45ca-8e68-09b4b4806bdf.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b7ccbcd5-45e6-43dc-b878-0791065d2cde.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/d1dba9f7-7749-4067-91ba-671490915243.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/961fea6d-7a32-40bc-b225-2a6cb1cbc519.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/d533c708-cf62-4b10-a566-f8deaaa35db3.jpg.780x439.jpg;,
SH2405834253016506368,整租·星纪元 1室1厅 南,https://image1.ljcdn.com/310000-inspection/5cdcb11d-c9b2-4ae2-8977-2a2f31c7ab30.jpg.250x182.jpg,浦东,唐镇,星纪元,76,1室1厅1卫,南,5400,近地铁;,高楼层/11层,2020-02-20,,整租,需咨询,5400,0,需咨询,2号线-唐镇-775m;,False,False,False,False,False,False,False,False,False,False,暂无数据,暂无数据,暂无数据,暂无数据,需提前预约,随时入住,True,暂无数据,False,https://image1.ljcdn.com/310000-inspection/39d0fd4f-83fa-434a-a66d-82a53ccc79bc.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/408330d7-229c-415c-9c25-13be3d0053a3.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/cee7da62-29d8-4779-b8d6-65fc6eb7c8eb.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/ed58d592-1ab4-4b27-a2ba-8f6196e02253.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/5cdcb11d-c9b2-4ae2-8977-2a2f31c7ab30.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/ce9da826-231d-43a1-9f8b-428e0506594d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/7e24da3d-0b10-46bd-8d22-93d0a8d5722b.jpg.780x439.jpg;,【房源亮点】唐镇地铁站房源，配套齐全，交通出行方便，楼层位置好，采光好，马路前面盒马生鲜，恒生万鹂广场，电影院，阳光天地。【装修描述】独立卫浴，装修精致，简洁大方，经典家庭风格，空气清新，适合家居。【小区介绍】靠唐镇地铁站，位于高科东路555弄。距离唐镇地铁站700米，小区2017年建成，共计266户，板塔结合，两层户型，空间大，舒适。
