hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2388385372666609664,整租·高盛家园 1室1厅 南,https://image1.ljcdn.com/310000-inspection/cc12fd8a-0d8b-4a61-8963-c4b41645d264.jpg.250x182.jpg,浦东,外高桥,高盛家园,58,1室1厅1卫,南,1500,随时看房;,高楼层/15层,2020-02-21,,整租,季付,1500,0,需咨询,,False,False,False,False,False,False,True,False,True,True,暂无数据,民电,暂无数据,1年以内,需提前预约,随时入住,True,民水,False,https://image1.ljcdn.com/310000-inspection/cc12fd8a-0d8b-4a61-8963-c4b41645d264.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/49d78151-f377-4774-81b9-cf257c7ccec5.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/755e3a55-5840-415a-ac47-881f22d5dd7e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/3b8c5875-34a2-4ef3-aa79-3e1167788f19.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/819c71ba-53f4-407e-b481-bc05c4fef570.jpg.780x439.jpg;,【装修描述】毛坯及简单装修，有天然气，卫生间基础配套，床和衣柜也有，也可清空【交通出行】公交：浦东45路高攀路凌创路和883路公交康悦路凌创路，交通便利【出租原因】房子属于阁楼，上个租客要搬走，房东想重新把房子出租掉，诚意出租
SH2432384658710216704,整租·高桥一村 1室0厅 南,https://image1.ljcdn.com/310000-inspection/pc1_xLLhdZtEx_1.jpg.250x182.jpg,浦东,外高桥,高桥一村,33,1室0厅1卫,南,2000,近地铁;随时看房;,低楼层/6层,2020-02-23,,整租,季付,2000,0,需咨询,6号线-港城路-1116m;,True,True,True,True,True,False,True,False,True,True,暂无数据,民电,自采暖,1年以内,需提前预约,2020-02-29,False,民水,True,https://image1.ljcdn.com/310000-inspection/pc1_xLLhdZtEx_1.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/0ec2a7c4-0b98-4416-a433-26e1d47dc90a.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/d29615bb-92f8-44dd-a0cb-68c0c7c1648e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/16b906b8-137d-451a-bf41-6e5db4a2d933.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/215085dd-b35b-4f98-ba12-ce8adbe2282e.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/standard_d1020a60-1483-4298-b24d-7ca09bdfa5c3.png.780x439.jpg;,【交通出行】公交351、611、640、793、815、81、936；轨道交通 航津路站(6号线)。【周边配套】学 校：小博士幼 儿 园、明日之星幼儿 园、 高桥实验小 学、上海师范大 学附属中 学、高桥中 学、保税区实验小 学 、高桥职业技术学 校 商场：农工商超市、世纪联华 医院：市七医院、新侨医院 银行：中国农业银行、中国工商银行。【小区介绍】小区位于外高桥，近6号线港城路地铁站，出行方便，小区内环境优美适宜居住
SH2462307099741528064,整租·富特四村 1室1厅 南,https://image1.ljcdn.com/110000-inspection/eaae58ec-e285-4e93-b8d0-4d7c0deee50d.jpg.250x182.jpg,浦东,外高桥,富特四村,45,1室1厅1卫,南,3200,新上;近地铁;精装;,中楼层/6层,2020-02-25,精装修,整租,季付,3200,0,需咨询,6号线-航津路-811m;6号线-航津路-811m;,True,True,True,True,True,False,True,False,True,True,暂无数据,民电,暂无数据,1年以内,需提前预约,2020-03-01,False,民水,True,https://image1.ljcdn.com/110000-inspection/48957418-9eaf-44f9-90fc-88a74a6b2ba6.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/3938b002-5267-4622-b776-108457583f83.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/eaae58ec-e285-4e93-b8d0-4d7c0deee50d.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/61f08fe4-c5a6-441d-8c9b-8a8fbc253563.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/06744e5e-767f-43e8-b181-4f196966b7de.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/af35559e-4e5c-4901-8073-bd1159828faf.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/cc033172-6bf3-47c2-931b-f8b2d82afd2c.png.780x439.jpg;,【交通出行】地铁：距6号线保税区北站1km步行15分 钟骑车5分 钟，距航津路地铁站840m步行12分 钟骑行4分 钟，距港城路地铁站2.1km步行29分 钟骑车34分 钟（百度地图）公交351路、611路、640路、793路、815路、81路等【周边配套】幼儿园：明日之星幼儿园、小博士幼儿园等。中小 学：高桥镇小 学、高桥中 学、上海师范大学附属中 学等。近：第七人民医院、三联商场、农工商超市、天美购物广场、和龙农贸市场、高桥港城绿地。【小区介绍】小区近地铁位置是很好的黄 金地 段，在浦东新区季景路19弄，主要是1室户和2室户，由上海外高桥保税区联合发展有限公司在1993年建成，物业费0.55元/平/月，共1308户，配有120个停车位，周 边配套比较成熟，生活十分方便宜居。
SH2417316424415715328,整租·港城新苑 2室1厅 南,https://image1.ljcdn.com/310000-inspection/6344db40-547b-4d87-b7ab-efb2d47f3f4e.jpg.250x182.jpg,浦东,外高桥,港城新苑,55,2室1厅1卫,南,3500,月租;近地铁;随时看房;,高楼层/6层,2020-02-21,,整租,季付,3500,0,需咨询,6号线-外高桥保税区北-768m;6号线-外高桥保税区北-768m;,True,True,True,True,True,False,True,False,True,True,暂无数据,民电,暂无数据,1~3个月,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/6344db40-547b-4d87-b7ab-efb2d47f3f4e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/ce6c2a11-6c84-4517-9c27-5a65726584fc.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b2049935-bb06-4240-a311-b635aaae18ed.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/9c7d2191-cd77-4835-9ca8-ad7aea2aea70.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/60d00224-50ef-417f-8063-1d163741da58.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/standard_0ce98d13-77d2-40e0-a416-16a5478641d9.png.780x439.jpg;,【房源亮点】可短租，业主诚意，表示短租的价格更加优惠，租期不长的客户可以考虑一下【户型介绍】房子是顶楼带阁楼的，使用面积大大超过产证面积，一房可当两房使用【交通出行】近地铁6号线，门口有公交站牌，近公交总站，40min可到世纪大道【出租原因】房子整洁干净，高楼层阳光透亮，房屋空置因此出租。希望找爱护房子的租客【周边配套】近地铁六号线，港城路站 近高桥公交车总站 出行方便 近有和龙菜市场 高桥公园 市七医院.【小区介绍】港城新苑是2007年的次新房，距离地铁六号线十号线步行600米，
SH2432517303943315456,整租·富特四村 2室1厅 南,https://image1.ljcdn.com/310000-inspection/be615c11-44f8-4e03-98f1-e4d8b0a8c519.jpg.250x182.jpg,浦东,外高桥,富特四村,59,2室1厅1卫,南,3500,近地铁;,中楼层/6层,2020-02-25,,整租,季付,3500,0,需咨询,6号线-航津路-811m;6号线-航津路-811m;,True,True,True,True,True,False,True,False,True,True,暂无数据,民电,暂无数据,1年以内,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/9b123d02-de6e-4e51-a63e-df3d08aa0f51.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/be615c11-44f8-4e03-98f1-e4d8b0a8c519.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/12488d1a-8bc8-47ac-99b3-83094f87a5bb.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e91cf0f7-591f-4c18-a0cd-755e8bf69456.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/5c3271ef-1078-474e-8687-723bcb431608.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a325df21-739a-432b-9fa0-6d6b9610cd99.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/062351fd-baa2-4333-b4bd-172e49ea25cb.png.780x439.jpg;,【交通出行】公交351、611、640、793、815、81、936；轨道交通 航津路站(6号线)。【周边配套】学 校：小博士幼 儿 园、明日之星幼儿 园、 高桥实验小 学、上海师范大 学附属中 学、高桥中 学、保税区实验小 学 、高桥职业技术学 校 商场：农工商超市、世纪联华 医院：市七医院、新侨医院 银行：中国农业银行、中国工商银行。【小区介绍】小区位于外高桥，近6号线航津路地铁站，出行方便，小区内环境优美适宜居住。
SH2432549006077853696,整租·品臻国际公寓 1室1厅 南,https://image1.ljcdn.com/310000-inspection/a8e2f50a-f13c-40a2-bc7d-076c2e9b94b9.jpg.250x182.jpg,浦东,外高桥,品臻国际公寓,55,1室1厅1卫,南,3600,近地铁;随时看房;,低楼层/19层,2020-02-25,,整租,季付,3600,0,需咨询,6号线-外高桥保税区北-394m;,True,True,True,True,False,False,True,False,True,True,暂无数据,民电,暂无数据,1年以内,需提前预约,随时入住,True,民水,False,https://image1.ljcdn.com/310000-inspection/dc4994c8-4dd6-42cd-89b7-8a9a88212ac2.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/26991238-a30e-45a7-8871-067e499f95de.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/cb11f1f4-af84-4e1c-87e9-b92e332caf16.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a8e2f50a-f13c-40a2-bc7d-076c2e9b94b9.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/32057812-083c-4448-a5f5-6da489ebfa71.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/381b97b0-9b78-47c5-bea3-62fa07e764fb.png.780x439.jpg;,【交通出行】公交泰高线、611路、996路、971路、外高桥3路，轨道6号线。【周边配套】学，校（半径1.5公里内）： 小浜路幼儿园、57322部队幼儿园、潼江幼儿园(上海市示范幼儿园，在小区内)、上炼三村幼儿园、学前小、学、高桥中、学、育民中、学（高中）、高桥镇小、学等。【小区介绍】小区环境优化，繁华地段，品质小区，配套成熟..处于外高桥繁华地带，有超市，市民广场。
SH2437485222989152256,整租·富特五村 1室1厅 南,https://image1.ljcdn.com/110000-inspection/1cf3f1c7-816c-4e43-a26c-796582d12417.jpg.250x182.jpg,浦东,外高桥,富特五村,0,,,3000,精装;随时看房;,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,,,,,,,False,,False,,
SH2454928513078673408,整租·陆凌新村 2室1厅 南,https://image1.ljcdn.com/110000-inspection/256a75c0-a8a0-4b61-9b8e-3eb249d38dc6.jpg.250x182.jpg,浦东,外高桥,陆凌新村,70,2室1厅1卫,南,3500,随时看房;,中楼层/6层,2020-02-24,,整租,需咨询,3500,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/110000-inspection/256a75c0-a8a0-4b61-9b8e-3eb249d38dc6.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/40386e53-2e0c-4643-806f-07d7657fd639.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/a00d5c4c-879b-45a3-879e-7e29fe0c3c0c.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/fb66aae7-d5ea-4acf-8289-0179d199779c.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/6b681dd7-6eae-485e-8df4-3540b8cb5aaf.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/cd27f00b-9c6f-4ac5-a05b-7163121d5de5.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/4ce7e5d9-a9a3-4450-abf5-6f87dc3bbf16.jpg.780x439.jpg;,
SH2409980733126361088,整租·上炼三村 3室1厅 南,https://image1.ljcdn.com/310000-inspection/7dafe976-90bc-4a76-9416-bd2dd024b767.jpg.250x182.jpg,浦东,外高桥,上炼三村,56,3室1厅1卫,南,3500,,高楼层/6层,2020-02-24,,整租,季付,3500,0,需咨询,,True,True,True,True,True,False,True,True,True,True,暂无数据,民电,暂无数据,3年以内,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/fd6c3b65-e33b-483e-be31-ce3dabbb734c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/7dafe976-90bc-4a76-9416-bd2dd024b767.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/08f7c0ad-1ab2-4400-8cd3-08a5062afdb1.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/07ad2832-e227-475b-8017-2c798d2e41f2.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/848a518f-462b-49e6-a1d7-4b357c211773.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/17541f95-a1e3-46a6-9296-3a6cec95f100.jpg.780x439.jpg;,【交通出行】公交： 602路、968路、971路、640路、81路、高中线、996路、962路、793路、313路【周边配套】学、校： 潼江幼儿园、高桥镇中小、学 潼港小、学、上海市育民中、学、上海浦东新区民进进修学、校 购物： 世纪联华 、世纪联华和龙名品家具城 医院： 上海市第七人民医院新侨医院 邮局： 国邮政高桥邮政支局(浦东新区川沙分局【小区介绍】住宅类别：普通住宅 所在区域：浦东 高桥 容 积 率：1.90 建筑年代：1998-01-01 物 业 费：0.35元/平方米·月 物业公司：上炼物业
SH2402129266738200576,整租·潼港三村 1室1厅 南,https://image1.ljcdn.com/310000-inspection/52b72d56-91bd-4428-bec4-9121f910bfbe.jpg.250x182.jpg,浦东,外高桥,潼港三村,37,1室1厅1卫,南,2300,,高楼层/6层,2020-02-22,,整租,季付,2300,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,1年以内,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/52b72d56-91bd-4428-bec4-9121f910bfbe.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/523ca835-7b1d-4ad2-ad31-9eaf042fe4c4.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a921abe4-bbad-48a1-ab2b-5427d2769a56.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/acaf6c93-4bea-436d-9613-26e4b83aebe1.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/8faa7320-026d-444f-89f8-419cad5bc2cf.jpg.780x439.jpg;,【装修描述】纯毛坯的一居室，小区由上海潼港置业有限公司于1994年建成，楼栋总数为89栋，房屋总数为1002户，绿化为40%，容积、率为1.8【交通出行】地铁：六号线保税区北站和港城路站 交通： 公交：滨江公园线、81路、313路、815路、971路、611路、453路、815 地铁：港城路站(地铁6号线，已建成)，地铁十号线延伸段（未建成）【周边配套】学，校（半径1.5公里内）： 小浜路幼儿园、57322部队幼儿园、潼江幼儿园(上海市示范幼儿园，在小区内)、上炼三村幼儿园、学前小，学、高桥中，学育民中，学（高中），上海师范大学附属中，学（重，点初中）
