hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2242445391482601472,整租·凯德新视界(二期) 2室1厅 南,https://image1.ljcdn.com/310000-inspection/test-b25384b5-09ab-41d3-9c6a-484eb3abb20a.png.250x182.jpg,浦东,万祥镇,凯德新视界(二期),88,2室1厅1卫,南,1000,,中楼层/18层,2020-01-16,,整租,需咨询,1000,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,True,民水,False,https://image1.ljcdn.com/310000-inspection/test-cc980cbe-ce25-4c92-8831-440f031c9bc5.png.780x439.jpg;https://image1.ljcdn.com/310000-inspection/test-112faf54-e3d5-4061-833c-f306089444b5.png.780x439.jpg;https://image1.ljcdn.com/310000-inspection/test-b25384b5-09ab-41d3-9c6a-484eb3abb20a.png.780x439.jpg;https://image1.ljcdn.com/310000-inspection/test-722c4dae-6201-4433-b9e5-2b30d6eeb84e.png.780x439.jpg;https://image1.ljcdn.com/310000-inspection/test-9a900b65-fafc-40f8-a90b-b35e20fa2a5e.png.780x439.jpg;https://image1.ljcdn.com/310000-inspection/test-5c2a5808-d2ef-4984-91c2-16626c7e8ee3.png.780x439.jpg;https://image1.ljcdn.com/hdic-frame/test-8e9a9ffb-9bbf-43e4-b1fb-fdf7c3a20dfc.png.780x439.jpg;,
SH2407690414325760000,整租·万祥兴隆苑 2室2厅 南,https://image1.ljcdn.com/310000-inspection/983f14f1-0836-4d22-a2a1-f5c589a91d83.jpg.250x182.jpg,浦东,万祥镇,万祥兴隆苑,85,2室2厅1卫,南,1000,,中楼层/5层,2020-02-22,,整租,需咨询,1000,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/6761d832-0ed6-4995-9283-3af6d0eec312.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/96cc31de-ecdf-4354-8fa9-3efb61ea64e9.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/983f14f1-0836-4d22-a2a1-f5c589a91d83.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/8e17ab74-52cb-463b-8210-6cdbe7940047.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f8201c43-78aa-4b59-afc5-01ac34e8fa72.png.780x439.jpg;https://image1.ljcdn.com/310000-inspection/de2bac4a-6f5e-424e-af04-cb65478f90f5.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/31bbd0fb-602a-4fa6-9ac4-c75e0bdc2dcf.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/prod-43e93390-2150-4da2-9bb8-4bf09034cc10.png.780x439.jpg;,
SH2298490515911344128,整租·天健萃园 3室2厅 南/北,https://image1.ljcdn.com/310000-inspection/254af179-cf19-4e14-a992-ffec520f3e1c.jpg.250x182.jpg,浦东,万祥镇,天健萃园,91,3室2厅1卫,南/北,2000,,高楼层/15层,2020-01-15,,整租,季付,2000,0,需咨询,,True,True,True,True,True,False,True,False,True,True,暂无数据,暂无数据,暂无数据,暂无数据,需提前预约,随时入住,False,暂无数据,False,https://image1.ljcdn.com/310000-inspection/82322a2c-9402-4165-9ca9-1a7b5473e72b.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/6b0444b8-a590-4d28-8c3a-524131a9de93.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/254af179-cf19-4e14-a992-ffec520f3e1c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/79173dc3-eaa1-403b-8757-4cad71433b71.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/9873978b-0acc-4c5c-af0e-1eb541f91b5a.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/170a66e4-7a02-45a3-922d-a86ec3af1e01.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/5a33de06-6774-4919-ab73-35c4ce8217e5.jpg.780x439.jpg;,
SH2315213125445754880,整租·凯德新视界(一期) 2室1厅 南/北,https://image1.ljcdn.com/310000-inspection/445405a7-a092-4da5-8c29-0d6f2149903b.png.250x182.jpg,浦东,万祥镇,凯德新视界(一期),84,2室1厅1卫,南/北,1900,精装;,低楼层/12层,2020-02-01,精装修,整租,季付,1900,0,需咨询,,True,True,True,True,True,False,True,True,True,True,暂无数据,民电,暂无数据,2年以内,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/177da41d-7df3-402a-971d-3b46a81f8fb4.png.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f2978968-ff8b-44eb-a639-c98195819328.png.780x439.jpg;https://image1.ljcdn.com/310000-inspection/c310c177-8c60-4412-96a8-528457d66202.png.780x439.jpg;https://image1.ljcdn.com/310000-inspection/445405a7-a092-4da5-8c29-0d6f2149903b.png.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a60db206-29a7-48b7-9ec5-eeac9a2a9086.png.780x439.jpg;https://image1.ljcdn.com/310000-inspection/8beb020c-b43e-4031-b6c0-0512458a5274.png.780x439.jpg;https://image1.ljcdn.com/310000-inspection/de72f0b1-4988-40fa-ba0b-bbb3aa005d34.png.780x439.jpg;https://image1.ljcdn.com/310000-inspection/eba67e43-e278-426c-8c79-67d31765cc67.png.780x439.jpg;https://image1.ljcdn.com/hdic-frame/3a637915-1d4b-4d45-a3bf-e9b79e13f400.png.780x439.jpg;,【房源亮点】精装修交付，家具家电空调，冰箱，热水器，沙发，餐桌椅等。房子原本业主自住，置换后空置出来想要出租。房东人好好说话，诚意出租。物业费房东付，价格可商量。欢迎看房【交通出行】1.交通：距离16号线书院站约3公里，有短驳车1112至地铁站，公交有龙东专线、芦杜专线、浦东7路、万祥2路，六院专线，小区到地铁站定点班车等。该小区位于郊环以外，自驾可经由沪芦高速、郊环等方便直达市内各区域；【周边配套】2.超市：有联华生活馆、如海超市、农工商超市，多客来等满足基本生活购物需求；3.医疗：六院专线直达上海市第六人民医院东院，光明中医医院
SH2371522633079455744,整租·同润金色橘苑 3室2厅 南,https://image1.ljcdn.com/310000-inspection/67401d18-3af3-4d7b-881a-cff34ec3cccc.jpg.250x182.jpg,浦东,万祥镇,同润金色橘苑,90,3室2厅1卫,南,2000,,中楼层/11层,2020-01-10,,整租,季付,2000,0,需咨询,4号线，6号线-蓝村路-1174m;4号线，6号线-蓝村路-1174m;,True,True,True,True,True,False,True,False,True,True,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/67401d18-3af3-4d7b-881a-cff34ec3cccc.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/bc4b48f2-adea-4911-9636-ed01b22abfd0.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/7078158f-b267-4642-913d-8ee6dfdf258d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a081e043-0663-408f-bd72-e9818cf66b5f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/aaa39f9b-c342-4d6b-a0ce-492885254204.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/469d0136-d501-43e0-9fbd-0b7c171efa9d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/25f07cf9-591b-4329-a92b-705724f20b7c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/18fa169d-5274-4ce6-a27a-dee61e236de1.jpg.780x439.jpg;,【房源亮点】房东诚意出租，全新房源，全新家具家电，房东急租，拎包入住！！【交通出行】生活配套齐全！小区门口就是公交站台，出行十分方便，快捷，房屋配套齐全【周边配套】小区门口有店铺，生活便捷，居民素质普遍较高，该房比邻河流，环境好，采光好，小区内有保安24小时巡逻！
SH2133925284058243072,整租·凯德新视界(二期) 3室1厅 南,https://image1.ljcdn.com/310000-inspection/2d62bd0b-4e7f-4f6a-8611-b7fd77f17913.jpg.250x182.jpg,浦东,万祥镇,凯德新视界(二期),119,3室1厅1卫,南,1800,,高楼层/18层,2020-01-06,,整租,需咨询,1800,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/0a3e1d78-45e8-4cad-95fb-36008025ad7e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e89f6050-c0c7-4ab0-9c96-8c61c06fd1da.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/9994331c-4501-4937-b0d8-6e4e7f3d7a35.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/2d62bd0b-4e7f-4f6a-8611-b7fd77f17913.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/9fa0c716-34bf-4cdd-b4d8-413f8b5acfe2.jpg.780x439.jpg;,
SH2409166214288392192,整租·万祥馨苑 3室1厅 南/北,https://image1.ljcdn.com/310000-inspection/86a2d309-dd68-4830-9e61-e36162dc3b8b.jpg.250x182.jpg,浦东,万祥镇,万祥馨苑,121,3室1厅1卫,南/北,2000,,中楼层/11层,2020-02-22,,整租,需咨询,2000,0,需咨询,8号线-大世界-1102m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/60605ed1-af64-4837-99d5-dafaee5380fd.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/71b4f11c-3b7a-46c3-8bfd-4845d00ddee2.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/dce62f18-8dcc-4bac-bb60-e7a409a4025f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/86a2d309-dd68-4830-9e61-e36162dc3b8b.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f76bcecf-f3b7-44dc-8f07-5573cf6e1742.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/64cd01c5-510f-42c7-914c-9c24cff4f65b.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/e3f1f9a4-b2bb-4081-980a-7f45aaeb6bad.png.780x439.jpg;,
SH2431789745886732288,整租·天健萃园 3室1厅 南,https://image1.ljcdn.com/310000-inspection/4c04d472-3b73-49be-b3bf-91e6e81cdb01.jpg.250x182.jpg,浦东,万祥镇,天健萃园,94,3室1厅1卫,南,2600,,高楼层/2层,2020-02-24,,整租,需咨询,2600,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,暂无数据,暂无数据,暂无数据,需提前预约,随时入住,False,暂无数据,False,https://image1.ljcdn.com/310000-inspection/a61a730e-ba08-47e4-90e9-cbee14b0726a.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b4d4f643-9e7e-420f-a7d3-b7aba39e5669.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a6e251fa-4ab0-47b9-8dc6-cb90588b78e4.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/973d2efd-3b8d-47db-ae95-da4befe84cfc.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/4c04d472-3b73-49be-b3bf-91e6e81cdb01.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/fc5bac3b-f375-4145-8ece-5bee69edec84.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/6211b6e8-314b-4a5a-869e-4c91145b6912.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/4caa3ab0-7178-422c-b480-c72e45729277.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/2c8b6928-f58a-4c35-84dc-858f0f28c624.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/89aaf636-6c20-4aaf-a40b-24cc8f3ddc75.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f8c68b1e-acf3-4b58-9bb4-ec44a2ea7039.jpg.780x439.jpg;,
SH2298472372728512512,整租·天健萃园 3室2厅 南/北,https://image1.ljcdn.com/310000-inspection/e5ad22ad-cc8d-485b-91bb-52c2a9f9699d.jpg.250x182.jpg,浦东,万祥镇,天健萃园,112,3室2厅2卫,南/北,3000,精装;双卫生间;,中楼层/15层,2020-02-22,精装修,整租,季付,3000,0,需咨询,,False,True,True,True,True,False,True,False,True,True,暂无数据,民电,暂无数据,2年以内,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/e5ad22ad-cc8d-485b-91bb-52c2a9f9699d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/7e4948d8-107a-4a8a-9955-788de3301f2e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/6f887904-b06d-480f-9c5f-b70b776236ab.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/c3ffd5a7-e4dd-44f9-b65a-16ff28fa517e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/85e48d81-bb42-4ea4-a15b-8c9a5576866c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/d2ed7845-c139-4521-8902-6d233b46d265.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/0d569a89-fabd-4938-93c4-180afc673bd4.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a83848f0-2869-482e-810a-bb18ef899fd5.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/09caf05e-bc60-41a8-85c2-de3e095e49a7.jpg.780x439.jpg;,
SH2323178245845164032,整租·凯德新视界(二期) 3室2厅 南,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20200218110553137,浦东,万祥镇,凯德新视界(二期),120,3室2厅2卫,南,1000,双卫生间;,中楼层/18层,2019-12-09,,整租,需咨询,1000,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,True,民水,False,,
