hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2462351753501483008,整租·潍坊三村 1室0厅 南,https://image1.ljcdn.com/310000-inspection/pc1_LnVAa4Kv1_1.jpg.250x182.jpg,浦东,潍坊,潍坊三村,28,1室0厅1卫,南,3300,新上;近地铁;随时看房;,低楼层/5层,2020-02-22,,整租,需咨询,3300,0,需咨询,2号线-东昌路-1160m;2号线-东昌路-1160m;2号线-东昌路-1160m;2号线-东昌路-1160m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/0c94aa3f-5cdf-411e-a18f-f8530f0c2063.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/pc1_LnVAa4Kv1_1.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/6bf4ecb1-1797-4155-80a7-08eef4196e24.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/2c019d80-ec7d-4659-ac69-cf6900603242.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/standard_a57c3973-ea12-45ec-9813-3e12ff1f37ad.png.780x439.jpg;,
SH2404303357826580480,整租·东建新村 1室1厅 南,https://image1.ljcdn.com/310000-inspection/1b597112-a43f-4ed1-b5e4-8f3fa3ed072e.jpg.250x182.jpg,浦东,潍坊,东建新村,31,1室1厅1卫,南,3700,近地铁;随时看房;,中楼层/6层,2020-02-25,,整租,需咨询,3700,0,需咨询,4号线，6号线-蓝村路-1146m;4号线，6号线-蓝村路-1146m;4号线，6号线-蓝村路-1146m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/822a0eb6-00e8-4841-8723-05a9ff8d0358.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/1b597112-a43f-4ed1-b5e4-8f3fa3ed072e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/d7bc9b39-7281-4721-a4de-20cc17ccb222.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/c11f64d0-262d-4cd9-a2ad-f9a64cd19796.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/dd6de7f9-9552-4be6-8849-fd19900460a5.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/4109c186-203c-4201-97e8-fbfc383a4f16.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/b5f80161-bcf0-4007-8893-9cc67e64f2d8.png.780x439.jpg;,【交通出行】门口就有公交，离地铁2、4、6、9号线世纪大道站800米，4、6号线浦电路站600米，出行方便，走路5mi可到八佰伴【周边配套】小区位于浦电路、南泉路，近浦电路地铁站64号线 周 边生活交通便利，近八佰伴、96广场、美食城 医院：仁济医院、东方医院等【小区介绍】小区内主力楼盘为六层板楼，楼间距大，绿 化率高达30%，出入有保安开门，楼内有门禁卡，靠塘桥公园，休息的时候可以散散心。
SH2461366600201142272,整租·潍坊三村 1室0厅 南,https://image1.ljcdn.com/310000-inspection/dadc382e-0687-463a-ba55-5800c464479d.jpg.250x182.jpg,浦东,潍坊,潍坊三村,33,1室0厅1卫,南,4000,新上;近地铁;,中楼层/5层,2020-02-22,,整租,需咨询,4000,0,需咨询,2号线-东昌路-1160m;2号线-东昌路-1160m;2号线-东昌路-1160m;2号线-东昌路-1160m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/42612ad3-8f93-4368-a4a9-de49053f0bc7.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/dadc382e-0687-463a-ba55-5800c464479d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/9a1e1410-48ce-4191-a9ee-e0e506441996.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/fbbbc6b4-d899-4b8f-847c-97b41a4e13e5.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/77a3b3b0-dd5a-4673-b532-122add44da3f.jpg.780x439.jpg;,【交通出行】离陆家嘴2469世纪大道地铁站近，步行15min可达 离商城路9号线地铁站步行10min可达 离浦电路4，6号线地铁站步行6至10min可达 小区出门就是公交站，992，01，607，82，981，985，818等公交车方便您的出行！【周边配套】交通配套：离陆家嘴2469世纪大道地铁站近，步行15min可达，出小区就是公交站台 医疗配套：仁济医院、东方医院，长航医院等，为您的健康保驾护航 商场：八佰伴 、96广场 、华润时代广场 步行约6min，生活交通便利【小区介绍】该小区位于浦东区陆家嘴商圈，小区环境优美，生活设施齐全，交通便利，适合居民生活。西靠黄浦江，北临小陆家嘴金融区、正大广场、东方明珠塔等金融配套设施，东临地铁二号线、八佰伴、复兴东路隧道、东方医院等
SH2462357268709523456,整租·朱家滩小区 1室1厅 南,https://image1.ljcdn.com/110000-inspection/5fe6ef5f-9246-4d74-81e8-0087ddb8e5f6.jpg.250x182.jpg,浦东,潍坊,朱家滩小区,33,1室1厅1卫,南,3800,新上;近地铁;,中楼层/6层,2020-02-23,,整租,需咨询,3800,0,需咨询,2号线，4号线，6号线，9号线-世纪大道-964m;2号线，4号线，6号线，9号线-世纪大道-964m;2号线，4号线，6号线，9号线-世纪大道-964m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/110000-inspection/5fe6ef5f-9246-4d74-81e8-0087ddb8e5f6.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/ade20f38-563a-44e7-97d2-aa32fed2e85a.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/5fe619ca-bb0b-45e0-b4a7-fb7b29368127.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/57fbc60e-919b-4d8c-b643-bbcd4d6a1448.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/ef7447a6-5d64-4bc3-bdc8-0b480da414cb.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/c9fa90c2-45aa-429e-8b5a-3a4eaad2074e.jpg.780x439.jpg;,
SH2462940280504975360,整租·潍坊十村 1室1厅 南,https://image1.ljcdn.com/110000-inspection/968b6d62-9bdb-4d1e-8845-00b7a1513eda.jpg.250x182.jpg,浦东,潍坊,潍坊十村,38,1室1厅1卫,南,4800,新上;近地铁;,低楼层/6层,2020-02-25,,整租,需咨询,4800,0,需咨询,9号线-商城路-1107m;9号线-商城路-1107m;9号线-商城路-1107m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,2020-03-01,False,民水,True,https://image1.ljcdn.com/110000-inspection/6259f892-4332-47d4-8533-2ac9415372c0.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/5bb598d5-89e3-4473-b3f4-5a6f99d815e5.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/968b6d62-9bdb-4d1e-8845-00b7a1513eda.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/59f81259-b4ec-4eea-bd63-3ac1de24ec21.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/8f2383ee-d5e7-4733-bf14-15cd90930906.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/275698e9-be07-4e80-b966-79a9daaa6b98.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/7204d970-5492-43ea-a8ee-46dcca1c6610.jpg.780x439.jpg;,
SH2462013001100959744,整租·潍坊七村 1室1厅 南,https://image1.ljcdn.com/310000-inspection/5cadacfb-4f5c-4104-b4b5-ff7a9b78ed76.jpg.250x182.jpg,浦东,潍坊,潍坊七村,35,1室1厅1卫,南,4700,新上;近地铁;,高楼层/6层,2020-02-24,,整租,需咨询,4700,0,需咨询,2号线-东昌路-1162m;2号线-东昌路-1162m;2号线-东昌路-1162m;2号线-东昌路-1162m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/2eb81270-a783-4574-9330-f1dfe4760474.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/5cadacfb-4f5c-4104-b4b5-ff7a9b78ed76.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/14f1832c-7f22-4580-a601-eb5fbccfe2c7.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/379218f0-10ef-4eb4-869a-936f7ea049a5.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/5829a383-799c-4d4f-abc4-cd0834adfe59.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/d870570d-6007-4148-b15c-078718a05d97.png.780x439.jpg;,【房源亮点】潍坊六村，近地铁一房，家具家电齐全，拎包入住，出行方便，随时起租【交通出行】门口就有公交，离地铁2、4、6、9号线世纪大道站800米，4、6号线浦电路站600米，出行方便，走路5mi可到八佰伴【周边配套】小区位于浦电路、南泉路，近浦电路地铁站64号线 周 边生活交通便利，近八佰伴、96广场、美食城 医院：仁济医院、东方医院等
SH2462321891608625152,整租·泉东小区 1室1厅 南,https://image1.ljcdn.com/110000-inspection/e847f24d-fd0d-4436-b3f2-83c26e770dc1.jpg.250x182.jpg,浦东,潍坊,泉东小区,32,1室1厅1卫,南,4600,新上;近地铁;,中楼层/6层,2020-02-23,,整租,需咨询,4600,0,需咨询,4号线，6号线-浦电路-1153m;4号线，6号线-浦电路-1153m;4号线，6号线-浦电路-1153m;4号线，6号线-浦电路-1153m;4号线，6号线-浦电路-1153m;4号线，6号线-浦电路-1153m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/110000-inspection/e847f24d-fd0d-4436-b3f2-83c26e770dc1.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/0a2f1dc7-4a93-448d-9363-a68a48631287.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/4842537e-69d2-44d9-9db7-a073abb68108.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/73797761-21d7-465b-a059-e5d8683d0eda.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/5d74252b-0a83-4d81-97b9-24e6614a1a87.jpg.780x439.jpg;,
SH2457892099744333824,整租·潍坊三村 1室1厅 南,https://image1.ljcdn.com/110000-inspection/e37f6b78224a877cc817190bca058875.jpg.250x182.jpg,浦东,潍坊,潍坊三村,45,1室1厅1卫,南,5000,近地铁;,中楼层/5层,2020-02-21,,整租,需咨询,5000,0,需咨询,2号线-东昌路-1160m;2号线-东昌路-1160m;2号线-东昌路-1160m;2号线-东昌路-1160m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/110000-inspection/f0e6079932ef3b3a84a346b3df9f3c84.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/e37f6b78224a877cc817190bca058875.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/12fd9ff2ecdd5127df643f2b9291bfdc.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/08f1df3b3878dcb276fe4c80fa9bb6e6.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/d0639972ef91357a9608dd55d4feaa86.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/9d0df7641e18c039947656ee7b17f238.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/59a6533197e6e091aba713da88f8afa8.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/4b116555cb65c3954376c7e6b957de70.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/ac705578-9dd7-46dc-91b8-2d885231bb09.png.780x439.jpg;,【交通出行】离陆家嘴2469世纪大道地铁站近，步行15min可达 离商城路9号线地铁站步行10min可达 离浦电路4，6号线地铁站步行6至10min可达 小区出门就是公交站，992，01，607，82，981，985，818等公交车方便您的出行！【周边配套】交通配套：离陆家嘴2469世纪大道地铁站近，步行15min可达，出小区就是公交站台 医疗配套：仁济医院、东方医院，长航医院等，为您的健康保驾护航 商场：八佰伴 、96广场 、华润时代广场 步行约6min，生活交通便利【小区介绍】该小区位于浦东区陆家嘴商圈，小区环境优美，生活设施齐全，交通便利，适合居民生活。西靠黄浦江，北临小陆家嘴金融区、正大广场、东方明珠塔等金融配套设施，东临地铁二号线、八佰伴、复兴东路隧道、东方医院等
SH2412290881269792768,整租·潍坊九村 1室1厅 南,https://image1.ljcdn.com/310000-inspection/e34315a1-0e2f-404e-aee8-2de635ee8de3.jpg.250x182.jpg,浦东,潍坊,潍坊九村,39,1室1厅1卫,南,5200,近地铁;,高楼层/6层,2020-02-22,,整租,需咨询,5200,0,需咨询,4号线，6号线-蓝村路-1035m;4号线，6号线-蓝村路-1035m;4号线，6号线-蓝村路-1035m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,只能周末看房,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/e34315a1-0e2f-404e-aee8-2de635ee8de3.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/ac112e8b-7a8a-4875-8a71-6442a844f853.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e9b766c1-0e6d-4b49-ad03-1df9111c4d76.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/3a4bd2f8-1151-4d85-b9ed-38a50c1bcd8f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b573d42a-b0e6-4707-841b-5bb0c3e5b839.jpg.780x439.jpg;,【房源亮点】居家朝南大一房，距离地铁6号线浦电路站440米，家具家电齐全，出小区就是公交站台【周边配套】交通配套：距离地铁6号线浦电路站440米，出小区就是公交站台。方便您的出行！！！ 医疗配套：近长航医院，为您的健康保驾护航！！！ 娱乐配套：近九六广场，八佰伴，巴黎春天，方便您的购物！！【小区介绍】小区内主力楼盘为六层板楼，楼间距大，绿化高达30%，出入有保安开门，楼内有门禁卡，有公园，休息的时候可以散散心
SH2436162038423363584,整租·潍坊三村 1室1厅 南,https://image1.ljcdn.com/310000-inspection/2352572b-bbdf-496c-9483-641ea5036a2e.jpg.250x182.jpg,浦东,潍坊,潍坊三村,33,1室1厅1卫,南,4200,近地铁;随时看房;,低楼层/6层,2020-02-13,,整租,季付,4200,0,需咨询,2号线-东昌路-1160m;2号线-东昌路-1160m;2号线-东昌路-1160m;2号线-东昌路-1160m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/2352572b-bbdf-496c-9483-641ea5036a2e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/8ad00275-37b4-478b-913e-1d3d271976fd.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/8f59cb2b-6679-454d-8bf5-2f126d4ca5d4.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f1a705d3-5c72-4fc8-a829-5922761bcdf1.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b8939f45-7bc5-4c19-aae6-20763dce8682.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e2c5763d-584c-487a-a14c-82d0ef3d6e20.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/844651ee-593a-473d-b242-8ea4a5ac4295.jpg.780x439.jpg;,【房源亮点】绿化高达30%，离塘桥公园近，休息的时候可以散散步 精装一房，价格在潍坊商圈中有优势 小区内主力楼盘为六层板楼，楼间距大，通风通畅【交通出行】离陆家嘴2469世纪大道地铁站近，步行15min可达 离商城路9号线地铁站步行10min可达 离浦电路4，6号线地铁站步行6至10min可达 小区出门就是公交站，992，01，607，82，981，985，818等公交车方便您的出行！【周边配套】交通配套：离陆家嘴2469世纪大道地铁站近，步行15min可达，出小区就是公交站台 医疗配套：仁济医院、东方医院，长航医院等，为您的健康保驾护航 商场：八佰伴 、96广场 、华润时代广场 步行约6min，生活交通便利【小区介绍】该小区位于浦东区陆家嘴商圈，小区环境优美，生活设施齐全，交通便利，适合居民生活。西靠黄浦江，北临小陆家嘴金融区、正大广场、东方明珠塔等金融配套设施，东临地铁二号线、八佰伴、复兴东路隧道、东方医院等
