hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2435963190044540928,整租·古佳苑 1室1厅 南,https://image1.ljcdn.com/310000-inspection/132292ae-054d-4737-9098-b878f6671da0.jpg.250x182.jpg,浦东,新场,古佳苑,60,1室1厅1卫,南,1300,随时看房;,中楼层/5层,2020-02-18,,整租,需咨询,1300,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/132292ae-054d-4737-9098-b878f6671da0.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/6e94688d-2215-496f-bcb2-d8606b59c40e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/abfeb9d3-3595-46a9-9b65-e64505d380f8.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/3e4528f8-b2df-4228-abc8-30533b035a78.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/prod-6330eb93-e62b-4725-a0f5-1717105bba58.png.780x439.jpg;,
SH2427575298574000128,整租·丝庐雅苑(公寓) 2室2厅 南,https://image1.ljcdn.com/310000-inspection/4436c12a-5179-4a2f-9b2d-3d1fa862e3a1.jpg.250x182.jpg,浦东,新场,丝庐雅苑(公寓),88,2室2厅1卫,南,1800,随时看房;,低楼层/21层,2020-01-11,,整租,需咨询,1800,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,True,民水,False,https://image1.ljcdn.com/310000-inspection/ceecea3a-5c09-4f39-b35f-c975aee2e100.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a3b869f6-9fa8-46ad-881e-fcb6627a1ce0.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/4436c12a-5179-4a2f-9b2d-3d1fa862e3a1.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/36bb3f17-2630-4e63-abbd-dd854702daf6.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/2eaa78ce-1669-468e-9ad6-7ab1b8cd1b02.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/de4cd141-4148-4afa-bbb0-3872e971014f.jpg.780x439.jpg;,
SH2373809194353827840,整租·东方冠郡 2室1厅 南,https://image1.ljcdn.com/310000-inspection/9639ac01-cbd8-4354-bdc6-387b09302929.jpg.250x182.jpg,浦东,新场,东方冠郡,70,2室1厅1卫,南,2200,,低楼层/18层,2020-01-10,,整租,需咨询,2200,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,True,民水,True,https://image1.ljcdn.com/310000-inspection/9639ac01-cbd8-4354-bdc6-387b09302929.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/591d6bf2-57f7-4415-8ed3-ffc16af4f937.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/17b7ba51-be8a-4907-8a26-f79ce1a7fa96.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/4f5a2ba9-ae71-4da9-8bb6-4a3a6ae441d0.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/aee109ab-a134-40ac-9ac5-1810c403942a.jpg.780x439.jpg;,
SH2431155568715767808,整租·汇吉苑 2室2厅 南,https://image1.ljcdn.com/310000-inspection/94dd06aa-52cb-4a58-9581-87e0bbf182f2.jpg.250x182.jpg,浦东,新场,汇吉苑,83,2室2厅1卫,南,2000,,高楼层/16层,2020-02-18,,整租,需咨询,2000,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,暂无数据,暂无数据,暂无数据,需提前预约,随时入住,False,暂无数据,False,https://image1.ljcdn.com/310000-inspection/2058e7f8-faec-44e2-b1e5-14c89d60afbd.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/fa57d7a5-6cc2-414d-aa6c-8f1d98498292.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/94dd06aa-52cb-4a58-9581-87e0bbf182f2.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e7f3cfb0-ef23-4cec-a319-61bc71e65fd5.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e618dc54-5607-457e-930c-adda33a16846.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/bec1a045-29e1-4f90-be42-ebcbc027b344.jpg.780x439.jpg;,
SH2431111011558752256,整租·汇吉苑 2室2厅 南,https://image1.ljcdn.com/310000-inspection/b231202c-7659-4db8-98f4-e03e07a48605.jpg.250x182.jpg,浦东,新场,汇吉苑,83,2室2厅1卫,南,2000,,高楼层/16层,2020-02-18,,整租,需咨询,2000,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,暂无数据,暂无数据,暂无数据,需提前预约,随时入住,False,暂无数据,False,https://image1.ljcdn.com/310000-inspection/ed2e6ae6-bbe8-48e9-a22d-9b980b589e5d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/43faed32-a453-4f89-ae15-fc0e498319fe.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/8cfc8d7f-a8ec-4f0a-b007-ae124890ad6e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b231202c-7659-4db8-98f4-e03e07a48605.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a286d4dc-303c-4373-9d77-99c2271de07e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/5cc4c7f9-f6a3-44a5-a72f-6e19abb6bdab.jpg.780x439.jpg;,
SH2323672628776140800,整租·东方冠郡 1室1厅 西,https://image1.ljcdn.com/310000-inspection/8e0975d6-f2db-428e-852f-a9963af8520e.jpg.250x182.jpg,浦东,新场,东方冠郡,0,,,2000,随时看房;,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,,,,,,,False,,False,,
SH2348277346521858048,整租·东后老街201幢 2室2厅 南,https://image1.ljcdn.com/310000-inspection/a1a4f34f-db7f-40f3-b425-beb484866083.jpg.250x182.jpg,浦东,新场,东后老街201幢,85,2室2厅1卫,南,3200,,低楼层/6层,2020-01-13,,整租,需咨询,3200,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,暂无数据,暂无数据,暂无数据,需提前预约,随时入住,False,暂无数据,False,https://image1.ljcdn.com/310000-inspection/9783eebb-a851-449d-8c7a-7c5f78ce93d2.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/bb9699e8-46f7-45c9-ac29-c2e57acad3d4.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a1a4f34f-db7f-40f3-b425-beb484866083.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/1f00c192-b3c3-46b0-aa7e-0cadd4fab61d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/d9110bf7-3999-44ef-b085-bd5c08539a9c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/eed2d567-0289-46bf-bb84-bcf79e4ab56b.jpg.780x439.jpg;,
SH2139006550629416960,整租·汇锦城(一期) 4室2厅 复式 南,https://image1.ljcdn.com/310000-inspection/prod-ecf54831-7606-4c5c-98b2-b0785425419b.jpg.250x182.jpg,浦东,新场,汇锦城(一期),183,4室2厅3卫,南,2900,近地铁;随时看房;,中楼层/5层,2020-02-18,,整租,季付,2900,0,需咨询,16号线-新场-204m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,1年以内,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/prod-9c90049f-2f99-404d-8a5a-a1f8e19152a0.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-952d0528-1f90-426d-8e5e-62e8ec7d9615.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-a5ba4fd9-06ef-47e0-9143-bd0248010df5.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-0a7782b5-7af4-4821-ab0c-9b69e949a886.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-98a8bbbe-581e-4f91-9a52-19accc8b9955.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-56df378f-9dbd-4d95-a871-3e17bd12220f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-614de3d6-a6ec-4569-8b72-c13a279fde0c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-ed976413-4c4e-4c65-bf95-ac6c1117e61e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-ecf54831-7606-4c5c-98b2-b0785425419b.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-2e6379fa-5467-4075-ac8d-09153f5e4844.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-3556593c-d754-4091-8ce6-f0ae3e431129.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-c9d7cb78-d5bf-4629-9cbc-0f1b2372cb39.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-70621e6f-3b7b-4fe9-92b4-930838f56d48.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-37833358-62e9-4126-bd0a-51f83c340886.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-70bc4026-eca2-4ea9-bf76-de34d61f87d9.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-62345e80-c126-4a1d-aa18-59311657a27f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-818bfb9e-eb48-4358-b72a-17192b7d0513.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/prod-5377735d-b674-4dc1-93b7-26634533646b.png.780x439.jpg;,【房源亮点】毛坯四房，小区自带会所，会所 有健身房游泳池，棋牌室，瑜伽室等供业主免费使用【交通出行】小区门口就有1068，15分 钟一班，可直达新场地铁站，生活便利，出行方便，飞路巴士直达张江高科【小区介绍】此小区所在位置生活方便，吃喝玩乐一条街，各大超市 水果店还有各种大小饭店一应俱全
SH1917800844108242944,整租·下沙新街91号 2室1厅 南,https://image1.ljcdn.com/shfdfs-image/20170331/f52d156e-6038-4056-813d-137a6d9b135b.jpg.250x182.jpg,浦东,新场,下沙新街91号,78,2室1厅1卫,南,3500,近地铁;精装;,中楼层/5层,2020-02-20,精装修,整租,需咨询,3500,0,需咨询,16号线-航头东-624m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,暂无数据,暂无数据,False,民水,False,https://image1.ljcdn.com/shfdfs-image/20170331/eddf9445-5860-4cc8-80eb-f6adb916daa7.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20170331/cee8a3cd-1e58-4299-8d49-5f455a57ba8d.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20170331/83117ae8-5259-419a-ad99-2d8857bb4736.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20170331/f52d156e-6038-4056-813d-137a6d9b135b.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20170331/73906a00-a014-4f76-b784-bda69ac0fe49.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20170331/f2ed44d3-0321-41e8-a1be-5e98b56bea71.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20170331/03d789df-49dd-451f-b589-ec8c9d953594.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20170331/f19b4385-a0ad-44fc-9bcb-2f6c86d3f83a.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20170331/5fd7af3e-9807-42c9-9a14-fb65c2178cd6.jpg.780x439.jpg;,
SH2434686322850398208,整租·东方冠郡 2室1厅 南,https://image1.ljcdn.com/310000-inspection/80cc08e5-ef26-4042-bb6c-d84bd93ce9f8.jpg.250x182.jpg,浦东,新场,东方冠郡,99,2室1厅1卫,南,3600,随时看房;,高楼层/18层,2020-01-16,,整租,需咨询,3600,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,True,民水,False,https://image1.ljcdn.com/310000-inspection/0626114a-3bc9-4bde-b1e9-561bc7892fcd.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/6358c625-7838-430b-bf93-1d6c4f94f75f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/ad30856c-58b6-4f91-825c-cc2852b277fc.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/3e241132-9809-4d75-ba1d-f3f48f6b4db9.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/80cc08e5-ef26-4042-bb6c-d84bd93ce9f8.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/6c921add-4d17-4e75-a427-386f3d9839e5.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/8c4e11ce-45b5-4f51-815b-0b6ab3063508.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/40cbf1b8-e9b3-47aa-b955-defc3679aa61.jpg.780x439.jpg;,
