hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2345592541560176640,整租·欣松苑 3室2厅 南/北,https://image1.ljcdn.com/310000-inspection/afeb9c83-1984-4ff9-aa8e-c6c61c7ec5be.jpg.250x182.jpg,浦东,宣桥,欣松苑,78,3室2厅2卫,南/北,2200,双卫生间;,高楼层/6层,2020-01-12,,整租,需咨询,2200,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/54b729b3-518a-4291-8cba-20d0eef72fcb.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e95fb8bf-281c-4f8d-a827-c62690330fa1.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/5d056eb4-f4e5-4947-9941-59d9cd6b0c16.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/ea84a116-b2e2-4e94-9d25-ae5eaaf935aa.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/afeb9c83-1984-4ff9-aa8e-c6c61c7ec5be.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/d90fa844-e87c-482c-a776-4175b642a224.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/af572cbf-b3d0-4a80-9fa3-e58e5c86417c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/01459b83-c9e9-4e2f-bde0-691a19e7c2c7.png.780x439.jpg;https://image1.ljcdn.com/310000-inspection/158ec672-a8f0-4b75-9ada-d33d64140e54.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/5c27d6a6-952c-4799-bd63-92380d99bf83.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b2237f2f-672d-45fb-9f22-9b631fc25990.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/70290bfe-a2c7-4e7c-8d57-eff554204fd0.jpg.780x439.jpg;,【户型介绍】此房为南北通户型，户型方正，面积适中，布局舒展，全明设计，开间大进深适中，采光充分，有利于室内空气流通【周边配套】交通方便，出门就有公交站，水果店，菜市场，宣桥镇人民政府等。【小区介绍】一梯两户，绿化多，车位多，自住装修，房东急租，成熟小区，安静舒适
SH2202639003575132160,整租·欣秋苑 3室2厅 南,https://image1.ljcdn.com/310000-inspection/prod-68f60d3b-f8b8-47de-a1a1-e913c42bef40.jpg.250x182.jpg,浦东,宣桥,欣秋苑,129,3室2厅2卫,南,2200,双卫生间;,低楼层/11层,2020-01-16,,整租,需咨询,2200,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,True,民水,False,https://image1.ljcdn.com/310000-inspection/prod-05a7a157-e489-4cb0-80d3-cac01750c391.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-38dae5d6-9a8a-40f1-9cd8-ff54de3c16fa.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-964d9a9b-690c-4a0f-92f7-d4b4fe5de03a.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-55cf58f2-9fa1-4cb3-9226-e5281f4099f7.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-68f60d3b-f8b8-47de-a1a1-e913c42bef40.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-efd87b37-4ba7-477e-98a3-0b449f47bbac.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-d4f08ae1-7f0e-4348-9e0d-d09144c1cb27.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/prod-7d1a4d97-082b-4846-a520-f33212c7f298.png.780x439.jpg;,
SH2416455235943014400,整租·亦园路74弄 3室1厅 南,https://image1.ljcdn.com/310000-inspection/73f8a6e8-d86a-4fa0-a2ff-f70d2da48f3b.jpg.250x182.jpg,浦东,宣桥,亦园路74弄,88,3室1厅1卫,南,1600,,高楼层/5层,2020-01-12,,整租,需咨询,1600,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/2438c9af-436a-416c-9575-f81d12d037f2.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/4afa24d8-addc-480f-918f-607eafa9c6c2.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/73f8a6e8-d86a-4fa0-a2ff-f70d2da48f3b.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e006be81-1eaf-4523-95b0-e760767812da.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/fd0fa976-8467-4db2-b90d-27613c53c151.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/7a48c834-ebb4-4914-b8dc-71fe535214aa.jpg.780x439.jpg;,
SH2399891424310206464,整租·明祥苑 3室2厅 南,https://image1.ljcdn.com/310000-inspection/d9569410-cdb7-4281-b2b6-5e222d805cc3.jpg.250x182.jpg,浦东,宣桥,明祥苑,121,3室2厅2卫,南,2400,双卫生间;,低楼层/6层,2020-02-13,,整租,需咨询,2400,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/e314497e-4998-4ade-b852-d1d3e53826da.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/8c43b13c-4062-488e-a67e-a0abfcc93d19.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/05b13379-164d-4060-a462-51c0eacaa190.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/d9569410-cdb7-4281-b2b6-5e222d805cc3.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/72296090-531b-47e6-b500-364608d51902.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/846dd3e6-7fbe-400d-b9bc-fbdcd720d0b9.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/ecd1306e-54b4-4c9f-9307-1bf5374c5f57.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f27eb456-e7c3-4469-9385-fd86a5b6b842.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/ff926cab-41ba-4035-84c1-b85ce1092b2b.png.780x439.jpg;,
SH2128739981533904896,整租·欣菊苑 3室2厅 南,https://image1.ljcdn.com/310000-inspection/prod-2109bc3e-f56b-4a08-bee6-042e458e326c.jpg.250x182.jpg,浦东,宣桥,欣菊苑,122,3室2厅2卫,南,3500,双卫生间;随时看房;,高楼层/6层,2020-01-12,,整租,需咨询,3500,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/prod-e2bc2020-21bf-4d24-9236-9272994e1d27.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-653d9fbd-17e2-41d3-8a10-1dcd423f8bab.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-6fc7f63d-15cd-4c4e-a1cc-11c73338fbab.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-5aec4782-7163-4c25-b8a3-69cb3705c96d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-1356a353-4eb2-4dc0-acb2-233e6f129e5f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-2109bc3e-f56b-4a08-bee6-042e458e326c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-34b499c5-06e1-4ade-89a3-9f88f592b9c1.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-964377c5-407e-45cd-9f68-4f7c5280181c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-0aac3459-563a-43d6-81f8-088d1a9e3046.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-2965863b-7ecf-4269-a673-5d63ae9a6a2f.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/prod-e3607cfa-f0aa-46c1-8d7f-2d6a21341a48.png.780x439.jpg;,【户型介绍】3房2厅1卫，主卧朝南，次卧朝北，客厅餐厅南北通透，厨房朝北，卫生间朝东。【装修描述】这是业主自住装修的，精装大三房  保养的还不错的。。。。。。。。。。。。【出租原因】房子是业主自己住的，保养的很好，置换惠南新房诚心出租此房，看房方便，看中价格可以小刀【周边配套】市景繁华 小吃一条街 晚上灯火辉煌。。。。。。。。。。。。。。。。。。。。。。
SH2356453529197494272,整租·艺泰安邦 3室2厅 南/北,https://image1.ljcdn.com/310000-inspection/prod-9d6c6df9-97f0-4b6d-ab3d-5aaba9d3e67e.jpg.250x182.jpg,浦东,宣桥,艺泰安邦,131,3室2厅2卫,南/北,2800,双卫生间;,高楼层/17层,2020-02-20,,整租,需咨询,2800,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,True,民水,False,https://image1.ljcdn.com/310000-inspection/prod-d35186c6-268b-4c6f-b2ff-43287aaa780b.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-10f9b6a0-8906-4054-bb91-a466632c2e09.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-0d921291-d688-4794-9cf9-0f1f767f6041.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-fa2d2a41-4aa8-46aa-9350-9f529389a520.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-18a2903f-ffde-438e-98e7-fc9a3e0beded.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-cad9d296-157e-4fa3-a7ac-3e05ef173c13.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-6910950d-a548-4b90-898d-fdbbce60ada0.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-796ed863-36dc-42d7-b4d0-36cb92c4e602.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-b71939e1-3b62-4dd3-ab92-291d5b876856.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-9d6c6df9-97f0-4b6d-ab3d-5aaba9d3e67e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-b1267c22-aaf8-44e2-87a5-581522542a08.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-2fcdbbe7-5f15-4321-b393-4ade109a57f4.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-c008b78c-e46c-484a-aeb5-b61748b9ccde.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/prod-5968ba19-48b5-4d8a-9272-d524899a5542.png.780x439.jpg;,【装修描述】孕婴老幼，装修自住装修，无甲醛，无污染。 家有老人，楼层方便【周边配套】小区内有两个幼儿园，东门为自带的体系，有大型超市，KTV，餐厅，健身房和美发沙龙，公交站就在马路旁，公交站旁是镇上得社区服务地点。小区南边为菜市场，餐馆，超市要啥有啥。小区西边为体育公园。小区中间有个大的风景湖，健身会所。【小区介绍】小区位于浦东新区宣桥镇南六公路399弄，靠上海野生动物园。2006年-2012年分8期建造。开发商为上海刚泰集团，总建筑面积为66万平方，设有30栋小高层，26栋高层，18栋多层住宅及含盖多功能会所 幼儿园 商ye 街 艺博 文化休闲广场
SH2077486225262395392,整租·艺泰安邦 2室2厅 南,https://image1.ljcdn.com/310000-inspection/1e688f62-536b-4aa9-b4c2-0c0a5db2c569.jpg.250x182.jpg,浦东,宣桥,艺泰安邦,100,2室2厅1卫,南,3500,,中楼层/11层,2020-01-11,,整租,需咨询,3500,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,True,民水,False,https://image1.ljcdn.com/310000-inspection/d0cb24d6-0205-48c1-b295-6f777018805c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a5e879f9-76e2-45dd-9404-0f1a7c85dd12.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/1e688f62-536b-4aa9-b4c2-0c0a5db2c569.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/72a122de-d29f-4603-9835-e3b25f949e8d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/d8fce1fe-9f38-4807-9dfa-786e835d79b3.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/1ee3e773-c91f-4f89-8ad8-f4566cf8acc5.jpg.780x439.jpg;,【装修描述】孕婴老幼，装修自住装修，无甲醛，无污染。 家有老人，楼层方便【周边配套】小区内有两个幼儿园，东门为自带的体系，有大型超市，KTV，餐厅，健身房和美发沙龙，公交站就在马路旁，公交站旁是镇上得社区服务地点。小区南边为菜市场，餐馆，超市要啥有啥。小区西边为体育公园。小区中间有个大的风景湖，健身会所。【小区介绍】小区位于浦东新区宣桥镇南六公路399弄，靠上海野生动物园。2006年-2012年分8期建造。开发商为上海刚泰集团，总建筑面积为66万平方，设有30栋小高层，26栋高层，18栋多层住宅及含盖多功能会所 幼儿园 商ye 街 艺博 文化休闲广场等综合配套设施
SH1991134879013937152,整租·莱茵美墅 4室2厅,https://image1.ljcdn.com/shfdfs-image/20160406/dcc44de2-5bbf-4b04-8d77-dcfea6492c25.jpg.250x182.jpg,浦东,宣桥,莱茵美墅,211,4室2厅3卫,,5000,,低楼层/1层,2020-02-23,,整租,需咨询,5000,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,暂无数据,暂无数据,False,民水,True,https://image1.ljcdn.com/shfdfs-image/20160406/7882e487-2fd3-4f3d-b710-690a0c0e4527.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20160406/ca4c4ffc-9119-4808-8c85-18875057dd4b.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20160406/31d1044f-c50a-42da-9843-1239d0acd1f1.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20160406/fcb4579a-4ea3-41cd-b529-43a43ddcc5c9.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20160406/ea76796e-7231-44bc-accf-d2a1ccede871.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20160406/19b1e06b-ef8a-4d37-876c-067723ef78d4.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20160406/2503c716-b427-46c1-832b-d684a1b3a52a.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20160406/19d745da-7b4d-4eea-b53b-be411012ea09.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20160406/6d0977ec-67dc-47e5-8530-ebb2783d3c2b.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20160406/4642db2c-78c7-47c9-8a7c-c9d9b3096619.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20160406/e66dfd56-f75e-4b5e-b44d-594277e38733.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20160406/778ca613-2881-47f5-ada2-92ff3ae6f7e1.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20160406/f47b926b-cc8f-4498-acb7-601d9e920faf.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20160406/999494b0-b3a0-4c9f-8825-36a11359ff4a.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20160406/1a1981c2-7854-4800-8168-39df2b55b30e.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20160406/af95bd76-d0ae-40ee-92cb-fd537ceb628c.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20160406/a9ea6107-bfc0-45e4-8941-f0d04ab62145.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20160406/8c809d4b-769e-46a2-b818-e373225b3199.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20160406/5451e9ba-3897-4dd7-a7cd-342f59d6a798.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20160406/332f3d44-7164-4d33-8627-a7f312e1c8be.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20160406/dcc44de2-5bbf-4b04-8d77-dcfea6492c25.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20160406/c873f7f4-2783-4e19-b80d-b71ab211c82f.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20160406/2a70e010-a704-4722-8fdd-e74e4e38eb7c.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20160406/4c4e4808-d060-4876-9a5a-0540133fa155.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20160406/1d068948-618d-4b57-aded-2e545314b474.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20160406/c829d101-4edc-4a83-85eb-81fb32cdcd08.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20160406/a67c4fed-ae04-4a91-b987-7ba3dee3f91f.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20160406/e97a744a-0f95-4b2b-943c-f0d939f6148d.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20160406/ebb03d2d-77dc-4e8f-840f-622f0b251082.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20160406/5a0e9315-22ef-4358-b99f-d4add4822c41.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20160406/f2f720d5-9c91-4d9c-99f4-2cde761b1ed7.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20160406/a4c31c98-1e8e-4d76-a449-e0fdb706a84b.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20160406/5268011c-3240-4e28-a40c-dd735e9581f7.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20160406/0d31f434-be2a-44df-9435-09a334052bf8.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20160406/6a278682-0948-49de-a324-cd1118c31d24.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20160406/aac8fb2e-7d21-4eee-9953-e4750e8b516b.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20160406/26e5f9aa-6aa9-4307-b637-89ebe1215def.jpg.780x439.jpg;,【房源亮点】此房为毛坯房，联排别墅，有地下车库，看房有钥匙，随时可看；小区环境优美，适宜居住。【户型介绍】该别墅地上三层，地下一层，地上主要以居住为主，地下为地下车库，带功能间。【交通出行】公共交通：公交有南新线，张南线，惠松线野生动物园站，灶市场，好又多，华联超市，上海两港装饰城，华泰连锁药店。【小区介绍】莱茵美墅别墅区内含300余种植被，叠墅区50多种植品共同打造五重立体叠景；应用各种形式坡面组合，形成柔和、舒展的轮廓；再加上露台、平台以弧线、柱廊的形式出现，配以坡地起伏的地形，呈现优雅北美坡地别墅风情。
SH2050581691244232704,整租·桃源花苑一区 4室2厅 南,https://image1.ljcdn.com/310000-inspection/f23d0e0d-3727-4e14-adbe-de6c2dda4b51.jpg.250x182.jpg,浦东,宣桥,桃源花苑一区,186,4室2厅3卫,南,6800,,低楼层/2层,2020-02-23,,整租,季付,6800,0,需咨询,,False,False,True,False,False,False,False,False,False,True,暂无数据,民电,暂无数据,2年以内,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/a2725197-2fdb-4c05-827d-8875ba86b761.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/968785cd-94b9-4213-bbb3-15dfbbdaef7d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/6181c046-593d-4f60-9a26-12ac6c7b162f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/bee982f1-c29f-4206-8c95-c56bdfe491ac.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/7675ff9a-8c69-419b-8b78-ffceba2cb87d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f23d0e0d-3727-4e14-adbe-de6c2dda4b51.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/40f82037-b8d1-4000-a172-0da551969a4b.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/01e6b8c5-3079-47ec-b8ed-5a043bd05c8d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e9212ca6-3b57-4a43-8119-ea335364ff6a.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/30f7b7dc-407c-4c06-99cd-477bc63529f6.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/64c36c6c-15cb-4b53-a0af-3dcad45be9c0.png.780x439.jpg;,【交通出行】公交1069路 1095路 南新专线  地铁16号线野生动物园站、惠南站【周边配套】上海浦东医院，浦东新区老年医院，欧尚超市(上海南汇店)，禹洲广场，徐庙农贸市场，南季路集贸市场，YCC，张家桥菜市场，陶源农贸市场，宣桥社区菜市场，上海乐农超市(施桥店)，6 1生活超市【小区介绍】桃源花苑一区于2005年建成  楼栋总数125栋  共计房屋125户
SH2382345446510305280,整租·闵家浜路80弄22支弄 3室1厅 南/北,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20200218110553137,浦东,宣桥,闵家浜路80弄22支弄,125,3室1厅1卫,南/北,1400,,高楼层/11层,2020-02-13,,整租,需咨询,1400,0,需咨询,16号线-野生动物园-299m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,,
