hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2394039691743084544,整租·东城新村 1室1厅 南,https://image1.ljcdn.com/310000-inspection/e4ab562d-b13b-4557-b436-705e0c06d4d1.jpg.250x182.jpg,浦东,杨东,东城新村,50,1室1厅1卫,南,4800,随时看房;,高楼层/7层,2020-02-23,,整租,需咨询,4800,0,需咨询,7号线-芳华路-1039m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,True,民水,True,https://image1.ljcdn.com/310000-inspection/e4ab562d-b13b-4557-b436-705e0c06d4d1.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/811a8434-f153-4a2e-8e68-b1b178ec2b19.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a3efb70e-357f-4f73-9db6-41dcab0bc54e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/471eec34-a955-4219-a133-e185ac46c114.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/6e62f4e8-e2ba-4c4a-9d9c-3e04742a1a9a.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/faf3ba7f-a83e-480f-81bf-10c5a45f9a38.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/cf2e2c54-00c3-4d82-8fdc-41ab8833a0e5.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/848c9456-b7cd-4831-a221-a85f214e90c2.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/2a4da95c-5536-4f83-aa8a-cf60ed1815c4.png.780x439.jpg;,【交通出行】公交639、819、792、1021、花木1路等众多公交线路，都是分布在小区，可以到达浦东、浦西众多重要商圈和金融政治地段等。地铁：2号线上海科技馆站、7号线锦绣路【周边配套】小区门口就是锦安菜场，超市，海桐跟童谣幼儿园就在小区里，生活方便，人流量大，生活气息浓厚。还有富荟广场，龙阳广场，世纪公园【小区介绍】整个小区是1999年到2004年的，小区分为两个主入口，两个消防通道，海桐和童谣就在小区里面，还有小区正在全面整修
SH2412173355370692608,整租·东城新村 1室1厅 南,https://image1.ljcdn.com/310000-inspection/e25278fd-e75e-45d3-bc98-f51652f58646.jpg.250x182.jpg,浦东,杨东,东城新村,55,1室1厅1卫,南,5000,,低楼层/18层,2020-02-22,,整租,需咨询,5000,0,需咨询,7号线-芳华路-1039m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,True,民水,True,https://image1.ljcdn.com/310000-inspection/e25278fd-e75e-45d3-bc98-f51652f58646.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/20fa2884-886c-409a-ba71-bf9fa8fc4380.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/67ef7ab2-0e80-4f23-ba91-663fd174b8b8.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/054e9edc-1863-44f5-94b4-b3f73b30e0ca.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b15954c1-8a59-40c7-9de7-971d51c45326.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/1ffeb8bf-6204-46ce-8584-f9b595e2e48d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/1a232e83-2a47-45b1-9a0a-24ba9920b306.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/9167e492-d16b-4841-b06a-361600d0cc35.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/fdb8caa0-395c-4bc5-a7b2-1e612382a297.png.780x439.jpg;,【交通出行】公交639、819、792、1021、花木1路等众多公交线路，都是分布在小区，可以到达浦东、浦西众多重要商圈和金融政治地段等。地铁：2号线上海科技馆站、7号线锦绣路【周边配套】小区门口就是锦安菜场，超市，海桐跟童谣幼儿园就在小区里，生活方便，人流量大，生活气息浓厚。还有富荟广场，龙阳广场，世纪公园。【小区介绍】整个小区是1999年到2004年的，小区分为两个主入口，两个消防通道，海桐和童谣就在小区里面，还有小区正在全面整修
SH2421009563244838912,整租·东城新村 1室1厅 南,https://image1.ljcdn.com/310000-inspection/2cc8cce7-cdfc-4e1b-9a7f-46599167bd58.jpg.250x182.jpg,浦东,杨东,东城新村,50,1室1厅1卫,南,4800,,中楼层/7层,2020-02-22,,整租,需咨询,4800,0,需咨询,7号线-芳华路-1039m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/b8d6ba72-b651-4a2c-adcd-2eb1de7011c9.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/2cc8cce7-cdfc-4e1b-9a7f-46599167bd58.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/55d17327-0d12-4f1c-9b1e-7e7b0c9cfd47.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/96e5f952-26f9-4151-b02f-d6700c892083.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/bc0165e2-ec11-4b4c-9526-95bb6a5bcc2f.png.780x439.jpg;,【交通出行】公交639、819、792、1021、花木1路等众多公交线路，都是分布在小区，可以到达浦东、浦西众多重要商圈和金融政治地段等。地铁：2号线上海科技馆站、7号线锦绣路【周边配套】小区门口就是锦安菜场，超市，海桐跟童谣幼儿园就在小区里，生活方便，人流量大，生活气息浓厚。还有富荟广场，龙阳广场，世纪公园。【小区介绍】整个小区是1999年到2004年的，小区分为两个主入口，两个消防通道，海桐和童谣就在小区里面，还有小区正在全面整修
SH2462265606800949248,整租·涵合园(公寓) 2室2厅 南,https://image1.ljcdn.com/110000-inspection/da10d4c6c3be874f4a7a05de59bbb006.jpg.250x182.jpg,浦东,杨东,涵合园(公寓),81,2室2厅1卫,南,8000,新上;精装;,中楼层/16层,2020-02-23,精装修,整租,季付,8000,0,需咨询,6号线-上海儿童医学中心-1073m;,True,True,True,True,True,True,True,True,True,True,租用车位,民电,自采暖,1年以内,需提前预约,随时入住,True,民水,True,https://image1.ljcdn.com/110000-inspection/5fc5c26424986e49733caf08b039eb1d.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/76ff702a80fcf7a6ad93c49d5794a7a4.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/da10d4c6c3be874f4a7a05de59bbb006.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/465d23ba61ad70cc174547f258493e32.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/e611f4018b6e53f627102aeca788784c.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/495cdbcacb91e1da26aeae0c66444a4e.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/7aac067fe6d20f68aebcac1b4633fd54.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/4b73efe5-97d7-465a-9c5c-bcd6f667594f.png.780x439.jpg;,【房源亮点】房子位于小区东门口，位置安静，出行方便，中高楼层，采光视野俱佳，精装修简约大方，冰箱洗衣机都是全新的，配置很好。【户型介绍】三开间朝南，主卧带封闭的大阳台，通风采光效果很好，次卧也有明窗。【装修描述】业主自住精装修，墙面是去年粉刷过的，用的都是绿色环保材料，保养非 常好。
SH2391784850983231488,整租·东城新村 1室1厅 南,https://image1.ljcdn.com/310000-inspection/a4af6194-a080-4b36-aa41-1766ba2daf6a.jpg.250x182.jpg,浦东,杨东,东城新村,50,1室1厅1卫,南,5300,随时看房;,中楼层/7层,2020-02-23,,整租,季付,5300,0,需咨询,7号线-芳华路-1039m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/0ecad4e4-f608-4e11-aa45-fbb6e5cbb467.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a97289ac-e765-415a-addb-ef9f0f524022.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a4af6194-a080-4b36-aa41-1766ba2daf6a.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/0c4423cc-7e7f-4fe5-9458-c16b735cd018.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/ca58c199-fa51-4e37-b1a5-1eb52a32f59d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/52cc253f-4456-434b-9a8a-ab6cdaf92ff8.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b3d3b3da-f749-4d08-9509-d3bd582f9606.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/bc0165e2-ec11-4b4c-9526-95bb6a5bcc2f.png.780x439.jpg;,【交通出行】公交639、819、792、1021、花木1路等众多公交线路，都是分布在小区，可以到达浦东、浦西众多重要商圈和金融政治地段等。地铁：4号线蓝村路站、6号线蓝村路站、2号线上海科技馆站、7号线锦绣路。【出租原因】业主这边从来没有住过的，刚买就挂牌出租，装修还不错的，业主诚意出租【周边配套】小区门口就是锦安菜场，超市，海桐跟童谣幼儿园就在小区里，生活方便，人流量大，生活气息浓厚。富荟广场、由由步行街(严中路)等商超。【小区介绍】整个小区是1999年到2004年的，小区分为两个主入口，两个消防通道，海桐和童谣就在小区里面，还有小区正在全面整修。
SH2463724442883194880,整租·涵合园(公寓) 2室2厅 南,https://image1.ljcdn.com/110000-inspection/7172cdd9-c0c0-4612-9441-9e706a9d8508.jpg.250x182.jpg,浦东,杨东,涵合园(公寓),114,2室2厅1卫,南,8000,新上;近地铁;,中楼层/18层,2020-02-24,,整租,需咨询,8000,0,需咨询,6号线-上海儿童医学中心-1073m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,2020-02-29,True,民水,True,https://image1.ljcdn.com/110000-inspection/83241c7e-6080-44ac-ab98-bc10ffafc3e6.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/65d44f42-e65b-4720-827c-78e77b8086d1.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/226ba37f-4dcf-4edd-9bb1-a2531b792139.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/7172cdd9-c0c0-4612-9441-9e706a9d8508.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/c8ea5ebd-f163-4675-90cd-ef08cfd48b1f.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/6d8177c1-b1f8-450c-8c90-0a2661365e46.jpg.780x439.jpg;,
SH2463664279149084672,整租·中福公寓 2室2厅 南,https://image1.ljcdn.com/110000-inspection/pc1_fJw0qPqSg_1.jpg.250x182.jpg,浦东,杨东,中福公寓,116,2室2厅2卫,南,7500,新上;双卫生间;随时看房;,中楼层/28层,2020-02-24,,整租,需咨询,7500,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,True,民水,False,https://image1.ljcdn.com/110000-inspection/4fdc53bb-b0d9-4052-9184-e2d43c02cd87.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/a9db41fe-b0c5-45aa-914e-40e3fdf30449.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/pc1_fJw0qPqSg_1.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/d7192d8f-fba0-43b3-93c8-2d91ec348bf0.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/f94458b6-22e7-4866-b645-aa19f4007582.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/f94458b6-22e7-4866-b645-aa19f4007582.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/607f536a-c0ab-40ae-ae61-0e68f8522adf.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/98657b9f-8f5e-487e-8662-b37ae00e60e7.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/7e03957e-6f82-4bac-9138-264c295ef0e5.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/standard_4a6f1d80-bf0e-4c16-a277-c61da30dfd30.png.780x439.jpg;,【交通出行】从小区东门出发，一出小区门口就是公交站，可乘坐819路、浦东4路公交车直达蓝村路地铁站，还可以乘坐花木1路直达世纪公园；小区门口早晨和下午还设有陆家嘴金融4路环线整点班车【周边配套】从小区东门出发，左手边就是联华超市、Tree Coffee，小区北面就是全家便利店、健身房，从东门往右行走400米有个菜市场，沿路一条街全是美食店，兄弟龙虾、黄焖鸡米饭、沙县小吃等，还有KTV、网吧，小区旁边还有工商银行、中国银行【小区介绍】内环内小区，电梯房，生活方便，配套齐全，小区物业管理好    。
SH2424684232204099584,整租·爱家亚洲花园 2室2厅 南,https://image1.ljcdn.com/310000-inspection/0face23c-6c24-4c2b-9312-16d16605fe69.jpg.250x182.jpg,浦东,杨东,爱家亚洲花园,97,2室2厅1卫,南,8500,随时看房;,低楼层/12层,2020-02-21,,整租,需咨询,8500,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,True,民水,True,https://image1.ljcdn.com/310000-inspection/2b1c2b27-5aff-43f7-b681-01fbd44c640e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/fce589e1-6de1-4cde-9871-96dd5abda9c9.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/0face23c-6c24-4c2b-9312-16d16605fe69.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/91b35294-9b06-4008-8f89-0ea31087f1de.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/60d92ce4-0db4-4e4f-bd58-c8edd54b0aee.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b6e36697-3b1a-4950-aafa-b0f1a80d2710.jpg.780x439.jpg;,【交通出行】从小区东门出发，一出小区门口就是公交站，可乘坐819路、浦东4路公交车直达蓝村路地铁站，还可以乘坐花木1路直达世纪公园；小区门口早晨和下午还设有陆家嘴金融4路环线整点班车【周边配套】从小区东门出发，左手边就是联华超市、Tree Coffee，小区北面就是全家便利店、健身房，从东门往右行走400米有个菜市场，沿路一条街全是美食店，兄弟龙虾、黄焖鸡米饭、沙县小吃等，还有KTV、网吧，小区旁边还有工商银行、中国银行，生活配【小区介绍】爱家二期绿化高，楼间距大，小区配套成熟，物业管理好，人气旺，采光佳 ，不吵。配套齐全
SH2407295396411359232,整租·杨东小区 3室2厅 南,https://image1.ljcdn.com/310000-inspection/pc1_g3r5MbbnO_1.jpg.250x182.jpg,浦东,杨东,杨东小区,109,3室2厅1卫,南,8500,,中楼层/8层,2020-02-20,,整租,需咨询,8500,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,True,民水,False,https://image1.ljcdn.com/310000-inspection/ee3dc6a9-5cd4-4554-8eea-0e21f001541d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/6e90c746-c4e7-4b6f-b73e-ae6e5fd5d7b1.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/fa580bbf-3617-496f-9753-4b1d7da51708.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/pc1_g3r5MbbnO_1.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b5e6095b-a197-43b5-9907-19c3316b4d35.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/0c652466-b6df-459e-ba2a-8cdea9ef0ec3.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/6e4f1882-0675-4870-939d-956b7ee14050.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/97f7bc69-f484-491b-964b-3777919c3a92.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/9d125b3e-cd54-4d32-a83c-4fb00cd9dcdc.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/standard_d9011e85-942c-4bec-9647-8b38d8c956bb.png.780x439.jpg;,【装修描述】婚房装修，精装全配，给您家的感觉，实物与图片一致，欢迎来看房~~【交通出行】小区是2004年商品房小区，出行开车可以直接上杨高南路，内环高架，出行方便；步行200米有东建菜场，星巴克，莲花超市，生活方便。【周边配套】1、地段优势：内环核+心地段，希缺低密度别墅社区，陆家嘴金融区，交通干线发达！ 2、公园地+产：世纪公园、社区内2.3万平绿地公园，环境优美宜居！ 3、巴黎春天，卜蜂莲花，仁济，东建路菜市场。
SH2377448119974764544,整租·涵合园(公寓) 2室2厅 南,https://image1.ljcdn.com/310000-inspection/0d6c5f31-9744-499c-ae99-42156ed2e376.jpg.250x182.jpg,浦东,杨东,涵合园(公寓),81,2室2厅1卫,南,8500,近地铁;精装;随时看房;,低楼层/18层,2020-02-24,精装修,整租,季付,8500,0,需咨询,6号线-上海儿童医学中心-1073m;,True,True,True,True,True,True,True,True,True,True,租用车位,民电,自采暖,1年以内,需提前预约,随时入住,True,民水,True,https://image1.ljcdn.com/310000-inspection/5e80e3c8-cee5-4d0e-bc3a-d12b23c592f8.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/5d0d6918-64bc-402e-9b69-f8b0e0ff4542.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/0d6c5f31-9744-499c-ae99-42156ed2e376.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/0e073c76-646a-452e-990f-54fddaa12554.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/6dbb31e4-ff37-4435-958c-b6a7a26d2bc9.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/42baca78-8b06-412f-addb-5179c4d61654.png.780x439.jpg;,【交通出行】小区是2004年商品房小区，出行开车可以直接上杨高南路，内环高架，出行方便；步行200米有东建菜场，星巴克，莲花超市，生活方便。【周边配套】1、地段优势：内环核+心地段，希缺低密度别墅社区，陆家嘴金融区，交通干线发达！ 2、公园地+产：世纪公园、社区内2.3万平绿地公园，环境优美宜居！ 3、巴黎春天，卜蜂莲花，仁济，东建路菜市场。【小区介绍】涵合园小区由12万平方米北欧后现代高尚社区，以联排和叠加别墅为主三种建筑交相辉映，为和居理念的顺畅实施，辅助规划小高层公寓，排列成城市天际线。涵合园房屋外立面以白色系为主，部分小高层底部架空，提供了广阔的视线与空内绿色活动场所。
