hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2462901798806233088,整租·西镇小区(浦东) 1室1厅 南,https://image1.ljcdn.com/lease-image/house/53dbb625-e240-4f1c-a406-0d561532c0cf.jpg.250x182.jpg,浦东,洋泾,西镇小区(浦东),39,1室1厅1卫,南,4500,新上;近地铁;随时看房;,低楼层/6层,2020-02-23,,整租,季付,4500,0,2250,6号线-民生路-822m;6号线-民生路-822m;,False,False,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,False,民水,False,https://image1.ljcdn.com/lease-image/house/53dbb625-e240-4f1c-a406-0d561532c0cf.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/dc5a8016-0997-4218-be9a-36f143e6d671.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/a423e2d4-b1df-4275-98b9-80fcf74aeb2b.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/09f764f0-5288-454f-9ee1-e2715a7bab74.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/b0861ced-d398-4e5b-8a27-8ecbb71fa4fa.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/7e5eec61-a1f7-4c2a-85ae-86748e9b008f.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/a8ae5182-5dbc-467b-800c-7697a31e2ac9.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/8ff357fa-53f8-4733-9db4-49ff7dfaae2f.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/5ef6f399-e313-4483-9c4d-3da8cf541862.png.780x439.jpg;,
SH2436004307032604672,整租·张杨南苑 1室1厅 南,https://image1.ljcdn.com/lease-image/house/f9c5d29e-70ce-47de-9c12-59ecbe6ec46f.jpg.250x182.jpg,浦东,洋泾,张杨南苑,52,1室1厅1卫,南,5000,近地铁;随时看房;,高楼层/6层,2020-01-17,,整租,季付,5000,0,2500,6号线-民生路-848m;6号线-民生路-848m;6号线-民生路-848m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,False,民水,False,https://image1.ljcdn.com/lease-image/house/06f6fecc-a583-4f55-b739-e7481be2c7a6.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/26b445df-82c6-41b4-ad9b-cf7c0a1fb248.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/f9c5d29e-70ce-47de-9c12-59ecbe6ec46f.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/5be97874-f65e-4d5a-9edb-d6fc390fe0ac.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/e928651e-7cd1-459b-b206-7f1f912c3ba9.png.780x439.jpg;,
SH2427401206470287360,整租·卫东新村 2室1厅 南,https://image1.ljcdn.com/lease-image/house/daa97237-9cc9-4753-a134-94bc39928730.jpg.250x182.jpg,浦东,洋泾,卫东新村,47,2室1厅1卫,南,5200,随时看房;,中楼层/5层,2020-01-05,,整租,季付,5200,0,2600,,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,False,民水,False,https://image1.ljcdn.com/lease-image/house/daa97237-9cc9-4753-a134-94bc39928730.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/78c5374b-907b-4e3f-9822-333e92446e09.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/e5acf8c9-a7d8-4bd2-a751-b20baa2e32e2.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/44864d3b-e0c9-42d5-a4ab-c081669c4719.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/4bda5d96-806d-4524-952b-c4966c851c0e.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/6d052907-e23d-4a0c-93e6-69dcde96593e.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/1a5220b9-9ccb-490c-96b0-f5a57ade977a.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/e6eb9a35-e5e9-4d83-9313-45b114b8174e.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/6bc34b4b-920e-4c44-9a57-64256de1cf39.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/b29db281-06b0-48f9-bac1-b09ac5c1e316.jpg.780x439.jpg;,
SH2463805843074981888,整租·名门河滨花园 1室2厅 南,https://image1.ljcdn.com/lease-image/house/39648c00-bcee-42e0-b587-da8a1008653a.jpg.250x182.jpg,浦东,洋泾,名门河滨花园,65,1室2厅1卫,南,7000,新上;近地铁;随时看房;,低楼层/21层,2020-02-24,,整租,季付,7000,0,3500,6号线-北洋泾路-576m;,False,False,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,True,民水,True,https://image1.ljcdn.com/lease-image/house/eb4c1036-adbe-4464-82ad-36a6b8466173.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/f4449624-14ea-446c-b730-52a82fef855e.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/5883acb6-24a3-4eac-9dda-aa50839b5eb6.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/9e69a67e-b69f-4dfc-93c1-c8fc3ff40b66.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/aafc7483-23dd-4766-af4d-1ca5ebf139a6.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/39648c00-bcee-42e0-b587-da8a1008653a.jpg.780x439.jpg;,
SH2420228731982315520,整租·名门河滨花园 1室1厅 南,https://image1.ljcdn.com/lease-image/house/4ebac92c-e12e-4020-930d-0850bf509d38.jpg.250x182.jpg,浦东,洋泾,名门河滨花园,64,1室1厅1卫,南,7300,近地铁;精装;随时看房;,低楼层/21层,2020-01-14,精装修,整租,季付,7300,0,3650,6号线-北洋泾路-576m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,True,民水,True,https://image1.ljcdn.com/lease-image/house/0d60d7d0-264b-4a09-8cf4-716914fcdb0b.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/5faf220c-f048-454e-8171-1f65c3d0ae7d.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/35f12edd-ec27-4bb5-a3e9-5e3a012a5d26.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/4ebac92c-e12e-4020-930d-0850bf509d38.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/191ff428-01e2-4898-af2a-f514b0f94b15.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/f6b44555-b1a0-4360-86aa-92894752707a.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/365a5167-501f-4f5d-907c-043bc5289a6b.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/d1d64db7-dcae-4a3a-aca9-d68b150bd524.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/59abb516-b8ed-4f2f-b3ab-14101ad6ac09.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/bf973ad4-a111-4164-8398-40369710002d.jpg.780x439.jpg;,【户型介绍】正规朝南一居室，客厅卧室面积都很大，带储物间，储物空间足够，卧室带飘窗。小区临河而立，环境优越，24小时安保。【装修描述】业主精装修婚房出租，干净舒适，客厅沙发茶几电视俱全，安享周末休闲时光。厨房功能齐全，微波炉烤箱都有，中西餐都可做。【交通出行】小区南门隔马路就是旭辉购物广场，生活设施齐全，小区南门到北洋泾地铁站一号口，百度地图显示540米，交通便利。【出租原因】业主闲置房源，避免资源浪费，期待爱护房子的有缘人入住，拥有品质生活。
SH2426629958496960512,整租·泾南教师公寓 2室1厅 南,https://image1.ljcdn.com/lease-image/house/ba4f50fe-ed2b-4605-9372-fe0cce5dedee.jpg.250x182.jpg,浦东,洋泾,泾南教师公寓,85,2室1厅1卫,南,7500,近地铁;随时看房;,低楼层/6层,2020-01-13,,整租,季付,7500,0,3750,6号线-北洋泾路-1073m;6号线-北洋泾路-1073m;6号线-北洋泾路-1073m;6号线-北洋泾路-1073m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,False,民水,False,https://image1.ljcdn.com/lease-image/house/ba4f50fe-ed2b-4605-9372-fe0cce5dedee.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/e5514611-ae8a-4c79-b850-155ac459cf30.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/19c9e52f-8dcd-460f-a53e-d8f76edb79ef.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/132da465-04ce-462f-991d-9657eb1bfeb1.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/12582c86-ac56-44d9-9f83-b2e29485d13f.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/16855e5f-fdbc-4d70-8609-d305f6635e22.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/b330f7d5-beb5-40a5-b3ec-a353fae416d8.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/77ff96a6-f914-419a-85a9-ac5aa4f15793.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/a82649da-bffc-4551-b3c0-6c7f32157ab4.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/90ab2525-1162-4127-8103-0d6eb7ca560d.png.780x439.jpg;,
SH2432584469438537728,整租·中星恬园 1室1厅 南,https://image1.ljcdn.com/lease-image/house/928612d2-54a2-48a1-a85d-3a9214e7c544.jpg.250x182.jpg,浦东,洋泾,中星恬园,54,1室1厅1卫,南,8300,近地铁;精装;随时看房;,中楼层/9层,2020-02-23,精装修,整租,季付,8300,0,4150,9号线-芳甸路-952m;9号线-芳甸路-952m;9号线-芳甸路-952m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,自采暖,暂无数据,随时可看,随时入住,True,民水,False,https://image1.ljcdn.com/lease-image/house/928612d2-54a2-48a1-a85d-3a9214e7c544.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/21db412d-7b8c-406d-9813-ee7bfbb5489f.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/69f83fbd-fd5d-426f-8059-e0aead6b13b3.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/39739fca-48ef-4c70-8103-6026da436227.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/7b93982d-9308-4d7d-9f18-2321bf50ae81.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/92b0db1d-4121-4e76-a73f-fade31def8e6.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/d8d1fbd1-c5e0-4701-82b8-c45766b6c907.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/17529e6a-cce1-4f24-bb32-6bc9c26c4eff.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/c45ce98c-c154-4843-9c6c-16df27356bfd.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/7e1eb87f-ca69-40b5-a015-0ee696564ea3.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/3fd9e443-a5d1-4c70-9d05-d21804279b0c.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/9586d1ee-1463-4a31-a133-a094c2b725cb.png.780x439.jpg;,
SH2464419105885650944,整租·西镇小区(浦东) 1室1厅 南,https://image1.ljcdn.com/110000-inspection/00c45ce1f34641bb2a7509c0383af57e.jpg.250x182.jpg,浦东,洋泾,西镇小区(浦东),38,1室1厅1卫,南,3500,新上;近地铁;,中楼层/6层,2020-02-25,,整租,需咨询,3500,0,需咨询,6号线-民生路-822m;6号线-民生路-822m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/110000-inspection/00c45ce1f34641bb2a7509c0383af57e.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/b0205c05972982d81848ed620e514502.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/441568c2d607acdcfbdd84899f391817.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/68ee40af2957c5c459e53ef88b0b10c9.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/0d0be566f09096b85767aaea9dad52c5.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/559dc55b7d0d46366cab64a958b0c010.jpg.780x439.jpg;,
SH2414229719022313472,整租·西镇小区(浦东) 1室0厅 南,https://image1.ljcdn.com/310000-inspection/76c8c6e3-6536-470b-a181-e6adedb3be80.jpg.250x182.jpg,浦东,洋泾,西镇小区(浦东),30,1室0厅1卫,南,3500,近地铁;,高楼层/6层,2020-02-14,,整租,需咨询,3500,0,需咨询,6号线-民生路-822m;6号线-民生路-822m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/76c8c6e3-6536-470b-a181-e6adedb3be80.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e393182a-72ca-43ee-8121-a214001b64ca.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e918a9c1-51d4-400f-89d3-27d38d559f43.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f46c2b89-0c7f-4a6f-a5ce-eee36298789c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/9a1a937e-8fd4-4bac-bb3b-d2136c6c49e2.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/af149b9a-be31-4c94-bb71-b95766d94d35.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/500dd4b1-9d73-4d9f-8af7-9d2beed915f3.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/cff3b96d-e3ae-48a7-9895-7501f8497f42.png.780x439.jpg;,
SH2463530479157526528,整租·巨东小区 1室1厅 南,https://image1.ljcdn.com/110000-inspection/862cca66-63e6-4502-89e9-00345101f018.jpg.250x182.jpg,浦东,洋泾,巨东小区,38,1室1厅1卫,南,4800,新上;近地铁;随时看房;,高楼层/6层,2020-02-25,,整租,需咨询,4800,0,需咨询,9号线-杨高中路-1129m;9号线-杨高中路-1129m;9号线-杨高中路-1129m;9号线-杨高中路-1129m;9号线-杨高中路-1129m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/110000-inspection/55f9d6d7-f4ff-4a2e-80e0-6b42c04f8dff.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/9a51956e-6347-4988-807b-0d1823448cb9.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/862cca66-63e6-4502-89e9-00345101f018.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/10a766b2-a062-4c72-b01f-2f3d99da82dd.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/95fb70d4-a131-4669-8104-8869c4ad8116.png.780x439.jpg;,
