hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2434634190923505664,整租·恒大华城梅山苑 2室1厅 南,https://image1.ljcdn.com/lease-image/house/28a65c86-d37c-4de0-958f-ded1bd70c0f7.jpg.250x182.jpg,浦东,杨思前滩,恒大华城梅山苑,64,2室1厅1卫,南,5450,近地铁;精装;随时看房;,高楼层/6层,2020-01-15,精装修,整租,季付,5450,0,2725,6号线，8号线，11号线(花桥-迪士尼)，11号线(嘉定北-1063m;6号线，8号线，11号线(花桥-迪士尼)，11号线(嘉定北-1063m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,自采暖,暂无数据,随时可看,随时入住,False,民水,True,https://image1.ljcdn.com/lease-image/house/cf3042c6-1f39-4c60-a60b-3feafd5bde2f.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/e02ff92a-9d9f-4f01-9aa8-cd65a5bbe5bf.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/057a5d70-7a81-4fdb-93d2-de788f2138a3.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/74aa2a10-c61c-4310-93a1-95d0415c66f2.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/1d6c4427-9e5c-4260-a8af-5889d3ee3c52.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/28a65c86-d37c-4de0-958f-ded1bd70c0f7.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/0e0d4749-ad14-4338-886d-0a2af4ad6dcb.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/66be2479-797a-47c3-bb26-09945cb36477.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/f942fdbc-7307-40ee-b798-97c01cbf9a33.jpg.780x439.jpg;,
SH2436908863610961920,整租·上南路3827弄 1室1厅 南,https://image1.ljcdn.com/lease-image/house/0d7559db433bd021b63b0f2b5c2cb1da.jpeg.250x182.jpg,浦东,杨思前滩,上南路3827弄,50,1室1厅1卫,南,4200,近地铁;随时看房;,高楼层/6层,2020-01-18,,整租,季付,4200,0,2100,11号线(花桥-迪士尼)，11号线(嘉定北-1160m;11号线(花桥-迪士尼)，11号线(嘉定北-1160m;11号线(花桥-迪士尼)，11号线(嘉定北-1160m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,False,民水,False,https://image1.ljcdn.com/lease-image/house/0d7559db433bd021b63b0f2b5c2cb1da.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/861b204432c2ab94405ed3e0288eb92d.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/990a8fe4f763071514d3f4c894bd7e1f.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/34f31beddd2b0d3ce3d8c9ea380df2df.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/6321b6c2bd10813ab38fa1cb88e05dbb.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/7d01631a4c1ef0e21079af4cc620e3bc.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/6b12e89708a7e809b892bf71555d8f36.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/22536641b9e796659de9ac0f15d84421.jpeg.780x439.jpg;,
SH2376107608219598848,整租·万富汇 1室1厅 南,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20200218110553137,浦东,杨思前滩,万富汇,45,1室1厅1卫,南,4600,近地铁;精装;随时看房;,低楼层/4层,2020-01-02,精装修,整租,季付,4600,0,2300,6号线-高青路-454m;,False,True,True,True,True,False,True,False,True,False,暂无数据,商电,自采暖,暂无数据,随时可看,随时入住,False,商水,False,https://image1.ljcdn.com/lease-image/house/4cdf10f78ca605c5cee7c6c61853e4d4.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/a8b7ea24b73f8079f08eb7b9a2a442a1.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/23d0db579e048bd9aaae159607fa91db.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/c6e90fa463569a1a37a1d09e0f973000.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/2c60d75d-710f-4d2f-9ff4-e8de28cf0a31.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/b3b66c3e-8d8b-4e19-b9d3-e33da549d2cb.jpg.780x439.jpg;,
SH2417344005529403392,整租·香樟苑(浦东) 1室1厅 南,https://image1.ljcdn.com/lease-image/house/cca5ad993d1b84b4dfc03449584a339b.jpeg.250x182.jpg,浦东,杨思前滩,香樟苑(浦东),52,1室1厅1卫,南,5300,精装;随时看房;,中楼层/6层,2020-01-16,精装修,整租,季付,5300,0,2650,6号线-华夏西路-1171m;6号线-华夏西路-1171m;6号线-华夏西路-1171m;,False,False,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,False,民水,False,https://image1.ljcdn.com/lease-image/house/cca5ad993d1b84b4dfc03449584a339b.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/4c3531517115b91e294e20d77ce8b3e0.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/ac095e1245623859589ceeff6087b126.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/e7415cd3b86e2f56b8f81497fc5b1080.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/8ee4dfc46bfdc5f05daf54eba7a947a9.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/f2161b9b6bfebfacf1db4edd13a0f0b1.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/376332fe97a372ff6ee3feee192053f0.jpeg.780x439.jpg;,
SH2460887436637773824,整租·杨南新村 2室1厅 南/北,https://image1.ljcdn.com/lease-image/house/5d171acb-3617-45a2-bdad-9b87bd65f412.jpg.250x182.jpg,浦东,杨思前滩,杨南新村,68,2室1厅1卫,南/北,5650,新上;近地铁;精装;随时看房;,高楼层/7层,2020-02-20,精装修,整租,季付,5650,0,2825,6号线-灵岩南路-986m;6号线-灵岩南路-986m;,False,False,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,False,民水,False,https://image1.ljcdn.com/lease-image/house/be5406a7-04c5-4568-81a7-82262ddd6a63.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/f402224a-71d8-45b4-b27d-4488d54a2a12.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/d96dd7b8-6fba-403f-9cc2-7f172e2cdb73.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/798c187e-992b-4109-9c1a-c46472a15160.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/b9076abd-f556-4050-8439-67c0833326a2.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/5d171acb-3617-45a2-bdad-9b87bd65f412.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/5795e57a-4376-4218-80d8-6a366057ce2c.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/dc1a363f-c72f-4f2e-8714-fe0a4b0d83c5.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/1bfc29aa-e406-4818-b7d8-bf8b3378c1ea.jpg.780x439.jpg;,
SH2460789018435264512,整租·叠翠苑 3室2厅 南,https://image1.ljcdn.com/lease-image/house/68b494a2-a10a-4ad8-ba8a-1eabae5ffe13.jpg.250x182.jpg,浦东,杨思前滩,叠翠苑,96,3室2厅2卫,南,8350,新上;近地铁;精装;双卫生间;随时看房;,高楼层/6层,2020-02-20,精装修,整租,季付,8350,0,4175,6号线-灵岩南路-889m;6号线-灵岩南路-889m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,False,民水,False,https://image1.ljcdn.com/lease-image/house/614c44c3-d398-4063-a232-2307d58147e3.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/301089c9-f44d-4fd8-a5d7-920736853d34.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/d733ba01-7d83-46fe-a760-bf3671031886.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/8243ea27-1df9-415c-a097-3ac7e0d192ea.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/ce332284-e59d-4983-ba54-404b2e29fd7e.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/2c064797-6463-4e94-9639-62c32283c001.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/68b494a2-a10a-4ad8-ba8a-1eabae5ffe13.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/157662f5-a2e4-4a42-9fad-0407dfc2d9ff.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/9a86348b-dafd-444c-8624-7d454a365b39.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/f68d3072-7a5f-4a6f-94d0-f02bbedf658a.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/4f5ed63d-708e-4232-932d-2bed5137091e.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/34c87b09-0e59-4b11-849f-dba5db803c6b.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/c499283e-d3b4-4c75-b9d4-17a929515a22.jpg.780x439.jpg;,
SH2406259158787047424,整租·东方悦居 2室1厅 南/北,https://image1.ljcdn.com/lease-image/house/b2881b049e03e9c940934970d1105bf9.jpeg.250x182.jpg,浦东,杨思前滩,东方悦居,0,,,5800,随时看房;,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,,,,,,,False,,False,,
SH2419552409287401472,整租·小红楼 2室2厅 南/北,https://image1.ljcdn.com/lease-image/house/7a2d2975-8d24-4c4e-b286-727cc543039c.jpg.250x182.jpg,浦东,杨思前滩,小红楼,92,2室2厅1卫,南/北,7250,近地铁;精装;随时看房;,中楼层/6层,2020-01-16,精装修,整租,季付,7250,0,3625,6号线-灵岩南路-848m;6号线-灵岩南路-848m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,False,民水,False,https://image1.ljcdn.com/lease-image/house/34d44adb-eb8c-48b2-b28b-d4d0603cc755.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/642d80cd-0a17-4455-acd8-e778c839a4e5.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/0854923b-0fea-47cc-9b01-0c86ae34e2f7.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/f5b9aa4b-721a-4d47-b780-076bd852bfc1.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/aed5f921-462e-4184-bb92-ed55195a2475.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/b008c76f-e36d-411d-8207-4930a8182b80.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/6d850eb5-4003-4210-9620-8863a8ebe2f6.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/8f5f162e-1860-4c28-ab77-bb45c6f5afeb.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/7a2d2975-8d24-4c4e-b286-727cc543039c.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/6ad7af75-045c-4348-817f-21837ca246e4.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/58730555-511e-458e-88cd-abbfdafce528.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/2889b898-1a05-4bb8-9955-cbedc06fd8e8.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/4b8737d7-d197-4447-b1a0-b05572489a72.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/b8b49c30-9a5e-44e4-8e4e-46f59a896244.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/e851c2a4-9e0e-4ff9-a55f-2be3ed5f7a2f.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/cdd56260-0997-4b44-8717-54092498b568.jpg.780x439.jpg;,
SH2414501550371651584,整租·恒大华城天地苑 2室2厅 南/北,https://image1.ljcdn.com/lease-image/house/cc10d0f1-afa6-489c-abb4-76744a31d18c.jpg.250x182.jpg,浦东,杨思前滩,恒大华城天地苑,93,2室2厅1卫,南/北,7250,近地铁;精装;随时看房;,中楼层/9层,2020-01-16,精装修,整租,季付,7250,0,3625,6号线，8号线，11号线(花桥-迪士尼)，11号线(嘉定北-942m;6号线，8号线，11号线(花桥-迪士尼)，11号线(嘉定北-942m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,自采暖,暂无数据,随时可看,随时入住,True,民水,True,https://image1.ljcdn.com/lease-image/house/cc10d0f1-afa6-489c-abb4-76744a31d18c.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/7d551761-317e-44b5-9830-a15996b24f79.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/60bb6297-492e-482b-bf36-de0ee6da82e2.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/77c3797c-ce7a-461b-93ed-1cf5cdd8c7ba.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/0220e683-4e0d-4739-a831-535262a6f9c9.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/d81f9855-42a9-43e3-a55e-bc5a9ab65da1.jpg.780x439.jpg;,
SH2411396284755230720,整租·万科金色里程(公寓) 3室1厅 南,https://image1.ljcdn.com/lease-image/house/4741075cb492e67d6fe1528649b34757.jpeg.250x182.jpg,浦东,杨思前滩,万科金色里程(公寓),0,,,6800,精装;双卫生间;随时看房;,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,,,,,,,False,,False,,
