hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2426812600387387392,整租·桃林小区 2室2厅 南,https://image1.ljcdn.com/lease-image/house/703ac804-68fb-4105-b6c7-1c29ed8eada0.jpg.250x182.jpg,浦东,源深,桃林小区,107,2室2厅1卫,南,7500,近地铁;随时看房;,高楼层/24层,2020-01-04,,整租,季付,7500,0,3750,6号线-民生路-634m;6号线-民生路-634m;,False,False,True,True,True,False,True,False,True,False,暂无数据,民电,自采暖,暂无数据,随时可看,随时入住,True,民水,True,https://image1.ljcdn.com/lease-image/house/703ac804-68fb-4105-b6c7-1c29ed8eada0.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/80602e9c-6486-4b52-ab50-4739a55d00b3.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/41b1d67b-e5e4-4b3f-9bbd-0719a5628f11.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/37297e9b-9ea5-4475-8792-1afc1036b3f6.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/c05a1e0b-eab9-4a4e-90e0-873f86f172ba.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/dac5f7db-93cd-4fcc-8507-3561f7fbed80.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/8d664c82-dd4b-4ada-b530-a90caeccdb58.png.780x439.jpg;,
SH2415807153563500544,整租·新天家园 2室2厅 南,https://image1.ljcdn.com/lease-image/house/cb5512f9-4826-4a8c-bbfe-7cbbd142a4fc.jpg.250x182.jpg,浦东,源深,新天家园,104,2室2厅1卫,南,8500,近地铁;随时看房;,高楼层/18层,2020-01-12,,整租,季付,8500,0,4250,4号线，6号线-浦电路-1136m;4号线，6号线-浦电路-1136m;4号线，6号线-浦电路-1136m;4号线，6号线-浦电路-1136m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,自采暖,暂无数据,随时可看,随时入住,True,民水,True,https://image1.ljcdn.com/lease-image/house/80384909-e480-4869-a16b-44f2ab5f14a2.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/e5fe2e60-6987-45a0-9e61-56ad7ee52ace.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/4d1223d7-f99e-43d9-ae0f-925cfd6ee6a5.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/cb5512f9-4826-4a8c-bbfe-7cbbd142a4fc.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/7485479c-33bc-4820-ad53-41c87ba7e588.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/633543de-a311-4f28-9f54-986b82e89c8e.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/18e25250-e832-4e15-a81e-eb96a5ca2d07.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/a78865d7-e052-4b2e-a7cf-a51e4746c225.png.780x439.jpg;,
SH2438277585986666496,整租·山水国际 2室2厅 南,https://image1.ljcdn.com/lease-image/house/64941f1e-d325-4f94-b9bb-10b733c599f8.jpg.250x182.jpg,浦东,源深,山水国际,0,,,11700,近地铁;精装;双卫生间;随时看房;,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,,,,,,,False,,False,,
SH2390341265565949952,整租·桃林一小区 1室1厅 南,https://image1.ljcdn.com/310000-inspection/a36560d6-23b1-47d0-9d6e-12ec4945e530.jpg.250x182.jpg,浦东,源深,桃林一小区,38,1室1厅1卫,南,4500,近地铁;随时看房;,中楼层/7层,2020-02-21,,整租,季付,4500,0,需咨询,4号线，6号线-浦电路-1176m;4号线，6号线-浦电路-1176m;4号线，6号线-浦电路-1176m;4号线，6号线-浦电路-1176m;,True,True,True,True,True,False,True,True,True,True,租用车位,民电,自采暖,1年以内,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/2d4e7d40-5499-438f-b308-e371eb7402dc.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a36560d6-23b1-47d0-9d6e-12ec4945e530.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/58ad6388-7ebb-4da5-9311-288dff12f660.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/018d3301-c91a-47b7-a36b-20b39e417712.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/fd78b12b-b9ba-40dc-b5dd-2e44cc59135d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a7927b45-d942-4dd9-94cd-fd4ec7e72f93.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/1f2a82ee-1066-40c1-bb05-6e09246c0fe3.jpg.780x439.jpg;,【装修描述】居家装修，适合在这边工作客户长住，陪读，舒适度高，家具电器配置齐全【交通出行】地铁：小区南边紧靠9号线杨高中路地铁站，北边是6号线民生路地铁口 公交车：门口就是130路、775路、983路公交站【周边配套】生活配套设施齐全，有源深体育中 心，招商，工商银行，光大等银行；有加州，通茂等场所；有超市，医院，菜市场、大卖场等；桃林路豆香园，是晨练和晚间散步的好去处。【小区介绍】小区建于1995年，小区内有花园，小卖部，和蔬果摊子，生活便利，靠杨高中路地铁站，出门就有公交车站，出行方便。
SH2426025318167871488,整租·竹园新村(浦东) 1室1厅 南,https://image1.ljcdn.com/310000-inspection/ecaa9fa2-2958-4864-9df6-3eb67f842606.jpg.250x182.jpg,浦东,源深,竹园新村(浦东),0,,,4300,近地铁;,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,,,,,,,False,,False,,
SH2423821602073886720,整租·竹园新村(浦东) 1室1厅 南,https://image1.ljcdn.com/310000-inspection/8540c27d-fecf-401d-8efe-6afebd52419f.jpg.250x182.jpg,浦东,源深,竹园新村(浦东),42,1室1厅1卫,南,4500,近地铁;,高楼层/6层,2020-02-19,,整租,需咨询,4500,0,需咨询,6号线-民生路-1091m;6号线-民生路-1091m;6号线-民生路-1091m;6号线-民生路-1091m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/8540c27d-fecf-401d-8efe-6afebd52419f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/71b0e7cb-df6a-4f65-bd78-d463cda88f31.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/8a95918c-5a3f-49e0-9774-1e344869b6fc.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/012d31bf-6429-4232-ba8f-72986060c1ec.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/5ec9d9c0-771a-4efb-abd5-8425a1122b66.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/dc7e3aba-962b-489c-b5a4-6e93a7e06b9d.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20180108/179c3305-8463-4f17-8ae0-5bbf2324d5c2.jpg.780x439.jpg;,【房源亮点】配套实施齐全 ：全家、好德便利店，各种饭馆、药店，健身房等都在不行范围内，生活很便利。【交通出行】距离世纪大道地铁大约700米，2，4，6，9四条地铁线。到世纪大道地铁站大约400米，2469四条地铁，交通便利。世纪汇，96广场，源深体育馆等配套齐全【周边配套】竹园商贸区，交通购物方便快捷，是居住的好地方，近源深体育馆，并配有中国银行，联华超市，竹园菜场，生活出行都很方便。【小区介绍】小区房龄集中在1987-1990年，多数为一梯四户，小区规模适中，交通便利，配套齐全，深受租房人群关注。
SH2374489637726470144,整租·竹园新村(浦东) 1室1厅 南,https://image1.ljcdn.com/310000-inspection/26ba2985-8576-4961-a004-067ec136e44e.jpg.250x182.jpg,浦东,源深,竹园新村(浦东),43,1室1厅1卫,南,4200,近地铁;随时看房;,高楼层/6层,2020-01-10,,整租,需咨询,4200,0,需咨询,6号线-民生路-1091m;6号线-民生路-1091m;6号线-民生路-1091m;6号线-民生路-1091m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/26ba2985-8576-4961-a004-067ec136e44e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/16646975-38a2-4d68-ac4f-f816ccae4d48.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/0f849647-b881-45cf-a484-5091d243b866.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/988f7370-8bbc-485b-8161-0c342e5aeea0.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/004dd07e-8476-4f50-a2eb-7602b3a06c19.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/5dd2eafd-f1b6-4926-874e-9b38198247a7.jpg.780x439.jpg;,【房源亮点】配套实施齐全 ：全家、好德便利店，各种饭馆、药店，健身房等都在步行范围内，生活很便利【交通出行】距离世纪大道地铁大约700米，2，4，6，9四条地铁线。到世纪大道地铁站大约400米，2469四条地铁，交通便利。世纪汇，96广场，源深体育馆等配套齐全【小区介绍】小区房龄集中在1988-1990年，多数为一梯四户，小区规模适中，交通便利，配套齐全，深受租房人群关注
SH2457750352133898240,整租·竹园新村(浦东) 1室1厅 南,https://image1.ljcdn.com/110000-inspection/a6cd3369-a0a9-4aeb-9a9e-53f88ddbb721.jpg.250x182.jpg,浦东,源深,竹园新村(浦东),40,1室1厅1卫,南,4500,近地铁;,高楼层/6层,2020-02-24,,整租,需咨询,4500,0,需咨询,6号线-民生路-1091m;6号线-民生路-1091m;6号线-民生路-1091m;6号线-民生路-1091m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/110000-inspection/a6cd3369-a0a9-4aeb-9a9e-53f88ddbb721.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/c1ace2f8-8f59-48dc-b8e7-3da0342d30e2.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/07f0a416-36a4-4670-87a1-6bc5abb910fe.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/37cb58a9-19d2-4a06-8fe5-2f0b6cf76ad1.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/6bdc3565-e23c-4dc9-a178-c1983fb67ee5.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/0fbf5a59-9cb4-474b-9d83-4898af629a96.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/6200c7ce-ab21-49f4-9276-7bc07fbf5399.png.780x439.jpg;,
SH2349195213312106496,整租·竹园新村(浦东) 1室1厅 南,https://image1.ljcdn.com/310000-inspection/2890c1f5-029c-4eb6-9b19-9e9bbc3db07a.jpg.250x182.jpg,浦东,源深,竹园新村(浦东),40,1室1厅1卫,南,5300,近地铁;,高楼层/6层,2020-02-24,,整租,需咨询,5300,0,需咨询,6号线-民生路-1091m;6号线-民生路-1091m;6号线-民生路-1091m;6号线-民生路-1091m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/1ad6566d-038d-4440-86a4-e1ded24b3439.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/55aaf668-fc02-46d6-9d93-0d6ba00fd0bd.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/2890c1f5-029c-4eb6-9b19-9e9bbc3db07a.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/c204cab1-34d5-40c0-85ce-40addfefc48b.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/7a2fc4a6-68d4-45fc-a901-39c9e4309baa.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/8252e001-fe52-4841-844c-8d86b1a4e758.jpg.780x439.jpg;,【房源亮点】配套实施齐全 ：全家、好德便利店，各种饭馆、药店，健身房等都在不行范围内，生活很便利【交通出行】距离世纪大道地铁大约700米，2，4，6，9四条地铁线。到世纪大道地铁站大约400米，2469四条地铁，交通便利。世纪汇，96广场，源深体育馆等配套齐全【小区介绍】小区房龄集中在1987-1990年，多数为一梯四户，小区规模适中，交通便利，配套齐全，深受租房人群关注
SH2452985910921535488,整租·竹园新村(浦东) 1室1厅 南,https://image1.ljcdn.com/110000-inspection/8dd3ecf8-9861-4f58-b791-2079912f15e8.jpg.250x182.jpg,浦东,源深,竹园新村(浦东),0,,,4500,近地铁;随时看房;,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,,,,,,,False,,False,,
