hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2423776560592470016,整租·京浦小区 1室1厅 南,https://image1.ljcdn.com/110000-inspection/427bc1c1286702005c65973bb3fc5fac.jpg.250x182.jpg,浦东,御桥,京浦小区,41,1室1厅1卫,南,3600,近地铁;,中楼层/6层,2020-02-24,,整租,需咨询,3600,0,需咨询,11号线(花桥-迪士尼)，11号线(嘉定北-862m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/110000-inspection/427bc1c1286702005c65973bb3fc5fac.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/f56dd94501f30d1131198222bddf8f6b.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/e6a4e963e3cd1ebfc2f8da951ec56318.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/545e4137431a844f36daa46e6bc96038.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20171027/ae4e80db-4c27-4d00-9747-641dbdd7550b.jpg.780x439.jpg;,【交通出行】公交：779到龙阳路，581到周浦万达广场，988直达陆家嘴；地铁11号线贯穿东西，18号线正在修建，预计2019年底差不多开通，链接南北【周边配套】地杰菜场，平价菜场，菜品放心；东郊百联，购物方便；宜家家居，优质家居；地铁11号线，出行方便；御康医院，安达医院，为您的健康保驾护航。【小区介绍】小区居住人群年龄偏大，生活节奏慢，生活配套齐全，出门即东郊百联，购物方便，出门即沪南路，出行方便。
SH2390336962814025728,整租·御桥馨华苑 1室1厅 南,https://image1.ljcdn.com/310000-inspection/dde027b3-ed0f-48e4-867a-81a6ea8c00f3.jpg.250x182.jpg,浦东,御桥,御桥馨华苑,53,1室1厅1卫,南,4000,近地铁;随时看房;,中楼层/5层,2020-02-23,,整租,季付,4000,0,需咨询,11号线(花桥-迪士尼)，11号线(嘉定北-465m;,True,True,True,True,True,False,True,False,True,True,暂无数据,民电,自采暖,1年以内,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/267fcd62-c9ce-4ec7-bc6b-b4fcf1092c32.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/59582dde-1deb-4a6f-87fa-4d58848b0abc.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/dde027b3-ed0f-48e4-867a-81a6ea8c00f3.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f1b09a11-d34c-47b4-b57c-187bcce16352.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/32ca9903-aef5-4017-af6f-6fa5f8327bf5.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/prod-d13d80f8-174b-44f8-a508-47882a387be4.png.780x439.jpg;,【房源亮点】面积大，采光好，家具家电齐全，拎包入住，交通便利，配套齐全，适合居家【交通出行】公交：779到龙阳路，581到周浦万达广场，988直达陆家嘴； 地铁11号线贯穿东西，18号线正在修建，预计2019年底差不多开通，链接南北。【周边配套】地杰菜市场 如海超市 世纪联华超市 万科2049综合体 东郊百联商场 宜家等
SH2421612829091037184,整租·地杰国际城D街坊 2室2厅 南,https://image1.ljcdn.com/310000-inspection/3bbd9205-f186-4998-8b4f-da2e234e8e6d.jpg.250x182.jpg,浦东,御桥,地杰国际城D街坊,81,2室2厅1卫,南,5500,近地铁;随时看房;,高楼层/18层,2020-02-23,,整租,需咨询,5500,0,需咨询,11号线(花桥-迪士尼)，11号线(嘉定北-415m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,True,民水,True,https://image1.ljcdn.com/310000-inspection/3bbd9205-f186-4998-8b4f-da2e234e8e6d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/ace2729b-ff9e-4636-9126-5b07ecbeee1c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/0eb9b03a-21d8-4132-a9ef-626ecd94bf30.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/c890fa68-9afb-40e9-8bb1-6ede445a9df3.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/603a8ddd-d452-4759-aa99-1c736b9d8e0b.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/e414f283-62c1-4656-9ad7-fc15d0f149aa.png.780x439.jpg;,【户型介绍】朝南卧室，采光充足，宽敞客厅，活动空间充足，电梯房，楼层适中，居住舒适。【交通出行】公交：779到龙阳路，581到周浦万达广场，988直达陆家嘴；地铁11号线贯穿东西，18号线正在修建，预计2019年底差不多开通，链接南北【周边配套】地杰菜场，平价菜场，菜品放心；东郊百联，购物方便；宜家家居，优质家居；地铁11号线，出行方便；御康医院，安达医院，为您的健康保驾护航。
SH2408718112036749312,整租·地杰国际城D街坊 1室1厅 南,https://image1.ljcdn.com/310000-inspection/d28c328b-7632-4b45-94a4-4e5cb4aca46b.jpg.250x182.jpg,浦东,御桥,地杰国际城D街坊,56,1室1厅1卫,南,3800,近地铁;随时看房;,高楼层/27层,2020-02-23,,整租,需咨询,3800,0,需咨询,11号线(花桥-迪士尼)，11号线(嘉定北-415m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,True,民水,True,https://image1.ljcdn.com/310000-inspection/d28c328b-7632-4b45-94a4-4e5cb4aca46b.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/9d50dff5-2032-4b4a-8077-9e8fca907c32.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/10efce21-4b12-475b-8500-4c8e8e184dfa.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/2a52dec0-d5fe-4e08-ae1a-f97c62355412.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/70f42612-6f7d-4818-9fda-34070f3d4838.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/test-7d072ea4-6387-41ac-866f-c5d053a3e72f.png.780x439.jpg;,【户型介绍】朝南卧室，采光充足，宽敞客厅，活动空间充足，电梯房，楼层适中，居住舒适。【交通出行】公交：779到龙阳路，581到周浦万达广场，988直达陆家嘴；地铁11号线贯穿东西，18号线正在修建，预计2019年底差不多开通，链接南北【周边配套】地杰菜场，平价菜场，菜品放心；东郊百联，购物方便；宜家家居，优质家居；地铁11号线，出行方便；御康医院，安达医院，为您的健康保驾护航。
SH2432459465891512320,整租·绿洲康城亲水湾(中央区) 1室1厅 南,https://image1.ljcdn.com/310000-inspection/959daf1c-8124-4b7d-8c9a-29695cf42309.jpg.250x182.jpg,浦东,御桥,绿洲康城亲水湾(中央区),60,1室1厅1卫,南,4200,,中楼层/23层,2020-02-24,,整租,需咨询,4200,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,True,民水,True,https://image1.ljcdn.com/310000-inspection/8c9b64e4-dbef-4aea-9bea-ea2530808023.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/959daf1c-8124-4b7d-8c9a-29695cf42309.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/55eab5ea-a4da-47df-971d-b4ba282f1318.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/086eabe2-06f7-440c-a5de-7df7e92fae70.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/af5b1e3b-fa6b-41a4-9fc6-7934696cd044.jpg.780x439.jpg;,【房源亮点】高楼层的一房，家具家电齐全，拎包入住，品质小区，地铁近。。。【交通出行】小区西门往北步行1.5公里可到11号线御桥地铁站，乘坐地铁出行方便，康桥路上有康桥路御秀路公交车站，有632路，779路，南南线，周康1路，779路公交车可达陆家嘴地铁站【周边配套】小区出门有时代如海超市，餐饮有川菜馆，淮南牛肉汤，黄焖鸡沙县小吃等；可到达亲水湾城市生活广场，里面有儿童乐园，台球室和康桥健身等休闲娱乐，生活广场往北沿御水路往北步行一公里就是御桥路，边就是御桥地铁站，地铁站商场有万科2049【小区介绍】绿洲康城亲水湾中，央区，位于康桥路1558弄，建筑年代从07年到19年共计五期，开发商为上海振龙房地产开发有限公司，由上海中远物业管理发展有限公司负责物业管理。车位配比1:1.2，绿化60%，容积2.08。小区共5个门，部分人车分离。
SH2406433497876275200,整租·御桥花园 3室1厅 南,https://image1.ljcdn.com/310000-inspection/e63a04e4-08e0-483e-a8ea-9a8f283f45c1.jpg.250x182.jpg,浦东,御桥,御桥花园,86,3室1厅1卫,南,4800,近地铁;随时看房;,高楼层/6层,2020-02-25,,整租,季付,4800,0,需咨询,11号线(花桥-迪士尼)，11号线(嘉定北-86m;,False,False,True,False,False,False,False,False,True,False,暂无数据,民电,暂无数据,1年以内,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/25a9818a-c41a-4600-8983-2db0e34d8e13.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a574951b-58ec-413a-87ed-c3d5001d32b8.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f294ff65-5592-4623-ab09-79386e4bec5d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/99569152-254b-4307-9d00-b29b3c572448.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e63a04e4-08e0-483e-a8ea-9a8f283f45c1.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/c382de8e-bcd7-4f77-b854-277a7ae98032.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/4e32a864-4424-4a8b-9a75-394427338023.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f8516fe7-9561-4685-aa12-616bdff8ec11.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/prod-7a59020f-0dcd-44bb-b631-21e28cc1a4c3.png.780x439.jpg;,【户型介绍】御桥花园简单装修，三房价格便宜，面积大；风格整洁、诚心出租。【周边配套】小区门口就是11号线御桥地铁站，18号线预计明年通车，公交车站、公交车路线发达，地杰菜市场， 商城 超市都很齐全，如海购物超市，华联超市，联华超市，2049商城，东郊百联，宜家，中影星美国际影城等；旁边有御桥小.学，建平中.学等学.校。【小区介绍】本房是御桥花园简装三房，户型双卧朝南，彩光好，通风好；小区是御桥商品房小区，大多是多层，绿化多，面积大，环境优美，到地铁站两百米，交通便利
SH2426786864641359872,整租·绿洲康城亲水湾(中央区) 1室1厅 南,https://image1.ljcdn.com/310000-inspection/cc6aff4c-3001-47ba-bc40-c65e24192f23.jpg.250x182.jpg,浦东,御桥,绿洲康城亲水湾(中央区),49,1室1厅1卫,南,4800,,中楼层/20层,2020-02-24,,整租,需咨询,4800,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,True,民水,True,https://image1.ljcdn.com/310000-inspection/0b8e62d5-7306-4732-b091-04f57df62791.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/cc6aff4c-3001-47ba-bc40-c65e24192f23.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/d39e9757-a153-441f-888d-42f50e003b62.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/df298fa7-6dd5-4941-b9ba-762c3696e41a.jpg.780x439.jpg;,【交通出行】小区出西门往北步行1.5公里可到11号线御桥地铁站，乘坐地铁出行方便，康桥路上有康桥路御秀路公交车站，有632路，779路，南南线，周康1路，779路公交车可达陆家嘴地铁站【周边配套】小区北门有时代如海超市，餐饮有川菜馆，淮南牛肉汤，黄焖鸡沙县小吃等；可到达亲水湾城市生活广场，里面有儿童乐园，台球室和康桥健身等休闲娱乐，生活广场往北沿御水路往北步行一公里就是御桥路，边就是御桥地铁站，地铁站商场有万科2049【小区介绍】绿洲康城亲水湾中，位于康桥路1558弄，建筑年代从07年到16年共计五期，开发商为上海振龙房地产开发有限公司，由上海中远物业管理发展有限公司负责物业管理。车位配比1:1.2，绿化，率45%，容积，率2.08
SH2417409683490357248,整租·地杰国际城D街坊 1室1厅 南,https://image1.ljcdn.com/310000-inspection/532bec4f-e949-4f07-842b-344d2a489aeb.jpg.250x182.jpg,浦东,御桥,地杰国际城D街坊,54,1室1厅1卫,南,4500,近地铁;随时看房;,中楼层/18层,2020-02-23,,整租,需咨询,4500,0,需咨询,11号线(花桥-迪士尼)，11号线(嘉定北-415m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,True,民水,True,https://image1.ljcdn.com/310000-inspection/1f699184-3000-4575-a7d1-a88330a0fa6f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/532bec4f-e949-4f07-842b-344d2a489aeb.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/d30d0929-2f41-4d13-94f5-183d92c4f9cb.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/33bf5ba7-6a9b-4883-b5d8-27f91f90c8ca.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e8f96e5f-5531-4e88-87eb-8ddede54f3cf.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/f70d0820-a954-42e7-8aa6-0919cdd5db5c.png.780x439.jpg;,【户型介绍】朝南卧室，采光充足，宽敞客厅，活动空间充足，电梯房，高楼层，居住舒适。【交通出行】公交：779到龙阳路，581到周浦万达广场，988直达陆家嘴；地铁11号线贯穿东西，18号线正在修建，预计2019年底差不多开通，链接南北。【周边配套】地杰菜场，平价菜场，菜品放心；东郊百联，购物方便；宜家家居，优质家居；地铁11号线，出行方便；御康医院，安达医院，为您的健康保驾护航。
SH2407201918226276352,整租·锦绣华都 1室2厅 南,https://image1.ljcdn.com/310000-inspection/4d7e87e1-39ad-4390-a516-34db54b477bb.jpg.250x182.jpg,浦东,御桥,锦绣华都,91,1室2厅1卫,南,4800,随时看房;,高楼层/18层,2020-02-25,,整租,需咨询,4800,0,需咨询,11号线(花桥-迪士尼)，11号线(嘉定北-1019m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,True,民水,True,https://image1.ljcdn.com/310000-inspection/dae67c17-9df3-4d50-8c03-070a8bf0c48d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/0c55f39b-48c0-41df-abe0-2d07c5951c0e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/4d7e87e1-39ad-4390-a516-34db54b477bb.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/cdf98550-8a1b-4f19-8c82-388010482127.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/9a6c66ce-2997-414d-a53b-fd7191d899d8.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/880bea80-c613-4729-9d7c-0d8e5d0e08f8.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b38a4535-d2b2-4e93-85b6-f9f0f4e3543b.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/76fcef95-14dc-43d7-88d6-ee76ceaf9c19.png.780x439.jpg;,【户型介绍】小区中区位置2创新户型，全明设计，南北通透，阔绰阳台，超大的飘窗，在宽松和舒适之中纳入更多的阳光和风景。【交通出行】11号线御桥路站，16号罗山路站， 632、779、南南线、周康1路等公交线路。【周边配套】万科2049、15万方万科配套、百联东郊、宜家、红星美凯龙、莱茵广场、中影星美国际电影院、4S店群、亲水湾生活广场，金吉鸟健身房等一站式服务
SH2428258070548455424,整租·京浦小区 2室1厅 南,https://image1.ljcdn.com/310000-inspection/0791648d-db29-4c39-9886-390f710d8a8b.jpg.250x182.jpg,浦东,御桥,京浦小区,53,2室1厅1卫,南,5200,近地铁;,高楼层/6层,2020-02-22,,整租,需咨询,5200,0,需咨询,11号线(花桥-迪士尼)，11号线(嘉定北-862m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/92e53454-68da-49b6-91fd-11c5fde0e978.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/19933782-927d-463b-bc0a-3771576f5dbb.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/49525e20-84f5-4c2d-8c13-56f77e69a585.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/87eb3cf4-37d8-4db2-ad1a-582a78c7e15b.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/c0f4dee6-3838-45d4-9df1-4dfc37231e9e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/0791648d-db29-4c39-9886-390f710d8a8b.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/47ee591f-5303-4676-8ae9-9257cddbaf2e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/56f2eff0-58cb-4463-a7ea-a3f012c29884.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/da8f9cdc-fde0-4981-9e96-7fde14fee285.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/64988c66-413a-4964-a289-6763e7511dcd.png.780x439.jpg;,【交通出行】公交：779到龙阳路，581到周浦万达广场，988直达陆家嘴；地铁11号线贯穿东西，18号线正在修建，预计2019年底差不多开通，链接南北。【周边配套】地杰菜场，平价菜场，菜品放心；东郊百联，购物方便；宜家家居，优质家居；地铁11号线，出行方便；御康医院，安达医院，为您的健康保驾护航。【小区介绍】小区居住人群年龄偏大，生活节奏慢，生活配套齐全，出门即东郊百联，购物方便，出门即沪南路，出行方便。
