hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2371788443153350656,整租·杨镇新村 2室1厅 南,https://image1.ljcdn.com/310000-inspection/53d7b380-5ccc-41ab-a559-d06526da8382.jpg.250x182.jpg,浦东,张江,杨镇新村,72,2室1厅1卫,南,4700,随时看房;,高楼层/6层,2020-02-24,,整租,需咨询,4700,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/13ea2143-003f-4b52-84b7-f19a750401a2.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/55da243e-889c-4b3d-a571-8aa4bd728320.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/53d7b380-5ccc-41ab-a559-d06526da8382.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/1e6bb1c9-09ff-48f0-8e6f-1fe4cd3d7a4d.jpg.780x439.jpg;,【户型介绍】两房朝南，房子空间挺大，采光很好，一厨一卫，装修还可以...【装修描述】一般居家装修，家具家电齐全，干净整洁，明亮舒适，是杨镇新村少有的两房【周边配套】张江高科地铁站，小区里有很多小吃店，便宜实惠，传奇广场，德国中 芯有中国银行，还有一些商店
SH2458464912150896640,整租·川杨新苑(一期) 2室1厅 南,https://image1.ljcdn.com/110000-inspection/3ea956413ec457e66cc9712aa4a02237.jpg.250x182.jpg,浦东,张江,川杨新苑(一期),53,2室1厅1卫,南,4500,近地铁;,低楼层/6层,2020-02-25,,整租,需咨询,4500,0,需咨询,13号线-张江路-14m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,2020-02-29,False,民水,True,https://image1.ljcdn.com/110000-inspection/3ea956413ec457e66cc9712aa4a02237.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/ebe3e7df7ee58e9c2de60ab92e1be4de.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/c3a40f59e078e11ec71b4a8a46c405c8.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/5124019778934bf968f36afd1deee218.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/3b7a105ee7645d308758219e0348db59.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/5a385a34a6bfbd1c555b77ce4867964e.jpg.780x439.jpg;,
SH2459331451674968064,整租·香楠小区 2室1厅 南,https://image1.ljcdn.com/110000-inspection/f513056cdc3dd23ea71cb3054a4ce002.jpg.250x182.jpg,浦东,张江,香楠小区,64,2室1厅1卫,南,5500,近地铁;随时看房;,高楼层/6层,2020-02-21,,整租,需咨询,5500,0,需咨询,2号线-广兰路-969m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/110000-inspection/f513056cdc3dd23ea71cb3054a4ce002.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/35022a7aaaaa029a58900ec61d014419.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/e8d0ba12e464dcb364c27f91f038785d.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/aa8c24ac653b441efc2da89b74ab1e6f.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/bc1e5ddb634c590220c0efd17209cef2.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/07a523926fe051027886e9a079b807dc.jpg.780x439.jpg;,【交通出行】小区门口就是2号线地铁广兰站。990路，1046路公交车从小区门口穿过。贯穿整个张江，直达川沙曹路等。 小区边就是龙东大道和中环高架，去市区陆家嘴也比较便利【周边配套】此房配套齐全 商场：长泰广场，汇智广场，联华超市，品直多超市等。 金融：中国银行，中国建设银行，中国工商银行，中国农业银行，浦发银行等【小区介绍】香楠小区位于香楠路广兰路，是一片很大的生活区域。生活、购物、交通都十分方便，围绕的都是高档小区：东方日出苑、中芯花园、东郊华庭、城市经典、日月光水岸花园。 香楠小区是典型的好地方，成交量高，是创业初始阶段过度房的优选
SH2460925696122830848,整租·盛大天地青春里2.0 2室2厅 北,https://image1.ljcdn.com/110000-inspection/0ff61248d277697283f4ad53d1dc265f.jpg.250x182.jpg,浦东,张江,盛大天地青春里2.0,0,,,5000,新上;双卫生间;,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,,,,,,,False,,False,,
SH2388845407720710144,整租·申城佳苑 2室1厅 南,https://image1.ljcdn.com/310000-inspection/e15e37fe-1839-469e-ab3b-48254ad3c4f9.jpg.250x182.jpg,浦东,张江,申城佳苑,56,2室1厅1卫,南,4600,随时看房;,高楼层/17层,2020-02-20,,整租,需咨询,4600,0,需咨询,13号线-张江路-984m;,False,False,False,False,False,False,False,False,False,False,暂无数据,暂无数据,暂无数据,暂无数据,需提前预约,随时入住,True,暂无数据,False,https://image1.ljcdn.com/310000-inspection/72cf8e3f-62dd-4294-8455-644646d1fc6f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/9fd4adae-4494-4ee1-a1da-d3a4a41161a9.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e15e37fe-1839-469e-ab3b-48254ad3c4f9.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e589ef0d-67ec-4f42-8ac9-45431fb51d42.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/49e17e5e-907c-48a5-b966-2f8ecf58596d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/5d4a1a3d-4af7-461e-8a5e-2659f0a0b2e0.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/5997b76b-090d-46c3-b686-ff6ff8d532ef.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/4260f8d4-de56-4f6b-8d58-927a42aceb7e.jpg.780x439.jpg;,【装修描述】精装修，家具家电齐全，户型好采光好，电梯房，一室一厅一厨一卫【周边配套】小区外配有超市，菜市场，银行等等，生活配套满足生活的基本需求【小区介绍】小区环境好，绿化整体充足，新动迁房小区，居住人员素养普遍高，有地下停车库，是整个张江最 好停车的小区。
SH2423793356741287936,整租·益丰新村 3室1厅 南,https://image1.ljcdn.com/310000-inspection/b2de8c78-688e-4de5-a830-61446185d3a2.jpg.250x182.jpg,浦东,张江,益丰新村,74,3室1厅1卫,南,5500,随时看房;,低楼层/6层,2020-02-24,,整租,需咨询,5500,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/c7a3fd4e-6fae-47e2-931b-c66b9b14a26b.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b2de8c78-688e-4de5-a830-61446185d3a2.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b4bda414-90a9-40d2-9ba1-e7fc3cbaef74.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/8445fb36-a4a5-4141-9205-f7873b9a87ef.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/5c26ad4b-ab32-4426-9ee1-b21d6dcc828b.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/909bb84a-d280-413b-b38d-35fc7ec92125.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b2442f55-a84d-43fb-b797-9ef4e24db94f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a88a84b1-279d-44e9-8272-94177fed281b.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/04590f9e-03a6-4092-ace5-9ab4a9a85687.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/db374a7f-d458-4648-af4c-676848cfffaf.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/61cb811b-0d99-4f0a-9e57-114bb5f1d113.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/36e0ebd9-5289-44b2-9893-d766655a835f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/9f0d45f4-0306-46ea-a38c-3cd215a7edd3.jpg.780x439.jpg;,【装修描述】一般装修，采光好，据家具家电齐全， 诚意出租，看房又方便。【交通出行】江路大门口就是公交站有609路，615路，浦东14路，可直达2号线广兰路及13号线张江路站，交通比较便利。【周边配套】小区在益江路盛夏路路口，三期小广场，饮食一条街，小广场晚上很热闹，有小朋友在广场玩耍。联华超市就在小区正对门，距张衡公园600米，晚上饭后散步之良地，锻炼身体。而且益江路菜市场就在去张衡公园路上，回来的时候顺带可以买点菜。
SH2429460095546171392,整租·紫晶苑 2室1厅 南,https://image1.ljcdn.com/310000-inspection/e5c8870a-ad05-4cda-89c4-40c7a8564e4a.jpg.250x182.jpg,浦东,张江,紫晶苑,60,2室1厅1卫,南,4200,,中楼层/14层,2020-02-21,,整租,需咨询,4200,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,True,民水,False,https://image1.ljcdn.com/310000-inspection/e5c8870a-ad05-4cda-89c4-40c7a8564e4a.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a78d1ea1-82a9-427d-9824-535bc4d26462.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e71d0d9d-89bc-4fec-8268-eacaf2392626.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/5063c882-6b7e-4da0-a8e9-c7bb3673782d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/98e85ba4-be6c-49cf-a3c4-ce5aa51fd88c.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/00228940-e4f9-4770-ba5b-6d257afd985c.png.780x439.jpg;,【户型介绍】两房户型，楼层位置佳，环境好，采光好，业主自住装修，居住舒适。【交通出行】小区门口就有公交车站，有公交车可以直达金科地铁站，距离13号线学林路站和张江路站各约1.5公里，出行便利。【小区介绍】小区绿化高，基础设施完善，环境安静，居住舒适。小区旁边配套有超市，饭店，便利店。
SH2322984438348120064,整租·申城佳苑 2室1厅 南,https://image1.ljcdn.com/310000-inspection/281bcee3-acb9-470d-b2f6-f72526497f32.jpg.250x182.jpg,浦东,张江,申城佳苑,88,2室1厅1卫,南,4500,近地铁;,高楼层/6层,2020-01-20,,整租,需咨询,4500,0,需咨询,13号线-张江路-984m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/281bcee3-acb9-470d-b2f6-f72526497f32.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e00641f1-e733-474d-a78f-5407ae206207.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/15edfafb-d2e5-4add-bd0e-6d0eb5f872e9.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a8bccf28-6144-410d-bea7-181197a97468.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/1b649b54-c17f-4467-a364-a80fad911432.jpg.780x439.jpg;,【户型介绍】此房为原始电梯两房，一房朝南一房朝北。。。。。。。。。。。。。【周边配套】小区外配有超市，菜市场，银行等等，生活配套满足生活的基本需求。【小区介绍】小区环境好，绿化整体充足，新动迁房小区，居住人员素养普遍高，有地下停车库。
SH2104292680095252480,整租·展想悦廷 1室1厅 南,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20200218110553137,浦东,张江,展想悦廷,54,1室1厅1卫,南,4400,近地铁;精装;,中楼层/16层,2020-02-23,精装修,整租,需咨询,4400,0,需咨询,2号线-广兰路-464m;,False,False,False,False,False,False,False,False,False,False,暂无数据,商电,自采暖,1年以内,需提前预约,随时入住,True,商水,False,,【户型介绍】房子07年建成 一共三栋 此房属于中间二号楼 户型方正舒适采光好【装修描述】开发商统一装修、统一空调、地面是地毯，家具的话是统一的风格，适合年轻人【交通出行】离地铁2号线广兰路步行500米的距离，楼下多元化配套 ，交通出行方便【周边配套】此房所在位置繁华，气息浓厚。 商场：长泰广场，汇智广场，联华超市，品直多超市等。 金融：中国银行，中国建设银行，中国工商银行，中国农业银行，浦发银行等。 广兰公园，紫薇公园等
SH2409980492062662656,整租·川杨新苑(一期) 2室1厅 南,https://image1.ljcdn.com/310000-inspection/c8567446-c48f-402c-8242-4e89f88d4bdd.jpg.250x182.jpg,浦东,张江,川杨新苑(一期),75,2室1厅1卫,南,5500,近地铁;,高楼层/6层,2020-02-25,,整租,需咨询,5500,0,需咨询,13号线-张江路-14m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/166cc5ae-571a-4965-b8a8-2de04a794ebf.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/d2551c06-1446-4548-a84e-72faee540fd6.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/9639c19c-1865-4830-b020-db62ab91b136.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/c8567446-c48f-402c-8242-4e89f88d4bdd.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/eca0dd57-d41b-4455-ac12-3cc43e21269d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/5e958780-465f-40c8-98c8-b9db19e7f89d.jpg.780x439.jpg;,【装修描述】原始两房，装修简洁，带阳台和露天花园，视野好；家具家电齐全，拎包入住。【交通出行】小区门口400米就是13号线张江路地铁站2号口，出小区门张江路上就有公交站牌，有多路公交车经过【周边配套】小区门口有小超市、餐厅，过华夏高架就是孙桥镇步行街，吃喝玩乐一应俱全
