hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2351350723297411072,整租·桃园新城中城苑 1室1厅 南,https://image1.ljcdn.com/310000-inspection/0199f7fe-d50b-440c-811d-9aca9d87db88.jpg.250x182.jpg,浦东,周浦,桃园新城中城苑,59,1室1厅1卫,南,2100,随时看房;,高楼层/5层,2020-02-23,,整租,需咨询,2100,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/d5c0adb0-197b-4450-ac5e-c47b628e699a.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/20a94d5f-5bce-4c65-b577-f2fb4c6e53a9.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/pc1_wXGO7t8cA_1.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/affe353e-3f28-41ef-aa11-a66d7a922580.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/d6d330f6-9c76-465f-a844-c3c839a9e4f6.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/standard_bea37724-8bd5-4de9-a48c-46e85b4bd6d2.png.780x439.jpg;,【交通出行】出小区大门和侧门都有公交车站，不管到万达广场还是地铁站都是很方便的！！！！！！！！！！！！【出租原因】房东现在租售同步的，不想房子空置，价格实惠，适合着急和短租的朋友！！！！！！！！！！！！！【周边配套】出小区大门往右手边走就是憇园。出小区后门有农民自己种菜卖的一个小菜场。小区对口幼儿园童心幼儿园，离周浦医院也近！
SH2369334367425404928,整租·圣鑫苑 1室1厅 南,https://image1.ljcdn.com/310000-inspection/29fb848e-0334-4bf5-ad17-35fe60756fcb.jpg.250x182.jpg,浦东,周浦,圣鑫苑,40,1室1厅1卫,南,2100,随时看房;,高楼层/18层,2020-02-16,,整租,需咨询,2100,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,True,民水,False,https://image1.ljcdn.com/310000-inspection/29fb848e-0334-4bf5-ad17-35fe60756fcb.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a083c05e-2e04-4dba-8b5e-1fdf7b8cff8b.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/208c7c54-ed46-415d-82b6-c476f569107d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/dd3d4b7f-d9ee-4931-a12e-91a7edf46c63.jpg.780x439.jpg;,【房源亮点】小区绿化好、楼间距大、距离大润发购物广场400米、距秀沿路地铁站1.5公里，【装修描述】精装修，家具家电基本齐全(电视，冰箱，洗衣机等），装修比较好【交通出行】小区门口 16号线周浦东站和18号线万达站，1002路公交车，451路公交 地铁公交方便
SH2462104387191832576,整租·梧桐国际 1室1厅 南,https://image1.ljcdn.com/310000-inspection/bf132e41-964e-492a-b12b-87bc60ada81e.jpg.250x182.jpg,浦东,周浦,梧桐国际,67,1室1厅1卫,南,3500,新上;,中楼层/12层,2020-02-22,,整租,需咨询,3500,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,商电,暂无数据,暂无数据,需提前预约,随时入住,True,商水,False,https://image1.ljcdn.com/310000-inspection/04b0c13c-4ee3-455e-9a04-4b1fd8d35355.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/bf132e41-964e-492a-b12b-87bc60ada81e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/fa06f5cb-9b55-443b-999d-e22eeaf82106.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/64960079-7a97-4366-b00b-02233468c0c1.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/530bf5d9-462a-407b-ac85-f187dbb936f5.jpg.780x439.jpg;,【房源亮点】精装修，可以随时拎包入住，生活方便。。。。。。。。。。。。。。。。。。。【交通出行】《公交》：992路581路 624路 639路 974路 975路 451路 周康3路 周康6路 轨道交通：秀沿路站（11号线） 周浦东站(16号线)、在建地铁18号线（周浦站）【周边配套】商场：周浦万达广场、绿地缤纷广场、印象春城广场、绿地乐和城、小上海步行街、康桥大润发超市、乐购； 医院：周浦医院，康沈医院，女子知音医院 ，国龙医院； School：康弘幼儿园、崂山、康桥第三幼儿园、上海市傅雷、尚德【小区介绍】房子地理位置不错 ，小区环境很好，精装修，可以随时拎包入住，生活方便
SH2461441765551374336,整租·桃园新城中虹佳园 2室2厅 南/北,https://image1.ljcdn.com/110000-inspection/fc2178803d8428f3990eace8c9dc9b1d.jpg.250x182.jpg,浦东,周浦,桃园新城中虹佳园,86,2室2厅1卫,南/北,3400,新上;随时看房;,中楼层/14层,2020-02-22,,整租,需咨询,3400,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,True,民水,False,https://image1.ljcdn.com/110000-inspection/fc2178803d8428f3990eace8c9dc9b1d.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/2d010fb684e856c6bda83ee68309a0f6.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/ff41a101fbcb153163c3c61d1b68665a.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/dae487858a0837b7dd41247e06e36f48.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/4ba2b9b616e2dd6e3651b40bea67e010.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/c7277950d41b7cdea1640f8edb5829d7.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/f459b769b693b825311d3e5097ff4e8c.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/8e39b43c-3116-4fb1-b74a-95bd992e221d.png.780x439.jpg;,【户型介绍】一梯两户 南北通户型，采光好，主卧落地式窗户，两厅，开放式厨房朝北。【装修描述】中装，家具家电齐全，拎包即可入住；户型比较好，空间宽敞。中装，家具家电齐全，拎包即可入住；户型比较好，空间宽敞。【交通出行】小区门口就有公交车站 直达地铁站 地近高速路口，有万达广场丶大润发等商场【周边配套】小区北边是周祝公路 有KTV 超市 饭店 北边是沈梅东路 有大型超市【小区介绍】桃园新城中虹佳园 为动迁房小区 小区绿化好 环境优雅；桃园新城中虹佳园 为动迁房小区 小区绿化好 环境优雅
SH2461476465691336704,整租·汇丽苑 1室1厅 南,https://image1.ljcdn.com/310000-inspection/pc1_vOK5i0tIR_1.jpg.250x182.jpg,浦东,周浦,汇丽苑,60,1室1厅1卫,南,3000,新上;随时看房;,中楼层/11层,2020-02-25,,整租,需咨询,3000,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,True,民水,False,https://image1.ljcdn.com/310000-inspection/45822cb9-0378-47b9-b33e-4b19ca71f656.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/90e01c42-deca-4701-8a98-d592629a0aca.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/pc1_vOK5i0tIR_1.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/d04f128f-13b6-41ad-bc9f-90ae962a7943.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/8ef97520-e624-4131-b2dc-4352e1be9896.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/standard_27e0b8ae-ce58-4add-ab8d-4cf8b065eb4e.png.780x439.jpg;,
SH2460892582285418496,整租·桃园新城中城苑 2室1厅 南/北,https://image1.ljcdn.com/110000-inspection/2ebc61f297d260fe0db81384888cac5c.jpg.250x182.jpg,浦东,周浦,桃园新城中城苑,72,2室1厅1卫,南/北,3200,新上;随时看房;,低楼层/5层,2020-02-23,,整租,需咨询,3200,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/110000-inspection/4e0ca084d93b16c41ce4b91b23ccbc55.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/a004a598b8323c4182799ba7ec43f393.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/2ebc61f297d260fe0db81384888cac5c.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/313d3c7060399ec57fdf39c5a928e2c3.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/b5ed437379201591eba4697013998dd5.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/b7d9b44704f42ab31ef14d72d1545bfa.jpg.780x439.jpg;,
SH2462268431848701952,整租·公元三村 3室1厅 南,https://image1.ljcdn.com/310000-inspection/prod-630619b0-f6a1-46ad-9e27-664f1914e6a3.jpg.250x182.jpg,浦东,周浦,公元三村,87,3室1厅1卫,南,3700,新上;,中楼层/6层,2020-02-24,,整租,需咨询,3700,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/prod-2269b104-830f-441a-9ce4-dcd094ea9c7b.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-493683b6-51c9-43b2-9dab-350413f84c18.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-30e01861-b634-4b64-a0f9-89a4019d84a7.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-630619b0-f6a1-46ad-9e27-664f1914e6a3.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-ae69dcaf-b3bf-48d1-acb9-79c7879f482e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-f108da86-d50e-41f6-a939-6c8d9e97ec02.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-1a616f54-3aa0-46ea-b6a3-f835885faccd.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/prod-b5db8928-21e8-415f-8b11-2a36725c6d52.png.780x439.jpg;,【房源亮点】精装二改三房 ；采光好，通风好，干净清爽，家具家电都齐全； 2：小区地理位置优越，交通方便；【交通出行】出行便利，公交：龙东专线，1001路，624路，343路，175路，451路，沪南线，浦东63路，周南线，周康3路【出租原因】目前空置；精装二改三；可以短租半年  居住证可办理  房东诚意出租 有意可联系咨询【周边配套】小区的位置比较繁华，近小上海步行街，万达广场，门口就是公交车，交通方便，旁边就是菜市场，买菜生活很方便。出行购物都很便利
SH2426589500885958656,整租·菱翔苑 1室1厅 南,https://image1.ljcdn.com/310000-inspection/13abfddb-271f-4897-9518-b8fc3ac7356c.jpg.250x182.jpg,浦东,周浦,菱翔苑,58,1室1厅1卫,南,3500,,中楼层/6层,2020-02-21,,整租,需咨询,3500,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/13abfddb-271f-4897-9518-b8fc3ac7356c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/8e0b55eb-6f7b-4ea9-ab16-f389e6bc6f41.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/afe11a53-ab47-4dbe-82c2-ffb321cbf958.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f439a445-316d-492b-be36-cd171d2d17f4.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/59815fc2-984f-4297-9798-bbd7c34650e4.jpg.780x439.jpg;,【房源亮点】凌翔苑二期，精装房，一室朝南 带1个卫生间，面积大 采光好 看房方便【交通出行】小区北门 年家浜路：浦卫线 小区西门 周康路 ：796路;1001路;1002路【小区介绍】万达广场 乐购 一兆韦德健身 一站式体验吃逛娱乐购 步行可达小上海步行街 距离周浦花海7公里 上海迪士尼11公里
SH2364223586820440064,整租·印象春城 2室2厅 南/北,https://image1.ljcdn.com/310000-inspection/479c0902-8718-49b0-83d9-d5861dd4712a.jpg.250x182.jpg,浦东,周浦,印象春城,89,2室2厅1卫,南/北,3200,,低楼层/18层,2020-02-18,,整租,需咨询,3200,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,True,民水,True,https://image1.ljcdn.com/310000-inspection/1c8c9b4e-d97b-4dfe-9fa8-51fbe7068ba4.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/88a576cd-d2ed-4362-accd-ac09db6e467a.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/479c0902-8718-49b0-83d9-d5861dd4712a.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b171d387-067c-4c70-b261-cc0126f02c5b.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/0538d5a0-cd4b-403b-aca9-49b00a3f45f2.jpg.780x439.jpg;,【户型介绍】采光好，客厅正气，精装修，配套齐全家具家电都有，小区位置好，交通便利.【交通出行】周浦镇生活配套成熟。周南线、浦卫线、龙东线、东周线、沪南线、451、581、639、974、等十余条公交线路经过，其中581、451、639、975、974、东周线都是从周浦起始，轨道交通R3线也将延伸至此。距离11号线秀沿路约1.6公里【周边配套】小区配有两个广场，绿地绿纷广场以及印象生活广场，还配有大型的医院和娱乐场所，即将要开的海印又一城广场，距离万达广场和大润发约2公里左右，生活娱乐齐全
SH2411368258532802560,整租·金田花园 2室1厅 南,https://image1.ljcdn.com/310000-inspection/1a590741-d538-419f-b485-533b95fcb7ae.jpg.250x182.jpg,浦东,周浦,金田花园,90,2室1厅1卫,南,2800,,高楼层/6层,2020-02-19,,整租,需咨询,2800,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/19400f57-0c9c-497b-863b-0661b3ff47af.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e0a79eee-54ed-44c3-b2a2-83a27a81d984.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/7f7d648b-e064-4fd1-8212-893ba6ed1636.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/1a590741-d538-419f-b485-533b95fcb7ae.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f3493cf5-9893-4361-8b6a-42e65c5c3076.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a63d9d9c-b6a7-42b3-b414-aca5d6f43a99.jpg.780x439.jpg;,【装修描述】中等装修，家具家电齐全， 拎包入住，全装全配。希望租客爱惜房子【交通出行】出小区50米就有公交站台。451、581、639、975、974、东周线、沪南线、周南线、浦卫线、龙东线等十余条公交线路经过，其中581、451、639、975、974、东周线都是从周浦起始，轨道交通R3线也将延伸至此。距离11号线秀沿路【周边配套】金田花园二期 距离小上海步行街 步行几min 绿地缤纷广场 印象春城广场
