hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2384778633882640384,整租·朗诗未来树 2室1厅 南,https://image1.ljcdn.com/310000-inspection/6a935614-5ba9-43c0-9903-95100478e6b7.jpg.250x182.jpg,浦东,祝桥,朗诗未来树,69,2室1厅1卫,南,2000,,中楼层/5层,2020-02-11,,整租,需咨询,2000,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/6a935614-5ba9-43c0-9903-95100478e6b7.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/4030d8c8-9b92-43f6-87b5-1d6e68c2e74f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/268a5202-fa9b-4b67-a271-90dae0935050.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f41ddc48-9e39-4753-8bbc-0844e9358e3c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f97d6465-d504-4897-a725-2d406ec9f0a9.jpg.780x439.jpg;,【交通出行】浦东十三五规划中，祝桥地区聚焦航空专业功能的打造，发展航空制造和物流产业，完善以满足机场工作人员和飞机制造产业工人生活居住需求为主的功能配套！出小区北门有公交站，距离惠南地铁口5公里左右的路程，距离浦东国际机场8公里左右。【周边配套】超市 菜场 饭店 上海实验附属光明 上海进才东校，开心幼儿园，东港幼儿园 中国工商银行，中国农业银行，建设银行，上海农商银行 新世界欢乐城（商铺，大型生活超市、健身房、电影院等）、昊美广场（内有万和丽笙五星-级酒店、大型商场等，相对比较好【小区介绍】朗诗未来树是朗诗的开发商及物业，相对管理严格！ 居住人群大多是机场工作人员及张江的高科技高素质人群，小区绿化高，环境好
SH2408450456235294720,整租·祝康南苑 1室1厅 南,https://image1.ljcdn.com/310000-inspection/f22d8db7-a53e-45ae-bd62-47ba8bbe1640.jpg.250x182.jpg,浦东,祝桥,祝康南苑,60,1室1厅1卫,南,1800,,高楼层/14层,2020-01-20,,整租,需咨询,1800,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,暂无数据,暂无数据,暂无数据,需提前预约,随时入住,False,暂无数据,False,https://image1.ljcdn.com/310000-inspection/f22d8db7-a53e-45ae-bd62-47ba8bbe1640.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/895c7a4f-bb0e-4219-a6c9-9559329d9152.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/6a891d49-e8e7-4a2c-8f77-9545865e1268.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/936c0bb2-01ff-4f38-8c92-bb429045b8bb.jpg.780x439.jpg;,
SH2404211479030005760,整租·祝和苑 2室2厅 南,https://image1.ljcdn.com/310000-inspection/5f0fc2b9-ed2e-4177-96cf-bffc15cfa8dd.jpg.250x182.jpg,浦东,祝桥,祝和苑,80,2室2厅1卫,南,2700,随时看房;,高楼层/5层,2020-02-09,,整租,需咨询,2700,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/3f5fc9fb-2690-4c17-8705-55eb8bfaa04a.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/99b16bba-2029-4039-9c8e-22f73eaaccd4.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/87bc9875-e3f0-433c-a99d-e5c449a781a5.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/58e20a79-6be9-4ad6-9b2f-5a3a2e5bc7b8.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/5f0fc2b9-ed2e-4177-96cf-bffc15cfa8dd.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/fa350429-b5c5-4418-9e6c-c9c7b4008fea.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/3951c8b4-bedd-488a-9143-e5ecf582d853.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e68c1c10-4fc8-4e64-9de9-fd1798a25424.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/498752e6-2b7c-4a1a-bca1-a3c0e6b42f42.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/c669e390-4702-48de-983d-b146b4a20afc.png.780x439.jpg;,【交通出行】浦东十三五规划中，祝桥地区聚焦航空专业功能的打造，发展航空制造和物流产业，完善以满足机场工作人员和飞机制造产业工人生活居住需求为主的功能配套！出小区北门有公交站，距离惠南地铁口5公里左右的路程，距离浦东国际机场8公里左右。【周边配套】超市 菜场 饭店 上海实验附属光明 上海进才东校，开心幼儿园，东港幼儿园 中国工商银行，中国农业银行，建设银行，上海农商银行 新世界欢乐城（商铺，大型生活超市、健身房、电影院等）、昊美广场（内有万和丽笙五星-级酒店、大型商场等，相对比较好【小区介绍】2009年动迁房，居住人群大多是上海本地人及机场工作人员，小区绿化高，环境好
SH2376693694591148032,整租·朗诗未来树 3室2厅 南,https://image1.ljcdn.com/310000-inspection/d002c43f-6698-479e-99bd-5c48362d402c.jpg.250x182.jpg,浦东,祝桥,朗诗未来树,79,3室2厅1卫,南,3200,,中楼层/5层,2020-02-15,,整租,需咨询,3200,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/9be9720a-8015-43fb-824d-c79b5d43de6c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/4e21105d-d267-4071-b394-f73044614f7f.jpg.780x439.jpg;https://image1.ljcdn.com/110000-frame/13663f4d-99fa-4e95-957a-cf95bf93eddds.png.780x439.jpg;https://image1.ljcdn.com/310000-inspection/d002c43f-6698-479e-99bd-5c48362d402c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/edf6d4cc-3ea0-4c43-b086-09488f23b7d7.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f1c14a1d-d354-4c64-adbc-a3377c5cd08a.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f5846767-ee83-4c44-8796-bd5b98a30508.jpg.780x439.jpg;,【交通出行】浦东十三五规划中，祝桥地区聚焦航空专业功能的打造，发展航空制造和物流产业，完善以满足机场工作人员和飞机制造产业工人生活居住需求为主的功能配套！出小区北门有公交站，距离惠南地铁口5公里左右的路程，距离浦东国际机场8公里左右。【周边配套】超市 菜场 饭店 上海实验附属光明 上海进才东校，开心幼儿园，东港幼儿园 中国工商银行，中国农业银行，建设银行，上海农商银行 新世界欢乐城（商铺，大型生活超市、健身房、电影院等）、昊美广场（内有万和丽笙五星-级酒店、大型商场等，相对比较好【小区介绍】13年、 14年商品房，朗诗未来树是朗诗的开发商及物业，相对管理严格！ 居住人群大多是机场工作人员及张江的高素质人群，小区绿化高，环境好
SH2427550070682419200,整租·桃李园小区 3室2厅 南,https://image1.ljcdn.com/310000-inspection/ae06c981-d4da-4fac-9343-676ff1262c95.jpg.250x182.jpg,浦东,祝桥,桃李园小区,106,3室2厅1卫,南,2700,,高楼层/6层,2020-01-16,,整租,需咨询,2700,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,只能周末看房,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/1d14aa9b-fc99-40f4-b091-ced16ee53453.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/1ea1fd0e-fc6b-45a6-a126-a60fda6f569e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/9a0006fb-f6c1-45f2-9d6e-be9f4631ddb2.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/ae06c981-d4da-4fac-9343-676ff1262c95.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/498ca6aa-b216-486b-8c3b-34af6d828a83.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/94086223-40b4-41f8-96e3-3166f8c8c273.jpg.780x439.jpg;,
SH2423911773603373056,整租·朗诗未来树 3室2厅 南,https://image1.ljcdn.com/310000-inspection/prod-2b16f9c9-c9c6-4798-a978-6e678ac3f6d8.jpg.250x182.jpg,浦东,祝桥,朗诗未来树,79,3室2厅1卫,南,3400,,中楼层/5层,2020-02-21,,整租,需咨询,3400,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/prod-8988e577-001d-4e95-ba64-7d808f7d03c1.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-861964f1-9173-48df-aaeb-daeabd107e5e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-5850c8ea-6e9b-455d-9f54-745b8b2eaed3.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-2b16f9c9-c9c6-4798-a978-6e678ac3f6d8.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-5dd9e3e3-85b6-4097-8519-54607fdf4f0e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-69ef549a-499b-4324-9d52-87a6ec1901f0.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-513b0b89-0a98-404e-9f5c-80d455a6286c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-27f4936e-78e2-4764-8495-76db73387421.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/prod-3fc9ab61-4d9e-46da-86bd-41b6f013bc27.png.780x439.jpg;,
SH2412132810149609472,整租·东方鸿璟 2室2厅 南/北,https://image1.ljcdn.com/310000-inspection/23c19a51-e0ba-43cb-8f6b-bd16153f118a.jpg.250x182.jpg,浦东,祝桥,东方鸿璟,92,2室2厅1卫,南/北,3700,,中楼层/14层,2020-02-20,,整租,需咨询,3700,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,集中供暖,暂无数据,需提前预约,随时入住,True,民水,False,https://image1.ljcdn.com/310000-inspection/244862b1-40a0-4235-bd1c-b63ac7c2cbb5.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/5b5f22c0-14ce-4e5d-b7de-901ba3c63816.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/23c19a51-e0ba-43cb-8f6b-bd16153f118a.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f733ff12-b58e-4cde-9fc0-ed71611d0fef.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/69798752-7bde-4d64-af01-f9896a976856.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b6219ec7-fd98-4149-93a1-aaf6a4313db0.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/0bedd9e7-568e-4168-a968-1b2d186086a3.png.780x439.jpg;,【装修描述】精装修全配，楼层高，采光好，无异味，得房率高，小区配套设施齐全【周边配套】小区东面有新世界欢乐城商铺，大型生活超市、昊美广场、祝桥镇政府及文化中-心。出东北门800米左右有海天湖公园，休闲散步健身均可。出西北门200米有公交站，距离光明zhongxue300米左右，上海东站3.5公里左右，距离惠南地铁站6公里【小区介绍】小区是15年新小区，物业是绿城的，环境优美，有各种果树和鲜花绿植。 小区内设有儿童游乐设施和健身设施。24小时保安执勤，治安有保障。
SH2298471303398825984,整租·东方鸿璟 3室2厅 南,https://image1.ljcdn.com/310000-inspection/e91c3168-808a-4ded-baa4-59f9b9361b61.jpg.250x182.jpg,浦东,祝桥,东方鸿璟,183,3室2厅3卫,南,3000,,低楼层/4层,2020-02-11,,整租,需咨询,3000,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,集中供暖,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/7f36a1dc-6d81-4e97-90f4-93528aa5c10e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/92723b92-514f-4db9-9c82-2b7911a6554d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e91c3168-808a-4ded-baa4-59f9b9361b61.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a85ac5cb-ea66-4976-a26b-e8dbb2d14799.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/376cf3a2-579c-4a18-ac1b-79c99c4d4bee.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/7ed38cc6-a8c5-4aec-8d21-da2f55fd1cae.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/94b8b3aa-a58d-4124-b013-1692e08966bb.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/d0548194-9f62-40c2-828b-20f72f0bc5c9.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f1d478f0-bce7-4aba-97ef-ecd7ea2b9599.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/82b6545c-e0e0-4e89-aa17-74a5aa365ab1.jpg.780x439.jpg;,【房源亮点】独栋别墅，上面三层，下面一层，楼层面积超大，不会有拥挤的感觉。【户型介绍】两房都朝南，商品房。南北通透，出行方便，离小区大门一路之隔。【装修描述】楼层好，采光好，无异味。得房率高，小区配套设施齐全。去国际机场方便。
SH2115733475859906560,整租·东方鸿璟 3室2厅 南,https://image1.ljcdn.com/310000-inspection/110a6ab9-eb22-49ef-a093-88a06dc60b37.jpg.250x182.jpg,浦东,祝桥,东方鸿璟,0,,,3000,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,,,,,,,False,,False,,
SH2436829407176818688,整租·公元2040 3室2厅 南,https://image1.ljcdn.com/310000-inspection/a7f24848-77c2-4926-a99f-c1afbb994ca2.jpg.250x182.jpg,浦东,祝桥,公元2040,0,,,4500,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,,,,,,,False,,False,,
