hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2414337077275017216,整租·曹杨五村(南杨园) 1室1厅 南,https://image1.ljcdn.com/310000-inspection/9c792521-b45a-4ebb-a23b-ea33056476e8.jpg.250x182.jpg,普陀,曹杨,曹杨五村(南杨园),37,1室1厅1卫,南,4200,近地铁;,高楼层/6层,2020-02-23,,整租,需咨询,4200,0,需咨询,3号线，4号线，11号线(花桥-迪士尼)，11号线(嘉定北-1113m;3号线，4号线，11号线(花桥-迪士尼)，11号线(嘉定北-1113m;3号线，4号线，11号线(花桥-迪士尼)，11号线(嘉定北-1113m;,False,True,True,True,True,False,True,True,True,True,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/9c792521-b45a-4ebb-a23b-ea33056476e8.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/d102fed0-d313-4de6-8984-3261cf48acd5.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/1ba98467-e0d0-4581-84e1-10d864538bda.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/8f7d4cbc-d375-4051-9bd4-89cdd33c8cd3.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/ffcb72db-42d5-4dea-85f4-c69505ce7b19.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/68245f4c-c31a-4ba4-af10-ea4f750dc18a.jpg.780x439.jpg;,
SH2429530096877707264,整租·曹杨五村(梅花园) 1室1厅 南,https://image1.ljcdn.com/310000-inspection/9b9fb5eb-2025-44a6-bf27-505c288c6c65.jpg.250x182.jpg,普陀,曹杨,曹杨五村(梅花园),0,,,3800,近地铁;,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,,,,,,,False,,False,,
SH2409446530722840576,整租·曹杨二村 1室1厅 南,https://image1.ljcdn.com/310000-inspection/a9e68182-87cd-42ef-9aa7-94a11e753c38.jpg.250x182.jpg,普陀,曹杨,曹杨二村,37,1室1厅1卫,南,3500,近地铁;随时看房;,高楼层/6层,2020-02-11,,整租,需咨询,3500,0,需咨询,3号线，4号线，11号线(花桥-迪士尼)，11号线(嘉定北-910m;3号线，4号线，11号线(花桥-迪士尼)，11号线(嘉定北-910m;3号线，4号线，11号线(花桥-迪士尼)，11号线(嘉定北-910m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/a9e68182-87cd-42ef-9aa7-94a11e753c38.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e00a7df9-b15b-419c-82e8-37df037af5e5.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/35cd2816-2164-4ba4-8762-c27d9204a62a.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/34ba1fdf-5c05-45e7-92bd-eff6153cba38.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/648ddf72-f064-4ae7-a671-3d6c33e11db2.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/test-9c203d7a-3d2d-432f-a49f-205bbd2ef1fa.png.780x439.jpg;,
SH2381654037968986112,整租·曹杨三村(兰岭园) 1室1厅 南,https://image1.ljcdn.com/310000-inspection/5cc931dd-94cd-49cb-9338-b04ce759a6f2.jpg.250x182.jpg,普陀,曹杨,曹杨三村(兰岭园),44,1室1厅1卫,南,3500,,低楼层/6层,2020-02-19,,整租,需咨询,3500,0,需咨询,11号线(嘉定北-迪士尼)，11号线(花桥-1003m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/5cc931dd-94cd-49cb-9338-b04ce759a6f2.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/92a29af5-ec30-4efc-a98e-c798b2db818d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/3d4ebc21-4438-4ccf-902e-a6538ecda82a.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b852f811-2973-4566-bf49-bd94af6c241a.jpg.780x439.jpg;,
SH2408474790504972288,整租·曹杨六村(沙溪园) 1室0厅 南,https://image1.ljcdn.com/310000-inspection/3e85695c-8494-4951-9072-fdb4010913cf.jpg.250x182.jpg,普陀,曹杨,曹杨六村(沙溪园),29,1室0厅1卫,南,3600,近地铁;随时看房;,中楼层/6层,2020-02-08,,整租,需咨询,3600,0,需咨询,3号线，4号线，13号线-金沙江路-790m;3号线，4号线，13号线-金沙江路-790m;3号线，4号线，13号线-金沙江路-790m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,一般下班后可看,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/3e85695c-8494-4951-9072-fdb4010913cf.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/0871462d-4ba1-43c6-a174-ad49e0c4ef2b.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/20d232df-3924-4ec5-9aef-3bc695d895d7.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b6593967-f787-450c-ae10-3cf2e4d311e8.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/4177e759-15d5-4172-844a-98c29a447b89.jpg.780x439.jpg;,
SH2434535212605521920,整租·曹杨三村(兰岭园) 1室1厅 南,https://image1.ljcdn.com/310000-inspection/pc1_1i1mdgAWM_1.jpg.250x182.jpg,普陀,曹杨,曹杨三村(兰岭园),0,,,3500,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,,,,,,,False,,False,,
SH2463495625145327616,整租·曹杨九村 1室0厅 南,https://image1.ljcdn.com/310000-inspection/be74f210-ea49-4b18-8a0f-df6a84c62b12.jpg.250x182.jpg,普陀,曹杨,曹杨九村,29,1室0厅1卫,南,4100,新上;近地铁;,中楼层/6层,2020-02-24,,整租,需咨询,4100,0,需咨询,3号线，4号线，13号线-金沙江路-777m;3号线，4号线，13号线-金沙江路-777m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/be74f210-ea49-4b18-8a0f-df6a84c62b12.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/0ebf24ee-893f-4625-b739-969639875052.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f7990123-ed45-4ab6-98a7-900ba0eee177.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/95d54e4d-fc40-4ca9-8c31-ead23dfd93a6.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/prod-2cb479d4-560c-4909-85b9-02b19c533ddc.png.780x439.jpg;,
SH2418740986718199808,整租·曹杨七村 1室0厅 南,https://image1.ljcdn.com/310000-inspection/57079f5c-2286-4f49-b2b0-60f869140991.jpg.250x182.jpg,普陀,曹杨,曹杨七村,40,1室0厅1卫,南,3800,近地铁;,中楼层/5层,2020-02-21,,整租,需咨询,3800,0,需咨询,3号线，4号线，13号线-金沙江路-982m;3号线，4号线，13号线-金沙江路-982m;3号线，4号线，13号线-金沙江路-982m;3号线，4号线，13号线-金沙江路-982m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/57079f5c-2286-4f49-b2b0-60f869140991.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e44a6c85-5813-47ab-ab55-e4a2c25fd831.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f51e84a8-3e94-4b73-ba68-9c420fe8c3f0.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/5e3ad0ee-ea6f-48db-9d85-31cdf41f8786.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/df3d4825-07ea-4617-99ef-889fb42ed7ab.jpg.780x439.jpg;,
SH2413531215757058048,整租·杏园 1室0厅 南,https://image1.ljcdn.com/310000-inspection/e6e621cf-2d2a-4916-a585-2f22c3506efa.jpg.250x182.jpg,普陀,曹杨,杏园,32,1室0厅1卫,南,3600,,高楼层/6层,2020-02-24,,整租,需咨询,3600,0,需咨询,11号线(嘉定北-迪士尼)，11号线(花桥-1117m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/e6e621cf-2d2a-4916-a585-2f22c3506efa.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/139328dc-e215-4a21-9c84-d9b9db91d56c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/124c3907-8a3f-4912-b1f0-29275949735f.jpg.780x439.jpg;,
SH2392751848994897920,整租·曹杨三村(兰岭园) 1室2厅 南,https://image1.ljcdn.com/310000-inspection/51183f4e-b565-47b7-bb42-74ee21522e00.jpg.250x182.jpg,普陀,曹杨,曹杨三村(兰岭园),32,1室2厅1卫,南,4200,随时看房;,低楼层/5层,2020-02-25,,整租,需咨询,4200,0,需咨询,11号线(嘉定北-迪士尼)，11号线(花桥-1003m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/78750b34-07ed-40cd-8353-32cefdf3eef5.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/51183f4e-b565-47b7-bb42-74ee21522e00.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/9283d16f-c93d-464f-9e70-adca5d0848a3.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/c727213c-5e78-44c8-8d88-dcd2c1418407.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/003a9723-3186-4c42-97d8-ad7566338dcb.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/dc48673b-b9bb-4608-b21f-b83850bc46b9.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/35b7816b-86d7-491a-b650-eda2fe338503.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/1e7d12a5-c809-46a9-b6cc-cf03b9935150.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/03b65351-2cd9-4215-bbc6-86013136830f.png.780x439.jpg;,
