hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2406242027361533952,整租·梅川一街坊 1室1厅 南,https://image1.ljcdn.com/310000-inspection/cb1af231-d994-450b-ba7b-4ccc63080931.png.250x182.jpg,普陀,长风,梅川一街坊,44,1室1厅1卫,南,4000,近地铁;随时看房;,高楼层/6层,2020-02-21,,整租,需咨询,4000,0,需咨询,13号线-大渡河路-1021m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/cb1af231-d994-450b-ba7b-4ccc63080931.png.780x439.jpg;https://image1.ljcdn.com/310000-inspection/db1573f1-aa84-42bd-b0d1-73ff332864ab.png.780x439.jpg;https://image1.ljcdn.com/310000-inspection/eaa31e74-b52b-41c5-9cb5-a9843db489de.png.780x439.jpg;https://image1.ljcdn.com/310000-inspection/32a63f33-afb1-4194-824b-09664703a39e.png.780x439.jpg;,
SH2392056442334224384,整租·长风四村 1室1厅 南,https://image1.ljcdn.com/310000-inspection/5dacd517-3900-400a-9a12-59fa034bd11a.jpg.250x182.jpg,普陀,长风,长风四村,40,1室1厅1卫,南,3800,近地铁;随时看房;,高楼层/6层,2020-02-22,,整租,需咨询,3800,0,需咨询,13号线-大渡河路-154m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/5dacd517-3900-400a-9a12-59fa034bd11a.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/d0b40b61-fbdd-4b0e-bd58-4916584116b3.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/6a35ae74-1399-4fcf-b073-1c55ef064647.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/466debfa-87ef-4a47-88e8-f6ea2b1d6e0b.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/98ad0055-8e4b-4909-80ea-3855dd7aa6fb.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/2d97d291-600b-4b37-8051-6039dc38e18e.jpg.780x439.jpg;,
SH2423942471597178880,整租·北巷小区 1室0厅 南,https://image1.ljcdn.com/310000-inspection/fd845619-d30c-4d6a-bd5a-51e279f57621.jpg.250x182.jpg,普陀,长风,北巷小区,37,1室0厅1卫,南,3800,近地铁;随时看房;,高楼层/6层,2020-02-09,,整租,需咨询,3800,0,需咨询,13号线-真北路-1046m;13号线-真北路-1046m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/d3042a0b-5171-4d5e-8fc0-d18c8dcd4e1b.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/fd845619-d30c-4d6a-bd5a-51e279f57621.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/3202d551-4028-4809-908f-4c6cf6bbede2.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/2d5718ef-5efe-434b-a260-6abb52d26f07.jpg.780x439.jpg;,
SH2397010962809880576,整租·梅川二街坊 1室1厅 南,https://image1.ljcdn.com/310000-inspection/beebc7ad-1487-4f7a-8e3b-2135cc7d4d86.jpg.250x182.jpg,普陀,长风,梅川二街坊,45,1室1厅1卫,南,4200,随时看房;,高楼层/6层,2020-02-20,,整租,需咨询,4200,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/beebc7ad-1487-4f7a-8e3b-2135cc7d4d86.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/19a490a0-7f40-4e29-ae7f-d527ff663f4c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/7236e96a-7f6c-4851-9fe5-47b82681a28e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/32b99844-e447-4c6c-9cf6-5dbc42ff8262.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/4c94006e-1c7d-49fb-b81d-050c8b45a72d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/bc657378-eeb8-4208-b0fd-8ae582949a2a.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/baf0b463-dc75-47d1-9744-50f3162cfdda.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/standard_55c4da5f-6284-43ef-86c4-1424c1808bbe.png.780x439.jpg;,
SH2407177573194014720,整租·桂巷新村 1室1厅 南,https://image1.ljcdn.com/310000-inspection/a803771f-4435-4d90-9812-727764aa6971.jpg.250x182.jpg,普陀,长风,桂巷新村,34,1室1厅1卫,南,3900,,中楼层/6层,2020-02-24,,整租,需咨询,3900,0,需咨询,3号线，4号线，13号线-金沙江路-1195m;3号线，4号线，13号线-金沙江路-1195m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/a803771f-4435-4d90-9812-727764aa6971.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/63b3cf12-3df2-4d75-8710-407166f93f7b.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/23a57222-0874-4257-8536-6df191c1ea04.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/02b7c08f-d448-4071-9d61-f99e89be627d.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/becc9f84-46f8-4869-8ce9-c6ff225512cd.png.780x439.jpg;,
SH2453413094206996480,整租·北巷小区 1室0厅 南,https://image1.ljcdn.com/310000-inspection/cec28a3c-53b3-459d-9710-5ed52fc78d0b.jpg.250x182.jpg,普陀,长风,北巷小区,0,,,4200,近地铁;,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,,,,,,,False,,False,,
SH2410658711757930496,整租·桂巷新村 1室0厅 南,https://image1.ljcdn.com/310000-inspection/bd6de160-c449-4df7-acaf-494bb6d643fd.jpg.250x182.jpg,普陀,长风,桂巷新村,29,1室0厅1卫,南,4100,随时看房;,高楼层/6层,2020-02-25,,整租,需咨询,4100,0,需咨询,3号线，4号线，13号线-金沙江路-1195m;3号线，4号线，13号线-金沙江路-1195m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/70678b46-610b-4988-ae9d-07317ad5e9fb.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e6e58235-6095-4320-92b2-9502cf7bb1a5.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/0584a63c-ca7c-4760-af48-b7ee1e29cd3e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/bd6de160-c449-4df7-acaf-494bb6d643fd.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/9b17b9ad-b733-41a9-9d07-eceeed9857eb.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/cc53dbc5-ca0d-49d6-9015-bba0d877c279.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/standard_8b3d8bfb-e3be-4ec7-a698-ef44db14fb63.png.780x439.jpg;,
SH2428146780236414976,整租·宋家滩小区 1室0厅 南,https://image1.ljcdn.com/310000-inspection/06415f4e-1197-455b-b543-5db2118615d0.jpg.250x182.jpg,普陀,长风,宋家滩小区,33,1室0厅1卫,南,3900,随时看房;,中楼层/6层,2020-02-23,,整租,需咨询,3900,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/8b8373ff-d087-4c2c-b886-7549e60066cd.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/06415f4e-1197-455b-b543-5db2118615d0.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/26d65159-feff-4175-b802-77944e87d5f4.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a763474e-1f4b-4e7d-a756-b97edf26f84d.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/d78d701d-3dd6-4c8e-8dee-279aeadedadc.png.780x439.jpg;,
SH2463571896349245440,整租·梅川馨苑 1室1厅 南,https://image1.ljcdn.com/110000-inspection/ea0ed916c9147e1d9cd79b75c7d02009.jpg.250x182.jpg,普陀,长风,梅川馨苑,46,1室1厅1卫,南,5200,新上;近地铁;,中楼层/6层,2020-02-24,,整租,需咨询,5200,0,需咨询,13号线-大渡河路-965m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/110000-inspection/ea0ed916c9147e1d9cd79b75c7d02009.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/07d681ce34cd9ba5a0903ff73a3f4d4f.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/e683b6207c83344d5ec611d83abd167b.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/311493b741ca371d7ba7bb83e3d17b1e.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/6821b987f1a81427ec41cf6dbf87a5be.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/879e00899dc7babfe33945d76f0571e8.jpg.780x439.jpg;,
SH2365032456920506368,整租·长风四村 2室1厅 南/北,https://image1.ljcdn.com/310000-inspection/5cb3758a-3fb0-46ac-8832-9d7bc85e5e59.jpg.250x182.jpg,普陀,长风,长风四村,59,2室1厅1卫,南/北,5500,近地铁;随时看房;,高楼层/6层,2020-02-22,,整租,需咨询,5500,0,需咨询,13号线-大渡河路-154m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/5cb3758a-3fb0-46ac-8832-9d7bc85e5e59.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/83397704-4c65-4730-9d3c-07ba03662652.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/bb619228-aa9e-4cd4-97a6-a8050defb5cb.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/ad72e137-a742-4bc5-9b5e-a85feef8843c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/523b11c3-32a4-44ff-8248-dc04df10d627.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f9087d1a-7ac7-4351-ac75-0fbae957503e.jpg.780x439.jpg;,
