hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2381219943292346368,整租·德怡苑 1室1厅 南,https://image1.ljcdn.com/lease-image/house/42732e2d7f8fa6765ea6c9d833418622.jpeg.250x182.jpg,普陀,长寿路,德怡苑,45,1室1厅1卫,南,5000,近地铁;精装;随时看房;,低楼层/26层,2020-01-02,精装修,整租,季付,5000,0,2500,7号线，13号线-长寿路-536m;7号线，13号线-长寿路-536m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,自采暖,暂无数据,随时可看,随时入住,True,民水,True,https://image1.ljcdn.com/lease-image/house/42732e2d7f8fa6765ea6c9d833418622.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/cff9d01e3eed7ea6ba83c1f0dcd206bf.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/5684e19ee122592bbe5655022d7b754a.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/170192164ebd47d0a0bfdc78f5aa8970.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/be5269dcdd0c9ba6e1ba6d7602182389.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/e58ec22518a8e44bdfc456795895a62a.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/b903a90b33552ebd559a60cc1aadeee9.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/03c4b880f7e5c0d90aa808058ddbb57c.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/a1bdb6f63a1048d2267e5edcce33b2e2.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/5019018caece18ba8c862b43b85b91ef.jpeg.780x439.jpg;,【户型介绍】德怡苑大一房，独立厨卫，家具家电齐全，可拎包入住，一房朝南带阳台【交通出行】地铁多轨交汇，距3/4/7号线镇坪路站500米，7/13号线长寿路站550米（数据来源于高德地图）【周边配套】地处长寿商圈，商圈内有长寿公园；商场有上海纬陆时尚广场、新四百广场，100am新百安商场，189弄购物商场，亚新生活广场等；距上海市普陀区人民医院850米（数据来源于高德地图）。
SH2429753860370202624,整租·乐活居 1室2厅 东南,https://image1.ljcdn.com/lease-image/house/d8dd60b873e30f557f6394cdded317f4.jpeg.250x182.jpg,普陀,长寿路,乐活居,59,1室2厅1卫,东南,9000,近地铁;精装;随时看房;,高楼层/18层,2020-01-08,精装修,整租,季付,9000,0,4500,7号线，13号线-长寿路-882m;7号线，13号线-长寿路-882m;7号线，13号线-长寿路-882m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,True,民水,False,https://image1.ljcdn.com/lease-image/house/f9ddcd2a5ce7f8e320dd29b5aeeaa285.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/94adb37b93d9765d4ed3bab1ee44bcb4.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/455824ebe0be97be4c522be4f35d3a84.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/9d33020548a725fe9b2c8a0493b0c729.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/a13317884412b009a6dfe5a0b98207a3.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/7b04610cea7afae9a5288b50e8b48d41.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/d8dd60b873e30f557f6394cdded317f4.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/e1a9bb64c5ed9b6f057acb3a99c97206.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/906427c573910299e21437cf22f773b9.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/3b31a6bb55fd916095877cd421fe0e86.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/912821dfc8e769310af07618c3790e4b.jpeg.780x439.jpg;,
SH2418065732547395584,整租·乐活居 1室1厅 东,https://image1.ljcdn.com/lease-image/house/d9fb6c3a38c28b42138556e7499d31b8.jpeg.250x182.jpg,普陀,长寿路,乐活居,52,1室1厅1卫,东,8360,近地铁;精装;随时看房;,中楼层/18层,2019-12-30,精装修,整租,季付,8360,0,4180,7号线，13号线-长寿路-882m;7号线，13号线-长寿路-882m;7号线，13号线-长寿路-882m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,True,民水,False,https://image1.ljcdn.com/lease-image/house/b13cd47b63d343bc109d1888e023055b.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/78b883c4582ec22b2123f7f8680f7cb2.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/d9fb6c3a38c28b42138556e7499d31b8.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/e73e2d3c84bfba22ffbe1eaa584516a1.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/e4a1208f7f8b37003ea2db42fa8d6800.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/078914cb75c62f94e4c9250cf228320f.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/c4dd8c4599c5dc8398742ad7d845d74e.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/904aa78f6282a1c6f2241eabc5884612.jpeg.780x439.jpg;,【交通出行】此小区位于长寿公园旁边，午后得闲散散心。近亚新广场、巴黎春天，购物便捷。超市，医院，银行等等都有【周边配套】此小区位于长寿公园旁边，午后得闲散散心。近亚新广场、巴黎春天，购物便捷。超市，医院，银行等等都有【小区介绍】高品质小区，进口材料装修。房型正气，治安24小时管理，梯卡入户，治安很好。小区内自带健身房、游泳池、美容会所，一应俱备。
SH2423689498711040000,整租·乐活居 1室1厅 西北,https://image1.ljcdn.com/lease-image/house/61e8089e-7595-4424-9677-d01f6410e6a5.jpg.250x182.jpg,普陀,长寿路,乐活居,0,,,7700,近地铁;随时看房;,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,,,,,,,False,,False,,
SH2399284413403250688,整租·玉佛城 2室2厅 南/北,https://image1.ljcdn.com/lease-image/house/26f627bb75f807e42625f6d18a306444.jpeg.250x182.jpg,普陀,长寿路,玉佛城,122,2室2厅2卫,南/北,10000,近地铁;精装;双卫生间;随时看房;,高楼层/28层,2019-12-23,精装修,整租,季付,10000,0,5000,7号线，13号线-长寿路-749m;7号线，13号线-长寿路-749m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,自采暖,暂无数据,随时可看,随时入住,True,民水,True,https://image1.ljcdn.com/lease-image/house/61714a89-ec85-4bea-b869-4e3cd9103049.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/9c107507-01cd-41a2-a512-ac6da67098f5.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/daa3067d-7a2f-40e5-becd-bb60357b5176.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/f99085d1-7c95-4ecc-898a-2f6f22110cb5.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/1cf8b6b9-ec92-41fb-ac91-9ae22de13579.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/0946693c-5574-418f-9624-ad688c016f72.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/dcea808b-d270-42d3-8e98-1bfe7fcefc55.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/f0e8803f-2450-4dc7-9eab-33b6ddf6708d.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/1d02a0ae-51d1-477f-b5ac-0bb4a0b278ba.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/b34a404a-36c3-4650-9c84-7a89997bd020.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/d7f704df-3720-452a-a806-43fed0e1ad0c.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/c466c460-3f13-45e6-a365-867bbbf8b0c0.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/26f627bb75f807e42625f6d18a306444.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/8118b6220cd7493ce8f44c2b6812f4e5.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/2e3d3cb0-ab21-4f85-b56b-896b68298722.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/1f639592-8fbb-4c6f-ab13-19a0f15798b2.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/2eb8f82c-9535-421b-a68e-f1030b0c9be9.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/59d15baa-abd8-48dd-89e4-e7226c4dac52.jpg.780x439.jpg;,【房源亮点】位于普陀区长寿路繁华地段，出门即是地铁站。小区的交通出行十分方便，出门就是13号线江宁路站，是名副其实的轨道房。小区里的绿化好，环境不错，很多高大乔木和小灌木以及其他类的植物，整个社区环境让人有静谧的感觉。【户型介绍】房子的户型很正，是正规两房两厅两卫；全南户型，精装修，采光好，家居家电齐全；随时可以入住【出租原因】房东希望有个高素质的租客爱惜房屋，减少房屋因租客到期产生的空置的时间。【周边配套】小区近距离有长寿公园，上海普陀人民医院，商场，超市等，设施齐全；地铁，公交站，生活出行十分方便
SH2423063574286450688,整租·河滨围城 3室2厅 南,https://image1.ljcdn.com/lease-image/house/bf7d101f559c6f12599cd2e0ffda5c32.jpeg.250x182.jpg,普陀,长寿路,河滨围城,155,3室2厅2卫,南,14000,近地铁;双卫生间;随时看房;,低楼层/33层,2019-12-31,,整租,季付,14000,0,7000,7号线，13号线-长寿路-1067m;7号线，13号线-长寿路-1067m;7号线，13号线-长寿路-1067m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,自采暖,暂无数据,随时可看,随时入住,True,民水,True,https://image1.ljcdn.com/lease-image/house/bf7d101f559c6f12599cd2e0ffda5c32.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/71c2131932df34b77a07a7ea46d97603.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/b3d8b7e9fad0122a19be65c2fa120dff.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/9801523c2c2ac32e4a13b141c30730ba.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/9463eaa84a9bd038747a7ebab5ba7bcf.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/cd509e6c09e008678518314999846ec1.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/5bc587d00a42cfa5a3df22146b3ff8bc.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/30794820b0f98d2895ee86efc1a91c36.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/231fbb77b2ef24642f335de5146d8cf6.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/a8590e271b87661009546ad151f5e240.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/d55e2cc570813bd917f12c0b2524ed47.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/c7b3a9fc2e158855e9e3148ca6a2a341.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/b8ae53a13bb8fb1710d1d9998466b32a.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/e242950c8f6d2e0002434269fa2d1424.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/ec24645a551adeb29180456c71c7025d.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/4babad9635464eb824dc396f075a2a41.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/fefa905e55bfed934905aa6240dac555.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/8d1f8855ebba270a08bd841162b7dbfe.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/66c3c2b4975c2165c18713e090a26edc.jpeg.780x439.jpg;,
SH2464459977708797952,整租·德怡苑 1室1厅 南,https://image1.ljcdn.com/110000-inspection/1a51098d49c91563cef9a32e2914ce43.jpg.250x182.jpg,普陀,长寿路,德怡苑,40,1室1厅1卫,南,4900,新上;近地铁;精装;随时看房;,高楼层/7层,2020-02-25,精装修,整租,季付,4900,0,需咨询,7号线，13号线-长寿路-536m;7号线，13号线-长寿路-536m;,True,True,True,True,True,True,True,True,True,True,暂无数据,民电,自采暖,1年以内,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/110000-inspection/1a51098d49c91563cef9a32e2914ce43.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/56cb06ac1b8f72ee6d56f92a8001c639.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/0538ac2fe854e656fe4e4564c8fd3573.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/f5caa2af42cf980738bc210c49298180.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/646dccc95ec0b57ca220991ce72180d2.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/prod-071ef6b5-5359-46e3-8c94-5ec108aefc2d.png.780x439.jpg;,【户型介绍】一房一厅       户型方正 视野开阔 采光充足朝南的户型【装修描述】居家精装修    装修风格偏暖色系的 干 整洁可以直接拎包入住【交通出行】距离7/13号线长寿路地铁站450米（数据来源于百度地图），距离3/4/7号线镇坪路地铁站440米（数据来源于百度地图）
SH2462235683637698560,整租·澳门小区 1室0厅 南,https://image1.ljcdn.com/110000-inspection/a833afb5967eacf2ebaf1715e7a3a577.jpg.250x182.jpg,普陀,长寿路,澳门小区,0,,,4800,新上;近地铁;精装;随时看房;,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,,,,,,,False,,False,,
SH2403412966771785728,整租·九茂小区 1室1厅 南,https://image1.ljcdn.com/310000-inspection/52870729-a2bb-4080-b8a1-15cec2c5a44c.jpg.250x182.jpg,普陀,长寿路,九茂小区,42,1室1厅1卫,南,4800,近地铁;精装;随时看房;,高楼层/6层,2020-02-17,精装修,整租,季付,4800,0,需咨询,7号线-昌平路-820m;7号线-昌平路-820m;7号线-昌平路-820m;,True,True,True,True,True,True,True,True,True,True,暂无数据,民电,自采暖,1年以内,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/7765d6d7-5539-428a-959c-78f010823344.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/52870729-a2bb-4080-b8a1-15cec2c5a44c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a3ba727b-80a4-4e55-b526-7e53ffeae0df.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f4cf18d0-7fec-46cc-9615-3e53fb5b2fa2.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/633e931c-e3db-4641-b466-3fda0a66da60.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/3523cb3b-81aa-498f-8359-2330c357912b.jpg.780x439.jpg;,【交通出行】距离7号13号线长寿路地铁站 400米 距离13号线江宁路地铁站760米 公交车24路36路304路【周边配套】小区楼下就是菜市场和水果店，24小时便利店 超市，还有网红百年潭血鸭火锅店，老昌盛汤包店。189弄购物广场 巴黎春天【小区介绍】小区位置在安远路西康路陕西北路上，属于普陀静安交接处，楼下菜市场 24小时便利店，超市，小区中间有健身活动小花园
SH2436256792272183296,整租·德怡苑 1室0厅 南,https://image1.ljcdn.com/310000-inspection/42d25293-81ea-401b-8204-09ebb5ad088d.jpg.250x182.jpg,普陀,长寿路,德怡苑,40,1室0厅1卫,南,4500,近地铁;精装;随时看房;,高楼层/7层,2020-02-17,精装修,整租,季付,4500,0,需咨询,7号线，13号线-长寿路-536m;7号线，13号线-长寿路-536m;,True,True,True,True,True,False,True,True,True,True,租用车位,民电,自采暖,1年以内,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/42d25293-81ea-401b-8204-09ebb5ad088d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/bd52e8cb-5858-41d9-9461-d648d3f1ed73.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/aceb76cd-83b2-4ac2-b89d-9d1bbc124764.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/454597ff-9291-4733-8b79-87f0c8e805e5.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/7b95eaed-4e37-425f-9d33-1c8effb1974c.png.780x439.jpg;,【装修描述】业主精心装修，家具家电齐全，省去装修烦恼，室内整洁舒适，拎包入住【交通出行】地铁13号线长寿路站，地铁3、4、7号线镇坪路地铁，多条公共交通汇集【周边配套】巴黎春天，亚新生活广场，农工商超市，全家，宠物店，药房，回民幼儿园
