hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2457983216779264000,整租·金莲坊 1室1厅 南/北,https://image1.ljcdn.com/lease-image/house/c32d5317-e23a-4d94-9f41-90d132ab84b7.jpg.250x182.jpg,普陀,长征,金莲坊,44,1室1厅1卫,南/北,4500,精装;随时看房;,高楼层/6层,2020-02-16,精装修,整租,季付,4500,0,2250,13号线-祁连山南路-1138m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,False,民水,True,https://image1.ljcdn.com/lease-image/house/c32d5317-e23a-4d94-9f41-90d132ab84b7.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/6e8a7d6c-ea3e-4e89-80d4-25b0ea3aa550.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/5d61a74d-9d2b-41e9-9cf9-4475b9a0a81f.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/d9854681-ea24-4be0-bf09-43636da7e72d.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/fc3f0957-eeff-47ab-9a03-a29c94f450db.png.780x439.jpg;,【房源亮点】距离13号祁连山南路地铁直线800米！延川路有三个小型菜市场！100米梅川路步行街，休闲方便！【装修描述】精装修朝南，采光好，温馨一房一厅，家具家电齐全，随时拎包入住！【出租原因】闲置状态，用于补贴贷款和赡养老人用，精装修，楼层老人不适合攀爬！
SH2457981833263464448,整租·象源丽都 2室2厅 南,https://image1.ljcdn.com/lease-image/house/f6c7ca76-f2c8-4512-9cde-bfa083674e06.jpg.250x182.jpg,普陀,长征,象源丽都,108,2室2厅2卫,南,8200,近地铁;双卫生间;随时看房;,低楼层/13层,2020-02-17,,整租,季付,8200,0,4100,13号线-祁连山南路-1041m;13号线-祁连山南路-1041m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,自采暖,暂无数据,随时可看,随时入住,True,民水,True,https://image1.ljcdn.com/lease-image/house/f6c7ca76-f2c8-4512-9cde-bfa083674e06.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/cdaad715-c202-4c1b-8e1f-506bee064161.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/0d72c02e-b652-4416-b034-d22a5404002c.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/e5caae83-e628-4472-977c-8ce9c97e21e0.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/75f8dc2d-4dcf-4cd5-8884-e870297e5230.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/8dad842c-3fd8-4b77-8228-5c2f4a7b1826.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/37f08ebc-a4b8-416f-9d05-33803b82ac99.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/d3e61942-cd6a-4096-95ae-6e3f92b64269.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/004ff7fc-fc00-4746-9b96-f2c6fa10e43d.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/a6234051-6bab-436e-a8fe-ef6e79f42c85.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/d9f495cc-f2b3-452a-b3d2-d31ec77bf79a.png.780x439.jpg;,【房源亮点】南北通南北双阳台的户型，两卫，，小区南门位置，很容易就到达13号真北站地铁！小区管理严格，24小时门禁【户型介绍】房子是南北通的户型，南北双阳台，房间一南一北，虽然在一楼，但是阳光很好，前面无遮挡！【周边配套】1.距离13号真北路地铁，118广场500米2.距离清峪路集贸市场300米3.距离百联购物广场900米
SH2458439166573420544,整租·朝霞新苑 2室2厅 南,https://image1.ljcdn.com/lease-image/house/ed509d29-4dbf-4a74-9ec6-b78f55c9e98c.jpg.250x182.jpg,普陀,长征,朝霞新苑,96,2室2厅1卫,南,6900,近地铁;精装;随时看房;,高楼层/6层,2020-02-17,精装修,整租,季付,6900,0,3450,13号线-丰庄-949m;13号线-丰庄-949m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,False,民水,True,https://image1.ljcdn.com/lease-image/house/4d6269c5-52bd-427c-9f1e-de862efb4933.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/430b4707-28b9-4827-a927-153b8453c7da.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/ed509d29-4dbf-4a74-9ec6-b78f55c9e98c.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/c3f40ce4-c727-4829-a40c-ce47a05c1d70.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/188d3793-0a65-4033-a3be-992fab9bec00.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/d40ffb76-2c31-468a-a048-e8254ace977c.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/37e44472-c494-403a-a1ca-aee7a81f87c6.jpg.780x439.jpg;,
SH2457984043678179328,整租·振光大厦 3室2厅 南,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20200218110553137,普陀,长征,振光大厦,125,3室2厅2卫,南,7500,精装;双卫生间;随时看房;,高楼层/22层,2020-02-17,精装修,整租,季付,7500,0,3750,,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,自采暖,暂无数据,随时可看,随时入住,True,民水,True,,
SH2460137549247815680,整租·梅六小区 1室1厅 南,https://image1.ljcdn.com/110000-inspection/d3ee96dc6bcd9c75e03057bb36701f5e.jpg.250x182.jpg,普陀,长征,梅六小区,0,,,4200,新上;,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,,,,,,,False,,False,,
SH2415802236883181568,整租·新长征花苑 1室1厅 南,https://image1.ljcdn.com/310000-inspection/pc1_Gbe3COVNM_1.jpg.250x182.jpg,普陀,长征,新长征花苑,48,1室1厅1卫,南,4200,近地铁;随时看房;,高楼层/6层,2020-01-12,,整租,需咨询,4200,0,需咨询,13号线-真北路-842m;13号线-真北路-842m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/pc1_Gbe3COVNM_1.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/fec42d88-68ec-434b-9d97-eb780d7e654f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/28b9c549-293e-4e03-886e-a2edc0632843.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/1239436f-f3c3-43da-83d9-eb7a9a1cc381.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/581dec41-1305-42d5-a45f-e6fa904e0f2c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/edf1f01b-2585-4e8c-a1d7-79bf5664d00e.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/standard_f9c67d16-4658-4e0a-b2dd-7bd011b26adc.png.780x439.jpg;,
SH2451358119565983744,整租·星梅花苑 1室1厅 南,https://image1.ljcdn.com/110000-inspection/40e3d588-0ee5-4c2b-9ccb-93bea14ed20f.jpg.250x182.jpg,普陀,长征,星梅花苑,36,1室1厅1卫,南,3800,,中楼层/6层,2020-02-20,,整租,需咨询,3800,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/110000-inspection/40e3d588-0ee5-4c2b-9ccb-93bea14ed20f.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/a9c6a6e9-2b22-433f-bdd5-2a8653811131.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/12a82dcd-7f41-422d-bd00-3bd0e8398691.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/fe7f666e-b75f-4385-8d4c-ff6b5c2dcd8b.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/fa49342b-e380-45ea-9832-c96ae927f498.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/b66687d0-fbfd-4935-86fd-adc27d2a2691.png.780x439.jpg;,
SH2455757238761947136,整租·星梅花苑 1室1厅 南,https://image1.ljcdn.com/110000-inspection/8eb8fe70-fb59-4e1b-80af-20ac16c5f818.jpg.250x182.jpg,普陀,长征,星梅花苑,35,1室1厅1卫,南,3100,,中楼层/6层,2020-02-25,,整租,需咨询,3100,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/110000-inspection/8eb8fe70-fb59-4e1b-80af-20ac16c5f818.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/2ba3d22e-b393-4625-ae4b-8523ed21f4cc.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/dff1379a-4c14-4256-ba8c-94cc38801d50.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/50c3905b-c36c-4a9d-bd5e-d80fb57a982a.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/ab31a77e-99f7-4d6c-8cb8-d6950e35c49f.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/d683d15c-9464-4cd5-a60d-2a0a8c9d4e31.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/standard_2f389b95-04ce-4c7f-b104-0d3f4f3c934c.png.780x439.jpg;,
SH2437470629377605632,整租·梅六小区 1室1厅 南,https://image1.ljcdn.com/310000-inspection/a8f16d90-d56c-4c4b-9c03-2ad1c1d8e710.jpg.250x182.jpg,普陀,长征,梅六小区,43,1室1厅1卫,南,4200,,中楼层/6层,2020-02-19,,整租,需咨询,4200,0,需咨询,13号线-真北路-1121m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/a8f16d90-d56c-4c4b-9c03-2ad1c1d8e710.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/90fb732c-0342-4288-bcc6-bc83783d5cde.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/5129ec89-c185-4cb0-92f8-842a41eb5f8f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/2d7f448b-842f-4124-a521-12c385944ceb.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/18bd53b0-8016-43cc-a7e4-da57a1baa9aa.png.780x439.jpg;,
SH2404971078650183680,整租·新长征花苑 1室1厅 南,https://image1.ljcdn.com/310000-inspection/2482bb1c-401f-4fe1-ad81-4574018feb8b.jpg.250x182.jpg,普陀,长征,新长征花苑,46,1室1厅1卫,南,4200,精装;,高楼层/6层,2020-02-20,精装修,整租,季付,4200,0,需咨询,13号线-真北路-842m;13号线-真北路-842m;,True,True,True,True,True,True,True,True,True,True,暂无数据,民电,自采暖,3年以内,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/2482bb1c-401f-4fe1-ad81-4574018feb8b.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/6f03b460-ffae-4172-ae1b-84fb90459c89.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/332519d4-2a42-470a-9208-28dd333e0bf7.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/d1fb4f58-2c73-4bdd-bb6e-def5983a1b8d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/737f90b4-7441-432f-a404-0c380164b20d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/218c762d-a010-4056-b673-a946b1a4d345.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/328c73b6-bed8-4cf5-af94-a32732d464e4.jpg.780x439.jpg;,【户型介绍】新长征花苑大一房，精装修，高楼层采光好，近地铁，西门到地铁561米（数据来源百度地图）【交通出行】新长征花苑公交：143路、727路、765路、837路、948路 新长征花苑地铁：地铁13号线真北路站和祁连山南路站【周边配套】祥和公园、梅川路步行街、中环百联购物广场、清峪农贸市场、迪亚天天购物超市、近铁118广场。
