hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2415009217795858432,整租·泰山一村 1室0厅 南,https://image1.ljcdn.com/lease-image/house/92f97798-cfed-4eb0-992d-72b66e9f7216.jpg.250x182.jpg,普陀,甘泉宜川,泰山一村,0,,,3490,随时看房;,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,,,,,,,False,,False,,
SH2424572333399482368,整租·龚家宅 2室1厅 南,https://image1.ljcdn.com/lease-image/house/95f4c580-0214-4d7d-ad8d-399a97dca99f.jpg.250x182.jpg,普陀,甘泉宜川,龚家宅,51,2室1厅1卫,南,5500,近地铁;精装;随时看房;,中楼层/6层,2020-02-09,精装修,整租,季付,5500,0,2750,3号线，4号线-中潭路-846m;,False,False,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,False,民水,True,https://image1.ljcdn.com/lease-image/house/95f4c580-0214-4d7d-ad8d-399a97dca99f.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/c288ed88-aa6f-4ca6-8ff0-1c2debb91677.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/7116e299-8891-4585-b574-6b260f214f51.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/791b83e4-6879-4006-935f-b1e8ff5b77f7.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/aecdb8d9-3247-4f95-a646-84b0ab402a39.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/f0df7adf-2827-40ec-9a00-194c20b44356.jpg.780x439.jpg;,
SH2420069615557419008,整租·东泉苑小区 2室1厅 南,https://image1.ljcdn.com/lease-image/house/5bf4c0e557821908ffc708d215a95256.jpeg.250x182.jpg,普陀,甘泉宜川,东泉苑小区,66,2室1厅1卫,南,5800,随时看房;,中楼层/12层,2019-12-26,,整租,季付,5800,0,2900,7号线-新村路-1079m;7号线-新村路-1079m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,True,民水,True,https://image1.ljcdn.com/lease-image/house/5bf4c0e557821908ffc708d215a95256.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/e2aafab86bc13167d66787618aa6b520.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/084c41e4d3aeeaf2b8c1bb806418ea14.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/7ad2dd1bee8afbafe6ed3ff68b810118.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/77dafa96ddbe0c073884904731a35cad.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/92d44c8dd4e665c8138756b51b3368d5.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/6efc31dca3ff872cb10afc834e4204f5.jpeg.780x439.jpg;,
SH2411669266383241216,整租·东泉苑小区 2室1厅 南,https://image1.ljcdn.com/lease-image/house/9994185f85f4d67a5ed4b8da4197863d.jpeg.250x182.jpg,普陀,甘泉宜川,东泉苑小区,0,,,6700,精装;随时看房;,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,,,,,,,False,,False,,
SH2433265542778322944,整租·甘泉一村 2室1厅 南,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20200218110553137,普陀,甘泉宜川,甘泉一村,76,2室1厅1卫,南,4900,近地铁;随时看房;,高楼层/6层,2020-01-13,,整租,季付,4900,0,2450,7号线-新村路-738m;,False,False,True,True,True,False,True,False,True,False,暂无数据,民电,集中供暖,暂无数据,随时可看,随时入住,False,民水,False,,
SH2374408539180908544,整租·宜川路20号 1室0厅 东,https://image1.ljcdn.com/310000-inspection/bffdf7cb-b525-4d42-a742-f045da274a87.jpg.250x182.jpg,普陀,甘泉宜川,宜川路20号,14,1室0厅1卫,东,2700,近地铁;,高楼层/2层,2020-02-20,,整租,需咨询,2700,0,需咨询,3号线，4号线-中潭路-687m;,False,False,False,False,False,False,False,False,False,False,暂无数据,暂无数据,暂无数据,暂无数据,需提前预约,随时入住,False,暂无数据,False,https://image1.ljcdn.com/310000-inspection/bffdf7cb-b525-4d42-a742-f045da274a87.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/7c5dd111-7d5e-4ee5-9d92-e7a2b699f498.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/7fc70a6c-2050-4d16-9497-3bbdaa230315.jpg.780x439.jpg;,
SH2462414889487450112,整租·宜川二村 1室0厅 北,https://image1.ljcdn.com/310000-inspection/pc1_4i9LVgnjn_1.jpg.250x182.jpg,普陀,甘泉宜川,宜川二村,30,1室0厅1卫,北,3000,新上;,低楼层/5层,2020-02-24,,整租,需咨询,3000,0,需咨询,3号线，4号线-中潭路-1118m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,2020-03-01,False,民水,False,https://image1.ljcdn.com/310000-inspection/pc1_4i9LVgnjn_1.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/ae113985-b68e-44e5-bcb2-68f717efff66.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/c17f8f90-a0ca-44f5-b5d2-31c3b31d0030.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/0d847971-00bb-4778-ae91-4b86b413547e.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/standard_24b01083-c2b0-4366-b63a-08876d40c408.png.780x439.jpg;,
SH2463570156031311872,整租·宜川四村 1室0厅 南,https://image1.ljcdn.com/110000-inspection/ee5b09fc-168f-4137-9829-c269c77826e3.jpg.250x182.jpg,普陀,甘泉宜川,宜川四村,35,1室0厅1卫,南,3200,新上;,高楼层/5层,2020-02-24,,整租,需咨询,3200,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/110000-inspection/ee5b09fc-168f-4137-9829-c269c77826e3.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/4bf2ae79-77af-47a3-ab83-cac9d31c1edb.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/e50f2c2d-b84a-4a18-94d6-68a600d08fdd.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/1b329c4b-9a41-4db7-bb4a-32bc0e2bf59d.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/4e1287dc-3ca3-4944-9d38-512accbe04a6.jpg.780x439.jpg;,
SH2458473145401876480,整租·宜川二村 2室1厅 南,https://image1.ljcdn.com/110000-inspection/1bfac064db68f1420cb1f9f84ef21524.jpg.250x182.jpg,普陀,甘泉宜川,宜川二村,44,2室1厅1卫,南,4200,,高楼层/6层,2020-02-23,,整租,需咨询,4200,0,需咨询,3号线，4号线-中潭路-1118m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,2020-02-29,False,民水,False,https://image1.ljcdn.com/110000-inspection/23e488524e86ef662a123f8cf18822b1.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/1bfac064db68f1420cb1f9f84ef21524.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/9ede9dcf6e5a79ce674a78b88e4760c8.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/58a8490bedb0e7e8e789f71edb8cf22b.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/ce26571949cf47112b9cf865d95df138.jpg.780x439.jpg;,
SH2376566246293643264,整租·宜川六村 1室0厅 南,https://image1.ljcdn.com/310000-inspection/4b152155-2fd6-4c81-92f1-90250e123f6d.jpg.250x182.jpg,普陀,甘泉宜川,宜川六村,30,1室0厅1卫,南,3200,近地铁;,中楼层/6层,2020-02-24,,整租,需咨询,3200,0,需咨询,3号线，4号线-中潭路-710m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/4b152155-2fd6-4c81-92f1-90250e123f6d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/edd39471-aee1-4017-bd87-fa04b052857c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/496f2b42-ec3c-403c-8d3b-606a50199d1c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/3f4bdaba-dbef-4ada-8682-692963101681.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/7293e015-7298-4a0a-8c38-00960dbefa8e.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/21767c02-8856-4067-89a3-faa4def6d9a9.png.780x439.jpg;,
