hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2341919824671940608,整租·真建一小区 1室1厅 南,https://image1.ljcdn.com/310000-inspection/ef8b636f-92c5-4790-85f7-fbfc7bc96546.jpg.250x182.jpg,普陀,桃浦,真建一小区,54,1室1厅1卫,南,2700,随时看房;,高楼层/6层,2020-02-23,,整租,季付,2700,0,需咨询,,True,True,True,True,True,True,True,True,True,True,暂无数据,民电,暂无数据,3年以内,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/ef8b636f-92c5-4790-85f7-fbfc7bc96546.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/84603b6c-685f-44a6-89ca-bd00604fd9fd.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/2e4f5d92-821f-4c79-b1b0-ccef699692c0.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/6cbb83e7-5d22-43e0-a7d9-9fdbc7cd346b.jpg.780x439.jpg;,【户型介绍】南北两房，，厨房卫生间都有朝北的窗户过道厅，是这边小区独有的户型两个人或者一个人居住舒适度高【装修描述】装修偏老，房东对墙面进行了新的粉饰家具家电都有，拎包即可入住。【周边配套】周配套成熟菜场：清涧菜场、嘉农超市、各种生鲜超市医院：利群医院，益丰药房超市：家乐福、华润、联华等
SH2366470602812309504,整租·桃浦十村（紫腾苑小区白丽路701弄） 1室1厅 南,https://image1.ljcdn.com/310000-inspection/4b234c7d-96a8-4a5d-9bd5-89f0dfb90993.jpg.250x182.jpg,普陀,桃浦,桃浦十村（紫腾苑小区白丽路701弄）,33,1室1厅1卫,南,2800,近地铁;,中楼层/7层,2020-02-17,,整租,需咨询,2800,0,需咨询,11号线(嘉定北-迪士尼)，11号线(花桥-811m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/02073f07-94c0-46d5-b65d-4c3a12ac0fea.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/4b234c7d-96a8-4a5d-9bd5-89f0dfb90993.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/8393f8e4-febd-4d48-9d9f-61c6a0b9f0da.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b6403bb0-dc9b-4450-9a37-0cc65b666000.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/898bc5cf-63af-45ce-bc97-6d20a1105fab.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/5f397181-cf56-411e-9ce4-d30b02ceaa16.jpg.780x439.jpg;,
SH2389708385416388608,整租·桃浦七村雪松苑 1室1厅 南,https://image1.ljcdn.com/310000-inspection/32f435ae-7695-45ed-92c9-6aa6003c5c6f.jpg.250x182.jpg,普陀,桃浦,桃浦七村雪松苑,43,1室1厅1卫,南,2800,近地铁;,高楼层/6层,2020-02-17,,整租,需咨询,2800,0,需咨询,11号线(嘉定北-迪士尼)，11号线(花桥-732m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/32f435ae-7695-45ed-92c9-6aa6003c5c6f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/2850f300-fffb-4c4f-bd00-c339fa1d49dc.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/7f84858a-d23a-45ee-bd1f-01ea41a5130d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/8740082f-f895-4b8b-9b7e-c84222f58a20.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/498198c1-fa8b-4b76-98c8-e0ea176e1d06.png.780x439.jpg;,
SH2412814046346100736,整租·新扬雅苑 1室1厅 北,https://image1.ljcdn.com/310000-inspection/5bae08d4-4099-443e-b9e1-ea968d080734.png.250x182.jpg,普陀,桃浦,新扬雅苑,66,1室1厅1卫,北,2800,,中楼层/14层,2020-02-09,,整租,需咨询,2800,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,True,民水,False,https://image1.ljcdn.com/310000-inspection/31cfbf2c-b74a-4ca3-810e-1f952937b274.png.780x439.jpg;https://image1.ljcdn.com/310000-inspection/5bae08d4-4099-443e-b9e1-ea968d080734.png.780x439.jpg;https://image1.ljcdn.com/310000-inspection/93faf388-8929-4918-ba0c-e4e79ed33e59.png.780x439.jpg;https://image1.ljcdn.com/310000-inspection/450c6310-5d9d-4e15-9103-c5bc20f14227.png.780x439.jpg;https://image1.ljcdn.com/310000-inspection/d7c151cb-53a7-4a55-be1a-6212d66a1931.png.780x439.jpg;,
SH2401372877489176576,整租·桃浦七村雪松苑 1室0厅 南,https://image1.ljcdn.com/310000-inspection/ea1a38bf-8f0b-4f48-9b8e-8b50eae4444a.jpg.250x182.jpg,普陀,桃浦,桃浦七村雪松苑,37,1室0厅1卫,南,2700,近地铁;随时看房;,中楼层/6层,2020-02-17,,整租,需咨询,2700,0,需咨询,11号线(嘉定北-迪士尼)，11号线(花桥-732m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/ea1a38bf-8f0b-4f48-9b8e-8b50eae4444a.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/1feba9dd-4670-4bee-ab5e-dd688b3adc60.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/4bd84e86-9de8-4668-8a72-57e76dd690e4.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20171212/c8f4ddbe-0860-4191-804a-7f67fea9792b.jpg.780x439.jpg;,
SH2462193951260811264,整租·真建一小区 2室1厅 南,https://image1.ljcdn.com/110000-inspection/75cdd599-515b-4d72-8a6d-d7cd1e5d5233.jpg.250x182.jpg,普陀,桃浦,真建一小区,59,2室1厅1卫,南,4200,新上;,高楼层/6层,2020-02-23,,整租,需咨询,4200,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/110000-inspection/75cdd599-515b-4d72-8a6d-d7cd1e5d5233.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/11dc9e82-ed14-4380-8c86-f5df1ce8441b.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/32da9936-d3c0-412e-8955-5d651ece102c.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/e5c17159-a33d-4257-a5c6-f45511fbdb61.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/c281d902-393a-467a-acf6-262e50bc903a.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/prod-1df3b365-37ee-4013-84de-19a63f1fad11.png.780x439.jpg;,
SH2318541145556393984,整租·桃浦一村瑞香苑 2室1厅 南,https://image1.ljcdn.com/310000-inspection/pc1_xUTxUdy1a_1.jpg.250x182.jpg,普陀,桃浦,桃浦一村瑞香苑,65,2室1厅1卫,南,3400,近地铁;,高楼层/6层,2020-02-18,,整租,需咨询,3400,0,需咨询,11号线(嘉定北-迪士尼)，11号线(花桥-1196m;11号线(嘉定北-迪士尼)，11号线(花桥-1196m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/pc1_xUTxUdy1a_1.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e1d258fe-14fe-4c7c-a5fa-02ed072dc9e0.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/36e99fe7-773d-44ee-bc1c-4acf6a3dbdbf.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/697c8ed6-411b-4450-b7c7-06ac2b4acc28.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/521e8b80-5748-47fc-90c5-83f1ef5ae219.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/1b28d949-f6ba-4e8d-8146-57719efd0679.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/standard_d6a4c466-7b10-47c2-9917-a55ffae1d1f4.png.780x439.jpg;,
SH2430965667927687168,整租·桃浦一村瑞香苑 1室1厅 南,https://image1.ljcdn.com/310000-inspection/350e6b92-4812-4fa3-8a5f-b3395d0a3b83.jpg.250x182.jpg,普陀,桃浦,桃浦一村瑞香苑,48,1室1厅1卫,南,3300,近地铁;,低楼层/6层,2020-02-25,,整租,需咨询,3300,0,需咨询,11号线(嘉定北-迪士尼)，11号线(花桥-1196m;11号线(嘉定北-迪士尼)，11号线(花桥-1196m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/350e6b92-4812-4fa3-8a5f-b3395d0a3b83.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/38968c26-76d9-4c5a-8eba-745c72812e46.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/be3a9913-d7fc-4b37-a5c2-8fea37a8404a.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/071859af-8c91-4c9f-9b31-15ecc5eddb02.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/5d7cf52b-de95-4b3d-a0b1-0e656f6dc360.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b87b8b6f-9ce3-41c9-ac4e-22691866d0fb.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/c70550c3-8190-48c6-8e41-d7601af43d48.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/896d8429-10c3-4d77-ac04-ab4a9ca2f3b0.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/c5a221ec-786a-4308-8e8d-2765e26a27df.jpg.780x439.jpg;,
SH2427311282345476096,整租·桃浦四村易居紫荆苑 1室1厅 南,https://image1.ljcdn.com/310000-inspection/159d0e7c-268b-4b69-922b-0b437c693eb9.jpg.250x182.jpg,普陀,桃浦,桃浦四村易居紫荆苑,41,1室1厅1卫,南,3000,近地铁;随时看房;,中楼层/6层,2020-02-22,,整租,需咨询,3000,0,需咨询,11号线(嘉定北-迪士尼)，11号线(花桥-477m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/d96d8d80-9b48-4559-a7b2-228d059b92b5.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/159d0e7c-268b-4b69-922b-0b437c693eb9.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/77bc558f-55e9-4599-88d3-3ce7572bbc22.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/98b65d7a-3a75-4352-9c0f-f27364887d2b.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/prod-077a2597-947a-4ee3-ae91-4f1b9a0cda80.png.780x439.jpg;,
SH2377375530782556160,整租·桃浦十村（紫腾苑小区白丽路701弄） 2室1厅 南,https://image1.ljcdn.com/310000-inspection/9d23f7a9-4667-4355-b0e2-19d1c32a726c.jpg.250x182.jpg,普陀,桃浦,桃浦十村（紫腾苑小区白丽路701弄）,54,2室1厅1卫,南,3500,近地铁;,高楼层/6层,2020-02-17,,整租,需咨询,3500,0,需咨询,11号线(嘉定北-迪士尼)，11号线(花桥-811m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/9d23f7a9-4667-4355-b0e2-19d1c32a726c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/de9796d6-ecfa-431a-9e45-d9999ec0beaa.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/1500929e-0eda-4a48-959a-4e2d85b54fe2.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/13d02ef3-65ac-4b47-a300-647b8badb2a4.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/75823591-97f2-49ec-bf88-dad947438216.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/9fa93044-15d1-45c4-8505-a8f133d0a381.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f6d9bc02-1e7c-41c8-940a-da850517a14d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/399e6303-f626-4b04-a180-f193df770f67.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/5f729f5d-4af3-459d-98c7-56aafa68bde9.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a65c4be9-4df9-4668-8557-da3b84f15d9b.jpg.780x439.jpg;,
SH2394879865326141440,整租·桃浦六村绿春苑 2室1厅 南,https://image1.ljcdn.com/310000-inspection/18e06cb6-eb70-465c-90b7-5bed19ec09a5.jpg.250x182.jpg,普陀,桃浦,桃浦六村绿春苑,65,2室1厅1卫,南,3400,近地铁;,高楼层/6层,2020-01-11,,整租,需咨询,3400,0,需咨询,11号线(嘉定北-迪士尼)，11号线(花桥-702m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/704c6b9e-7616-46c4-ad6e-597dd6bea165.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/18e06cb6-eb70-465c-90b7-5bed19ec09a5.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/cbd71f81-ce83-4205-84c6-9fad652ecb90.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/8855bef5-f75f-4f69-adb8-d57e249197db.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/d23e5c42-8217-4f1c-9cfe-06a596389bc3.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/5c51a558-469d-4167-8a33-5c78fb14ae36.png.780x439.jpg;,
SH2428964313948487680,整租·桃浦一村瑞香苑 2室1厅 南,https://image1.ljcdn.com/310000-inspection/1e16a426-e7ea-4e2b-a7b5-4894e4c341b5.jpg.250x182.jpg,普陀,桃浦,桃浦一村瑞香苑,50,2室1厅1卫,南,3700,近地铁;随时看房;,中楼层/5层,2020-02-18,,整租,需咨询,3700,0,需咨询,11号线(嘉定北-迪士尼)，11号线(花桥-1196m;11号线(嘉定北-迪士尼)，11号线(花桥-1196m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/8951a083-1bab-4f35-acc8-ea3256ec2b6d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/bb594a56-3e1f-4b0c-b98a-bde9a921d339.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/1e16a426-e7ea-4e2b-a7b5-4894e4c341b5.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b84ec285-d68c-4824-8b7b-192b0625d104.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/d4ca255a-86de-402e-83b1-c0282f887197.png.780x439.jpg;,
SH2425906108372615168,整租·阳光水岸苑 1室1厅 南,https://image1.ljcdn.com/310000-inspection/0ec9e42b-819f-4e01-8e42-a6e013457033.jpg.250x182.jpg,普陀,桃浦,阳光水岸苑,63,1室1厅1卫,南,3400,随时看房;,低楼层/16层,2020-02-17,,整租,需咨询,3400,0,需咨询,10号线(新江湾城-虹桥火车站)，11号线(花桥-1127m;10号线(新江湾城-虹桥火车站)，11号线(花桥-1127m;10号线(新江湾城-虹桥火车站)，11号线(花桥-1127m;10号线(新江湾城-虹桥火车站)，11号线(花桥-1127m;10号线(新江湾城-虹桥火车站)，11号线(花桥-1127m;10号线(新江湾城-虹桥火车站)，11号线(花桥-1127m;10号线(新江湾城-虹桥火车站)，11号线(花桥-1127m;10号线(新江湾城-虹桥火车站)，11号线(花桥-1127m;10号线(新江湾城-虹桥火车站)，11号线(花桥-1127m;10号线(新江湾城-虹桥火车站)，11号线(花桥-1127m;10号线(新江湾城-虹桥火车站)，11号线(花桥-1127m;10号线(新江湾城-虹桥火车站)，11号线(花桥-1127m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,True,民水,False,https://image1.ljcdn.com/310000-inspection/0ec9e42b-819f-4e01-8e42-a6e013457033.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/6dccb981-421c-480c-b950-c74b2e82e301.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/7381ee80-3160-4d03-831f-95aeae857d25.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/021be7e3-25d5-4181-a46c-55d17e88e532.jpg.780x439.jpg;,
SH2434755638379675648,整租·真建一小区 1室1厅 南,https://image1.ljcdn.com/310000-inspection/pc1_faQrBf4Bm_1.jpg.250x182.jpg,普陀,桃浦,真建一小区,45,1室1厅1卫,南,3200,随时看房;,中楼层/6层,2020-02-20,,整租,需咨询,3200,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/pc1_faQrBf4Bm_1.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/72789c9b-d60d-4899-a38b-b00a487fedcc.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/4c1712c4-835b-4fdf-bf04-7bfbccde03fb.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/cdabeaa3-f8a2-4e64-9584-aa77a79ae443.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e404649b-ce49-47e1-92e1-adbdb6a96735.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/9b473216-0ec5-45ab-b1e8-eadb42f99c84.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/standard_640a3966-ffc4-403c-a27d-1d1bc2155f24.png.780x439.jpg;,
SH2449135765603483648,整租·桃浦三村石榴苑 1室1厅 南,https://image1.ljcdn.com/110000-inspection/0f110ff9772de9c6883d76eb06a4b91e.jpg.250x182.jpg,普陀,桃浦,桃浦三村石榴苑,45,1室1厅1卫,南,3800,近地铁;,中楼层/6层,2020-02-23,,整租,需咨询,3800,0,需咨询,11号线(嘉定北-迪士尼)，11号线(花桥-254m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/110000-inspection/0f110ff9772de9c6883d76eb06a4b91e.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/81195cd7fd166c656f4054c9119d8136.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/3d1b7ae4adad9aeef9aba0d4dfa95458.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/247bf92e86acfeb84f0a41507820f4a2.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/d47403a1bf83a59924ce1932c444bc2b.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/d03266dd76b4a4d08d9d390f50cba241.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/87a1d56a-b03c-4eea-8c05-aece16444efa.png.780x439.jpg;,
SH2382364664006197248,整租·桃浦三村石榴苑 2室1厅 南,https://image1.ljcdn.com/310000-inspection/df52ea17-5a77-4517-9c9f-2b27ba927d6e.jpg.250x182.jpg,普陀,桃浦,桃浦三村石榴苑,60,2室1厅1卫,南,3400,近地铁;随时看房;,高楼层/6层,2020-01-12,,整租,需咨询,3400,0,需咨询,11号线(嘉定北-迪士尼)，11号线(花桥-254m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/df52ea17-5a77-4517-9c9f-2b27ba927d6e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/68081b82-195a-4ff0-9d71-928cd4181866.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a6dbc181-e2b5-42c5-9fbe-b6ab183bf9fe.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/ad8a3508-ebab-4339-a94b-84ca631e292f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/9cecb6c0-7617-4ed6-a7d6-0eb3931a3bb6.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/456b4de7-db55-4d6c-b6aa-4c391da120a1.jpg.780x439.jpg;,
SH2397881626282967040,整租·桃浦七村雪松苑 1室2厅 南,https://image1.ljcdn.com/310000-inspection/cd8b6951-8a7f-42e9-81df-2358e65f41da.jpg.250x182.jpg,普陀,桃浦,桃浦七村雪松苑,43,1室2厅1卫,南,3000,近地铁;,高楼层/6层,2020-01-11,,整租,需咨询,3000,0,需咨询,11号线(嘉定北-迪士尼)，11号线(花桥-732m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/cd8b6951-8a7f-42e9-81df-2358e65f41da.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e99f17aa-7f9c-4088-9a8d-0409c53371b7.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/2e843221-0736-4856-a507-552e4b3fdb00.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/75f0c218-2e6f-4ff0-914e-fed7feb140a0.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/e11f43d3-976a-4422-9d3e-ea8422e1db58.png.780x439.jpg;,
SH2360923659998609408,整租·桃浦三村和乐苑 1室1厅 南,https://image1.ljcdn.com/310000-inspection/0dea8088-c154-4655-86d2-4b976b1d15ec.jpg.250x182.jpg,普陀,桃浦,桃浦三村和乐苑,40,1室1厅1卫,南,3000,近地铁;随时看房;,中楼层/6层,2020-02-22,,整租,需咨询,3000,0,需咨询,11号线(嘉定北-迪士尼)，11号线(花桥-106m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/0dea8088-c154-4655-86d2-4b976b1d15ec.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/1bae25d0-5129-44b4-83a1-44d576ed5a79.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a66c138a-6cab-48d4-a20c-ba4ae2fd4002.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/9811da1c-08ec-432a-82da-14a2905d2691.jpg.780x439.jpg;,
SH2430493347706568704,整租·桃浦七村雪松苑 1室2厅 南,https://image1.ljcdn.com/310000-inspection/3d307c15-3edb-4e0a-8b02-c0ebcf533d16.jpg.250x182.jpg,普陀,桃浦,桃浦七村雪松苑,43,1室2厅1卫,南,3800,近地铁;,高楼层/6层,2020-02-11,,整租,需咨询,3800,0,需咨询,11号线(嘉定北-迪士尼)，11号线(花桥-732m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/3d307c15-3edb-4e0a-8b02-c0ebcf533d16.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/8959e616-ef5c-4d91-b609-8c8c1994439f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/1fabefcd-193a-4749-9257-1eaa0c7519f0.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/de287845-bc67-4e36-afea-e2701ed72d53.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/27e71e2b-64db-460b-9df4-a450efc54e86.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/e11f43d3-976a-4422-9d3e-ea8422e1db58.png.780x439.jpg;,
SH2454353988968529920,整租·桃浦四村易居紫荆苑 1室1厅 南,https://image1.ljcdn.com/310000-inspection/cf652509-db76-473a-9be3-493dbd34dd81_1000.jpg.250x182.jpg,普陀,桃浦,桃浦四村易居紫荆苑,41,1室1厅1卫,南,3200,近地铁;,高楼层/6层,2020-02-22,,整租,需咨询,3200,0,需咨询,11号线(嘉定北-迪士尼)，11号线(花桥-477m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/cf652509-db76-473a-9be3-493dbd34dd81_1000.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/c3608d05-852e-4cdc-a184-86379e220cc1.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e0c268d8-152f-498b-8a64-41c45bc91d6a.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/3bee6c9b-f323-46c4-8879-cbb3d50e0149.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/198b2138-7668-4659-960c-dccd47d7ae12.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/766a694e-52a0-4381-a724-3ac60322ef6c.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/standard_f4610842-f700-44ee-a485-fe6766d9be0a.png.780x439.jpg;,
