hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2328735492050255872,整租·逸皓华庭(公寓) 2室2厅 南/北,https://image1.ljcdn.com/310000-inspection/581c4258-4746-42bd-a88c-36b8ce59f38a.jpg.250x182.jpg,青浦,重固,逸皓华庭(公寓),91,2室2厅1卫,南/北,3500,,低楼层/12层,2019-12-09,,整租,需咨询,3500,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/fd12280d-ae13-46fb-8828-e671e3d1907b.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/d5f8903e-357a-4a68-85a8-39105eb39272.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e784b84b-7dd6-444b-b991-04ce087b4328.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/581c4258-4746-42bd-a88c-36b8ce59f38a.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/2c75d3b5-8408-4027-8c2e-096c33193fcb.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/5420b491-55fc-450f-8e13-131e565df7d7.jpg.780x439.jpg;,
SH2386256935319519232,整租·夏阳金城 2室2厅 南,https://image1.ljcdn.com/310000-inspection/8e01be43-0e31-4f4c-af56-fc1c27753991.jpg.250x182.jpg,青浦,重固,夏阳金城,93,2室2厅1卫,南,3200,,中楼层/5层,2020-01-09,,整租,需咨询,3200,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/8e01be43-0e31-4f4c-af56-fc1c27753991.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f8e2edd8-ec2f-4f46-88a6-ab550faea17e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/eb4d87aa-ce94-40a8-9d5c-d32db596b254.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a1dad6bf-3d9c-46d2-8965-8cd8ded2f2fc.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/290e5242-35a0-4d93-a5cb-45b762391d79.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/c2c2556a-63cc-47fa-bcf4-e3b6000d45c4.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/00d60dfa-1b5e-4447-91d2-7fc509a0934d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/84228a1e-1b9f-4a60-bb0a-a34075a7bc3a.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e3da3e98-cf55-4bb1-90ba-47ce6d145df4.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/63b95af7-aaaa-41d2-b4de-523b6180e9bb.jpg.780x439.jpg;,
SH2425852550734684160,整租·夏阳金城 2室2厅 南,https://image1.ljcdn.com/310000-inspection/1de1ec84-fdce-4c59-8caa-2a9b0083a87a.jpg.250x182.jpg,青浦,重固,夏阳金城,70,2室2厅2卫,南,3000,双卫生间;,高楼层/5层,2020-01-18,,整租,需咨询,3000,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/1de1ec84-fdce-4c59-8caa-2a9b0083a87a.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a07f9231-6d2a-45fb-9295-f88722802ad5.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/c73f2b7b-b13c-4fd5-b096-6ffb8ca7ae8d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/de0982e6-7d75-48f2-9353-5179a5c6e701.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e3d8e816-5d87-4a07-b642-97843a9994a1.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/9a87ff1a-28e3-4466-b061-b22a2bde8c2b.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a06257f3-40ef-4831-beaf-4fa0b95300c6.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b085c7a0-695c-48ef-ac46-491a6f2685d3.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/31c59a1a-ce02-455b-a185-aedad5823f00.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/33e0b158-9115-42dc-b8bf-25b5e0b15f0e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/999a6e4d-573e-4f7b-b094-85004b395ac0.jpg.780x439.jpg;,
SH2414409879788716032,整租·新里波洛克公馆 2室2厅 南,https://image1.ljcdn.com/310000-inspection/44218c97-0cbc-4ea0-adda-a0f91184fd6d.jpg.250x182.jpg,青浦,重固,新里波洛克公馆,84,2室2厅2卫,南,3000,双卫生间;,高楼层/16层,2020-02-25,,整租,需咨询,3000,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,暂无数据,暂无数据,暂无数据,需提前预约,随时入住,False,暂无数据,False,https://image1.ljcdn.com/310000-inspection/da8f3376-ef89-4a81-98df-11228501330d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/18ca7487-4a30-4e9a-b9f4-63a648fe4304.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/46969e4a-0dc6-4f6e-86db-1623edd5ee64.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/44218c97-0cbc-4ea0-adda-a0f91184fd6d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/6e3ef7d3-aca2-463c-9697-749546f12d93.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/40fcdf22-5f33-46b2-869f-fbbf550f4ea0.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/fe42cf97-6959-454a-bb3d-fd1dd6f4c4ba.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a45d6813-f330-4758-a975-fd7e3b367397.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f05d679f-9f8c-4b75-9c54-6acf93821742.jpg.780x439.jpg;,
SH2389927213412646912,整租·摩登蜂巢 1室1厅 南,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20200218110553137,青浦,重固,摩登蜂巢,56,1室1厅1卫,南,2200,精装;随时看房;,低楼层/22层,2020-02-24,精装修,整租,季付,2200,0,需咨询,,True,True,True,True,True,True,True,True,True,True,暂无数据,商电,暂无数据,3年以上,需提前预约,随时入住,True,商水,True,,【户型介绍】室朝南，南北通，有阳台，采光好，无遮挡，有储物间，动静分离。【装修描述】全新装修，开发商装修，随时起租，家具全新，全套电器，直接入住。【小区介绍】新小区，环境优美，绿化好，中间有花园，电梯房，物业管理人性化。
SH2411574733926834176,整租·新里波洛克公馆 2室2厅 南/北,https://image1.ljcdn.com/310000-inspection/980a9ecc-c4ca-49f2-a7b2-8b8cf8beffdc.jpg.250x182.jpg,青浦,重固,新里波洛克公馆,82,2室2厅2卫,南/北,2900,双卫生间;,中楼层/16层,2020-02-24,,整租,需咨询,2900,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,暂无数据,暂无数据,暂无数据,需提前预约,随时入住,False,暂无数据,False,https://image1.ljcdn.com/310000-inspection/9d076a9f-7da7-450c-825e-ca7fbdf13dca.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/6b566b7b-93c5-4193-9972-1ccd90350397.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/980a9ecc-c4ca-49f2-a7b2-8b8cf8beffdc.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/023d4872-4dec-4ad1-8927-add070cb744d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b16edad9-4102-4d7e-b0cc-58ec4fc73e0b.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/85c56fa5-36c8-4b4d-92a9-249bb3a85fd4.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/9806d992-cd7c-424e-8eed-653148b97fdc.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/83f12a9c-484d-4643-bad1-0f14bfbe2d67.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/15bbfdaf-3fcc-4a13-921a-9c2674a6a5de.jpg.780x439.jpg;,
SH2420098397618053120,整租·新里波洛克公馆 3室2厅 南,https://image1.ljcdn.com/310000-inspection/ff191129-a973-41db-9930-d13648d308a0.jpg.250x182.jpg,青浦,重固,新里波洛克公馆,90,3室2厅2卫,南,3500,双卫生间;,中楼层/16层,2020-02-24,,整租,需咨询,3500,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,暂无数据,暂无数据,暂无数据,需提前预约,随时入住,False,暂无数据,False,https://image1.ljcdn.com/310000-inspection/41dbc6c0-7799-4efc-b9ad-47f5437a5120.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/4fbe349b-ea00-433f-88da-65c54233ed85.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/dac28d6d-4fd7-4ac9-a952-09334d683914.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/ff191129-a973-41db-9930-d13648d308a0.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/9ce04ec4-4fe6-45cd-a590-44c93eda4752.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/49f04554-3eb8-4ce5-a45a-0c9f57de6007.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/051b6d1b-a4a8-45e0-82c4-ede5c25ba063.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/0d8be137-232d-4037-b5e4-cbf516eada1e.jpg.780x439.jpg;,
SH2389925448382685184,整租·摩登蜂巢 2室1厅 南,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20200218110553137,青浦,重固,摩登蜂巢,75,2室1厅1卫,南,3500,精装;随时看房;,低楼层/22层,2020-01-11,精装修,整租,季付,3500,0,需咨询,,True,True,True,True,True,True,True,True,True,True,暂无数据,商电,暂无数据,3年以上,需提前预约,随时入住,False,商水,False,,【户型介绍】主卧朝南，南北通，有阳台，采光好，无遮挡，有储物间，动静分离。【装修描述】全新装修，开发商装修，刚开始出租，家具全新，全套电器，直接入住。【小区介绍】新小区，环境优美，绿化好，中间有花园，电梯房，物业管理人性化。
SH2389926370701746176,整租·摩登蜂巢 2室1厅 南,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20200218110553137,青浦,重固,摩登蜂巢,75,2室1厅1卫,南,3500,精装;随时看房;,低楼层/22层,2020-01-11,精装修,整租,季付,3500,0,需咨询,,True,True,True,True,True,True,True,True,True,True,暂无数据,商电,暂无数据,3年以上,需提前预约,随时入住,False,商水,False,,【户型介绍】主室朝南，南北通，有阳台，采光好，无遮挡，有储物间，动静分离。【装修描述】全新装修，开发商装修，随时起租，家具全新，全套电器，直接入住。【小区介绍】新小区，环境优美，绿化好，中间有花园，电梯房，物业管理人性化。
SH2289893292223242240,整租·摩登蜂巢 1室1厅 南,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20200218110553137,青浦,重固,摩登蜂巢,49,1室1厅1卫,南,2500,,高楼层/22层,2020-02-22,,整租,需咨询,2500,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,商电,暂无数据,暂无数据,需提前预约,随时入住,False,商水,False,,
