hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2412944677776408576,整租·欣乐苑 1室1厅 南,https://image1.ljcdn.com/310000-inspection/9ccbc02d-5530-4dc9-a271-66d6d14ec0da.jpg.250x182.jpg,青浦,华新,欣乐苑,54,1室1厅1卫,南,2000,,低楼层/18层,2020-01-19,,整租,需咨询,2000,0,需咨询,17号线-徐泾北城-1082m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/9ccbc02d-5530-4dc9-a271-66d6d14ec0da.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b2c78632-9034-42d5-bd0b-fb4ee04d71bb.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/7b9bc02b-7371-4739-9aa8-0b89733848bb.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/fb573fbe-1a2b-4942-9609-e23d797081b0.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/standard_45427a6b-1a3d-4d42-9449-75c4980cd8d6.png.780x439.jpg;,
SH2407980533738119168,整租·春江三月公寓二期 2室1厅 南/北,https://image1.ljcdn.com/310000-inspection/efa783d6-5ed8-4e25-872a-a91074f0e7b5.jpg.250x182.jpg,青浦,华新,春江三月公寓二期,72,2室1厅1卫,南/北,2800,,高楼层/18层,2020-02-17,,整租,需咨询,2800,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/fe2e47b4-bc04-4dc3-b091-f58f0bf7b027.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/9375d458-efb3-4ed0-a2bc-bf61ce28e912.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/5c61f714-cc7d-428a-935a-644434a008fe.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/efa783d6-5ed8-4e25-872a-a91074f0e7b5.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/6ba98597-4341-4d4f-8613-08bf69d40657.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/2ed9ae04-360c-4b5b-8b5e-690ddf02540e.jpg.780x439.jpg;,
SH2333933862750789632,整租·星尚湾名邸 2室1厅 南,https://image1.ljcdn.com/310000-inspection/d3837355-01b6-4ce6-a8a6-0160893f081c.jpg.250x182.jpg,青浦,华新,星尚湾名邸,89,2室1厅1卫,南,3000,随时看房;,中楼层/18层,2020-02-26,,整租,需咨询,3000,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/7f5202b6-22d0-4c7a-a4a2-cbb35b6c67c2.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/4ddd07eb-65cf-495c-8b2e-ed0089d38d48.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/d3837355-01b6-4ce6-a8a6-0160893f081c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/fd5394e5-8420-4dda-bb95-873a8d782de9.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/0e342479-fed0-4d08-bb59-aa72bb930ea0.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/60e2d6ce-c997-4d2b-9476-a9db4674f96e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/83581c56-341d-4864-8c62-614de3634bea.jpg.780x439.jpg;,
SH2378934494465105920,整租·馨浦苑西区 1室1厅 南,https://image1.ljcdn.com/310000-inspection/d52202cf-b754-4bd8-bcf2-53d4d03f13ca.jpg.250x182.jpg,青浦,华新,馨浦苑西区,56,1室1厅1卫,南,3500,近地铁;,低楼层/18层,2020-02-08,,整租,需咨询,3500,0,需咨询,17号线-徐盈路-855m;17号线-徐盈路-855m;,False,True,True,True,True,True,True,False,True,True,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/d52202cf-b754-4bd8-bcf2-53d4d03f13ca.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/138b2b8c-3791-46fa-b5ca-f4ea5a125418.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/2e620623-7551-46ca-9154-0c7d2fad2dc0.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/20ea2f34-02f9-4908-8901-0c35ff10d1ff.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/0743b37f-27b7-4b21-9ba9-541785608152.jpg.780x439.jpg;,
SH2418876968025202688,整租·春江三月公寓二期 2室1厅 南,https://image1.ljcdn.com/310000-inspection/bdc062c3-bbb4-4dbb-baf0-9aa57b6ff1bb.jpg.250x182.jpg,青浦,华新,春江三月公寓二期,73,2室1厅1卫,南,3500,,低楼层/18层,2020-01-11,,整租,需咨询,3500,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/bdc062c3-bbb4-4dbb-baf0-9aa57b6ff1bb.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/c6fbfb51-547d-4821-9a71-1b28ba7730bc.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/7bc25fb6-5c7b-488b-97dc-ee864c55f5bf.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/290983ba-eac9-4abf-b3ca-16becf95419a.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/d3d6f687-800a-4e85-8c78-39e664461028.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a8f31a75-276f-43d4-970f-1a2a6589ab16.jpg.780x439.jpg;,
SH2437742795457298432,整租·瑞和锦庭-西区 2室2厅 南,https://image1.ljcdn.com/310000-inspection/7614bb1c-0df0-437a-8980-438f98617716.jpg.250x182.jpg,青浦,华新,瑞和锦庭-西区,81,2室2厅1卫,南,2700,随时看房;,高楼层/11层,2020-01-20,,整租,需咨询,2700,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/72397ad4-f2bc-4410-b1d0-fe781f0da131.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/219d61de-9b2b-4d2b-844f-1e7c69b5de50.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/7614bb1c-0df0-437a-8980-438f98617716.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a926a3b6-0dc1-41e3-8cd8-caa0b1036fa6.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a10aa218-ff2e-4b1b-ab35-2c5185e75324.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/005bf307-6926-4ef3-8a1d-ab9bb5ae66e0.jpg.780x439.jpg;,
SH2411345415237804032,整租·徐泾北城欣沁苑东区 1室1厅 南,https://image1.ljcdn.com/310000-inspection/8830389f-fdef-45c7-9a69-664cc6da95da.jpg.250x182.jpg,青浦,华新,徐泾北城欣沁苑东区,53,1室1厅1卫,南,3500,随时看房;,低楼层/18层,2020-01-19,,整租,需咨询,3500,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/487cb6e6-2ea1-4990-837f-c6588722404e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/8830389f-fdef-45c7-9a69-664cc6da95da.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/429acb68-9de4-43c7-a379-e9dd75431693.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/6a0f029d-5086-490f-9726-839ab8d20d84.jpg.780x439.jpg;,
SH2432385839666569216,整租·春江三月公寓二期 2室1厅 南,https://image1.ljcdn.com/310000-inspection/d66e0a0d-dbfe-47ef-80a1-9d2ed63de6f3.jpg.250x182.jpg,青浦,华新,春江三月公寓二期,75,2室1厅1卫,南,3300,随时看房;,高楼层/18层,2020-01-19,,整租,需咨询,3300,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,只能周末看房,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/ac4ffe1c-0851-43e3-a7cd-f5b964632a32.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/5b491e6c-582e-4ff9-9add-0510ea188ee9.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/d66e0a0d-dbfe-47ef-80a1-9d2ed63de6f3.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b24570a1-37e2-4136-ac24-925fbf9064c8.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/c6ded301-b1a7-4a62-baf2-90f2815a993e.jpg.780x439.jpg;,
SH2418782592141623296,整租·新丰公寓 2室1厅 南,https://image1.ljcdn.com/310000-inspection/739efdc9-ff09-4af1-857f-dcf9035b269a.jpg.250x182.jpg,青浦,华新,新丰公寓,0,,,2500,随时看房;,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,,,,,,,False,,False,,
SH2436167523273031680,整租·新丰公寓 2室2厅 南,https://image1.ljcdn.com/310000-inspection/02ada12f-bb91-4f27-8f2a-4b725a7119ca.jpg.250x182.jpg,青浦,华新,新丰公寓,84,2室2厅1卫,南,2500,随时看房;,中楼层/18层,2020-01-19,,整租,需咨询,2500,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/a1bf7021-a458-46f9-9845-3e598a59ea26.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/7d80601f-3f12-4cbd-a1cf-3a293267e93a.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/02ada12f-bb91-4f27-8f2a-4b725a7119ca.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/21296610-5123-44de-b750-9de746a503a9.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/d2918e99-0229-4cb5-9dfa-e90bf37762e6.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f458ce19-16f9-4937-91c1-095d937d6c52.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/26577e47-c49c-4eb9-aa65-0bf13cbd7c68.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/bcb7337d-8ae2-4d81-a4f5-f6251822a9d0.jpg.780x439.jpg;,
