hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2416623081218121728,整租·仁恒运杰河滨花园 3室1厅 南,https://image1.ljcdn.com/lease-image/house/5935d333b69ce7c6c3e9fe8ac60ae905.jpeg.250x182.jpg,青浦,夏阳,仁恒运杰河滨花园,86,3室1厅1卫,南,3500,精装;随时看房;,低楼层/18层,2020-01-01,精装修,整租,季付,3500,0,1750,,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,True,民水,False,https://image1.ljcdn.com/lease-image/house/78cd609c40290df65570bcf4b205def6.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/7dfb7c7f62e4cff3fb66c5332269ddb7.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/164996db3e68a9ccc5caadbe31f45d8d.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/5935d333b69ce7c6c3e9fe8ac60ae905.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/275ce3029eb04bd90e14e3399f164adf.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/61d5bd41a0003412cdf12294b05a9de0.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/2477840cea35f3ccc780a6d20e8f067f.jpeg.780x439.jpg;,
SH2461492595357401088,整租·夏阳湖国际花园 2室2厅 南,https://image1.ljcdn.com/lease-image/house/5b911cac6fc7d91464ac636805443bb5.jpeg.250x182.jpg,青浦,夏阳,夏阳湖国际花园,100,2室2厅1卫,南,4000,新上;精装;随时看房;,高楼层/17层,2020-02-21,精装修,整租,季付,4000,0,2000,,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,True,民水,True,https://image1.ljcdn.com/lease-image/house/17a528173d278d02279d7ae6fc1106dc.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/5a68e145fa148f50a00508470d626394.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/5b911cac6fc7d91464ac636805443bb5.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/1645368bacdd0c7e2a9a72ee91782419.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/569068f64f3307eb79b27c07c5fa3e57.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/643683f4581f3941179cf961e7374173.jpeg.780x439.jpg;,
SH2437706146434523136,整租·新青浦佳园 4室2厅 南,https://image1.ljcdn.com/lease-image/house/277073ea9a5d9ac0925a2d70e0040c13.jpeg.250x182.jpg,青浦,夏阳,新青浦佳园,156,4室2厅2卫,南,6000,近地铁;精装;双卫生间;随时看房;,低楼层/11层,2020-01-19,精装修,整租,季付,6000,0,3000,17号线-青浦新城-54m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,True,民水,False,https://image1.ljcdn.com/lease-image/house/e1409ba25a05ad64910da6c1df953dd5.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/e27d64d93bff21660af4c99fb3c25d8b.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/9de79947a10a5753a217990c88db14fc.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/b6519f61dcbfd3b4bf452e54cfb83623.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/3cd1f585549d9d20ad1e7afbdf48915c.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/e9e7386191e5a373f340e7fd35ad1700.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/cd4e5baeaef275cdbdb244138b6a8119.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/277073ea9a5d9ac0925a2d70e0040c13.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/658cfbccf48f9a06f41faf4ddafa66d7.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/a8dafaeb5359a43bc0e239341ff0d924.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/2dcfc50146e1b3677377065e513892b8.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/e106776dee62accca3d1df65cf1b9442.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/30bcec32771ff17c165fe2304988194e.jpeg.780x439.jpg;,
SH2411538928177266688,整租·新锦港花园 3室2厅 南,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20200218110553137,青浦,夏阳,新锦港花园,136,3室2厅2卫,南,4000,近地铁;双卫生间;随时看房;,高楼层/6层,2019-12-14,,整租,季付,4000,0,2000,17号线-青浦新城-605m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,False,民水,True,,
SH2437705121766055936,整租·中铁逸都 3室1厅 南/北,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20200218110553137,青浦,夏阳,中铁逸都,102,3室1厅1卫,南/北,4600,近地铁;精装;随时看房;,低楼层/11层,2020-01-19,精装修,整租,季付,4600,0,2300,17号线-青浦新城-510m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,True,民水,False,,
SH2065777381477990400,整租·仁恒运杰河滨花园 2室1厅,https://image1.ljcdn.com/shfdfs-image/20170914/c66b4525-fa9e-4667-bab5-8a51baa60ef9.jpg.250x182.jpg,青浦,夏阳,仁恒运杰河滨花园,89,2室1厅2卫,,3500,精装;双卫生间;,中楼层/11层,2020-02-24,精装修,整租,需咨询,3500,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,暂无数据,暂无数据,True,民水,True,https://image1.ljcdn.com/shfdfs-image/20170914/be34c24e-4d42-4191-8925-881eea0d2ced.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20170914/23cef0d7-af24-4ba5-88b7-55180d0b1fdd.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20170914/c66b4525-fa9e-4667-bab5-8a51baa60ef9.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20170914/8a9d1f62-3955-4105-8409-4e4e1c489454.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20170914/c978dfd1-e292-4674-afef-dbc899e50633.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20170914/e2951337-4008-43cb-a9c6-09583391b11f.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/8f699aee-a190-4657-98c0-716a4dc324f4.png.780x439.jpg;,
SH2406523867880226816,整租·宜达新居 2室1厅 南,https://image1.ljcdn.com/310000-inspection/fc19a468-e9a8-4ce6-ae22-ac8444f5a21a.jpg.250x182.jpg,青浦,夏阳,宜达新居,60,2室1厅1卫,南,3200,近地铁;,低楼层/5层,2020-02-15,,整租,需咨询,3200,0,需咨询,17号线-汇金路-1m;,False,False,False,False,False,False,False,False,False,False,暂无数据,暂无数据,暂无数据,暂无数据,需提前预约,随时入住,False,暂无数据,False,https://image1.ljcdn.com/310000-inspection/fc19a468-e9a8-4ce6-ae22-ac8444f5a21a.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/8b0edef7-df36-4c46-967b-b3b69bfcc413.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f9f9032b-fe56-441f-bbc8-05d281270dbb.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/78b576ff-b817-4006-b1ac-29983ca7c246.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/3d217468-e9c4-4768-a1d4-3f27a38d836d.jpg.780x439.jpg;,
SH2426094389110505472,整租·华科东路180弄 1室1厅 南,https://image1.ljcdn.com/110000-inspection/3ac00a11-2543-45c0-a00b-3cf2b53d1648.jpg.250x182.jpg,青浦,夏阳,华科东路180弄,60,1室1厅1卫,南,3200,近地铁;,中楼层/7层,2020-02-21,,整租,需咨询,3200,0,需咨询,17号线-汇金路-588m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,True,民水,False,https://image1.ljcdn.com/110000-inspection/3ac00a11-2543-45c0-a00b-3cf2b53d1648.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/4a23ff63-012c-4016-9ebf-99b7ca794034.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/2498ff47-6101-47d3-bc2b-502975ff6dd8.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/0d02c732-af64-4455-b57a-3a3ca8687592.jpg.780x439.jpg;,
SH2297850736224247808,整租·怡田小区 2室1厅 南,https://image1.ljcdn.com/310000-inspection/prod-faebaa94-0682-47ee-9741-bafa8b2b21d5.jpg.250x182.jpg,青浦,夏阳,怡田小区,75,2室1厅1卫,南,3000,近地铁;精装;随时看房;,高楼层/6层,2020-02-23,精装修,整租,季付,3000,0,需咨询,17号线-青浦新城-434m;,False,False,True,False,False,False,True,False,True,True,暂无数据,民电,暂无数据,1年以内,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/prod-cce3e3be-718b-4a76-8f28-abf78a4300b1.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-69af98d1-ac84-4636-9d42-cb36dfee43c0.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-faebaa94-0682-47ee-9741-bafa8b2b21d5.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-311f2b2d-b106-4ca6-9c08-0004e3b29ddb.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/prod-1dcb8ea2-1c94-43e0-bf68-28fffb8af8f6.png.780x439.jpg;,
SH2296449251669966848,整租·金地格林郡 3室2厅 南,https://image1.ljcdn.com/310000-inspection/83ace417-fbe9-4fc9-846b-9b90efe8e113.jpg.250x182.jpg,青浦,夏阳,金地格林郡,171,3室2厅2卫,南,3000,精装;双卫生间;随时看房;,中楼层/5层,2020-02-23,精装修,整租,季付,3000,0,需咨询,,False,False,False,False,False,False,False,False,False,False,租用车位,民电,自采暖,1年以内,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/9546d279-632e-448b-980e-cdf2695f74a1.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/7d843f56-3236-43ec-b53d-71064500c80b.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/83ace417-fbe9-4fc9-846b-9b90efe8e113.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/ea416556-205b-498e-a457-0b671f4a2353.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/24574062-d6d5-4670-8234-b43cb781902f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/7eff3e91-3ae9-4b32-b8e6-ad3e2abfc027.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b2d01b7b-98c3-488f-8eb4-dfd8b28c5d60.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f46a1012-ae49-4d81-9f6c-eace8c9875f2.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/4d7a5f9a-8a17-40c9-834f-f17cedbfbdb6.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/0edc2696-9d8a-4148-ac07-7901486eb995.jpg.780x439.jpg;,
