hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2436364143528787968,整租·西部花苑（一期、三期） 3室1厅 南,https://image1.ljcdn.com/lease-image/house/f82f97d0-7b3c-4fdb-a01a-e37b6c5c48b9.jpg.250x182.jpg,青浦,盈浦,西部花苑（一期、三期）,90,3室1厅1卫,南,3200,随时看房;,高楼层/6层,2020-01-17,,整租,季付,3200,0,1600,,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,False,民水,False,https://image1.ljcdn.com/lease-image/house/f82f97d0-7b3c-4fdb-a01a-e37b6c5c48b9.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/2696c072-d058-40a0-a0f6-301cdd7f00b4.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/2894f34b-bffa-4cc6-9574-edc8aa7f0843.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/806c348c-9a78-4706-a1bb-b13857894f1f.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/f27523aa-728e-4407-a99d-4aa5787fcd04.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/12cd8360-cde1-4688-a7c2-f5db21378c98.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/1e50c2d1-6a94-42f3-9bd5-6021a73c6284.jpg.780x439.jpg;,
SH2365778663674486784,整租·景港名人苑 3室2厅 南,https://image1.ljcdn.com/lease-image/house/09a736b5-d4f5-47bb-ac99-d4caa8329978.jpg.250x182.jpg,青浦,盈浦,景港名人苑,90,3室2厅1卫,南,3500,精装;随时看房;,高楼层/6层,2020-02-16,精装修,整租,季付,3500,0,1750,,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,False,民水,False,https://image1.ljcdn.com/lease-image/house/3c24c6a3-a8d8-479b-881e-0be1b23be4b1.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/ad73c977-0137-48bc-84bd-ed84aedd7c07.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/1cd8c139-15d0-4a59-9042-09864b81336e.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/4b6206ae-3b4b-4ff9-ad1c-a9bacae9edda.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/09a736b5-d4f5-47bb-ac99-d4caa8329978.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/7896e31b-962d-4e3a-aba6-22f7eaca33f4.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/b2302b93-7b5d-4f25-9094-6682ddfbd66d.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/248b21c0-edec-42cb-904d-064ea5941bc4.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/dfe00727-e596-4663-9375-64f06980edff.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/cedd8c4c-1b15-4547-89ef-77c17d0c9cbd.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/82e50469-67dd-46a8-a986-0a11bf84694b.jpg.780x439.jpg;,
SH2423982276439449600,整租·首创禧悦(一期) 2室1厅 南,https://image1.ljcdn.com/lease-image/house/31cf0c9d-21ee-4062-8a1f-45424743c18f.jpg.250x182.jpg,青浦,盈浦,首创禧悦(一期),76,2室1厅1卫,南,4300,精装;随时看房;,高楼层/16层,2020-01-01,精装修,整租,季付,4300,0,2150,,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,自采暖,暂无数据,随时可看,随时入住,True,民水,True,https://image1.ljcdn.com/lease-image/house/a22a57aa-08c5-446b-b100-d85105780bd4.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/20aceeee-4cf8-4f2a-96ec-56a3308394dc.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/af89925e-a70b-42f0-91b7-04b899bb1fa5.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/1cb71478-8143-4307-a61e-622190077616.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/31cf0c9d-21ee-4062-8a1f-45424743c18f.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/b5cd945b-2c73-4c32-83f0-b51552a63044.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/484bf073-37d8-4830-92e6-68d449730003.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/b5470db7-cc32-4f60-adc0-b10ce87cba09.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/6d6a1801-89dd-4492-8fd6-b3a572e5d152.jpg.780x439.jpg;,
SH2428282781760233472,整租·西虹桥壹号 3室2厅 南/北,https://image1.ljcdn.com/lease-image/house/26dffc540ef1a6a36235da5c55a167bf.jpeg.250x182.jpg,青浦,盈浦,西虹桥壹号,83,3室2厅2卫,南/北,4600,近地铁;精装;双卫生间;随时看房;,高楼层/11层,2020-01-10,精装修,整租,季付,4600,0,2300,17号线-淀山湖大道-573m;,False,True,True,True,True,False,True,False,True,False,暂无数据,暂无数据,暂无数据,暂无数据,随时可看,随时入住,False,暂无数据,False,https://image1.ljcdn.com/lease-image/house/ce731c8581b61524b5ac7d98341d37bb.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/bba798c9c91fafc11b5171c2b0eef5de.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/726d7fffe9fcd1ec31bf332cc6276830.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/ae9d729f68822298097f0a5e7ae4117e.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/622094cf613dd6b2daa739d35cb10cdc.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/1ab7a14c53fbc3ac39bfaf0dffeeb420.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/26dffc540ef1a6a36235da5c55a167bf.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/700e8d2f2f68799540bfd22d12cc5acb.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/b341fee8e252424072cad46f66a3ff10.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/1f49f3f6910a3b5aa95109632c0e3668.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/c9a0d015b07ac33124f7fce5297bcb46.jpeg.780x439.jpg;,
SH2437597016130863104,整租·新青浦世纪苑 4室2厅 南,https://image1.ljcdn.com/lease-image/house/ed17b9c7-eee5-4d0a-af40-58faf0544595.jpg.250x182.jpg,青浦,盈浦,新青浦世纪苑,186,4室2厅2卫,南,5500,精装;双卫生间;随时看房;,高楼层/5层,2020-01-19,精装修,整租,季付,5500,0,2750,,False,False,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,False,民水,False,https://image1.ljcdn.com/lease-image/house/2ad4fd31-818c-446e-aeea-d9a177bf64da.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/f6714ab7-fd11-4fa8-8e1e-a3c6f574770b.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/04b4d84d-458a-410e-a470-5d7d05fc3179.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/db8a2827-2340-487c-abb1-668a94873e51.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/b51ef925-a8d3-483c-88e9-b2588e0f00a4.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/981cfb0a-615e-4750-99c5-79aca4a42607.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/ed17b9c7-eee5-4d0a-af40-58faf0544595.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/218cd1d2-665c-43aa-89df-e1c49dd8feb3.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/c7a4120e-084e-4e78-bc52-781c842ef535.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/65032e4c-c5c1-45e8-8963-97644ee3d6a0.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/cfea63bb-c649-4c4e-a7d9-a66bf5a7294f.jpg.780x439.jpg;,
SH2436959663762718720,整租·青浦万达茂(住宅) 2室2厅 南/北,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20200218110553137,青浦,盈浦,青浦万达茂(住宅),87,2室2厅1卫,南/北,4500,精装;随时看房;,高楼层/21层,2020-01-18,精装修,整租,季付,4500,0,2250,,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,False,民水,False,,
SH2421719525541560320,整租·庆丰新村 2室1厅 南,https://image1.ljcdn.com/310000-inspection/33e7d275-0046-4bc6-a467-198523b96ce7.jpg.250x182.jpg,青浦,盈浦,庆丰新村,55,2室1厅1卫,南,1700,随时看房;,低楼层/5层,2020-02-25,,整租,需咨询,1700,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/33e7d275-0046-4bc6-a467-198523b96ce7.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/58ba91e5-3491-4fc7-8f49-ea719960e205.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/4c09f622-b834-493f-9357-1018d97c0c5e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/10ee277a-b2d1-464f-8efe-982348194364.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/cf7c1407-980d-472a-b361-f8b7441f8318.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/1934e9fe-1296-4ca3-a1ae-2c09dd70a193.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/prod-0285b68f-6476-451d-9e8b-9afb0c63df5a.png.780x439.jpg;,
SH2383175709951795200,整租·北极星广场 1室1厅 南,https://image1.ljcdn.com/310000-inspection/371f041c-0cfb-4268-9f94-743985fa0936.jpg.250x182.jpg,青浦,盈浦,北极星广场,45,1室1厅1卫,南,1999,精装;,高楼层/13层,2020-02-24,精装修,整租,季付,1999,0,需咨询,,True,True,True,True,True,False,True,False,True,False,租用车位,商电,暂无数据,2年以内,需提前预约,随时入住,True,商水,True,https://image1.ljcdn.com/310000-inspection/371f041c-0cfb-4268-9f94-743985fa0936.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/92ed7200-c9d0-4683-8db3-dabd208eebe1.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b7901f68-a435-495d-b34e-d04f13207cfa.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/40cb9d93-e241-40e6-b94d-3aebc5655807.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/2b46e607-788f-4e2c-b515-3eaa90f8eb2b.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/dafec2fa-527b-415f-8a47-08c6e8738d91.png.780x439.jpg;,
SH2462050674616041472,整租·中南君悦府 2室1厅 东南/南,https://image1.ljcdn.com/310000-inspection/7ebaa02a-b65b-4c96-811d-4843da327619.jpg.250x182.jpg,青浦,盈浦,中南君悦府,0,,,3500,新上;近地铁;,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,,,,,,,False,,False,,
SH2460638712045256704,整租·双桥公寓（四区） 2室1厅 南,https://image1.ljcdn.com/310000-inspection/b8dc09f8-0bac-4266-b63b-6dc1211f736e.jpg.250x182.jpg,青浦,盈浦,双桥公寓（四区）,90,2室1厅1卫,南,3300,新上;,高楼层/14层,2020-02-20,,整租,需咨询,3300,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,2020-02-29,True,民水,False,https://image1.ljcdn.com/310000-inspection/456ffb64-9af0-4fa1-be39-63e2888b15a9.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/07663f90-438d-461f-814e-5567833259fa.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b8dc09f8-0bac-4266-b63b-6dc1211f736e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/8d8208f6-f22c-45bc-9a38-176425be4589.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/ff38b629-8d28-47bd-b3a0-78bf5f654f81.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/dc3c5630-57bd-4165-9e05-d42186e4247e.jpg.780x439.jpg;,
