hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2433204857465733120,整租·源昌幸福里 3室2厅 南,https://image1.ljcdn.com/lease-image/house/aca99b28-1c8b-4d56-9968-355aa1c9c26e.jpg.250x182.jpg,青浦,赵巷,源昌幸福里,0,,,5200,近地铁;精装;随时看房;,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,,,,,,,False,,False,,
SH2462281852908740608,整租·崧泽华城逸泰雅苑（二期） 2室1厅 南,https://image1.ljcdn.com/110000-inspection/ba5bb95c2f21dd0af00a5976b4be13f4.jpg.250x182.jpg,青浦,赵巷,崧泽华城逸泰雅苑（二期）,70,2室1厅1卫,南,2000,新上;,高楼层/18层,2020-02-23,,整租,需咨询,2000,0,需咨询,17号线-嘉松中路-1150m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/110000-inspection/206cb09874fedbea1536945adbf0bec8.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/78bc022b224649f3627630b4debd0929.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/ba5bb95c2f21dd0af00a5976b4be13f4.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/0e7bad2bd8fe76a4c43b2a861ce19cc1.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/5579321fe736e905a22834851fa31cc9.jpg.780x439.jpg;,
SH2402994074316709888,整租·崧泽华城逸泰雅苑 2室1厅 南,https://image1.ljcdn.com/310000-inspection/c225875e-75ff-4fc9-947a-23e181c414d9.jpg.250x182.jpg,青浦,赵巷,崧泽华城逸泰雅苑,69,2室1厅1卫,南,2000,,高楼层/18层,2020-01-12,,整租,需咨询,2000,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/c225875e-75ff-4fc9-947a-23e181c414d9.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/8380286b-bcf3-4a91-862c-9c18bec7c6de.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/941a14a5-dfdf-4c78-bd1c-d70497a89953.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b56e7388-6d10-4183-9a06-85bea5f9efb4.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/877f99a3-db8b-4d88-b733-a5cc50056c53.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f0842638-ade3-4bc6-bbb7-7b452904430f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/c5085fe7-3e54-40de-9897-f58a15edb8bd.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/d1667c03-cd3b-40eb-a6cd-511e82c9ff16.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/fea88eef-252e-4341-a9c8-a9ecff2de5a7.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/d45afffa-70ce-4275-9f3c-b8e02b17ad1b.jpg.780x439.jpg;,
SH2380328770587598848,整租·崧泽华城佳福雅苑（四区） 2室1厅 南,https://image1.ljcdn.com/310000-inspection/c4fdc9ca-976e-4fdb-be94-49b572616f7e.png.250x182.jpg,青浦,赵巷,崧泽华城佳福雅苑（四区）,78,2室1厅1卫,南,2300,近地铁;,低楼层/17层,2020-02-23,,整租,需咨询,2300,0,需咨询,17号线-汇金路-1043m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,True,民水,True,https://image1.ljcdn.com/310000-inspection/a8bbe91a-2591-4137-acc3-471dbca21c1f.png.780x439.jpg;https://image1.ljcdn.com/310000-inspection/c306207c-d053-46fa-a2c9-ccc2c6d9fc97.png.780x439.jpg;https://image1.ljcdn.com/310000-inspection/c4fdc9ca-976e-4fdb-be94-49b572616f7e.png.780x439.jpg;https://image1.ljcdn.com/310000-inspection/9e30c477-c62d-48d8-8773-9a616d079766.png.780x439.jpg;https://image1.ljcdn.com/310000-inspection/d4a944cd-c053-49f8-9632-ad37cd75f8d0.png.780x439.jpg;https://image1.ljcdn.com/hdic-frame/prod-2dd3fc42-e789-4135-9685-7fe8da14d87e.png.780x439.jpg;,
SH2404870699920932864,整租·崧泽华城佳福雅苑（四区） 2室1厅 南,https://image1.ljcdn.com/310000-inspection/428be3ff-8977-4234-83eb-3b5a5fd13eef.jpg.250x182.jpg,青浦,赵巷,崧泽华城佳福雅苑（四区）,78,2室1厅1卫,南,3500,近地铁;,低楼层/17层,2020-01-18,,整租,需咨询,3500,0,需咨询,17号线-汇金路-1043m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,一般下班后可看,随时入住,True,民水,True,https://image1.ljcdn.com/310000-inspection/508ea097-7a77-4227-8b39-d2aa2346cdc8.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b5a096ea-ee4c-41dc-b446-c915ee0d895b.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/428be3ff-8977-4234-83eb-3b5a5fd13eef.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/17dc206b-cc01-45ec-94f6-386b506311b9.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/220f84f9-b4b0-484b-bd5d-00d224c33036.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/standard_a3a607bd-e329-4de2-a52a-69526147c1cf.png.780x439.jpg;,
SH2417227822394515456,整租·崧文轩 2室2厅 南,https://image1.ljcdn.com/310000-inspection/pc1_lNM9VECBE_1.jpg.250x182.jpg,青浦,赵巷,崧文轩,92,2室2厅1卫,南,2500,近地铁;随时看房;,中楼层/14层,2020-02-24,,整租,需咨询,2500,0,需咨询,17号线-汇金路-313m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/6aa6fac1-28d5-4350-93c0-f69b529fa0bb.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/01f8a0e2-fd4f-4107-a760-52cde2f8984d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/pc1_lNM9VECBE_1.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/2e5e73f0-94f5-4430-a190-788c14e94a51.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/0cc0abb9-7002-4b45-904d-2f3b81df5662.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/53db1952-4176-48ca-b58c-1276a509bbbc.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/standard_f9c0df49-f6a2-4853-9d84-3d15f3d60bfa.png.780x439.jpg;,
SH2338840872642691072,整租·宝龙城市广场(青浦) 1室1厅 南,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20200218110553137,青浦,赵巷,宝龙城市广场(青浦),60,1室1厅1卫,南,2500,近地铁;,中楼层/8层,2020-01-11,,整租,季付,2500,0,需咨询,17号线-汇金路-32m;,False,False,False,False,False,False,False,False,False,False,暂无数据,暂无数据,暂无数据,1年以内,需提前预约,随时入住,True,暂无数据,True,,
SH2427304842193010688,整租·崧泽华城佳福雅苑（六区） 1室2厅 南,https://image1.ljcdn.com/310000-inspection/96df3ad4-a703-44f0-9d9d-c344f9a3c0d4.jpg.250x182.jpg,青浦,赵巷,崧泽华城佳福雅苑（六区）,55,1室2厅1卫,南,2600,,中楼层/17层,2020-02-08,,整租,需咨询,2600,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,True,民水,True,https://image1.ljcdn.com/310000-inspection/60d4310d-7bcb-419b-a819-1dcd78d4eae2.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/96df3ad4-a703-44f0-9d9d-c344f9a3c0d4.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/c50f4f12-eff8-4080-bd11-4c7a4682ae11.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/0c8b1a22-8b85-43e1-95c4-28d50841e587.jpg.780x439.jpg;,
SH2430166336337346560,整租·鑫苑壹品世家 2室2厅 南,https://image1.ljcdn.com/310000-inspection/76b9a9c7-015a-4199-aaa1-81454ddb75c9.jpg.250x182.jpg,青浦,赵巷,鑫苑壹品世家,79,2室2厅1卫,南,3500,,低楼层/10层,2020-02-16,,整租,需咨询,3500,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/76b9a9c7-015a-4199-aaa1-81454ddb75c9.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/0e912c86-a9ed-4964-9ce3-78e886ea3c16.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/ab240354-bd1b-4860-9c62-8c477d75d125.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/6d60d7b7-b302-4bf5-aa09-255081c245a0.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/bd1db517-f30a-48a6-bb29-4f34ec6618b8.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/8fb8b0bf-20dc-4b2f-be49-6f90f09bd75e.jpg.780x439.jpg;,
SH2430515372525895680,整租·崧泽华城佳福雅苑（五区） 2室1厅 南,https://image1.ljcdn.com/310000-inspection/59adb2fb-2cab-40c4-957c-c6049488367f.jpg.250x182.jpg,青浦,赵巷,崧泽华城佳福雅苑（五区）,78,2室1厅1卫,南,3300,,高楼层/17层,2020-02-10,,整租,需咨询,3300,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,True,民水,True,https://image1.ljcdn.com/310000-inspection/4f79ae11-433e-4fd0-9454-8f764c96bcf9.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a6871ac3-1192-4d17-80e7-6965a35b8acd.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/6932d1c3-e291-44b8-aa85-76419b9bc8b2.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/59adb2fb-2cab-40c4-957c-c6049488367f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/c323fdcd-1751-4c42-be25-3273de43a8c4.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/bb8ba187-07c0-4c5d-8610-04c81df826f2.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/c7d7443e-be2e-4ee3-985d-fd9b7dbcacc3.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/prod-0198bcd0-a0d8-4026-af65-2fe4df824641.png.780x439.jpg;,
