hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH1938803659815264256,整租·海上湾闻涧 3室2厅,https://image1.ljcdn.com/shfdfs-image/20180104/daa4498f-0791-48d2-a175-5d89df12c47d.jpg.250x182.jpg,青浦,朱家角,海上湾闻涧,98,3室2厅1卫,,1500,,低楼层/6层,2020-02-23,,整租,季付,1500,0,需咨询,,False,False,False,False,False,False,False,False,False,False,免费使用,民电,暂无数据,1年以内,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/shfdfs-image/20180104/58adda1e-e320-409e-9d97-293ac644476c.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20180104/58993ef8-ceeb-4217-81ef-40e400408b8e.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20180104/d7ec7d78-791f-43b5-a536-983d8da420c8.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20180104/8bb496e5-1fc0-4d03-9402-949dbfd56908.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20180104/daa4498f-0791-48d2-a175-5d89df12c47d.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20180104/6411e382-e59c-49a5-b7db-f8e19246ea38.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20180104/6a30edbc-064d-4e45-9b43-a3337fd72025.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20180104/9509d18f-9599-435f-95fc-ab2c0e07d097.jpg.780x439.jpg;,【房源亮点】有阳光充足的阳台，放眼望去风景优美，绿色植物多多，小区空气清新，居住在此，心旷神宜.可随时看房【交通出行】小区地面，地下都有车库，停车方便。出门就是公交站点，朱家角7路，直达繁华生活圈和地铁口【出租原因】房东近几年暂时不在这边居住，接受租客装修入住。有意向可以随时再聊【周边配套】离朱家角医院4站，离朱家角古镇9站，淀山湖大道的左转道路上.居住生活便利
SH2270722667194105856,整租·淀湖山庄 3室1厅 南,https://image1.ljcdn.com/310000-inspection/prod-0270566d-9eb9-4fc1-8203-8b39e8225af2.jpg.250x182.jpg,青浦,朱家角,淀湖山庄,95,3室1厅1卫,南,1500,,中楼层/6层,2020-02-23,,整租,季付,1500,0,需咨询,17号线-青浦新城-791m;17号线-青浦新城-791m;,False,False,False,False,False,False,False,False,False,False,租用车位,民电,暂无数据,1年以内,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/prod-905d5c7d-9e62-4eb4-a3e0-695fd956be60.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-ba3ed2c0-10c4-471e-a067-9a2f733f5ff5.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-408f185b-3f55-4e5e-9ede-9b7be65139d0.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-5e3585ff-b0cd-43a6-a061-8a2569d9f5cc.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-2de89394-37ad-4c9a-b6f2-5ddea251136b.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-0270566d-9eb9-4fc1-8203-8b39e8225af2.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-00f4a172-6e36-4d50-8348-019f99a44e98.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-400d3934-7fe5-49e6-a771-56980e5fbf3e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-14de0b8e-b583-4030-b3c5-a2c0f9ec85db.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/prod-2ae621ec-10ae-4d1b-8ef4-7e2aa32ebf15.png.780x439.jpg;,
SH2171540146565431296,整租·翠苑(公寓) 3室1厅 南,https://image1.ljcdn.com/310000-inspection/test-5277efaf-3514-459d-a7e4-7ad8f4e1a18d.png.250x182.jpg,青浦,朱家角,翠苑(公寓),88,3室1厅1卫,南,1500,,高楼层/5层,2020-02-23,,整租,半年付,1500,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,3年以内,需提前预约,随时入住,True,民水,False,https://image1.ljcdn.com/310000-inspection/test-a545535f-065d-4da5-bb44-ccb601b2f3e5.png.780x439.jpg;https://image1.ljcdn.com/310000-inspection/test-460f92b5-5f3c-449f-97d3-3af1d2cecc0e.png.780x439.jpg;https://image1.ljcdn.com/310000-inspection/test-a6fb2944-593c-41df-8892-1aa2586aa529.png.780x439.jpg;https://image1.ljcdn.com/310000-inspection/test-5277efaf-3514-459d-a7e4-7ad8f4e1a18d.png.780x439.jpg;https://image1.ljcdn.com/hdic-frame/test-4ade33e0-5f76-493f-8e49-5b5473f2db8e.png.780x439.jpg;,【房源亮点】绿色植物多，空气清新适宜居住，南北通透，楼层好~~~~~~~【出租原因】房东住在市区，这边的房子是属于 不自住，希望出租给稳定的一家人类型，支持装修，有意向租住的人员请随时联系谢谢【小区介绍】安保严格，物业服务好，环境干净整洁，优美，小区内有地面停车，室内电动车充电，绿色植物多，空气清新宜居
SH2162244288547651584,整租·海上郡 3室2厅,https://image1.ljcdn.com/310000-inspection/319bd154-e26b-4e4a-8f3e-91db2fa2835f.jpg.250x182.jpg,青浦,朱家角,海上郡,131,3室2厅3卫,,2000,,中楼层/4层,2020-01-19,,整租,需咨询,2000,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,暂无数据,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/43cc59d7-21cc-4733-92fb-037c37a22d42.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/ddedc9cd-120d-47d6-b0ca-9be138b91b81.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/319bd154-e26b-4e4a-8f3e-91db2fa2835f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/0a6752ec-1dcb-4e78-a304-ad382af47b9a.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/7a0d7f79-0a3e-4536-9411-45708a6a1374.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/0e39c137-97cd-4626-9cc8-f35baaf4ad23.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/29ec6036-9c7e-44e4-ab7b-75f8004df0ee.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/ba713995-a208-4cd7-bfa6-fccbc190c12e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/56dcd527-d127-4dd3-ae82-fef70a63cf8e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/6af5b7fa-ad23-473c-b006-3beeb805f4eb.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/9bbc4afa-8eec-42a8-9583-7106223d1e4c.jpg.780x439.jpg;,
SH2346930861053845504,整租·海上郡 3室2厅 南,https://image1.ljcdn.com/310000-inspection/c03d131f-35a0-4f51-aa15-edae348622a9.jpg.250x182.jpg,青浦,朱家角,海上郡,135,3室2厅3卫,南,2000,,中楼层/4层,2020-02-21,,整租,需咨询,2000,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/2f12301b-e453-4493-bbf8-2e8e305f90e2.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/c03d131f-35a0-4f51-aa15-edae348622a9.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/8dc301ed-9c5d-4215-b2f6-ceede67808c0.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/71303c1a-4b02-4b5e-9403-2dd06f22133b.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/ae154f0b-4a02-4022-b979-4ed12e9d6ce0.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/39b85790-8225-4ce1-9c5a-f0abdba23240.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/18bc393a-3058-4247-ab79-141e3fd4a79d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/98c87b43-343e-480b-b8e7-12d5bc91facf.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e5dde3fd-5c48-4fba-aa08-de6769015956.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/23151cc3-44f0-4631-b26b-e771e7268579.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/9a830c16-def1-4459-8ddf-a4cf55222e3a.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/bf262b31-01fd-4a47-a98c-59c113701bbf.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/d056962d-7c64-4471-b1c2-4d3974d49abe.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/bd3f1dba-8aeb-4e8a-8daa-41d93d54444e.jpg.780x439.jpg;,
SH2407294794427801600,整租·中信泰富朱家角新城(公寓) 3室2厅 南,https://image1.ljcdn.com/310000-inspection/1eafab9c-f83f-447e-8488-a73492ed2d72.jpg.250x182.jpg,青浦,朱家角,中信泰富朱家角新城(公寓),90,3室2厅1卫,南,3200,,高楼层/2层,2020-02-23,,整租,需咨询,3200,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,暂无数据,暂无数据,暂无数据,需提前预约,随时入住,False,暂无数据,False,https://image1.ljcdn.com/310000-inspection/01bdc3ed-fd0d-4109-b5c4-5fb3b72dd80b.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/8dbf1aa3-5a9c-4f41-962b-30e67c919174.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b5921aa2-74df-4620-bae9-0b2bac1a43ff.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/1eafab9c-f83f-447e-8488-a73492ed2d72.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/bdf881cb-bdf5-46db-ba78-589c37788fd8.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/eda8d80f-67ec-4852-8c2d-52d6fd8997b8.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/c513fc6f-2365-449a-8c9c-549325e8c17c.jpg.780x439.jpg;,
SH2070657556237254656,整租·海上湾闻涧 3室2厅 南,https://image1.ljcdn.com/310000-inspection/f147044c-ddd1-4c52-bf69-668ac610d57f.jpg.250x182.jpg,青浦,朱家角,海上湾闻涧,114,3室2厅1卫,南,1800,,高楼层/6层,2020-01-19,,整租,需咨询,1800,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,一般下班后可看,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/7ab70775-4f61-415c-943e-2c65fbe5485a.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/dee2a537-93fb-4e01-a306-2646cae4e74f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/8ef0c8ec-1cb8-4757-a467-6bac826c75b0.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f147044c-ddd1-4c52-bf69-668ac610d57f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f945b0e5-1bb2-48b7-b2fd-8779c8a4ebb8.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/374584a4-2e4a-43b7-a473-0f2ebba9c1f3.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/da25e8d9-d9b6-47e0-878f-e96a83fb840c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/c2f4673f-fcd2-44ab-abb9-1e07a1d4862e.jpg.780x439.jpg;,
SH2330921311637086208,整租·淀湖新村 3室1厅 南,https://image1.ljcdn.com/310000-inspection/prod-ad899079-ae51-434c-8bd9-dd59ae017166.jpg.250x182.jpg,青浦,朱家角,淀湖新村,79,3室1厅1卫,南,2100,近地铁;,中楼层/5层,2020-02-24,,整租,需咨询,2100,0,需咨询,17号线-淀山湖大道-450m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/prod-0bc4e708-5b15-48d1-b023-5199b27dc672.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-33ac163d-9e4f-4246-aaa2-c343c780ac09.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-b1660932-3bdb-423e-84d7-c21d7db77fd3.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-3bbe7b43-7558-46d7-b6da-15fdce455b0f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-bbcfd7fc-e162-479c-9f71-0863a90c24b6.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-ad899079-ae51-434c-8bd9-dd59ae017166.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-837d6893-e331-43a3-b2cd-e87f31e6b232.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-ba251ec8-794b-463b-ae9e-34be23814202.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-09ab9abc-730a-4a9d-9788-56adf9f6409c.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/prod-613a4a0c-f2d5-4729-b5ee-8ff5b529bc2e.png.780x439.jpg;,
SH2211452641974951936,整租·海上湾闻涧 3室2厅,https://image1.ljcdn.com/310000-inspection/63261055-6136-463e-990c-8602067cf62f.jpg.250x182.jpg,青浦,朱家角,海上湾闻涧,288,3室2厅3卫,,3500,,低楼层/1层,2020-02-24,,整租,需咨询,3500,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,暂无数据,暂无数据,False,民水,False,https://image1.ljcdn.com/310000-inspection/e93eabc4-99f1-4184-a01f-1df008e22869.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/68919bbd-8712-4ac0-aa2c-0b9d757025b7.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/dcaa16e3-b8bc-4d4f-9fa8-cd2f4af04814.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/fb31b4a8-66b8-4756-95f7-9c58d77be3a9.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/20afed42-3161-47bd-8672-14964019d4e8.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/ec7ab851-dd97-40f2-a9c6-75ccec2a4b60.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a9b7bcd7-2ef3-4819-a805-6875e3bd58c9.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/63261055-6136-463e-990c-8602067cf62f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a58b6e8b-90c5-48a0-96fb-2d8b04163d03.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/15ef72b0-cdf9-4608-97fe-d0f7c16c0f09.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/1c1e1800-c2a3-432a-9e4e-5d7f21efcb60.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/bf1f17d3-e410-4731-8dd9-f9a6ef99fe99.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/03284d83-1aac-4986-ad7a-e3e4d29d10ab.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/65437c59-2d11-42ff-bab5-63644b238694.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/5876534c-49d1-4f93-9098-b976977fc8ff.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/67ccf8cf-40e4-4c15-8cd1-d1f453e5de6f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f441ddcd-cc1d-462e-9a26-986762d919fa.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/15c3657b-cf14-45ce-b7b4-8ebf70b47dd4.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/607a8adb-b383-46f6-b687-fdec9599d741.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/c80fdcb7-fc9b-42dd-bdcd-d133a30dea1c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/840e2e00-fb31-4ea4-8437-d4730c5f7c8b.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/76222cd1-86db-48cb-a2a2-660882d0dd26.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/5f773fe2-db32-4983-a714-d301c4e7e6d1.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/1065e240-bf8e-4d0c-8156-450ca0e135b5.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/695e185e-eb28-4b55-9b4a-d88476bfeaeb.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/2f620c13-fe81-4438-9d75-cf1fad724e5b.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e4bdb0fe-0999-4ebf-9967-adb76c129b8f.jpg.780x439.jpg;,
SH2390658426905559040,整租·天地健康城 1室2厅 南,https://image1.ljcdn.com/310000-inspection/180e101d-9bb8-45ef-a15c-797963297f01.jpg.250x182.jpg,青浦,朱家角,天地健康城,86,1室2厅1卫,南,2800,,低楼层/7层,2020-02-21,,整租,需咨询,2800,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,暂无数据,暂无数据,暂无数据,需提前预约,随时入住,False,暂无数据,False,https://image1.ljcdn.com/310000-inspection/2d0a4aff-6a7f-4c72-a4c2-5e30a4480f61.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/180e101d-9bb8-45ef-a15c-797963297f01.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e8606548-7d62-456e-8f6a-4f7c8c25eba4.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f135b929-15ff-4d42-abbb-ac934e5c54d8.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e0d0ece4-e928-4313-9a2e-fcb54d95cf19.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/2edd98f9-1c99-4378-9d93-d5b0709e2502.jpg.780x439.jpg;,
