hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2362333121430962176,整租·青春驿站 1室1厅 南,https://image1.ljcdn.com/lease-image/house/4a335767-62da-43db-956f-78e3a8a6823d.jpg.250x182.jpg,松江,九亭,青春驿站,42,1室1厅1卫,南,4100,新上;近地铁;随时看房;,高楼层/11层,2020-02-22,,整租,季付,4100,0,2050,9号线-九亭-746m;,False,True,False,True,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,True,民水,True,https://image1.ljcdn.com/lease-image/house/4a335767-62da-43db-956f-78e3a8a6823d.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/8d757b45-7a48-4409-8f46-94b33be20630.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/e212db17-e0c9-47cc-8958-1234018aacb0.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/8b5090a4-000d-470b-a588-2dc2da7f9e5f.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/d74dca96-561b-446d-963d-6c015427354f.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/14daa2af-12af-46d5-8b2e-e81e834297c7.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/97eeb622-407f-458d-93f0-c1b21c6a8341.jpg.780x439.jpg;,【房源亮点】漂亮。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。【装修描述】精装。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。【出租原因】空置。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。
SH2355818140778373120,整租·三盛颐景园(公寓) 3室2厅 南,https://image1.ljcdn.com/lease-image/house/b6ffd929-b3f3-4130-9327-c97e63b1cf4c.jpg.250x182.jpg,松江,九亭,三盛颐景园(公寓),121,3室2厅1卫,南,5200,随时看房;,高楼层/6层,2019-12-21,,整租,季付,5200,0,2600,,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,自采暖,暂无数据,随时可看,随时入住,False,民水,True,https://image1.ljcdn.com/lease-image/house/2d0087ad-7092-4d41-85f7-73361093766e.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/b6ffd929-b3f3-4130-9327-c97e63b1cf4c.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/636a7f94-6122-4854-896c-945ef307750b.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/1d4b267a-c40b-473e-9e9b-0ed952decc6b.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/d3b2b850-63e8-4ed2-b0e6-1500ad61568d.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/52be50e5-866a-4ce4-979d-73386639b265.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/56078263-b70e-41c3-b7a3-aa1269bbfe0f.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/a28814d8-ecab-4b95-a212-9392aa21130d.jpg.780x439.jpg;,【户型介绍】3-1-1-1，面积121平，大三房，南北通透，采光通风好，客厅，主卧，次卧都有阳台，空间大宽敞明亮【交通出行】小区东门距离12号线七莘路地铁站约2.5公里，小区门口公交有748路/759路 /125B路 /松江40路等，交通便利，出行方便【周边配套】小区自带商品区，有超市，健身房，餐饮等配套设施，吃喝玩乐一应俱全
SH2380289254623281152,整租·三盛颐景园(公寓) 2室1厅 南,https://image1.ljcdn.com/lease-image/house/748ab85b-a0e4-41ff-8d7d-7a4e78b0a85a.jpg.250x182.jpg,松江,九亭,三盛颐景园(公寓),99,2室1厅1卫,南,4800,精装;随时看房;,中楼层/5层,2019-12-21,精装修,整租,季付,4800,0,2400,,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,自采暖,暂无数据,随时可看,随时入住,False,民水,False,https://image1.ljcdn.com/lease-image/house/c6b02622-d06b-415d-b74f-a8c7018532ea.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/7b9ad6ff-2c61-43dd-8195-b0ea9d6c9e7c.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/3365ca3d-b920-4126-8c25-02f96ccd986e.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/9f0aad25-ef1b-47df-8537-e7986e681b80.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/ff958c7d-a403-4e03-9717-82f200c7745e.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/748ab85b-a0e4-41ff-8d7d-7a4e78b0a85a.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/e34806b6-fa4b-477a-92af-63983a66a435.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/79fbc952-6db7-4038-820d-d02d9ba79cd7.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/0d9e75a9-f8b2-4320-9dd5-20fd83051a58.png.780x439.jpg;,【户型介绍】2-2-1-1，两个卧室空间宽敞，主卧带衣帽间，卫生间干湿分离，适合追求生活品质的居家客户【装修描述】居家装修，干净整洁，装修保养比较好，家具家电齐全，可以拎包入住【交通出行】小区东门距离12号线七莘路地铁站约2.3公里，小区门口公交有748路/759路 /125B路 /松江40路等，交通便利，出行方便
SH2325819341075128320,整租·象屿品城 2室2厅 南,https://image1.ljcdn.com/lease-image/house/3380a77d-885d-4d30-9ea1-cc52c9e3cfc0.jpg.250x182.jpg,松江,九亭,象屿品城,82,2室2厅1卫,南,4800,精装;随时看房;,中楼层/11层,2020-02-18,精装修,整租,季付,4800,0,2400,12号线-七莘路-947m;,False,True,True,False,True,False,True,False,True,False,暂无数据,民电,自采暖,暂无数据,随时可看,随时入住,True,民水,True,https://image1.ljcdn.com/lease-image/house/089e838b-ee5d-49f6-bc00-cd9fef1e71b4.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/ade116c3-f658-47c2-9f4b-1be9204311b2.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/6279d05e-42f5-4562-a5ec-6f63c1759cc6.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/3380a77d-885d-4d30-9ea1-cc52c9e3cfc0.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/fcb7907c-c0a3-4971-9739-0d6ed06d363a.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/7b3f2b3b-1ff1-47e7-bf74-e6531e1ef3f4.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/32c73e93-4bc7-4326-b3ed-58975cd7626b.png.780x439.jpg;,【装修描述】装修状况：业主简单装修，适合居家。家电品质：业主的婚装配置，环保厨具卫具，房屋状态 : 房子整体结构未变动过，保留着开发商的原始结构，房屋里面就如您所见未发生任何变动。【周边配套】银行：位于小区正南巴比伦广场方向有中国银行，中国工商银行，中国农业银行，建设银行，邮政储蓄等。 医院：三甲大型综合性医院上海交大附属瑞金医院就在小区东面。 商场：位于小区东侧的彩生活广场已经开始营业，巴比伦生活广场，亚繁亚广场。【小区介绍】开发商：象屿置业有限公司，实力雄厚，已在上海开发多处物业，象屿品城是象屿地产于2014至2015年交付于业主手上，属于少有的次新房。 物业：开发商自持的物业，复瑞物业，全天保安巡逻，门口保安看守，业主出入小区及楼栋全部刷开进出，很安全。
SH2388983884017565696,整租·九城湖滨国际 1室1厅 南,https://image1.ljcdn.com/lease-image/house/e61abe14a71634658e4f69462e0738ab.jpeg.250x182.jpg,松江,九亭,九城湖滨国际,60,1室1厅1卫,南,4800,精装;随时看房;,低楼层/16层,2019-11-21,精装修,整租,季付,4800,0,2400,,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,自采暖,暂无数据,随时可看,随时入住,True,民水,True,https://image1.ljcdn.com/lease-image/house/e61abe14a71634658e4f69462e0738ab.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/43cae6ea0d428275c2e8694902612a66.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/dbacfcc1da759960867f376ce4a1b537.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/abbb894cb0a30f1d8b4f31d25b058322.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/af2354bf30b5fc7998f67f76e9873204.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/30ca5adac534fb68928aee6c8a745053.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/c754d71441180b6163563fec5da0c702.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/e3f7ba69-f02e-4988-ae3f-c1d296b1b0dd.jpg.780x439.jpg;,
SH2421786792790597632,整租·青春驿站 1室1厅 南,https://image1.ljcdn.com/lease-image/house/fb745e93699db15018c7ad4957031723.jpeg.250x182.jpg,松江,九亭,青春驿站,42,1室1厅1卫,南,4000,近地铁;精装;随时看房;,中楼层/11层,2020-01-09,精装修,整租,季付,4000,0,2000,9号线-九亭-746m;,False,True,False,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,True,民水,True,https://image1.ljcdn.com/lease-image/house/0c75b59a3e38a355ab56ca97a810ab16.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/2ae0538b4930c9137c533803021a3658.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/4aaf202a4b237aa56a274712639b177a.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/4549295a547ea8eaee78a0b1705b94e6.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/fb745e93699db15018c7ad4957031723.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/f62a9cdb0791de01fdaeea65cd1b996a.jpeg.780x439.jpg;,【房源亮点】1.电梯高层，采光无遮挡 ；2.户型方正，标准的一室一厅一厨一卫； 3.出门交通便利，挨着九亭地铁站，步行7分；榻榻米户型【户型介绍】电梯高层，标准的一室一厅，卧室面积足够大 ，楼长榻榻米摆放有床垫，采光无遮挡。客厅沙发餐桌电视机空调俱全。厨房卫生间干净整洁【装修描述】房子装修中规中矩，用的都是环保材料，业主是台湾人。平常对生活要求质量高，家具家电也是品牌的【出租原因】业主常年在外地出差，对租客素质要求高，尽量是小夫妻或者情侣。要求爱护房子【小区介绍】小区挨着9号线九亭地铁站，出行交通方便，门口就有交通站牌，安保严格，人脸识别系统，小区楼栋较少，显得宽阔，居住感舒适
SH2343476272853680128,整租·青春驿站 1室1厅 南,https://image1.ljcdn.com/lease-image/house/34e7f53d-876e-4eb8-8352-e28f91ed794c.jpg.250x182.jpg,松江,九亭,青春驿站,41,1室1厅1卫,南,4150,近地铁;精装;随时看房;,高楼层/13层,2020-02-04,精装修,整租,季付,4150,0,2075,9号线-九亭-746m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,True,民水,True,https://image1.ljcdn.com/lease-image/house/48c65d9e-793f-4322-9384-aa07bf60b5dc.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/29a0193b-b33d-4a3f-927e-75d144d94bfc.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/34e7f53d-876e-4eb8-8352-e28f91ed794c.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/dbdf87f5-d963-4790-939f-f567512a68be.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/d0d95e02-e26f-4352-89db-0d01c840f360.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/7e3925e9-fb77-4b02-8be2-0f1d6c58945e.png.780x439.jpg;,
SH2341351645906214912,整租·紫金花园 2室2厅 南,https://image1.ljcdn.com/lease-image/house/c8d039e2-4633-49f9-99ca-0a5074ca469e.jpg.250x182.jpg,松江,九亭,紫金花园,103,2室2厅1卫,南,5500,精装;随时看房;,低楼层/14层,2020-02-15,精装修,整租,季付,5500,0,2750,,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,True,民水,True,https://image1.ljcdn.com/lease-image/house/d770d1c8-04bc-45ba-a3c5-0502b04cb545.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/a8aeb20a-505a-4b37-b38e-098d89f8c7d8.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/0a6453e4-fbe6-4f01-a992-3970f5266482.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/7b44c8f7-b616-4392-a196-dd4668866cb3.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/c8d039e2-4633-49f9-99ca-0a5074ca469e.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/a9aa93f5-ef4b-4a6b-b591-21f5ec3e7e3e.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/915bc199-6952-4acb-8c3a-1801152b7994.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/266882c9-b78e-4a90-9aa1-bba0141618ee.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/fce8a88e-0bc2-40c7-bccf-ebe951146455.png.780x439.jpg;,
SH2321005789999013888,整租·三盛颐景园(公寓) 3室2厅 南,https://image1.ljcdn.com/lease-image/house/4c494693-b52c-4822-bd6a-085f7cb76357.jpg.250x182.jpg,松江,九亭,三盛颐景园(公寓),99,3室2厅1卫,南,5400,精装;随时看房;,高楼层/6层,2020-02-19,精装修,整租,季付,5400,0,2700,,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,自采暖,暂无数据,随时可看,随时入住,False,民水,False,https://image1.ljcdn.com/lease-image/house/115f714e-5cff-4025-9416-7fa6c7db8a37.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/bf6063a1-2469-4daf-9779-c89adb9a75e5.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/4bfb07d9-ecda-4098-9eea-8af3455f37eb.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/49fc7b6c-d606-454d-a39a-e0abd56e46c0.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/245b5d4f-28d7-45c9-93dc-43486b64b073.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/4c494693-b52c-4822-bd6a-085f7cb76357.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/9c0b106d-ec28-4a8e-abb2-d98deb04ccfc.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/39e74ecd-0e22-4f4d-8dcd-e9d52fb2071e.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/62b1e013-45a0-4aa0-a132-cbca5a6a6b14.jpg.780x439.jpg;,【装修描述】居家装修，干净整洁，装修保养比较好，家具家电齐全，可以拎包入住【周边配套】小区自带商品区，有超市，健身房，餐饮等配套设施，吃喝玩乐一应俱全【小区介绍】三盛颐景园小区多以多层楼房和别墅为主，居住人数比较少，且小区绿化程度比较高，环境优美，适合追求生活品质的客户
SH2437501118730223616,整租·知雅汇(公寓) 2室2厅 南/北,https://image1.ljcdn.com/lease-image/house/ea1f61fc-aa8b-44c1-80bb-cde84b4732dd.jpg.250x182.jpg,松江,九亭,知雅汇(公寓),0,,,5500,精装;随时看房;,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,,,,,,,False,,False,,
