hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2343504279933304832,整租·新南路壹号(公寓) 3室2厅 南,https://image1.ljcdn.com/lease-image/house/1fa5fe82-fade-449a-a557-7c2641925193.jpg.250x182.jpg,松江,莘闵别墅,新南路壹号(公寓),0,,,5300,精装;双卫生间;随时看房;,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,,,,,,,False,,False,,
SH2430441037480083456,整租·象屿上海年华 2室2厅 南,https://image1.ljcdn.com/lease-image/house/959f4fecbcc2a368060311eed2bb12c5.jpeg.250x182.jpg,松江,莘闵别墅,象屿上海年华,82,2室2厅1卫,南,4300,精装;随时看房;,高楼层/8层,2020-01-09,精装修,整租,季付,4300,0,2150,,False,False,False,True,False,False,True,False,False,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,True,民水,False,https://image1.ljcdn.com/lease-image/house/959f4fecbcc2a368060311eed2bb12c5.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/cb2a7a14f561050a641e6793a64b12e9.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/a3275254da76fa6de705b03a555c1ed0.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/00b0573a0291ab1caf0bb2d4c00afbf2.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/f61aa4c3d0c81aea2bc1c1743ac3ae9d.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/66b81e3ebb9dbf4f51a8257ba313b232.jpeg.780x439.jpg;,【装修描述】此房买来是就是开发商统一装修好的，日式日立中 央空调，德国搏世地暖，toto新风系统，双层隔音玻璃窗户，方太灶台和吸油烟机，热带雨林雨洒，全屋壁纸【交通出行】小区东临莘庄，西靠松江大学城，近地铁22号线春申路站，小区们门口班车125 可直达徐家汇和地铁1号线，数条公交线路汇集交通便利，高架:沪闵高架、嘉闵高架;15 莘庄站、22春申站【周边配套】丰富小区东侧一路之隔9年公立规划，占地5万方的规模，包括，和初中配套 22号线春申站900米周 边10生活圈:亚繁、龙之梦、百盛?嘉闵高架15直达虹桥沪闵20徐家汇购物【小区介绍】象屿上海年华是总高共8层花园洋房，1梯2户，全部南北通透，得房率高达80%，厅南北通透厨卫全明房间带飘窗！没有丝毫浪费空间，厨卫全明！且全部精装修带地暖、中 央空调、新风系统！拎包即可入住，让您省时省心！
SH2410190609882562560,整租·金地双都汇 3室2厅 南,https://image1.ljcdn.com/lease-image/house/1d39c718052b8359056789b874eb9fc8.jpeg.250x182.jpg,松江,莘闵别墅,金地双都汇,89,3室2厅2卫,南,5000,精装;双卫生间;随时看房;,低楼层/8层,2019-12-22,精装修,整租,季付,5000,0,2500,金山铁路-新桥-1111m;金山铁路-新桥-1111m;,False,False,True,False,True,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,False,民水,False,https://image1.ljcdn.com/lease-image/house/e0a8c056db7dfc04fb78c990c66d8dbf.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/c7ff2b660ee2978c77271e8d132eb6d7.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/0e2cc4fed6fe0eac58e7ef5c97a7861f.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/1d39c718052b8359056789b874eb9fc8.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/dfd1b2df3ca415fc9383e3600a995324.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/dd1f198d85e257ad523f260980b570f5.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/7a6f3ccf5567426959978f80ae8c6dc6.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/0834fcabd37685b1436fef7bc2bfd4de.jpeg.780x439.jpg;,【户型介绍】此房户型两房南一房北，户型正气，为开发商装修，避免您为装修引起的烦心事【装修描述】装修开发商统一装修交付，zhogyg空调加地暖，新风系统；品牌厨卫用具【交通出行】小区是22号动车系列，沿线小区，可直达上海南站，交通十分便利，明中路上也有多班公交车可以直接到莘庄。【周边配套】金地本身是属于次新房，自带的生活配套没有完善，朝北步行300米弘基广场，1公里范围是金御广场家乐福，2.5到3公里范围是今年10月份刚刚投入使用的明中广场和配套相对成熟的亚繁生活时尚广场。【小区介绍】小区的开发商是金地，物业也是金地的自带物业，一级的管理资质，安保设施完善，小区是新小区，一期是公寓加联排别墅的集成品，自带褐石风情街，别有一番风味。
SH2403584551990329344,整租·荣盛名邸(公寓) 2室1厅 南,https://image1.ljcdn.com/lease-image/house/a76e5846-e330-43d8-bd3d-05ba193927ff.jpg.250x182.jpg,松江,莘闵别墅,荣盛名邸(公寓),88,2室1厅1卫,南,4400,精装;随时看房;,低楼层/18层,2019-12-05,精装修,整租,季付,4400,0,2200,12号线-七莘路-841m;,False,False,False,True,False,False,True,False,False,False,暂无数据,民电,自采暖,暂无数据,随时可看,随时入住,True,民水,True,https://image1.ljcdn.com/lease-image/house/23c3471a-9283-44b2-b5d9-ea9d096201c5.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/a649d3d7-edc6-4299-ad7e-2852577f510b.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/ba887186-cddc-462b-bd99-7cc84db21675.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/a76e5846-e330-43d8-bd3d-05ba193927ff.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/25791bc1-e7ee-44c1-a2af-8e9467ec81f0.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/af4036d3-e14a-4a02-9da9-b569e1d2b459.jpg.780x439.jpg;,【交通出行】社区门口是公交站台，其中153、莘松B、小区班车，直达莘庄地铁站，1814到22号线（金山-上海南站）春申站科达上海南站； 2、社区北临G60沪昆高速 西临G15沈海高速 东临嘉敏高架3公里范围内可覆盖到；【周边配套】小区自带购物街，生活购物一应俱备，社区南1.2公里就是金御广场（家乐福），东1.5公里是亚繁亚乐城（永辉超市），西1.5公里松江漕河泾临港科创园(城市产业长廊拉斐尔云廊、酒店、办公楼、棕榈广场、星天地广场等）大型超市，吃喝玩乐购一站式服务【小区介绍】小区介绍：小区物业尽责，保安人员24小时巡逻，安全性强，入住率高。小区居住人群基本以年轻上班族为主，整体素质高。小区有一个广场适合早晚锻炼，退休的阿姨叔叔早上锻炼身体，傍晚也会来跳舞或者带着小朋友来散步。
SH2405889951385796608,整租·金地都会艺境(松江) 3室2厅 南/北,https://image1.ljcdn.com/lease-image/house/3e2c01495c808e11bbceab6caa127a5f.jpeg.250x182.jpg,松江,莘闵别墅,金地都会艺境(松江),92,3室2厅1卫,南/北,4600,近地铁;随时看房;,低楼层/17层,2019-12-12,,整租,季付,4600,0,2300,4号线，12号线-大连路-1036m;4号线，12号线-大连路-1036m;4号线，12号线-大连路-1036m;4号线，12号线-大连路-1036m;4号线，12号线-大连路-1036m;4号线，12号线-大连路-1036m;4号线，12号线-大连路-1036m;4号线，12号线-大连路-1036m;4号线，12号线-大连路-1036m;4号线，12号线-大连路-1036m;4号线，12号线-大连路-1036m;4号线，12号线-大连路-1036m;4号线，12号线-大连路-1036m;4号线，12号线-大连路-1036m;4号线，12号线-大连路-1036m;4号线，12号线-大连路-1036m;4号线，12号线-大连路-1036m;4号线，12号线-大连路-1036m;4号线，12号线-大连路-1036m;4号线，12号线-大连路-1036m;4号线，12号线-大连路-1036m;4号线，12号线-大连路-1036m;4号线，12号线-大连路-1036m;4号线，12号线-大连路-1036m;4号线，12号线-大连路-1036m;4号线，12号线-大连路-1036m;4号线，12号线-大连路-1036m;4号线，12号线-大连路-1036m;4号线，12号线-大连路-1036m;4号线，12号线-大连路-1036m;4号线，12号线-大连路-1036m;4号线，12号线-大连路-1036m;,False,False,False,True,False,False,True,False,False,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,True,民水,False,https://image1.ljcdn.com/lease-image/house/6fa6b7e39ffc3c1e7c19e29acf40753d.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/31a8bc8c30cef412eecc7eca24635613.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/1e567a711ffb9d090d026d6b1449de72.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/3e2c01495c808e11bbceab6caa127a5f.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/7a4213432ae2f91a1d5dc83f66d85fec.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/fcc184fa4e9347fddd5644c1732d482f.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/1c49e90b0698b58adee4c010a2eaa770.jpeg.780x439.jpg;,【户型介绍】此房户型两房南一房北，户型正气，为开发商装修，避免您为装修引起的烦心事【装修描述】装修开发商统一装修交付，zhogyg空调加地暖，新风系统；品牌厨卫用具【交通出行】小区是22号动车系列，沿线小区，可直达上海南站，交通十分便利，明中路上也有多班公交车可以直接到莘庄。【周边配套】金地本身是属于次新房，自带的生活配套没有完善，朝北步行300米弘基广场，1公里范围是金御广场家乐福，2.5到3公里范围是今年10月份刚刚投入使用的明中广场和配套相对成熟的亚繁生活时尚广场。【小区介绍】小区的开发商是金地，物业也是金地的自带物业，一级的管理资质，安保设施完善，小区是新小区，一期是公寓加联排别墅的集成品，自带褐石风情街，别有一番风味。
SH2393460125735600128,整租·万科白马花园(公寓) 2室2厅 南,https://image1.ljcdn.com/lease-image/house/c063fdf8b2d93c51fbae151ee3837797.jpeg.250x182.jpg,松江,莘闵别墅,万科白马花园(公寓),64,2室2厅1卫,南,3800,精装;随时看房;,高楼层/5层,2020-01-18,精装修,整租,季付,3800,0,1900,,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,False,民水,False,https://image1.ljcdn.com/lease-image/house/43c3dab71adf2ff56f33c72dd79228db.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/d901a4a427e1eaa90be4cb9b98ea3922.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/c063fdf8b2d93c51fbae151ee3837797.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/4dc77c554cbee0d272862d4b9700eb08.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/060d06918eb528109cbc2ace3a07d298.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/f2e64092aa0312f141c18a2cb8440599.jpeg.780x439.jpg;,【户型介绍】高楼层采光好，户型南北通，附一个大露台，露天烧烤晾衣服，夏日乘凉必备之选【交通出行】小区门口有共享单车和万科白马花园公交站台，可乘125路、125路b线、松江49路、松江51路、松江68路、松莘线。上车往西可达新桥和松江大学城，往东可达莘松路、1号线莘庄地铁站、12号线顾戴路。也可以步行至22号线金山铁路的春申站，一站直达【周边配套】小区东门紧靠弘基广场，北面1.5公里到达巴比伦广场，西面2公里达到明中广场（2018年10月份新开业，现已开始运营），有白马幼儿园等，往莘庄方向有甲等医疗配套，公交直达医院门口【小区介绍】小区是万科开发商，物业同为万科，物业费1.9元，保安素质高，24小时巡逻，进出小区必须业主电话通知，并安排管家确认，确保小区治安，小区有东、西、北三个门，出行方便。小区内部有7个游乐设施，1个老年活动室，小区北门有一兆韦德健身会所和罗森便利
SH2431054146074312704,整租·荣盛名邸(公寓) 2室2厅 南,https://image1.ljcdn.com/lease-image/house/7af9abcc-8782-4889-aa39-5b815e714a4a.jpg.250x182.jpg,松江,莘闵别墅,荣盛名邸(公寓),87,2室2厅1卫,南,4300,精装;随时看房;,低楼层/18层,2020-01-10,精装修,整租,季付,4300,0,2150,12号线-七莘路-841m;,False,False,False,True,False,False,True,False,False,False,暂无数据,民电,自采暖,暂无数据,随时可看,随时入住,True,民水,True,https://image1.ljcdn.com/lease-image/house/d0215e85-48af-4806-9c9a-fd3e8a88d0e0.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/b2bfb5ea-beb7-4cf1-9cd6-46efe268f40d.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/182c67af-8d45-4907-b4b7-2702bee4af74.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/2a76ca0e-a750-46ae-9e7b-d95d289829b2.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/7af9abcc-8782-4889-aa39-5b815e714a4a.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/6a1180a4-6160-47ae-a606-232e60f96782.jpg.780x439.jpg;,【交通出行】社区门口是公交站台，其中153、莘松B、小区班车，直达莘庄地铁站，1814到22号线（金山-上海南站）春申站科达上海南站； 2、社区北临G60沪昆高速 西临G15沈海高速 东临嘉敏高架3公里范围内可覆盖到；【周边配套】小区自带购物街，生活购物一应俱备，社区南1.2公里就是金御广场（家乐福），东1.5公里是亚繁亚乐城（永辉超市），西1.5公里松江漕河泾临港科创园(城市产业长廊拉斐尔云廊、酒店、办公楼、棕榈广场、星天地广场等）大型超市，吃喝玩乐购一站式服务【小区介绍】小区物业尽责，保安人员24小时巡逻，安全性强，入住率高。小区居住人群基本以年轻上班族为主，整体素质高。小区有一个广场适合早晚锻炼，退休的阿姨叔叔早上锻炼身体，傍晚也会来跳舞或者带着小朋友来散步。
SH2418821176013881344,整租·新南路壹号(公寓) 3室2厅 南,https://image1.ljcdn.com/lease-image/house/9cbd3e19-44ee-43e8-b73a-afb45d890527.jpg.250x182.jpg,松江,莘闵别墅,新南路壹号(公寓),105,3室2厅2卫,南,5500,精装;双卫生间;随时看房;,中楼层/12层,2019-12-24,精装修,整租,季付,5500,0,2750,,False,False,False,True,False,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,True,民水,True,https://image1.ljcdn.com/lease-image/house/4b158f3f-942e-43d0-af64-a5d24b68f523.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/d42e64b1-40a3-4674-94a4-78b4c3f28b08.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/33bfa6ed-b4e0-4576-99d4-8cfb3d887e39.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/a8aba850-a9ad-4f6e-b0f3-53e0c7313015.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/07f354db-d2d1-4884-8f2a-b5090229f0ff.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/572b7097-8dec-4b32-8110-3ef1fb4c0799.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/cfd71f2b-7bd0-4523-8b71-ddbccc0465cf.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/9cbd3e19-44ee-43e8-b73a-afb45d890527.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/30a63bed-c934-4c4a-99c4-b2bce6b52724.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/afd50599-94d9-4288-800f-3480547d8f05.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/7a5855ab-cc0c-47d4-a3e4-5d0dd61b9f17.jpg.780x439.jpg;,【装修描述】装修描述：房子开发商统一装修，装修标准4000每平米，厨房方太油烟机，消毒柜，洗碗机，厨房马桶都是国际一线品牌，卫生间带地暖。【周边配套】公交线路：125B直达12号线顾戴路地铁站。 86路九亭地铁站。 莘松线直达外环路地铁站。 隔壁社区班车直达莘庄地铁站北广场，30分一班。【小区介绍】次新小区，绿地集团开发，人车分流安全，小区绿化好环境舒适适合居住。
SH2431021805650321408,整租·绿洲香岛花园 3室2厅 南/北,https://image1.ljcdn.com/lease-image/house/6de9985c-e180-4523-8736-f114eca985ef.jpg.250x182.jpg,松江,莘闵别墅,绿洲香岛花园,162,3室2厅2卫,南/北,6600,双卫生间;随时看房;,低楼层/6层,2020-01-10,,整租,季付,6600,0,3300,,False,True,False,True,False,False,True,False,False,False,暂无数据,民电,自采暖,暂无数据,随时可看,随时入住,True,民水,True,https://image1.ljcdn.com/lease-image/house/fc633303-e843-4637-ab0c-f2b63822f8d7.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/311618b3-5988-4e16-9020-a2b61d67889e.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/6de9985c-e180-4523-8736-f114eca985ef.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/56039949-eebb-4297-b13d-e012afa554c0.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/1b15fb21-3887-4db4-a477-a1bacbf39479.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/3c1f0d66-65e8-4d83-8b76-e0144a177f37.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/ef54ac17-f777-47b1-8542-34876b159a73.jpg.780x439.jpg;,【户型介绍】南北通的户型，采光通风好，向阳，采光率高， 房子面积可使用率高。【交通出行】莘松线 125路公交车 小区内部有专车到亚乐城 莘庄北广场 小区门口就有直达莘庄站公交车，便于您的出行。出门右拐可直接上莘闵高架，去九亭或是虹桥飞机场在或是去上海火车站。【小区介绍】开发商统一精装修 拥有良好隔热隔音效果 停车位充足，环境优美，交通便利。
SH2430441784074584064,整租·绿洲比华利花园 3室4厅 南,https://image1.ljcdn.com/lease-image/house/b7c527fc-2437-4edc-b5c2-e5fe2faf6134.jpg.250x182.jpg,松江,莘闵别墅,绿洲比华利花园,360,3室4厅5卫,南,25000,精装;随时看房;,低楼层/2层,2020-01-09,精装修,整租,季付,25000,0,12500,,False,False,False,True,True,False,True,False,False,False,暂无数据,民电,自采暖,暂无数据,随时可看,随时入住,False,民水,True,https://image1.ljcdn.com/lease-image/house/987f773b-2f0c-4356-913e-897d870f7dea.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/266e6908-7c35-4450-a44b-6068d0ea8b5c.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/9b730c4c-d7d5-4d06-8af4-832a2e00ac5b.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/4eea8290-772e-446d-8adb-52935e44e97c.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/0266fed2-0b01-4f7e-bcb1-2f1887e342ff.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/3b856e5e-eb77-4edc-bc59-dcf779920b2c.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/7efcbfe0-c2ff-4629-9dfb-83abff7df1b7.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/ee2c12b4-e096-41b8-94a8-92b2982eb840.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/1a400f85-3897-41ed-87fa-f5ee33a5020b.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/e2e8cfce-eddf-47d7-aef5-bfd2c73ebbba.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/eac239a9-8fbf-450e-9824-d47def6433cf.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/20c9e6e8-f596-4cb9-9192-8acd49dc309e.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/04769ebb-39b5-4126-8c86-44edf22ff52e.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/83cacbae-a329-4e20-b965-03d093a2c329.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/f5e94cf5-b7ca-4b5e-b089-041edf4d40db.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/305457f2-4dc4-43dc-8d91-ac7923fd9fb0.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/82cae98a-e054-4074-b932-3a484372efa1.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/84d27e79-7169-4cc5-b11b-a6d49a60f676.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/f47ee369-806d-45fd-b533-a71ad05156fe.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/75cd9b6a-137d-4c9c-97d4-3a36a7334825.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/b7c527fc-2437-4edc-b5c2-e5fe2faf6134.jpg.780x439.jpg;,【装修描述】绿洲比华利花园 业主精装修 品牌家电 南面临河 环境优美 下午茶的好地点【交通出行】距离莘庄一号线思公里，小区有班车，直达莘庄，出门有公交车。十分一趟，发车紧密。。。【周边配套】配套齐全，家乐福，雅畈广场，永辉超市，乐购超市。配套齐全，家乐福，亚繁广场，永辉超市，金御广场，乐购超市【小区介绍】绿洲比华利花园 纯独栋高档小区 自带大花园小区居住者均是高收入高素质人士小区自带双语幼儿园 安静舒适环境好
