hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2339226626698510336,整租·新凯城尚樱苑 2室1厅 南,https://image1.ljcdn.com/lease-image/house/10243379a3ae6f2566a2f1d63dc64428.jpeg.250x182.jpg,松江,泗泾,新凯城尚樱苑,74,2室1厅1卫,南,3500,随时看房;,高楼层/18层,2020-01-19,,整租,季付,3500,0,1750,,False,False,False,False,True,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,True,民水,False,https://image1.ljcdn.com/lease-image/house/10243379a3ae6f2566a2f1d63dc64428.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/426e4a4356d2dd6255f33230e267b8d6.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/ef8c79f1aaee82762bfcdac9c9cc9bad.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/80c48376c979284f387431ae7ce14fbb.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/d5109aaf4cb209fc79f48bd4b735757f.jpeg.780x439.jpg;,
SH2369341953151614976,整租·三湘商业广场 2室1厅 南/北,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20200218110553137,松江,泗泾,三湘商业广场,49,2室1厅1卫,南/北,4100,新上;近地铁;精装;随时看房;,低楼层/19层,2020-02-19,精装修,整租,季付,4100,0,2050,9号线-泗泾-172m;,False,True,False,True,True,False,True,False,True,False,暂无数据,商电,暂无数据,暂无数据,随时可看,随时入住,False,商水,False,https://image1.ljcdn.com/lease-image/house/91e472e3-822c-4e36-9647-ca3f1b06f95b.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/c57bfeb3-f6d0-412f-a9b6-ffad68d2824f.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/bb145943-25e5-4b1c-9036-59003d0a486e.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/d92355df-3d4f-4a56-bb1d-5b489a04b66d.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/968e0a55-6827-4614-beb0-8881562f0c37.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/41080601-0285-4ba3-91ee-7e676373b770.jpg.780x439.jpg;,
SH2432562222212317184,整租·绿地香缇 2室1厅 南,https://image1.ljcdn.com/lease-image/house/010ac9ac-2fbb-492b-83c8-ff79b806834c.jpg.250x182.jpg,松江,泗泾,绿地香缇,80,2室1厅1卫,南,4800,精装;随时看房;,高楼层/15层,2020-01-18,精装修,整租,季付,4800,0,2400,9号线-泗泾-599m;9号线-泗泾-599m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,True,民水,False,https://image1.ljcdn.com/lease-image/house/306b0c5b-a1ca-4818-a993-d2eb21d1ca71.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/da1a1ea1-b952-4e22-85b1-8c155982a7bc.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/010ac9ac-2fbb-492b-83c8-ff79b806834c.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/a2001579-4bf0-43dd-b85a-5759e26b03b7.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/e648a884-091a-4c4f-8ecb-98bd4b095c2a.jpg.780x439.jpg;,
SH2437015168531054592,整租·同润菲诗艾伦 2室1厅 东,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20200218110553137,松江,泗泾,同润菲诗艾伦,56,2室1厅1卫,东,3200,随时看房;,中楼层/17层,2020-01-18,,整租,季付,3200,0,1600,,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,True,民水,True,,
SH2456980585470492672,整租·润江花苑 2室2厅 南/北,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20200218110553137,松江,泗泾,润江花苑,100,2室2厅2卫,南/北,4500,双卫生间;随时看房;,低楼层/12层,2020-02-15,,整租,季付,4500,0,2250,,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,True,民水,False,,
SH2364415612912148480,整租·塘和家园君康苑 2室1厅 南,https://image1.ljcdn.com/310000-inspection/6a0578c7-27f5-46a1-8120-19073378e0c5.jpg.250x182.jpg,松江,泗泾,塘和家园君康苑,69,2室1厅1卫,南,2200,,高楼层/18层,2020-02-20,,整租,需咨询,2200,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,暂无数据,暂无数据,暂无数据,需提前预约,随时入住,False,暂无数据,False,https://image1.ljcdn.com/310000-inspection/c2bb37b2-7361-4e5a-8c1c-c084c3676234.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/1a05920e-29b1-4bc9-b5b0-a4392f26a671.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/71e0ea14-4152-4294-9bbf-953332f06dce.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/6a0578c7-27f5-46a1-8120-19073378e0c5.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/0fd856e6-6443-40e6-9e39-0fe997680978.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f66250e5-9cd1-4d22-846a-a06008cca330.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b83589fc-fef3-4fc2-8435-d7ff74bd17a7.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/ff3c1587-e56e-4d14-9390-8de0da9b26f7.jpg.780x439.jpg;,
SH2385314068807827456,整租·塘和家园海康苑 1室1厅 南,https://image1.ljcdn.com/310000-inspection/f7ebfaf2-e4b3-4f87-91e1-e182934295ba.jpg.250x182.jpg,松江,泗泾,塘和家园海康苑,56,1室1厅1卫,南,1800,随时看房;,中楼层/24层,2020-02-14,,整租,需咨询,1800,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,暂无数据,暂无数据,暂无数据,需提前预约,随时入住,False,暂无数据,False,https://image1.ljcdn.com/310000-inspection/73965ce4-3719-4f62-9466-ce3af6d75829.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f7ebfaf2-e4b3-4f87-91e1-e182934295ba.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/1f4773b5-200c-4830-83dd-f10fc53e6cf3.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/7b89bbe1-50b2-4e6e-ad27-f729c191e75b.jpg.780x439.jpg;,
SH2391217948049555456,整租·紫薇茗庭 1室1厅 南,https://image1.ljcdn.com/310000-inspection/3a18653d-1111-48b8-a12e-ad845d65c03f.jpg.250x182.jpg,松江,泗泾,紫薇茗庭,51,1室1厅1卫,南,1800,近地铁;随时看房;,高楼层/28层,2020-02-24,,整租,需咨询,1800,0,需咨询,9号线-泗泾-1036m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,True,民水,True,https://image1.ljcdn.com/310000-inspection/3a18653d-1111-48b8-a12e-ad845d65c03f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/137cb1b0-7091-45f0-b559-7069f3c264b6.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/ba07b90f-9cd7-478e-95a5-6c5ed42c9891.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f3156f6b-c6ae-42af-9063-1b0d69564ded.jpg.780x439.jpg;,
SH2405163519894102016,整租·紫薇茗庭 1室1厅 南/北,https://image1.ljcdn.com/310000-inspection/pc1_QndrbPQE3_1.jpg.250x182.jpg,松江,泗泾,紫薇茗庭,51,1室1厅1卫,南/北,1900,近地铁;,低楼层/28层,2020-02-14,,整租,需咨询,1900,0,需咨询,9号线-泗泾-1036m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,True,民水,True,https://image1.ljcdn.com/310000-inspection/47362745-969e-48f3-b66b-d4a83dc98df8.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/pc1_QndrbPQE3_1.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/bdc233a1-0f52-47e2-8fbf-736b319d4c3b.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/03a62918-fef5-4974-b817-50be2d7a8e94.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/dab2086a-6c37-4c16-91dc-3a3bd28f6e31.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/standard_d0fd86da-cc0b-4ba3-b1e4-654531fec74f.png.780x439.jpg;,
SH2422428767172968448,整租·同润菲诗艾伦 1室1厅 东南/南,https://image1.ljcdn.com/310000-inspection/ec0d0484-8679-4b28-84a3-0f57645a904d.jpg.250x182.jpg,松江,泗泾,同润菲诗艾伦,55,1室1厅1卫,东南/南,2200,,中楼层/17层,2020-02-19,,整租,需咨询,2200,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,True,民水,True,https://image1.ljcdn.com/310000-inspection/d9959777-5f76-4fb6-b82a-fc66c4d27c97.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/ec0d0484-8679-4b28-84a3-0f57645a904d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/c2738fe3-2a8b-4c3a-bb47-e6f6be03c572.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/4534db64-93ba-4023-9277-60e815126a36.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/6049ab2e-ea43-498c-8782-0f56387f13ee.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/fc1c8323-7764-4eb3-92a0-1d3d2fee0d93.png.780x439.jpg;,
