hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2437570560960495616,整租·三湘四季花城 1室1厅 南,https://image1.ljcdn.com/lease-image/house/32d4abd2-b46b-4c44-b190-393347f0c7f0.jpg.250x182.jpg,松江,松江大学城,三湘四季花城,58,1室1厅1卫,南,3800,新上;近地铁;精装;随时看房;,中楼层/14层,2020-02-23,精装修,整租,季付,3800,0,1900,9号线-松江大学城-273m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,True,民水,True,https://image1.ljcdn.com/lease-image/house/32d4abd2-b46b-4c44-b190-393347f0c7f0.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/3c5e2a74-ce3d-491e-8728-0c178eedd693.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/cf7c9a46-5ee8-4c65-bf36-2f5d92d6febc.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/f796b317-7a73-4221-825a-f939f3d24498.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/9f239453-87c3-441e-b284-a4a65b67fb0a.jpg.780x439.jpg;,
SH2436230494204207104,整租·信达蓝爵 2室2厅 南,https://image1.ljcdn.com/lease-image/house/33169488-4f46-429a-96ee-2af6136d4c77.jpg.250x182.jpg,松江,松江大学城,信达蓝爵,82,2室2厅1卫,南,4200,随时看房;,低楼层/22层,2020-01-17,,整租,季付,4200,0,2100,,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,True,民水,False,https://image1.ljcdn.com/lease-image/house/14594bac-839f-482d-aab1-073ab7b10c93.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/e395238f-e292-4cd2-9e4c-32685a4303be.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/504431eb-54a2-49d4-aecf-746338f1d3a4.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/cbed965d-68e9-4a8e-bf8d-290d673157a5.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/33169488-4f46-429a-96ee-2af6136d4c77.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/c474cda3-9d1d-441f-86d1-d744321d7600.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/632782c1-f299-44ab-86aa-6cf79c0812bc.jpg.780x439.jpg;,
SH2413070880591847424,整租·龙湖新壹城 1室1厅 北,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20200218110553137,松江,松江大学城,龙湖新壹城,28,1室1厅1卫,北,1800,近地铁;,低楼层/13层,2020-02-25,,整租,需咨询,1800,0,需咨询,9号线-松江体育中心-1097m;9号线-松江体育中心-1097m;,False,False,False,False,False,False,False,False,False,False,暂无数据,商电,暂无数据,暂无数据,需提前预约,随时入住,True,商水,False,,
SH2462808860646449152,整租·保利西子湾 1室1厅 南,https://image1.ljcdn.com/110000-inspection/71e1f393aa95939c7b28bcc8c6d49cc5.jpg.250x182.jpg,松江,松江大学城,保利西子湾,60,1室1厅1卫,南,3400,新上;随时看房;,中楼层/18层,2020-02-23,,整租,需咨询,3400,0,需咨询,9号线-松江大学城-652m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,True,民水,False,https://image1.ljcdn.com/110000-inspection/9f97a49c4b5472fe167a36e11788c61d.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/71e1f393aa95939c7b28bcc8c6d49cc5.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/6e0582e9ffaa44e885cdd47d9978b6aa.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/41decfa7638872e7bbd0f473e264f964.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/prod-57e4ef65-e4c8-4dfe-974b-fb77f84cbdc1.png.780x439.jpg;,
SH2391225024158900224,整租·辰富佳苑 1室1厅 南,https://image1.ljcdn.com/310000-inspection/88778395-6099-4528-a5f0-19284be2c443.jpg.250x182.jpg,松江,松江大学城,辰富佳苑,63,1室1厅1卫,南,2300,精装;,高楼层/8层,2020-01-14,精装修,整租,季付,2300,0,需咨询,,False,True,True,True,True,False,True,False,True,True,暂无数据,暂无数据,暂无数据,1年以内,需提前预约,随时入住,False,暂无数据,False,https://image1.ljcdn.com/310000-inspection/b6579a82-f32f-46a4-be25-bc5d9c81c91a.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/88778395-6099-4528-a5f0-19284be2c443.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/fb20403c-a3bd-46b7-897b-00d8df9937a8.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/2ef14902-14f8-46fc-9c31-6ad2215682da.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/9d300844-b63b-4157-9373-995a8cef4c3a.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/68feb31f-03f6-4492-aa41-5947edcf4355.jpg.780x439.jpg;,
SH2436894411414568960,整租·辰富佳苑 1室1厅 南,https://image1.ljcdn.com/310000-inspection/d4c2bf0a-46d5-4b71-b448-4d236eb91a48.jpg.250x182.jpg,松江,松江大学城,辰富佳苑,65,1室1厅1卫,南,2500,,中楼层/8层,2020-02-23,,整租,需咨询,2500,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,暂无数据,暂无数据,暂无数据,需提前预约,随时入住,False,暂无数据,False,https://image1.ljcdn.com/310000-inspection/6a6ba6c7-4439-4775-9012-c0990fae2dca.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/d4c2bf0a-46d5-4b71-b448-4d236eb91a48.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/29ddd9f6-fd58-47b4-86b2-c8970cf6b6c6.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/3bc4523f-0dc6-48c9-a59c-0c5377c9a2ac.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/20c57079-3282-4f58-9d02-206d6f4736e3.jpg.780x439.jpg;,
SH2427405074985648128,整租·辰富佳苑 1室1厅 南,https://image1.ljcdn.com/310000-inspection/d61ca16f-f29f-40fb-b287-49215eb13266.jpg.250x182.jpg,松江,松江大学城,辰富佳苑,65,1室1厅1卫,南,2600,,中楼层/8层,2020-02-25,,整租,需咨询,2600,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,暂无数据,暂无数据,暂无数据,需提前预约,随时入住,True,暂无数据,False,https://image1.ljcdn.com/310000-inspection/93645d32-03c8-4b55-bb3b-da3fbc112e81.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/9cd3abe7-072f-4d7c-b6c2-990bc5fb934d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/d61ca16f-f29f-40fb-b287-49215eb13266.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/66222bc0-fedc-4140-bb0d-1f06b9cef5f1.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f2bbde29-7d7b-4806-8fa9-f3860687d43b.jpg.780x439.jpg;,
SH2461561003733680128,整租·保利西子湾 1室1厅 南,https://image1.ljcdn.com/110000-inspection/0b9c0a95-57c4-4421-ba9f-e206b890ad82.jpg.250x182.jpg,松江,松江大学城,保利西子湾,60,1室1厅1卫,南,3500,新上;,低楼层/18层,2020-02-25,,整租,需咨询,3500,0,需咨询,9号线-松江大学城-652m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,True,民水,False,https://image1.ljcdn.com/110000-inspection/b2b68bd3-6dc2-4e72-8fec-26d6cb6e6b28.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/0b9c0a95-57c4-4421-ba9f-e206b890ad82.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/58d657b8-45da-4247-9102-8db7ac047a78.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/565fad14-4b6f-44b0-9926-198df3428338.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/standard_28f9f85c-df3d-468f-8e7d-6a1b16692b97.png.780x439.jpg;,
SH2431843733038170112,整租·三湘四季花城 1室1厅 南,https://image1.ljcdn.com/310000-inspection/cfd734e9-37ff-401a-8eb0-e2059b9fc414.jpg.250x182.jpg,松江,松江大学城,三湘四季花城,58,1室1厅1卫,南,3500,近地铁;,高楼层/14层,2020-02-25,,整租,需咨询,3500,0,需咨询,9号线-松江大学城-273m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,True,民水,True,https://image1.ljcdn.com/310000-inspection/cfd734e9-37ff-401a-8eb0-e2059b9fc414.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/6c0cb62d-5ba1-47e5-b6aa-1c7786e0b7b5.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f9aa1854-1683-4981-8c53-8e7e5cc7a4a7.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/5c11e2c6-0914-482a-9c85-50e79a6ad7bf.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/7441e9d3-5317-453e-8dfa-6d147348f28c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a13eaf0e-1421-4f33-a6fd-2aed0e6571ab.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f6c61f8d-5089-4034-9998-8cd48b887971.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/6c8bd51d-9caf-49a6-b947-3595e4a4bd19.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/06f8067b-2cc4-48f7-9d72-18d00beab77b.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/562b4ea2-9e45-4bf6-a556-e238ab21ab85.png.780x439.jpg;,
SH2357855887298928640,整租·保利西子湾 1室1厅 西北,https://image1.ljcdn.com/310000-inspection/f112ce89-b562-40e5-b876-4068fe0135e4.jpg.250x182.jpg,松江,松江大学城,保利西子湾,56,1室1厅1卫,西北,3000,近地铁;随时看房;,中楼层/11层,2020-02-18,,整租,需咨询,3000,0,需咨询,9号线-松江大学城-652m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,True,民水,False,https://image1.ljcdn.com/310000-inspection/322503d2-96af-47e9-afa3-c84321bc8678.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b86e0dd4-5b93-4ca3-914d-74bb739b2f8f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f112ce89-b562-40e5-b876-4068fe0135e4.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/80bfcab4-c313-4a68-abbd-c6b03da0daad.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/63f25c40-4cc4-42e6-9d8b-e40a3ae8b421.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/0dc39078-706c-4940-9b04-1465ee5f0937.jpg.780x439.jpg;,
