hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2458472518437584896,整租·虹梅小区 1室1厅 南,https://image1.ljcdn.com/110000-inspection/3772a8e944674112cbd687a4d4367c28.jpg.250x182.jpg,徐汇,漕河泾,虹梅小区,41,1室1厅1卫,南,4200,近地铁;,中楼层/6层,2020-02-20,,整租,需咨询,4200,0,需咨询,9号线-漕河泾开发区-438m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/110000-inspection/3772a8e944674112cbd687a4d4367c28.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/e2877452fc4d475ef645e1689fcac84d.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/f708461c62d8da77a1a19450651ecd97.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/0d654a8afb67ba82aeeb9b35d5c0c540.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/a95d70b4363bffc4321bbee7a7244f18.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/b67871d90d555d9df62aee38456a723e.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/78dc1c3880810131ad343a2c9a2efd9c.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/eacd34a3-9788-4bed-a425-ce31db8e5b78.png.780x439.jpg;,
SH2460734145597816832,整租·欣嘉苑 2室1厅 南,https://image1.ljcdn.com/110000-inspection/0679cd42-c52b-458c-a303-9e981f2fc63c.jpg.250x182.jpg,徐汇,漕河泾,欣嘉苑,55,2室1厅1卫,南,6200,新上;近地铁;,中楼层/6层,2020-02-21,,整租,需咨询,6200,0,需咨询,9号线-桂林路-893m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/110000-inspection/0679cd42-c52b-458c-a303-9e981f2fc63c.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/28e958ac-1a96-439d-8da1-53f58db8d18d.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/2b843c79-b599-4044-b401-296ddcd86dc3.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/653e0979-b6bb-4946-bc91-54bd1bc91317.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/f28b561e-efe0-417c-93bf-f5f747b62861.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/691d5825-ca00-44f7-902d-1a1f633d9358.jpg.780x439.jpg;,
SH2454454912117899264,整租·欣嘉苑 2室1厅 南,https://image1.ljcdn.com/110000-inspection/14bb16c7-e1bf-4ab8-9435-62bc968d6185.jpg.250x182.jpg,徐汇,漕河泾,欣嘉苑,55,2室1厅1卫,南,5500,精装;,中楼层/6层,2020-02-24,精装修,整租,季付,5500,0,需咨询,9号线-桂林路-893m;,True,True,True,True,True,False,True,False,True,True,租用车位,民电,暂无数据,3年以内,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/110000-inspection/14bb16c7-e1bf-4ab8-9435-62bc968d6185.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/6148a10b-1005-4f87-8898-70a3932b814a.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/ec4ebf25-d97e-4e7e-9a8b-3cc40d60e3c3.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/8a4f4426-9ed0-4a8a-bbea-831b4ad15ba3.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/5f9f6706-87f9-4a90-92e8-6c7516a303e1.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/10a7f07a-5bd0-4a03-b32c-a57ef95c2aaf.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/e1310b54-6090-40d9-8c68-c5ef40178e36.jpg.780x439.jpg;,【房源亮点】实木家具，功能齐全，各类家居业主配备齐全，房源位于该栋楼的中楼层，环境好比较安静，小区地理位置优越、环境幽雅。【户型介绍】主卧朝南，采光好通风性好，次卧带窗通风性好，厨房、卫生间都带窗户，属于全明户型，还有一间储物室方便放置物品。【装修描述】装修属于精装修，业主配备家具，并且床和衣柜都是业主专门定制的实木家具，门口有定制鞋柜方便放置。【交通出行】交通方便，地铁9号线桂林路站4号口1000米，一站路到宜山路，可换乘3/4号线，2站路到徐家汇，可换乘1/11号线。3公里开车上内环，3公里上中环。在建15号线入口300米不到。【周边配套】小区门口有徐汇区钦北菜市场，钦州北路田尚坊商 业街、宜山路新宜街，田林路商 业街、沃尔玛超市、联华等超市卖场；医疗配套：第六人民医院，第八人民医院。小区门口就有汇霖幼儿园，出门桂林路上有西位实验，钦州北路上有西南位育北校区【小区介绍】欣嘉园位于钦州北路1018弄，地理位置优越，地处成熟小区，设施齐全，交通便利，菜场超市等一应俱全. 小区地理位置优越、环境幽雅、交通便利、小区环境良好。
SH2462124532635541504,整租·华悦家园 1室1厅 南,https://image1.ljcdn.com/110000-inspection/29265b3b78952854ccd09840c9b4d625.jpg.250x182.jpg,徐汇,漕河泾,华悦家园,58,1室1厅1卫,南,7500,新上;近地铁;随时看房;,高楼层/34层,2020-02-22,,整租,需咨询,7500,0,需咨询,12号线-虹梅路-1147m;12号线-虹梅路-1147m;12号线-虹梅路-1147m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,True,民水,True,https://image1.ljcdn.com/110000-inspection/a8834a289cca033e78f4162d96b54d08.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/4c3ff2d820c7eb530859a17763333214.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/29265b3b78952854ccd09840c9b4d625.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/b29dedb9f45d5d850688392eb0e8fe38.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/e678f226f3e764d6259018bab29d75c9.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/84188cfa807a8944bcd5e160e6d0cd4c.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/57bfa12f0b6f857dbc20af084da53c1b.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/732186b97f4a4adc74e3e0bb9a971bb1.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/5e18ba60ac2c6babce57f2b5704044f6.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/c16929ed3c9af07c6b17e542d87d19a4.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/f1ec2748e06ab27229606059518b8e9e.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/6028bea5-f0cf-48ce-bb42-ae0cbed8add7.png.780x439.jpg;,
SH2458696813423624192,整租·永兆豪庭 1室1厅 南,https://image1.ljcdn.com/110000-inspection/b6b4c21302c93c7635ccb5f5128cb1f0.jpg.250x182.jpg,徐汇,漕河泾,永兆豪庭,56,1室1厅1卫,南,6500,近地铁;,中楼层/17层,2020-02-24,,整租,需咨询,6500,0,需咨询,9号线-漕河泾开发区-263m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,True,民水,True,https://image1.ljcdn.com/110000-inspection/415237372c317136bce5eda18b339bf3.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/b6b4c21302c93c7635ccb5f5128cb1f0.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/413d3477b58b9ab6b2314b8233b482c0.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/5f06f69432f97df6d382aa0b7c2b6b43.jpg.780x439.jpg;,
SH2432459830091587584,整租·永兆豪庭 2室1厅 南,https://image1.ljcdn.com/310000-inspection/d084debc-b629-471e-be61-652e5b19d5dd.jpg.250x182.jpg,徐汇,漕河泾,永兆豪庭,78,2室1厅1卫,南,7800,近地铁;,高楼层/17层,2020-02-17,,整租,需咨询,7800,0,需咨询,9号线-漕河泾开发区-263m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,True,民水,True,https://image1.ljcdn.com/310000-inspection/78c98499-915b-4f2d-b127-e733ccde8844.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/cd557294-910e-4960-9493-7492cd5802b3.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/d084debc-b629-471e-be61-652e5b19d5dd.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/8d4615ee-3df3-400c-a1ae-6eb3552731b5.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b295d2b0-c40b-4a89-871c-5c5aa7daaaad.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/d0949b72-7a63-4a4e-8c7c-1480e822a4ed.jpg.780x439.jpg;,
SH2457925119763824640,整租·永兆豪庭 1室1厅 南,https://image1.ljcdn.com/110000-inspection/a8b8dc3802cf0182dc6789f9e7066ee8.jpg.250x182.jpg,徐汇,漕河泾,永兆豪庭,55,1室1厅1卫,南,6500,近地铁;,低楼层/17层,2020-02-25,,整租,需咨询,6500,0,需咨询,9号线-漕河泾开发区-263m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,2020-03-15,True,民水,True,https://image1.ljcdn.com/110000-inspection/84edadc131eae5b4f982c3e1e38aa765.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/a8b8dc3802cf0182dc6789f9e7066ee8.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/66d4e2327055918718ecf0737429b137.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/a68dabd04b2bf86a81b8817dfe8af765.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/c90168af4475b904fabc1aa7064bfc69.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/b4579d918cd11b9e4f683f44aa773163.jpg.780x439.jpg;,
SH2450790236557410304,整租·华悦家园 2室2厅 南,https://image1.ljcdn.com/110000-inspection/7846e355-d3ba-4d9f-af54-3987023957b3.jpg.250x182.jpg,徐汇,漕河泾,华悦家园,91,2室2厅1卫,南,9500,近地铁;精装;,中楼层/35层,2020-02-22,精装修,整租,季付,9500,0,需咨询,12号线-虹梅路-1147m;12号线-虹梅路-1147m;12号线-虹梅路-1147m;,True,True,True,True,True,False,True,True,True,True,暂无数据,民电,暂无数据,1年以内,需提前预约,随时入住,True,民水,True,https://image1.ljcdn.com/110000-inspection/61f15b11-8079-4221-b194-2a616be5c037.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/99794ac6-4861-4091-b312-11aee4fe3c87.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/7846e355-d3ba-4d9f-af54-3987023957b3.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/d0f07612-346e-4101-82eb-31c852f8879a.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/3f08b469-cbb0-4c6b-8851-cba1ef301b16.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/0cdb23c1-77c6-43b5-a107-4ce3e525bc84.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/58ed7080-a9e4-4d0f-9dd8-5f0df3722c42.jpg.780x439.jpg;,【房源亮点】业主精装修自住房，宽敞明亮，温馨和谐，12号线地铁，建议经济预算充足的人群选择。【户型介绍】房型是卧室朝南，电梯房，装修好，居住设施配套完善，房子采光效果充分完善【小区介绍】小区环境好，绿化植被高，小区周的生活配套完善，适合居家，白领上班族入住
SH2432377384369135616,整租·华悦家园 1室1厅 南,https://image1.ljcdn.com/310000-inspection/0c4c3247-d2fb-493f-8915-c9be63eb7da8.jpg.250x182.jpg,徐汇,漕河泾,华悦家园,60,1室1厅1卫,南,7500,近地铁;精装;随时看房;,中楼层/34层,2020-02-13,精装修,整租,季付,7500,0,需咨询,12号线-虹梅路-1147m;12号线-虹梅路-1147m;12号线-虹梅路-1147m;,True,True,True,True,True,False,True,False,True,True,暂无数据,民电,暂无数据,1年以内,需提前预约,随时入住,True,民水,True,https://image1.ljcdn.com/310000-inspection/0c4c3247-d2fb-493f-8915-c9be63eb7da8.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e4328237-e9c1-4a12-bd8c-a61095a84845.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/3c92bb37-385c-421e-814a-c9e072b5fd13.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/d5b3feac-5c8e-468d-ab3b-b9bff77a0575.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/66e5fe39-9d82-4d59-9071-0e0c9c446405.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/5e64a486-612d-4c31-8ddd-ccf31f8da080.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/dce1c26b-d14f-4268-ad4f-7ec76a02afc2.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/5738742c-5fe1-4014-b72a-eb65fad46ae6.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f6c8ebc8-3483-45d6-b540-d9ecfddd453b.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f131c9b8-3c7e-403f-b44a-c9c5a2c2a42d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/cd015851-0a74-4bc4-9532-26c03b399dd5.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/37f97a7b-1533-49db-b49e-26918e708c4b.png.780x439.jpg;,【房源亮点】与地铁站极近，上下班或者出行都很方便，采光很好，不开空调也可保持室温【户型介绍】1室1厅1厨1卫，厨房与卫生间空间大，既有阳台也有飘窗，可以很好的解决上海多雨的天气带来的晾晒不便的问题【装修描述】精心装修，清新风格，惬意暖阳，承载阳光之温暖，保有夏日的温情。【交通出行】走过马路就是12号线虹漕路站，2站可到漕宝路站转乘1号线，旁边还有171路，186路，198路，763路，92路，93路，909路，122路，735路，沪松路，公交车站。【小区介绍】2014年新小区，设施器材新，出入有门禁，楼间距充足，绿化面积大，空气清新
SH2457258607411208192,整租·欣嘉苑 1室1厅 南,https://image1.ljcdn.com/110000-inspection/6cc6cbd6-5801-47b9-ae46-0a61ac9d59ac.jpg.250x182.jpg,徐汇,漕河泾,欣嘉苑,53,1室1厅1卫,南,6500,近地铁;,高楼层/6层,2020-02-18,,整租,需咨询,6500,0,需咨询,9号线-桂林路-893m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/110000-inspection/d7650232-4ed4-45f5-acc6-14dd45b57366.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/6cc6cbd6-5801-47b9-ae46-0a61ac9d59ac.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/1b690de7-547f-44b0-ac2f-72c6a69ec37b.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/2a0099b6-c6ff-4bfe-aacc-ee5ffb153d09.jpg.780x439.jpg;,
