hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2422501567228805120,整租·罗秀二村 2室1厅 南,https://image1.ljcdn.com/lease-image/house/e8679e5d38bb783722d90be5cea16f71.jpeg.250x182.jpg,徐汇,长桥,罗秀二村,59,2室1厅1卫,南,4700,精装;随时看房;,高楼层/6层,2019-12-29,精装修,整租,季付,4700,0,2350,,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,False,民水,False,https://image1.ljcdn.com/lease-image/house/e8679e5d38bb783722d90be5cea16f71.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/71db1ac200fd93850a996da1a88403e3.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/0fd834144c2eff9e51261add222aaec9.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/a40c98a17246d1dab7a008fd98cda119.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/6940ee3a9fc9e4b1467de7dda935ee7b.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/e4f6dd628f0a1b3f4ea7fc597793cbba.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/a6fcb047fa47b22d2b2fd4fde3270374.jpeg.780x439.jpg;,
SH2437650294671417344,整租·徐汇新城(公寓) 2室2厅 南,https://image1.ljcdn.com/lease-image/house/0a923d8e-9778-4d42-988d-9b239e170b68.jpg.250x182.jpg,徐汇,长桥,徐汇新城(公寓),92,2室2厅1卫,南,7200,随时看房;,低楼层/6层,2020-01-19,,整租,季付,7200,0,3600,,False,True,False,True,False,False,True,False,False,False,暂无数据,民电,自采暖,暂无数据,随时可看,随时入住,False,民水,True,https://image1.ljcdn.com/lease-image/house/906394b9-6ab6-426e-8700-dc518d4a8edf.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/714fe6a9-60ad-42dd-ad40-5e774adac63c.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/f788fc68-9553-4555-b25a-c4c1e9896812.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/0a923d8e-9778-4d42-988d-9b239e170b68.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/a752bb5f-00ee-4e9b-b802-9692b90fa87f.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/14203f33-bbc1-496c-9bed-c7560b67b0f8.jpg.780x439.jpg;,
SH2415108896965533696,整租·长桥八村 2室1厅 南,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20200218110553137,徐汇,长桥,长桥八村,73,2室1厅1卫,南,5500,随时看房;,高楼层/21层,2019-12-20,,整租,季付,5500,0,2750,,False,True,True,True,True,False,True,False,True,False,暂无数据,暂无数据,暂无数据,暂无数据,随时可看,随时入住,True,暂无数据,False,,
SH2436841822970970112,整租·罗秀二村 2室1厅 南,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20200218110553137,徐汇,长桥,罗秀二村,0,,,4500,随时看房;,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,,,,,,,False,,False,,
SH2461526565629206528,整租·罗秀新村 2室1厅 南,https://image1.ljcdn.com/110000-inspection/d61af2de2b0a0564b76728e10a70b455.jpg.250x182.jpg,徐汇,长桥,罗秀新村,64,2室1厅1卫,南,4100,新上;随时看房;,中楼层/6层,2020-02-22,,整租,需咨询,4100,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/110000-inspection/d61af2de2b0a0564b76728e10a70b455.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/5b9fb0c9466ed3af90eb18d16c644360.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/ca08d55cab2b48af618cf42cac4bce60.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/923a9406a2cff0dcec229a9997ce9279.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/e7c6a4e331a5bfb276b15e83bd297339.jpg.780x439.jpg;,
SH2435356061377495040,整租·长桥新村 1室0厅 南,https://image1.ljcdn.com/310000-inspection/559044bd-7308-46bf-97a0-198d1b29cd0f.jpg.250x182.jpg,徐汇,长桥,长桥新村,38,1室0厅1卫,南,3000,,高楼层/4层,2020-02-24,,整租,需咨询,3000,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/559044bd-7308-46bf-97a0-198d1b29cd0f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/adcbb31e-bd96-4f17-93ae-9d3a095acbc3.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/3ce416d9-705c-47ab-ada2-3802e7236d2a.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/584a8a03-a51a-42a4-8c17-10775b0287f3.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/dc158656-384d-4879-8b7d-73ab2cc65972.jpg.780x439.jpg;,
SH2462231608477097984,整租·长桥新村 2室0厅 南,https://image1.ljcdn.com/110000-inspection/fc61481ce5de26003fbd54bce988a257.jpg.250x182.jpg,徐汇,长桥,长桥新村,46,2室0厅1卫,南,3900,新上;随时看房;,中楼层/5层,2020-02-23,,整租,需咨询,3900,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/110000-inspection/fc61481ce5de26003fbd54bce988a257.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/e60c797ac2139c51ef2d0ed1e4e897fc.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/afa67c77497fa2c36aafae848dc05c92.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/73c70ae31591f99ba7a08028d767eb91.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/bf3a7529a63e2ad47f8c875b4d5a05ae.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/e089aa7af2f4c74f4077b20ad71d4679.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/47b7ae01e84a6b3a21e65f0a9398ab71.jpg.780x439.jpg;,
SH2423263660270166016,整租·长桥新村 2室1厅 南,https://image1.ljcdn.com/310000-inspection/e93a2b36-0927-4be4-9a43-07a58ffd17c4.jpg.250x182.jpg,徐汇,长桥,长桥新村,65,2室1厅1卫,南,4200,随时看房;,中楼层/5层,2020-02-20,,整租,需咨询,4200,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/e93a2b36-0927-4be4-9a43-07a58ffd17c4.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/c7a02421-cb0c-4899-8e88-a6c694a9c7f5.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b2e45d86-a277-4c6e-984c-067315e81659.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/3fc8b3f8-732e-42c1-88ae-739ca9ced48e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/8e2bcef6-7fd1-491d-9dd0-05e35da4bdc5.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/48753a56-18da-4520-b85e-cc38d9566476.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a5e6c2bc-d201-49ac-a2bf-95a98803357e.jpg.780x439.jpg;,
SH2341309304298283008,整租·长桥三村 1室1厅 南,https://image1.ljcdn.com/310000-inspection/83a9d32a-99ab-4523-be48-4682e0b2fa93.jpg.250x182.jpg,徐汇,长桥,长桥三村,37,1室1厅1卫,南,3700,精装;,低楼层/6层,2020-02-11,精装修,整租,季付,3700,0,需咨询,,False,False,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,1年以内,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/032bfce3-5c28-40c6-b568-581d3ae139df.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/83a9d32a-99ab-4523-be48-4682e0b2fa93.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/4ba5b945-2ddb-471b-ad10-a3eba18cc938.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/d92242b4-b22c-42c3-b9f7-aedb4f3a72df.jpg.780x439.jpg;,
SH2453405547404738560,整租·长桥四村 1室1厅 南,https://image1.ljcdn.com/110000-inspection/e132745d00302b2e8a326ec598036c8f.jpg.250x182.jpg,徐汇,长桥,长桥四村,39,1室1厅1卫,南,3200,,高楼层/6层,2020-02-25,,整租,需咨询,3200,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,1年以内,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/110000-inspection/e132745d00302b2e8a326ec598036c8f.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/d8b8a293cf82b8ddf9f9e3dbc6f4afc7.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/62d90b1ad5c482ec2c8060411fffc8d1.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/77e88bd0d9a1a628610aaf6b1427d44b.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/24e0183571c6c4c09310d10087e3d91a.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/aeecf4cc9ceb60265c235d71ba4f7b98.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/prod-49c46551-6693-4635-86b7-5293d43a4fff.png.780x439.jpg;,
