hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2430332456000290816,整租·复兴西路22弄 1室1厅 南,https://image1.ljcdn.com/lease-image/house/95a74c92-81a0-478b-80f2-c3aeca709065.jpg.250x182.jpg,徐汇,衡山路,复兴西路22弄,40,1室1厅1卫,南,6500,近地铁;精装;随时看房;,高楼层/3层,2020-02-12,精装修,整租,季付,6500,0,3250,1号线-衡山路-713m;1号线-衡山路-713m;1号线-衡山路-713m;,False,True,True,True,True,False,True,False,True,False,暂无数据,暂无数据,暂无数据,暂无数据,随时可看,随时入住,False,暂无数据,False,https://image1.ljcdn.com/lease-image/house/747156c4-1449-4660-8f0a-739228246fcf.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/95a74c92-81a0-478b-80f2-c3aeca709065.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/4536d8ca-7a31-4d92-b3ca-b2176d7aca35.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/1cae6bbd-6869-4109-8885-2469b4bc3965.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/6470b689-cd7e-4191-b1c0-7be75f05d889.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/12213c5b-7df4-4116-9e62-8f774a10f9b3.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/a97f9e5c-c2ad-4cf5-98f5-84ab9df475b3.jpg.780x439.jpg;,
SH2357310273704173568,整租·乌鲁木齐南路145号 1室1厅 西,https://image1.ljcdn.com/310000-inspection/3bac934b-88f9-4637-8ce7-e7264cccfa2f.jpg.250x182.jpg,徐汇,衡山路,乌鲁木齐南路145号,12,1室1厅1卫,西,4200,近地铁;精装;,低楼层/3层,2020-02-15,精装修,整租,季付,4200,0,需咨询,1号线，7号线-常熟路-1010m;1号线，7号线-常熟路-1010m;1号线，7号线-常熟路-1010m;1号线，7号线-常熟路-1010m;,True,True,True,True,True,True,True,True,True,True,免费使用,暂无数据,暂无数据,3年以内,需提前预约,随时入住,False,暂无数据,False,https://image1.ljcdn.com/310000-inspection/3bac934b-88f9-4637-8ce7-e7264cccfa2f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/d789b488-295f-44d3-9efd-c3f4efaa50ea.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/ba1e4e54-338e-48a9-9289-0388ec65b5cd.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/7f5f3191-73aa-4476-87d1-d2ecac6c003a.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b2c899a7-11d9-4eb0-b91e-5dd046b8c2db.jpg.780x439.jpg;,【房源亮点】有个公用的大院子，可晒被子晒衣服，可以停车，居住人数少，环境安静舒服。【装修描述】精装小复式，房间里装饰的比较文艺，套内卫生间，房间里可用电磁炉做饭。【交通出行】距离7号线 9号线肇嘉浜路地铁站约659米 （数据来自百度地图）【周边配套】医院：距离复旦大学附属五官科医院813米，距离复旦附属中山医院826米，距离太安堂（衡山路）店537米。生活配套：距离农工商超市（吴兴路店）794米，距离中国建设银行 招商银行600米，星巴克700米。娱乐:.距离衡山公园900米。【小区介绍】乌鲁木齐南路145号位于上海市徐汇衡山路，共计房屋9户。人口少，居住安静。
SH2426081139916808192,整租·五原路249号 1室0厅 南,https://image1.ljcdn.com/310000-inspection/3b5fc394-1bdf-4722-b263-159c988b9041.jpg.250x182.jpg,徐汇,衡山路,五原路249号,13,1室0厅1卫,南,4000,近地铁;随时看房;,低楼层/2层,2020-02-23,,整租,需咨询,4000,0,需咨询,1号线-衡山路-1101m;1号线-衡山路-1101m;1号线-衡山路-1101m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,True,民水,False,https://image1.ljcdn.com/310000-inspection/3b5fc394-1bdf-4722-b263-159c988b9041.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/da24f373-a970-4d39-a5bc-96b2b40a8f2d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/13430943-2ac7-4027-a6a4-41b3bf883e75.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/ce434ff6-e13d-48de-8296-e42f06d51cb0.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/4be45172-667d-4f04-a0c5-805fe2012448.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/6efb5322-efd6-4224-9fc6-709265e06416.jpg.780x439.jpg;,【房源亮点】梧桐树围绕，老洋房，环境优雅，有公共阳台，朝南户型，很透亮。【交通出行】近常熟路地铁站，近公交车站乌鲁木齐中路复兴中路站，交通十分便利，出行方便。【周边配套】罗森便利店(五原路店)，塞万提斯图书馆，finecafecanteen，diner（五原路店)，湖南社区-文化活动中 心。
SH2365839062549938176,整租·安福路275弄 1室1厅 南,https://image1.ljcdn.com/310000-inspection/8118b900-1f91-4e1a-a0c7-87cb00e75ae1.jpg.250x182.jpg,徐汇,衡山路,安福路275弄,30,1室1厅1卫,南,4800,近地铁;,低楼层/3层,2020-02-23,,整租,季付,4800,0,需咨询,10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1062m;10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1062m;,True,True,True,True,True,False,True,False,True,True,暂无数据,暂无数据,暂无数据,1年以内,需提前预约,随时入住,False,暂无数据,False,https://image1.ljcdn.com/310000-inspection/8118b900-1f91-4e1a-a0c7-87cb00e75ae1.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/225eb245-d44b-4d75-a20f-f23771121c6a.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/bf54fe70-f443-4ee3-a8af-8f6c490be7e1.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/6b2b2c71-7235-4be6-b0f8-00a38b2713f7.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/da91bab7-040a-4899-9ae8-0bdff17f62c8.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/c4656414-ac81-4470-8cfe-21e36e6cf97b.jpg.780x439.jpg;,【房源亮点】房子是在二楼，可居住，可办公，居住的话，房东可以配家具，办公的话，也可以把家具清空，位置是在小区里面的，比较安静【户型介绍】一室户出租，厨房在一楼半合用，卫生间跟卧室在二楼，卫生间两家合用，卧室朝南窗户多，采光比较好【交通出行】华山医院，复旦大学附属华东医院，距华山医院约450米；距离1号线，7号线常熟路地铁站8号口约800米，交通便利；世纪商贸广场，华山路武康路公交站，华山路长乐路公交站，48，113，328，548路公交经过【出租原因】业主有别的房子住，所以想要出租，房东想找个稳定的租客，要爱惜房子，看房工作日提前半个小时约【周边配套】小区门口汇丰银行，步行三五百米有联华超市，街道上多咖啡馆，面包店，上海话剧大厦，在这里你可以感受到浓浓的欧陆风情，又不失传统风骨，高品质生活。【小区介绍】小区位于上海优越地段，近百年历史文化老街武康路与安福路交错。环境优美，安静淡雅，居住体验极好
SH2401237605078269952,整租·乌鲁木齐南路176号 1室0厅 南,https://image1.ljcdn.com/310000-inspection/2e7e53e2-d4f8-4547-b5b0-4ee0bf421207.jpg.250x182.jpg,徐汇,衡山路,乌鲁木齐南路176号,16,1室0厅0卫,南,5000,近地铁;精装;随时看房;,低楼层/5层,2020-02-15,精装修,整租,季付,5000,0,需咨询,1号线，7号线-常熟路-1074m;1号线，7号线-常熟路-1074m;1号线，7号线-常熟路-1074m;1号线，7号线-常熟路-1074m;,True,True,True,True,True,True,True,True,True,True,暂无数据,暂无数据,暂无数据,3年以上,需提前预约,随时入住,True,暂无数据,False,https://image1.ljcdn.com/310000-inspection/2e7e53e2-d4f8-4547-b5b0-4ee0bf421207.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b9d4e460-1465-481b-9d8a-2ee3c4158d0b.jpg.780x439.jpg;,【交通出行】近1号线衡山路地铁站   近7/9号线肇嘉浜路地铁站【周边配套】医疗：复旦大学附属眼耳鼻喉科医院(总院区)，复旦大学附属中山医院，复旦大学附属华山医院教育：上海图书馆，复旦大学(枫林校区)，上海交通大学(徐汇校区)，中国科学院-上海生命科学研究院(岳阳路)，中国科学院(上海分院)【小区介绍】乌鲁木齐南路176号位于上海市徐汇衡山路，共计房屋3户
SH2412817968263069696,整租·康平路95号 1室1厅 南,https://image1.ljcdn.com/310000-inspection/e255ec43-22ee-4f52-8989-7f2c7510b62d.jpg.250x182.jpg,徐汇,衡山路,康平路95号,38,1室1厅1卫,南,6200,月租;近地铁;精装;随时看房;,中楼层/6层,2020-01-17,精装修,整租,季付,6200,0,需咨询,1号线，9号线，11号线(花桥-迪士尼)，11号线(嘉定北-1092m;1号线，9号线，11号线(花桥-迪士尼)，11号线(嘉定北-1092m;1号线，9号线，11号线(花桥-迪士尼)，11号线(嘉定北-1092m;1号线，9号线，11号线(花桥-迪士尼)，11号线(嘉定北-1092m;,True,False,True,True,True,False,True,False,True,False,租用车位,民电,自采暖,1~3个月,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/6289343a-8f48-45f7-8599-a65e34666b09.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b8e43cc3-e937-454b-98da-979f9cc55d27.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e255ec43-22ee-4f52-8989-7f2c7510b62d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/6b1aa695-6658-4d97-aece-9094b9d0d834.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/9f0c8d12-39d4-4da5-9d82-e5a8eda4d5c0.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/c25dae79-881e-4076-9da1-a783425c00b5.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/e6bd4848-8858-4de9-b156-d748a71ae733.png.780x439.jpg;,【装修描述】房东明年打算自住，精装修，家具较新，干净整洁，4楼朝南，通风采光较好。【交通出行】距离1号线衡山路地铁站约700米548路/15路/93路/167路/351路/320路等公交车站500米以内【周边配套】距离复旦大学眼耳鼻喉科，复旦大学附属中山医院，复旦大学附属华东医院1.5公里内；距离美罗城，徐家汇ITC商场1公里以内；距离中国银行，汇丰银行，中国工商银行，中国储蓄邮政银行，中国建设银行，交通银行500米内
SH2428364947496116224,整租·公安大楼(徐汇) 1室1厅 南,https://image1.ljcdn.com/310000-inspection/e83ca7d2-fb69-40a8-babf-478daa3a2ae5.jpg.250x182.jpg,徐汇,衡山路,公安大楼(徐汇),41,1室1厅1卫,南,5000,近地铁;随时看房;,低楼层/32层,2020-02-24,,整租,季付,5000,0,需咨询,10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1011m;10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1011m;10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1011m;10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1011m;,True,True,True,True,True,False,True,False,True,True,暂无数据,民电,自采暖,3年以内,需提前预约,随时入住,True,民水,True,https://image1.ljcdn.com/310000-inspection/e83ca7d2-fb69-40a8-babf-478daa3a2ae5.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/ab163518-7974-4b60-a454-69c2e3b45e64.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/d157e25e-99bc-44a1-8063-5a2f5d2faef9.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/ff242633-21c2-4ad7-86c1-7336e3bf4f9f.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/43068294-3928-47d0-8944-e15bb63c5aa8.png.780x439.jpg;,【房源亮点】朝南电梯房含阳台，高楼层采光充足，窗外视野好，可看见徐家汇花园风景【交通出行】地铁：1号线衡山路，7/9号线肇嘉浜路 公交：42路;43路;171路;205路;548路;864路;927路;957路肇嘉浜路吴兴路【周边配套】商场：美罗城、汇金百货、太平洋百货等 公园：徐家汇公园、衡山公园、凯文绿地 餐厅多种多样，距离徐家汇近也是不错的选择
SH2281067711012814848,整租·久安小区 1室0厅 南,https://image1.ljcdn.com/310000-inspection/803b15fe-5ec2-41c9-9cc5-cb6315a4794d.jpg.250x182.jpg,徐汇,衡山路,久安小区,40,1室0厅1卫,南,5500,近地铁;精装;随时看房;,高楼层/6层,2020-01-10,精装修,整租,需咨询,5500,0,需咨询,1号线，9号线，11号线(花桥-迪士尼)，11号线(嘉定北-1079m;1号线，9号线，11号线(花桥-迪士尼)，11号线(嘉定北-1079m;1号线，9号线，11号线(花桥-迪士尼)，11号线(嘉定北-1079m;1号线，9号线，11号线(花桥-迪士尼)，11号线(嘉定北-1079m;,True,True,True,True,False,False,True,False,True,True,暂无数据,民电,自采暖,1年以内,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/a54a2cec-d891-4549-81b2-80c9c92f9dee.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/803b15fe-5ec2-41c9-9cc5-cb6315a4794d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/8090ceb8-cc53-49a0-9052-86ca8d9dd136.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/5595fa39-8b36-4a87-8647-311e243ba8e3.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/598a49eb-fc88-467d-b421-1d58142cd02d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/480eaac8-75fa-41c6-8cc2-3529428a3e98.jpg.780x439.jpg;,【户型介绍】房子为精装一室户，高层采光好，朝南户型正气‘’‘’‘’‘’‘【装修描述】此房为业主居家装修，中式装修，简约风格装修，采光好无遮挡，房东诚意租。【交通出行】近地铁，距离7号线和9号线肇嘉浜路站540米左右（数据来自百度地图）
SH2412821785574637568,整租·复兴西路201弄 2室0厅 南,https://image1.ljcdn.com/110000-inspection/5e58036d-d310-498e-ad66-cd7658decde8.jpg.250x182.jpg,徐汇,衡山路,复兴西路201弄,29,2室0厅0卫,南,5500,近地铁;,低楼层/6层,2020-02-14,,整租,需咨询,5500,0,需咨询,1号线-衡山路-1067m;1号线-衡山路-1067m;1号线-衡山路-1067m;1号线-衡山路-1067m;,False,False,False,False,False,False,False,False,False,False,暂无数据,暂无数据,暂无数据,暂无数据,需提前预约,随时入住,False,暂无数据,False,https://image1.ljcdn.com/110000-inspection/5e58036d-d310-498e-ad66-cd7658decde8.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/570cb0ff-3829-4dbb-809d-3d7ab8b80da1.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/46a08b8f-fb55-4b6f-bfed-744382bb617f.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/569477de-c5f1-4741-9e3d-305560f73df5.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/2f92af6f-eace-4492-bcba-4a54fbc30284.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/8ce5c980-d7d4-4544-ad8e-bbbe160ef313.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/f90d5dbc-5939-4d8e-8d1a-daa5fbf60341.jpg.780x439.jpg;,【房源亮点】地段优越，生活环境闹中取静。既可以感受到上海深厚的历史文化底蕴，又能享受恬静淡雅的生活格调。【装修描述】业主精致装修，家电家具配置齐全，房间使用面积大，可拎包入住，优质好房【交通出行】近10号线上海图书馆地铁站，步行750米可达；出门步行一百米可乘坐96，548路公交，出行便利。【出租原因】业主多余房产，空置出租，用以获取收益，诚意出租，欢迎咨询看房【周边配套】有上海图书馆，武康大楼，巴金故居，宋庆龄故居等诸多历史保护性建筑，武康路，安福路也是放松娱乐的好去处。
SH2447641033895313408,整租·兴国路229弄 1室1厅 南,https://image1.ljcdn.com/310000-inspection/7a300131-be70-425d-b218-60bd2abbaa9c.jpg.250x182.jpg,徐汇,衡山路,兴国路229弄,30,1室1厅1卫,南,6200,近地铁;随时看房;,中楼层/5层,2020-02-23,,整租,需咨询,6200,0,需咨询,1号线，9号线，11号线(花桥-迪士尼)，11号线(嘉定北-1110m;1号线，9号线，11号线(花桥-迪士尼)，11号线(嘉定北-1110m;1号线，9号线，11号线(花桥-迪士尼)，11号线(嘉定北-1110m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/7a300131-be70-425d-b218-60bd2abbaa9c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/ade2b03f-4fa8-4d0e-a34a-9fbeb8bbd2ea.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/762bc686-91cf-49d3-ac5c-dc2ec1d74954.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/bd260c33-1e39-4141-9610-714dba6975a4.jpg.780x439.jpg;,
