hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2431103267926196224,整租·梅陇六村 1室1厅 南,https://image1.ljcdn.com/lease-image/house/9b77a4e79ebe33410f4e07f32ce8edb9.jpeg.250x182.jpg,徐汇,华东理工,梅陇六村,42,1室1厅1卫,南,3800,随时看房;,低楼层/6层,2020-02-10,,整租,季付,3800,0,1900,,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,False,民水,False,https://image1.ljcdn.com/lease-image/house/9b77a4e79ebe33410f4e07f32ce8edb9.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/72550269791ac98cf293262ea9c1437e.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/fa0bd13417ca87d60a5592d997d6e5bd.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/da9db2051ca4b37e332f680ed1e0a094.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/1b75a7cc8e1f80c63dd20445de671f2a.jpeg.780x439.jpg;,
SH2421466077809606656,整租·梅陇九村 1室1厅 南,https://image1.ljcdn.com/lease-image/house/3d8ebe97-d975-4716-9a11-d9cadf8161ec.jpg.250x182.jpg,徐汇,华东理工,梅陇九村,45,1室1厅1卫,南,3550,随时看房;,高楼层/6层,2020-02-10,,整租,季付,3550,0,1775,,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,False,民水,False,https://image1.ljcdn.com/lease-image/house/3d8ebe97-d975-4716-9a11-d9cadf8161ec.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/c6d5230d-5407-43c2-9c23-4b1362ce97f5.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/371040a7-af71-442b-bab0-dfece3ffefe1.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/4d75170e-25c8-4b1d-89fb-ba6c5544b8fd.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/c19931de-c532-475c-8e89-0f7575bc4c71.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/5481db6f-5bbb-4da9-b09a-13edd24c3b5a.jpg.780x439.jpg;,
SH2431098612818640896,整租·梅陇九村 1室1厅 南,https://image1.ljcdn.com/lease-image/house/b64887351bf2ff1989593cd6f7f14771.jpeg.250x182.jpg,徐汇,华东理工,梅陇九村,45,1室1厅1卫,南,4100,精装;随时看房;,高楼层/6层,2020-02-10,精装修,整租,季付,4100,0,2050,,False,False,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,False,民水,False,https://image1.ljcdn.com/lease-image/house/b64887351bf2ff1989593cd6f7f14771.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/0d67fef5813264214f9d5ae1b621e655.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/fbfb517ffb531e57bbb5366856469503.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/15308bf8d3b6c9861b7335c157feef6b.jpeg.780x439.jpg;,
SH2420059515287781376,整租·凌云新村 1室0厅 南,https://image1.ljcdn.com/lease-image/house/eac5b8c4-bab6-45ae-8593-03ccc226511b.jpg.250x182.jpg,徐汇,华东理工,凌云新村,40,1室0厅1卫,南,4100,近地铁;精装;随时看房;,高楼层/6层,2020-02-10,精装修,整租,季付,4100,0,2050,1号线-锦江乐园-1040m;,False,False,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,False,民水,False,https://image1.ljcdn.com/lease-image/house/b289f4b8-ebb8-4f51-8dc3-de0d36c03962.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/aba8d7f3-e91d-42c9-9575-1edcd3fe9a46.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/d32e3b73-6489-4d79-bb60-a86711e08b44.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/eac5b8c4-bab6-45ae-8593-03ccc226511b.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/23da2a4b-f45a-4e1e-83cc-d150709a5567.jpg.780x439.jpg;,
SH2393281273944096768,整租·陇南小区 1室1厅 南,https://image1.ljcdn.com/lease-image/house/549f5a5f-b84c-4125-97ea-19e724c909c5.jpg.250x182.jpg,徐汇,华东理工,陇南小区,0,,,3500,随时看房;,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,,,,,,,False,,False,,
SH2461332581585518592,整租·梅陇八村 2室1厅 南,https://image1.ljcdn.com/lease-image/house/6d87eefffc3ecd9e070254bdb977433c.jpeg.250x182.jpg,徐汇,华东理工,梅陇八村,73,2室1厅1卫,南,6000,新上;精装;随时看房;,中楼层/18层,2020-02-21,精装修,整租,季付,6000,0,3000,,False,False,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,True,民水,False,https://image1.ljcdn.com/lease-image/house/6d87eefffc3ecd9e070254bdb977433c.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/c55b023a8f04ece3e0f5be1dfaef4441.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/370cb4948b966214371f406f53c9af32.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/53fef7c0ac0e37f4fa0f2a105ff93f5c.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/434ff742a4ea52e6e759eb3d14f0388e.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/0f2a2eddd813802e9b6274fa6e24cf5e.jpeg.780x439.jpg;,
SH2436164350835703808,整租·梅陇十村 2室2厅 南,https://image1.ljcdn.com/lease-image/house/b8bb2b21aa785a7657ee16d37718d2de.jpeg.250x182.jpg,徐汇,华东理工,梅陇十村,74,2室2厅1卫,南,5000,随时看房;,高楼层/6层,2020-01-17,,整租,季付,5000,0,2500,,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,False,民水,False,https://image1.ljcdn.com/lease-image/house/b8bb2b21aa785a7657ee16d37718d2de.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/9ce2e30898ef39d970805b8fe25dddb7.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/7e26fdcc040f26fd738e07e5378da60d.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/3a50a85ebf8a511dba1fdb1c64996a6e.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/b605230c4eb933523e02817dab8cacc6.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/1b4adf74774ae2c484744a35c38ac9d6.jpeg.780x439.jpg;,
SH2426822198204301312,整租·梅陇十村 2室1厅 南,https://image1.ljcdn.com/lease-image/house/fda388b63c344836288e49bec928a552.jpeg.250x182.jpg,徐汇,华东理工,梅陇十村,61,2室1厅1卫,南,4900,随时看房;,高楼层/6层,2020-01-04,,整租,季付,4900,0,2450,,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,False,民水,False,https://image1.ljcdn.com/lease-image/house/87dcafc5d83a5a5cfb694f82d31e29a0.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/c5685b96077b90f02116aba806bac75e.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/6fafb4c23902b8ddd38df7c324b48a11.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/fda388b63c344836288e49bec928a552.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/f64169dd2ee0fca2a469edca87a75c8b.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/51b5fc2de91341e84dc858872aa5d2b8.jpeg.780x439.jpg;,
SH2434602547349028864,整租·化工一四村 2室0厅 南,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20200218110553137,徐汇,华东理工,化工一四村,42,2室0厅1卫,南,4500,随时看房;,中楼层/4层,2020-01-15,,整租,季付,4500,0,2250,1号线，3号线，金山铁路-上海南站-887m;,False,True,False,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,False,民水,False,,
SH2455031599734472704,整租·梅陇三村 1室1厅 南,https://image1.ljcdn.com/110000-inspection/95fb2374161e75a505b7d4d922772093.jpg.250x182.jpg,徐汇,华东理工,梅陇三村,0,,,3500,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,,,,,,,False,,False,,
