hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2422501166194892800,整租·沙家浜小区 2室1厅 南,https://image1.ljcdn.com/lease-image/house/dd1402da029aad830a33295bc51768b5.jpeg.250x182.jpg,徐汇,华泾,沙家浜小区,65,2室1厅1卫,南,3800,随时看房;,高楼层/6层,2019-12-29,,整租,季付,3800,0,1900,,False,True,False,False,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,False,民水,False,https://image1.ljcdn.com/lease-image/house/7bb0b8e6f433d003fda8b1607203ed31.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/dd1402da029aad830a33295bc51768b5.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/5e27c6f6e5018fceec865485ae1f53c7.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/5827ed3e7261f23cb30b2313f5ee02ff.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/777cacb646d91c50ffacdb21996c8b9b.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/4e8b8d8ec0c822028a3743f5bac5fd9f.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/81c2f7888c9f8ce63107dceaec240ed6.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/634fb5cc25764c2486e4e7d197790e8a.jpeg.780x439.jpg;,
SH2411375573499641856,整租·东湾小区 2室1厅 南/北,https://image1.ljcdn.com/lease-image/house/7552dfaf0f45c659f108eb5a4d12cb36.jpeg.250x182.jpg,徐汇,华泾,东湾小区,0,,,4600,随时看房;,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,,,,,,,False,,False,,
SH2463661556760846336,整租·沙家浜小区 1室1厅 南,https://image1.ljcdn.com/110000-inspection/42b09f5053b0302d50f45a455bc7eeb2.jpg.250x182.jpg,徐汇,华泾,沙家浜小区,41,1室1厅1卫,南,3200,新上;,中楼层/6层,2020-02-24,,整租,需咨询,3200,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/110000-inspection/42b09f5053b0302d50f45a455bc7eeb2.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/3e93e42b132f9618fd68a5239157c3b4.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/d7299de1ee9002878dab21dafe8c40d4.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/aa3bac86a050057ce31ce48ddb2255eb.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/1fa87ab1fee4f919698aae5b2abb0601.jpg.780x439.jpg;,
SH2461642726610321408,整租·沙家浜小区 1室1厅 南,https://image1.ljcdn.com/110000-inspection/f83e1c56912dca397e9acce1ffc46a50.jpg.250x182.jpg,徐汇,华泾,沙家浜小区,0,,,3300,新上;,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,,,,,,,False,,False,,
SH2415969730231017472,整租·华泾四村 2室1厅 南,https://image1.ljcdn.com/310000-inspection/prod-999e8156-e367-40f1-abbb-dc07bb8d48e6.jpg.250x182.jpg,徐汇,华泾,华泾四村,67,2室1厅1卫,南,3300,,高楼层/6层,2020-02-22,,整租,季付,3300,0,需咨询,,False,False,False,False,False,False,False,False,False,False,租用车位,民电,暂无数据,1年以内,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/prod-025b4577-b6b6-445e-9095-2d0fa08457a4.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-8f1ee702-f4f6-4193-aea6-a30f7d4e88fb.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-32677ac5-0bf7-4e00-994a-57088d23ed76.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-3f859105-e4c5-4a55-89c7-65e3bd4ee9d3.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-999e8156-e367-40f1-abbb-dc07bb8d48e6.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-63a3444e-bdfe-48cb-b518-cd33adf1109d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-3555b54a-2ed9-4ace-8ec4-fa4f7a6b06b0.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-d6017489-0a5d-4d3b-ada0-e2ca7751b97b.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-c5098477-e497-4b15-8b2d-ebf5f8aa5a97.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/prod-43878101-9766-4590-8290-69b9adb05db4.png.780x439.jpg;,【户型介绍】2室1厅1厨1卫，双南卧，南北通透【装修描述】房子毛坯，没有家具家电，之后不配置；【出租原因】出租一年后出售；
SH2411542369209434112,整租·沙家浜小区 2室1厅 南/北,https://image1.ljcdn.com/310000-inspection/a5765956-3635-4d78-88f7-3b27c1b9d11f.jpg.250x182.jpg,徐汇,华泾,沙家浜小区,65,2室1厅1卫,南/北,4000,随时看房;,中楼层/5层,2020-02-20,,整租,季付,4000,0,需咨询,,False,True,True,True,True,False,True,False,True,True,暂无数据,民电,暂无数据,1年以内,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/8ae295f1-bab8-46dd-ac5d-f1151f7141bb.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/cc05a527-c795-432c-aa00-c33f1b7fa110.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a5765956-3635-4d78-88f7-3b27c1b9d11f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b570700b-3037-4454-afdf-60d3899bb621.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/5d632c69-735a-46dd-b2dc-a0035ce3873d.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/9407c543-fff4-425d-8115-7f18b4784576.png.780x439.jpg;,【房源亮点】房子楼层低，价格实惠，可谈空间还有，适合一家人居住，内部配套齐全【出租原因】本来是 买给父母居住的，后因小区内有其他房子，父母不准备入住，空置也不好，于是出租。【周边配套】配套齐全：商场：龙湖上海华泾天街；公园：华泾公园； 银行：中国银行、上海银行、中国工商银行、中国农业银行和其他自助银行等； 超市：尚优玛特、华联超市、农工商超市、好又多超市等； 医院：大华医院； 其他：星巴克、中国石油、宠物店，健身房等。
SH2383792887726358528,整租·华泾五村 2室1厅 南,https://image1.ljcdn.com/310000-inspection/pc1_O1tG3F12b_1.jpg.250x182.jpg,徐汇,华泾,华泾五村,65,2室1厅1卫,南,3800,,高楼层/6层,2020-02-23,,整租,需咨询,3800,0,需咨询,,True,False,True,False,False,False,True,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/a272f8ea-69e2-44f3-8f99-5f30233ca6f2.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/951b8bf0-81bd-4f05-8d03-a07728feeb50.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/d5a97d8b-683c-4afa-9c46-db440ee51463.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/18f2cb17-24a5-4fdc-8660-7b133f4a0554.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/pc1_O1tG3F12b_1.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/abecf09b-657e-4fa6-8c37-24020163932d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/1ee8fcf7-6be3-4ad9-804a-396b926d0a9d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/fbd2b9e6-91ec-4bc8-a6b5-7afb415264df.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/8ab71860-3121-41ef-9768-ca0901722655.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/standard_daa087c1-f74b-4c97-99bd-1e8f6e3e800f.png.780x439.jpg;,【户型介绍】一梯两户  南北通透  视野好  采光佳    家具家电齐全【周边配套】坐落于位育旁边   教育设施比较好     位育陪读家长很多【小区介绍】华泾五村小区内安环境好 安静 适合居住   小区内设施齐全
SH2459223302167085056,整租·盛华景苑 1室1厅 南,https://image1.ljcdn.com/110000-inspection/8604cefe02a46bee9883f3d84fd52f95.jpg.250x182.jpg,徐汇,华泾,盛华景苑,61,1室1厅1卫,南,4200,,高楼层/18层,2020-02-24,,整租,季付,4200,0,需咨询,,False,True,True,True,True,False,True,False,True,True,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,True,民水,True,https://image1.ljcdn.com/110000-inspection/2404c79e8f868f51dccc6d4e5a387434.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/8604cefe02a46bee9883f3d84fd52f95.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/8761cdfa377af7bdc1b22b72527a00e0.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/207244d3f6b5754efe682511dafeee08.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/c366ba6f68bddc3c047b356baed3b605.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/f28eb9cb-cd44-497f-8e79-7c23e05dff8e.png.780x439.jpg;,
SH2401242244163313664,整租·名人花苑 1室1厅 南,https://image1.ljcdn.com/310000-inspection/16359b45-1696-4719-8275-c6b67ad295c5.jpg.250x182.jpg,徐汇,华泾,名人花苑,47,1室1厅1卫,南,3300,随时看房;,中楼层/6层,2020-02-23,,整租,季付,3300,0,需咨询,,True,True,True,True,True,False,True,False,True,True,租用车位,民电,暂无数据,3年以内,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/ba13a883-d45e-4d87-a9c0-2b19be2c354d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/fecddbb3-a84a-4052-a1c4-f1c6dda78100.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/16359b45-1696-4719-8275-c6b67ad295c5.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/d8618a4d-d287-4475-990e-cea5fdec6fab.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/04f3a837-9595-498f-aeb5-eb5874513d83.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/7c129fdc-43e7-424e-bd5c-113d8fe5e885.jpg.780x439.jpg;,【户型介绍】南北通透，采光通风佳，房间内部格局分明，得房率高，居住体验佳。【装修描述】居家装修，房子干净整洁，家具家电全配。适合一家人和亲戚朋友入住。【交通出行】有770路 1210路 731路178路 178路大站956路 958路上奉专线等公交车站点出行方便。【周边配套】有菜场，（华展路菜场150米）超市（农工商超市、永辉超市）龙湖天街（华泾天街）吃喝玩乐等，配套齐全。
SH2428144754186256384,整租·盛华景苑 1室1厅 南,https://image1.ljcdn.com/310000-inspection/8513140c-a681-48a3-9f7e-1b285393eed3.jpg.250x182.jpg,徐汇,华泾,盛华景苑,0,,,4000,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,,,,,,,False,,False,,
