hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2459921731494608896,整租·陕西南路582弄 1室0厅 南,https://image1.ljcdn.com/110000-inspection/3a9b6417-0170-4497-b9f1-8afda954c0f9.jpg.250x182.jpg,徐汇,建国西路,陕西南路582弄,14,1室0厅1卫,南,3000,新上;近地铁;,高楼层/2层,2020-02-19,,整租,需咨询,3000,0,需咨询,1号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-940m;1号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-940m;1号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-940m;,False,False,False,False,False,False,False,False,False,False,暂无数据,暂无数据,暂无数据,暂无数据,需提前预约,随时入住,False,暂无数据,False,https://image1.ljcdn.com/110000-inspection/3a9b6417-0170-4497-b9f1-8afda954c0f9.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/d828b660-90d5-4645-9078-0e2755321db5.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/e842eaab-6ec0-41a1-b907-4259307788d3.jpg.780x439.jpg;,
SH2407728818102992896,整租·永嘉路229弄 1室0厅 南,https://image1.ljcdn.com/110000-inspection/c1fee82e-3da7-4a96-b311-f7651b66bcbf.jpg.250x182.jpg,徐汇,建国西路,永嘉路229弄,12,1室0厅1卫,南,3500,近地铁;精装;,高楼层/2层,2020-02-17,精装修,整租,季付,3500,0,需咨询,9号线-打浦桥-1077m;9号线-打浦桥-1077m;9号线-打浦桥-1077m;,True,True,True,True,True,True,True,True,True,True,暂无数据,暂无数据,暂无数据,1年以内,需提前预约,随时入住,False,暂无数据,False,https://image1.ljcdn.com/110000-inspection/c1fee82e-3da7-4a96-b311-f7651b66bcbf.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/52ac6f00-2be7-444c-a41c-0796d4c81f98.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/c12d1273-788e-4036-b0bf-679de588071b.jpg.780x439.jpg;,
SH2426789153120190464,整租·建国西路211弄 1室1厅 南,https://image1.ljcdn.com/310000-inspection/6d604573-ebbc-4348-bea4-aa6eefdf60e1.jpg.250x182.jpg,徐汇,建国西路,建国西路211弄,30,1室1厅1卫,南,5200,近地铁;随时看房;,中楼层/6层,2020-02-22,,整租,需咨询,5200,0,需咨询,1号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1090m;1号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1090m;1号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1090m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,2年以内,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/6d604573-ebbc-4348-bea4-aa6eefdf60e1.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/08a77b8b-8292-402f-9f89-c8b3eac649c7.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a9f3556a-1857-4aab-ac3c-297a6176c14c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/c0106d64-dafd-4f3f-8b9f-32b1c7ef707d.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/prod-b3aa34ae-c261-4c68-96ed-489d97edfcf4.png.780x439.jpg;,【房源亮点】法租界，交   通  方   便，生   活   配   套   齐   全，价   格   实  惠【户型介绍】套   内   厨    卫，楼   层   适     中，值    得   入   住【交通出行】地 铁九号线，十二号线，门口就是公交，在法租界，不用担心出行【出租原因】房   东   挂   学   区   的，暂   时   不   住，   诚   意   度   高【小区介绍】小  区  环  境  好，法租界位  置，生  活  配  套，交  通  出  行，很   方    便
SH2436688268898091008,整租·建西小区 1室1厅 南,https://image1.ljcdn.com/310000-inspection/a4cbf2fd-c13c-4521-98d9-4bf9d2cd984c.jpg.250x182.jpg,徐汇,建国西路,建西小区,32,1室1厅1卫,南,5600,近地铁;,高楼层/6层,2020-02-18,,整租,季付,5600,0,需咨询,1号线-衡山路-1164m;1号线-衡山路-1164m;1号线-衡山路-1164m;,True,True,True,True,True,True,True,True,True,True,暂无数据,民电,自采暖,2年以内,需提前预约,2020-02-29,False,民水,True,https://image1.ljcdn.com/310000-inspection/9ad50a03-89a9-4208-96ca-9b94d0e35af9.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a4cbf2fd-c13c-4521-98d9-4bf9d2cd984c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/17c67e5f-a02f-40bf-b596-618574a17df9.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/0a0369d1-e7c7-4a8a-be85-5124f950135b.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/478a2336-094f-4147-a0b0-ccd865de39c0.png.780x439.jpg;,
SH2457729765298413568,整租·巴黎时韵 1室0厅 东,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20200218110553137,徐汇,建国西路,巴黎时韵,35,1室0厅1卫,东,5500,近地铁;,中楼层/31层,2020-02-16,,整租,需咨询,5500,0,需咨询,1号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1143m;1号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1143m;,False,False,False,False,False,False,False,False,False,False,暂无数据,商电,暂无数据,暂无数据,需提前预约,随时入住,True,商水,False,,
SH2391243084110503936,整租·永太小区 1室1厅 东北,https://image1.ljcdn.com/310000-inspection/70fe4f12-0f0e-4d94-b7bb-3f4da1f5f92d.jpg.250x182.jpg,徐汇,建国西路,永太小区,26,1室1厅1卫,东北,5500,近地铁;精装;随时看房;,高楼层/6层,2020-02-19,精装修,整租,年付,5500,0,需咨询,1号线-衡山路-1095m;1号线-衡山路-1095m;1号线-衡山路-1095m;1号线-衡山路-1095m;,True,True,True,True,True,True,True,True,True,True,租用车位,民电,自采暖,1年以内,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/6a0611a3-3296-4b11-8ead-a4ea24b7a9d6.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/70fe4f12-0f0e-4d94-b7bb-3f4da1f5f92d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/1a06bd9d-1a89-4e15-a6a0-0918eabc48b4.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/77901579-2478-4eb9-85f1-80623c8e655d.jpg.780x439.jpg;,【房源亮点】房东精装两室一厨一卫；步行可到陕西南路地铁站，通勤方便；近环贸，购物便利；近音乐学院，附。近。音乐学子的心仪之地。【装修描述】新装修 家具家电齐全 环境干净舒服 近地铁。。。。。。。。。。。【交通出行】距离1、10、12号线陕西南路地铁站530米（数据来源于高德地图），出行方便。【周边配套】距离襄阳公园659米，距离眼耳鼻喉医。院。347米，距离上海银行371米（数据来源高德地图）。
SH2436031286516137984,整租·永太小区 1室1厅 南,https://image1.ljcdn.com/110000-inspection/5c6b29f2-2303-41e9-a072-f30548fc5047_1000.jpg.250x182.jpg,徐汇,建国西路,永太小区,37,1室1厅1卫,南,5500,近地铁;精装;,高楼层/6层,2020-02-22,精装修,整租,季付,5500,0,需咨询,1号线-衡山路-1095m;1号线-衡山路-1095m;1号线-衡山路-1095m;1号线-衡山路-1095m;,True,True,True,True,True,False,True,False,True,True,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/110000-inspection/5c6b29f2-2303-41e9-a072-f30548fc5047_1000.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/478f23e1-dc55-44fd-b7fb-60528de30b72.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/5a6f2cc2-c655-49b2-ae5e-abca459131af.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/d2f193b7-3095-4bf2-8118-e211c320c6c7.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/e5a0c840-5af6-4338-8995-0ebcf30392f5.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/standard_0cc37dc6-d6e7-47e2-9ad9-4d5aa2c37c51.png.780x439.jpg;,【房源亮点】房东精装两室一厨一卫；步行可到陕西南路地铁站，通勤方便；近环贸，购物便利；近音乐学院，附。近。音乐学子的心仪之地。【交通出行】距离1、10、12号线陕西南路地铁站530米（数据来源于高德地图），出行方便。【周边配套】距离襄阳公园659米，距离眼耳鼻喉医。院。347米，距离上海银行371米（数据来源高德地图）。
SH2420347978628726784,整租·永太小区 1室0厅 南,https://image1.ljcdn.com/310000-inspection/c3e3a4db-5bd6-4c94-a9ca-2f67d4c676ff.jpg.250x182.jpg,徐汇,建国西路,永太小区,36,1室0厅1卫,南,6000,近地铁;随时看房;,高楼层/6层,2020-02-17,,整租,需咨询,6000,0,需咨询,1号线-衡山路-1095m;1号线-衡山路-1095m;1号线-衡山路-1095m;1号线-衡山路-1095m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/c3e3a4db-5bd6-4c94-a9ca-2f67d4c676ff.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/aa71d9f8-5a0a-4ba7-aa17-9190571a9cc1.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f7d67bef-2388-4641-bb44-2be443b7739e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/8d41093a-39f6-43d7-a6d8-a52300250b55.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/cf214fd4-03c8-489a-a2f2-0f609933a13c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/9cae9010-e0bc-4bd4-a392-f2120a15e12d.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/standard_4452b7c1-8c1b-4381-a946-bca6c1c1374c.png.780x439.jpg;,
SH2455779090557845504,整租·巴黎时韵 1室0厅 东北,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20200218110553137,徐汇,建国西路,巴黎时韵,25,1室0厅1卫,东北,4500,近地铁;,高楼层/31层,2020-02-20,,整租,需咨询,4500,0,需咨询,1号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1143m;1号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1143m;,False,False,False,False,False,False,False,False,False,False,暂无数据,商电,暂无数据,暂无数据,需提前预约,随时入住,True,商水,False,,
SH2455135231280422912,整租·巴黎时韵 1室0厅 东南,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20200218110553137,徐汇,建国西路,巴黎时韵,40,1室0厅1卫,东南,5500,近地铁;,低楼层/31层,2020-02-25,,整租,需咨询,5500,0,需咨询,1号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1143m;1号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1143m;,False,False,False,False,False,False,False,False,False,False,暂无数据,商电,暂无数据,暂无数据,需提前预约,随时入住,True,商水,False,,
SH2422366866837348352,整租·建国西路211弄 2室1厅 南,https://image1.ljcdn.com/310000-inspection/e11b3aae-b116-43db-aa65-b9f9fbf08007.jpg.250x182.jpg,徐汇,建国西路,建国西路211弄,59,2室1厅1卫,南,9000,近地铁;随时看房;,高楼层/6层,2020-02-24,,整租,需咨询,9000,0,需咨询,1号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1090m;1号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1090m;1号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1090m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/8643733b-bca5-4967-bbee-3e7c02714670.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/c36b0a2b-4854-4308-959a-6876fa006aa6.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/72d7cb47-81e2-4b69-8f26-3704657f3e57.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e11b3aae-b116-43db-aa65-b9f9fbf08007.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e0e8b0c0-d454-4fd1-a884-dbfcc3dcdbb4.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/d1caaca2-0019-496e-b72e-558ffe623988.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/36b1ac90-ce0b-4db9-aa1c-61720dec8366.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/prod-5ba6b25c-6fc0-4cc7-ac88-1475b43d7131.png.780x439.jpg;,
