hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2302913144676425728,整租·花苑村紫竹园 1室1厅 南,https://image1.ljcdn.com/lease-image/house/3d2856b4-1cc1-4a20-8d97-c4811c433e9d.jpg.250x182.jpg,徐汇,康健,花苑村紫竹园,44,1室1厅1卫,南,4000,新上;随时看房;,高楼层/6层,2020-02-20,,整租,季付,4000,0,2000,,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,自采暖,暂无数据,随时可看,随时入住,False,民水,True,https://image1.ljcdn.com/lease-image/house/3d2856b4-1cc1-4a20-8d97-c4811c433e9d.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/e134a30d-5841-4f31-b1ff-4868c346d409.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/e0feacd5-87c4-4ecb-a5b1-02ccd81f1607.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/abceec43-44b7-4c51-8167-2433a61eafd4.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/289d8992-4084-4231-b779-5cea674c041d.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/433dd3b8-36cc-47b5-a69d-cd1d930c1837.png.780x439.jpg;,【户型介绍】新出一房，简单干净，卧室带阳台朝南，厅朝北带窗户，厨卫朝西，家电家具齐全【交通出行】地铁：到1号线锦江乐园站1200米，到12号线虹漕路站1200米。 公交：小区门口就有43路，93路，122路，703路b线，725路，725路早班车，732路，735路，804路，830路，946路等多路出行方便【周边配套】小区近地铁，有1号线，3号线，12号线，步行仅12mim；公交出行的话可以通达上海。 小区出门就有超市，银行，食品店，药店生活方便。步行至菜市场近3mim，步行5mim就是社区体育场 教育配套：上海师大，师大一付小，上海世外。1.5公里便可
SH2422555890923347968,整租·长青坊 1室0厅 南,https://image1.ljcdn.com/lease-image/house/c41c1ada823581c2bc9cab47b3426fc9.jpeg.250x182.jpg,徐汇,康健,长青坊,31,1室0厅1卫,南,3800,随时看房;,高楼层/6层,2020-01-16,,整租,季付,3800,0,1900,,False,True,False,True,True,False,True,False,False,False,暂无数据,民电,自采暖,暂无数据,随时可看,随时入住,False,民水,True,https://image1.ljcdn.com/lease-image/house/c41c1ada823581c2bc9cab47b3426fc9.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/4e4fc98ed2e151efa2281caf7b964e0a.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/77e3ca4dd89b4a8f18818550ef91f21d.jpeg.780x439.jpg;,【装修描述】房子装修干净清爽，整洁舒适，楼层是5楼的房子，采光好，居家装修，舒适清爽。。【交通出行】到虹漕路地铁站1km 离上海南站也只有1.1km 往南不到一公里就能上中环 去上海其它地方都很方便 往北驾驶三公里就到徐家汇商圈。【周边配套】1、上海市第六人民医院，复旦大学附属儿科医院，徐汇区妇幼保健所，上海禾新医院，仁爱体检，全景医学影像诊断 2、中星城，康健广场，沃尔玛(田林店)，麦德龙(闵行店)，新漕河泾国际商务，迪卡侬(顾戴店)，上海徐汇区桂东菜市场，罗森便利店
SH2298572168776663040,整租·康乐小区(徐汇) 1室0厅 南,https://image1.ljcdn.com/lease-image/house/3572c6c4-7546-45c1-af12-8a4cb9aa33da.jpg.250x182.jpg,徐汇,康健,康乐小区(徐汇),38,1室0厅1卫,南,4000,近地铁;随时看房;,中楼层/5层,2019-12-28,,整租,季付,4000,0,2000,12号线-桂林公园-1176m;12号线-桂林公园-1176m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,False,民水,False,https://image1.ljcdn.com/lease-image/house/3572c6c4-7546-45c1-af12-8a4cb9aa33da.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/54d056df-b4da-4dce-9722-a879c3e37fa8.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/e8c19637-0fd5-4ca8-96e5-2d33ce85e86d.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/a7e8dcd6-48dc-4c4c-8822-c383857a37ad.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/865961e6-2083-4bbf-a946-086b835f6010.png.780x439.jpg;,【房源亮点】康乐小区新出一房，简单干净整洁，家电家具齐全，可拎包入住，看房随时有钥匙，中间楼层采光充足，适合情侣居家！【交通出行】出门右转即是家乐福超市 购物方便 直行100米 上海南站地铁站映入眼帘 左转徐汇桂林东街菜市场 买菜方便。【周边配套】1：地铁公交：小区邻近上海南站1.3号 线500米，公交线路多条出行方便 2：菜场 超市：家乐福商场，联华超市，麦德龙，东街菜场步行即可到达 3：医院：上海第八人民医院，康健街道医院，复旦附属儿科医院等 4：康健园，桂林公园，各大银行网点1【小区介绍】康乐小区是92年的小区，是老小区中房龄新的小区，小区环境优美，保安严谨，适合上班族或者一家人，或者在工作的小情侣居住。
SH2302913017840943104,整租·钦州路111弄 1室1厅 南,https://image1.ljcdn.com/lease-image/house/48af8173-fb2c-4add-948b-fcdee3fd2367.jpg.250x182.jpg,徐汇,康健,钦州路111弄,41,1室1厅1卫,南,4250,新上;近地铁;精装;随时看房;,低楼层/6层,2020-02-19,精装修,整租,季付,4250,0,2125,1号线，3号线，金山铁路-上海南站-1051m;1号线，3号线，金山铁路-上海南站-1051m;,False,False,True,False,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,False,民水,False,https://image1.ljcdn.com/lease-image/house/48af8173-fb2c-4add-948b-fcdee3fd2367.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/e6369e9f-fe5a-441d-b30a-b4f9dc304412.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/12a6400d-368d-48ae-8d62-0aac191d174a.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/1b7b8468-cb84-4753-88cf-dae9116dde21.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/d92b8254-1ae4-4fe6-bc9d-0cd3c8f5541a.jpg.780x439.jpg;,【装修描述】简装，装修干净整洁，无油烟蟑螂，保养好，适合追求生活质量的一群人【出租原因】实惠一房 看房随时 业主真实委托 近漕宝路地铁站1号线和12号线，有日月光商场和医院等【周边配套】地铁：漕宝路地铁站1号线和12号线，公交路线便利对于入住的客户出行极为方便配套】 配套有上海第八人民医院，超市有日月光，有上海银行和中国邮政，水果店和便利超市
SH2433371646137483264,整租·康健路100弄 1室1厅 南,https://image1.ljcdn.com/lease-image/house/2ca2f5fd62fcf7dfd8f97eee5cc3a14d.jpeg.250x182.jpg,徐汇,康健,康健路100弄,38,1室1厅1卫,南,4400,近地铁;随时看房;,中楼层/4层,2020-01-14,,整租,季付,4400,0,2200,12号线-桂林公园-818m;12号线-桂林公园-818m;,False,True,False,True,True,False,True,False,True,False,暂无数据,民电,自采暖,暂无数据,随时可看,随时入住,False,民水,True,https://image1.ljcdn.com/lease-image/house/2ca2f5fd62fcf7dfd8f97eee5cc3a14d.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/25b91fc55da27f91efa257a1db159d69.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/cb98208a2ff6e4ba75069f56a4dc01bf.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/4d2e70371d98f3fdc3b1f91e8fdaff82.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/71212ba7596dc04b3c6c4915deb2fc3b.jpeg.780x439.jpg;,【出租原因】小区房龄有点老，但是配套成熟齐全，适合居家小孩家庭，因为汇集徐汇众多陪读家庭，所以中年人，小孩多。整体居住人群素质较高，小区成交活跃【周边配套】右转就是一个菜市场，沿街有各种小商铺，可解决日常需求。与浦北路交叉口，有一家健身房，从钦州南路后门出来左手边就是钦州南路虹漕南路公交站，步行600米，就是上海师范大学，沿虹漕南路1.2公里，500米就可以到达12号线漕宝路路地铁站【小区介绍】此小区建于1992年、小区有两个出入口、桂林西街主干道为正门车辆出入、侧门在虹漕南路出入口、交通便利、门口公交线路众多、本小区物业安保很好、保安24小时值班。安全性高
SH2298567229656547328,整租·寿昌坊 1室1厅 南,https://image1.ljcdn.com/lease-image/house/e0394204e740a0ebdb9b5f9bc3fc2a34.jpeg.250x182.jpg,徐汇,康健,寿昌坊,39,1室1厅1卫,南,4400,近地铁;随时看房;,中楼层/6层,2019-12-09,,整租,季付,4400,0,2200,1号线-锦江乐园-961m;1号线-锦江乐园-961m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,False,民水,True,https://image1.ljcdn.com/lease-image/house/e0394204e740a0ebdb9b5f9bc3fc2a34.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/d877fa26c45ce398b078107a3610cc66.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/dfe25a96eb25d2dfef2527bcfd74ec4d.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/e72a3851-4d0d-468a-b68a-de11d0427d4e.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/ca77ffbc-410c-49ba-bdec-5ea6f386035e.png.780x439.jpg;,【装修描述】装修是精装修的，但是有四年时间了，房子进去之后很清爽，很干净【交通出行】地铁：3号线上海南站；1号线锦江乐园、上海南站；12号线桂林公园站，9号线桂林路站【周边配套】小区出门就是菜市场，和超市，步行到桂林路，浦北路都有公交车站。出门有大型超市，家乐福，银行：中国邮政，工商银行，建设银行。最近的大医院有徐汇妇幼保健院，上海第六人民医院，上海第八人民医院。
SH2357229796670578688,整租·长兴坊 2室1厅 南,https://image1.ljcdn.com/lease-image/house/20a8a7aa8d8150b8c2b038f6cd38bf28.jpeg.250x182.jpg,徐汇,康健,长兴坊,55,2室1厅1卫,南,5400,随时看房;,高楼层/6层,2019-12-28,,整租,季付,5400,0,2700,12号线-虹漕路-986m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,自采暖,暂无数据,随时可看,随时入住,False,民水,True,https://image1.ljcdn.com/lease-image/house/20a8a7aa8d8150b8c2b038f6cd38bf28.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/984d31868a39b46f602daa67d921640c.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/d40e162b151b026879b62114683b310b.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/d43a4674e8eb7a73ad35e5e00a8cfdef.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/845105b33ecc93578050d56e5c45bf9b.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/6cb7acc4723715c6065fcfce5588940e.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/6473efce53a8fdc82b59eaa1978e614b.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/03f496282996d7fab614fa978213bd10.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/a4170393-7d32-435d-8391-cfc09f79260c.jpg.780x439.jpg;,【房源亮点】该房屋为轻托管房源，房屋出租无服务费，自带管家服务，入住无需担心业主问题，家具家电齐全拎包入住，物品维修24小时上门处理，适合单身白领、情侣居家【户型介绍】本房楼层位于中高楼层，一房朝南，采光充足，一房朝北，装修顺眼，两卧一南一北， 居住舒适度很高【交通出行】小区北门口有公交站牌 有多路公交可以选择 小区位置 近地铁十二号线 三号线 一号线 交通便捷【周边配套】小区出门有个桂林西街菜市场 里边各类商品都有的卖 生活设施齐全，近有沃尔玛和家乐福等大型超市，距离第八人民医院近
SH2401232416539942912,整租·长海坊 2室1厅 南,https://image1.ljcdn.com/lease-image/house/ef731c0ce3b229257d14927b6b397bd4.jpeg.250x182.jpg,徐汇,康健,长海坊,49,2室1厅1卫,南,5500,随时看房;,高楼层/6层,2019-12-09,,整租,季付,5500,0,2750,,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,False,民水,False,https://image1.ljcdn.com/lease-image/house/67e63b435c724e40a6fdd3e6bf318366.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/ef731c0ce3b229257d14927b6b397bd4.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/b3ff62b116195ab3f66afac853f274d0.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/1132dfdd67fae62738fe425614c6a431.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/cb390039df7f55cab427d33734ae78e0.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/93e980deac3dd0a99fd8652822b4063e.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/4163e7ae363f99ac138993e5db2b708a.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/774b8af5-cf88-4d44-b948-80fe99c4ef64.png.780x439.jpg;,【交通出行】到虹漕路地铁站1km 离上海南站也只有1.1km 往南不到一公里就能上中环 去上海其它地方都很方便 往北驾驶三公里就到徐家汇商圈。【周边配套】1、上海市第六人民医院，复旦大学附属儿科医院，徐汇区妇幼保健所，上海禾新医院，仁爱体检，全景医学影像诊断 2、中星城，康健广场，沃尔玛(田林店)，麦德龙(闵行店)，新漕河泾国际商务，迪卡侬(顾戴店)，上海徐汇区桂东菜市场，罗森便利店【小区介绍】此小区建于1992年、小区有两个出入口、桂林西街主干道为正门车辆出入、侧门在虹漕南路出入口、交通便利、门口公交线路众多、本小区物业安保很好、保安24小时值班。安全性高
SH2305824338328698880,整租·钦州路111弄 2室1厅 南,https://image1.ljcdn.com/lease-image/house/5d20b674-eaa2-40f7-9602-90aeb7042b5a.jpg.250x182.jpg,徐汇,康健,钦州路111弄,35,2室1厅1卫,南,5300,近地铁;随时看房;,低楼层/7层,2020-02-22,,整租,季付,5300,0,2650,1号线，3号线，金山铁路-上海南站-1051m;1号线，3号线，金山铁路-上海南站-1051m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,False,民水,False,https://image1.ljcdn.com/lease-image/house/4beb48fb-48d2-485f-a6fe-2b386a71cb6e.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/16ac0b47-329d-45fa-97ac-486ce0cdc7a3.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/5d20b674-eaa2-40f7-9602-90aeb7042b5a.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/ad0ae7d1-385a-47b8-901e-33940de79f7b.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/d61dcefc-b683-4f1a-a8b7-923990eeb2c9.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/02f03fec-5478-4574-8fc4-cbc8a8cc2c83.png.780x439.jpg;,【房源亮点】该房屋为轻托管房源，房屋出租无服务费，自带管家服务，入住无需担心业主问题，家具家电齐全拎包入住，物品维修24小时上门处理，适合单身白领、情侣居家【交通出行】从小区西门口出发，到1号线漕宝路站845米，10min之内可以到达，小区门口是钦州路冠生园路公交站（1203路线）。【周边配套】小区步行300就能抵达第八人民医院，300米就是康健公园，400米内有中星城家乐福、日月光一站式生活广场，农工商、一心玛特便利店就在小区门口，更有漕河泾菜市场步行可达。
SH2392748233236955136,整租·长丰坊 1室1厅 南,https://image1.ljcdn.com/lease-image/house/4390819c-dbf9-42bd-97f3-0589151adfb1.jpg.250x182.jpg,徐汇,康健,长丰坊,44,1室1厅1卫,南,4350,随时看房;,高楼层/6层,2020-02-23,,整租,季付,4350,0,2175,,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,自采暖,暂无数据,随时可看,随时入住,False,民水,True,https://image1.ljcdn.com/lease-image/house/4390819c-dbf9-42bd-97f3-0589151adfb1.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/1b3d296f-0e94-44ea-94eb-87951c8c4b91.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/1890cf14-fc18-4702-b7b9-6731c0c897f7.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/79a0111c-6944-4433-b361-7dc3afb629e0.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/e8d0a652-fc69-49a9-a256-8772622934c2.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/fcf6fc0f-13c4-4099-be09-ad15cb793314.jpg.780x439.jpg;,【户型介绍】精装一房，高楼层，采光好，家电家具齐全，厨卫朝北有窗户，随时入住【交通出行】1号线锦江乐园站 12号线虹漕路站 小区门口就有43路，93路，122路，703路b线，725路，725路早班车，732路，735路，804路，830路，946路等多路出行方便【周边配套】小区近地铁，有1号线，3号线，12号线；公交出行的话可以通达上海。 小区出门就有超市，银行，食品店，药店生活方便。【小区介绍】长丰坊位于上海西南部，坐落在徐汇区康健街道桂林西街47弄。小区建于20世纪80年代，至今已有十余年的历史。有光大会展。菜场、超市、便利店也有。
