hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2412124434442747904,整租·宛南六村 1室1厅 南,https://image1.ljcdn.com/lease-image/house/1fd40834-71a3-4cce-ace8-edac4a03d3c0.jpg.250x182.jpg,徐汇,龙华,宛南六村,33,1室1厅1卫,南,4500,近地铁;随时看房;,高楼层/5层,2020-01-03,,整租,季付,4500,0,2250,11号线(嘉定北-迪士尼)，11号线(花桥-1182m;11号线(嘉定北-迪士尼)，11号线(花桥-1182m;11号线(嘉定北-迪士尼)，11号线(花桥-1182m;11号线(嘉定北-迪士尼)，11号线(花桥-1182m;11号线(嘉定北-迪士尼)，11号线(花桥-1182m;,False,False,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,False,民水,True,https://image1.ljcdn.com/lease-image/house/1fd40834-71a3-4cce-ace8-edac4a03d3c0.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/1d3acb94-9a19-4b12-a6de-801b65eafc48.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/98a4f81a-24d0-480a-b768-00eef041b333.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/06b7f62b-fba1-4c83-957c-4ad4e7d0a707.jpg.780x439.jpg;,
SH2427998935500472320,整租·协昌小区 2室1厅 东,https://image1.ljcdn.com/lease-image/house/06feab022bb398065464f1468c688bf4.jpeg.250x182.jpg,徐汇,龙华,协昌小区,57,2室1厅1卫,东,5990,近地铁;精装;随时看房;,低楼层/24层,2020-01-06,精装修,整租,季付,5990,0,2995,11号线(嘉定北-迪士尼)，11号线(花桥-1168m;11号线(嘉定北-迪士尼)，11号线(花桥-1168m;11号线(嘉定北-迪士尼)，11号线(花桥-1168m;11号线(嘉定北-迪士尼)，11号线(花桥-1168m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,自采暖,暂无数据,随时可看,随时入住,True,民水,True,https://image1.ljcdn.com/lease-image/house/06feab022bb398065464f1468c688bf4.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/9c1871dfbee0722e2384564d413237ec.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/e9bf02faf96503c47ccfcb06a3580a3e.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/bf6037e7e134d4f51674b26c2b62b4a1.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/84ce6deac9172129dfa44910c5b406c1.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/9e67b52be370e5c8e9fe000b7f081515.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/fcf29e9d42d2e59cd8bd17c1cd68617e.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/8cf5b359f467b8974c5269b3f9807271.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/28c35a0e0929e8233723fe6ad7fc1e5f.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/445a843ed073a5ebaf2670e7f5587805.jpeg.780x439.jpg;,
SH2423125312369344512,整租·宛南六村 2室1厅 南/北,https://image1.ljcdn.com/lease-image/house/c2377ce0e6314b31f62f649f5296a274.jpeg.250x182.jpg,徐汇,龙华,宛南六村,50,2室1厅1卫,南/北,5800,近地铁;随时看房;,中楼层/5层,2019-12-30,,整租,季付,5800,0,2900,11号线(嘉定北-迪士尼)，11号线(花桥-1182m;11号线(嘉定北-迪士尼)，11号线(花桥-1182m;11号线(嘉定北-迪士尼)，11号线(花桥-1182m;11号线(嘉定北-迪士尼)，11号线(花桥-1182m;11号线(嘉定北-迪士尼)，11号线(花桥-1182m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,False,民水,False,https://image1.ljcdn.com/lease-image/house/c2377ce0e6314b31f62f649f5296a274.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/03b39224a2e9d7154c6fb5fbb75b5ccd.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/a316416695cfb970e7db93b13e2deaf4.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/2049662df14d21ba68a4fcbb8216c4e8.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/5077b64b4ba894ee5d0c16218853ac27.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/862314dec68d6e3343a9142a1a1752af.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/a42acfefd0be697358a88c179e08c29d.jpeg.780x439.jpg;,
SH2420181045262417920,整租·宛南三村 2室1厅 南,https://image1.ljcdn.com/lease-image/house/6edc8b30ac6fd05e9fd8bb749147fb47.jpeg.250x182.jpg,徐汇,龙华,宛南三村,47,2室1厅1卫,南,6150,近地铁;随时看房;,中楼层/5层,2020-01-13,,整租,季付,6150,0,3075,4号线，7号线-东安路-881m;4号线，7号线-东安路-881m;4号线，7号线-东安路-881m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,自采暖,暂无数据,随时可看,随时入住,False,民水,False,https://image1.ljcdn.com/lease-image/house/6edc8b30ac6fd05e9fd8bb749147fb47.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/441ac81319c0f17bebb5459dfd9d339b.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/0ec31cd4db3288c34ab9a6e53333d637.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/221faa13d3c666e7aa247ff8836fa998.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/b22d6f4bd737b963da58003ff1570416.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/f84a8bc1b36f12ff4b5a3addd2468882.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/568a33097bc2b90ce3663ca44a57ccc7.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/d207df5e1df392b387cc546771f5bc2e.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/cf923a7b636846b716f6331cd420b328.jpeg.780x439.jpg;,
SH2415162263653851136,整租·申航小区 2室1厅 南,https://image1.ljcdn.com/lease-image/house/c6015c4322db63272c3230c207b5df54.jpeg.250x182.jpg,徐汇,龙华,申航小区,68,2室1厅1卫,南,6990,近地铁;随时看房;,高楼层/16层,2020-01-02,,整租,季付,6990,0,3495,11号线(嘉定北-迪士尼)，11号线(花桥-1171m;11号线(嘉定北-迪士尼)，11号线(花桥-1171m;11号线(嘉定北-迪士尼)，11号线(花桥-1171m;11号线(嘉定北-迪士尼)，11号线(花桥-1171m;11号线(嘉定北-迪士尼)，11号线(花桥-1171m;11号线(嘉定北-迪士尼)，11号线(花桥-1171m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,True,民水,False,https://image1.ljcdn.com/lease-image/house/c6015c4322db63272c3230c207b5df54.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/80f44911be5de5cb10264c8bdcae347d.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/10116c323b1bcb098bdaac61a2d3ee7c.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/90561de54532c1ef6a19b1028bb4e4c3.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/0b329d8fc53b60dcc00ef14468438994.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/31c61b15a6c45cf1f4224a647e51bef1.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/0878f47938edfe86b47760355d580a52.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/0a123fb74fbeccb912f5bbaebb61fe95.jpeg.780x439.jpg;,
SH2423124656882974720,整租·宛南三村 2室1厅 南,https://image1.ljcdn.com/lease-image/house/bc2971c57afa6b534d85899eba48fdd1.jpeg.250x182.jpg,徐汇,龙华,宛南三村,47,2室1厅1卫,南,6700,近地铁;精装;随时看房;,中楼层/5层,2020-01-02,精装修,整租,季付,6700,0,3350,4号线，7号线-东安路-881m;4号线，7号线-东安路-881m;4号线，7号线-东安路-881m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,自采暖,暂无数据,随时可看,随时入住,False,民水,False,https://image1.ljcdn.com/lease-image/house/bc2971c57afa6b534d85899eba48fdd1.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/acabb3c4d2039f238df2eff8208e1068.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/2fa64c225391d1b8591341daf86f777a.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/722778db0deb165ef3a83b02c98e0962.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/7b1a5d8a478d01c6c615013b8131f54a.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/0652d52321cef9f1e929085ec4efc229.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/c6ce0bd290c1c24df431b9cae9bccb0b.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/8d52f9f3892ba1c7e08153b9f354615d.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/26c13e475c9d45c8c56797e3ef92b355.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/3b27f1cedc5fbf8103a4455384cc0be8.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/f2d1c12a3f4b30a886ce47d8c2196671.jpeg.780x439.jpg;,
SH2427495836855574528,整租·宛南六村 2室1厅 南,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20200218110553137,徐汇,龙华,宛南六村,0,,,6480,近地铁;精装;随时看房;,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,,,,,,,False,,False,,
SH2463006607567757312,整租·宛南二村 1室0厅 北,https://image1.ljcdn.com/110000-inspection/fe1de6d6-438e-43b2-997b-d42463e6c064.jpg.250x182.jpg,徐汇,龙华,宛南二村,10,1室0厅1卫,北,2500,新上;近地铁;,低楼层/6层,2020-02-24,,整租,需咨询,2500,0,需咨询,11号线(嘉定北-迪士尼)，11号线(花桥-1034m;11号线(嘉定北-迪士尼)，11号线(花桥-1034m;11号线(嘉定北-迪士尼)，11号线(花桥-1034m;11号线(嘉定北-迪士尼)，11号线(花桥-1034m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/110000-inspection/fe1de6d6-438e-43b2-997b-d42463e6c064.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/8f3e830a-72d7-471e-adbb-ca0ee8559cfe.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/ac4cc694-7e6d-4108-a7e6-c0b3d29e319c.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/b3f3fb79-9319-4636-ad06-49edf811c0c2.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/43f04f32-bd7f-4df1-80a7-d75814d4d597.jpg.780x439.jpg;,
SH2426653237068169216,整租·龙南三四村 1室1厅 南,https://image1.ljcdn.com/310000-inspection/ff989310-ba06-4138-88a7-34ae953442ba.jpg.250x182.jpg,徐汇,龙华,龙南三四村,43,1室1厅1卫,南,4000,近地铁;精装;,高楼层/6层,2020-02-13,精装修,整租,季付,4000,0,需咨询,11号线(嘉定北-迪士尼)，11号线(花桥-853m;,True,True,True,True,True,True,True,True,True,True,暂无数据,民电,暂无数据,2年以内,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/ff989310-ba06-4138-88a7-34ae953442ba.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/02dfc5ff-8cce-45f2-9f1a-ffd5e6b82643.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/5421fa34-bbca-4078-b1c3-e55fd3847fc1.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/06fcd2bb-3470-40b8-b18e-743296b8c383.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/8075a3fc-167e-4af6-9fa6-d15d65f896d9.jpg.780x439.jpg;,【房源亮点】楼层高，采光好，价格便宜，业主诚意出租，可以2-3年以上长期签约。【户型介绍】一室一个小厅，卧室朝南，厨房朝北，卧室朝南带阳台。屋内基本配置齐全，随时拎包入住。【交通出行】距离11号线龙耀路地铁站850米，小区门口就是公交，直达徐家汇、龙华，距离江边400米，【出租原因】业主空置此房，打算长期出租，可签约2-3年以上，希望同事们多推【周边配套】小区门口吃饭、买菜方便，东门出口就是菜市场、生活超市，旁边有小吃店，吃饭方便
SH2397056587920850944,整租·俞一小区 1室0厅 南,https://image1.ljcdn.com/310000-inspection/ec89dec3-75cb-4f6d-92d5-98b0902725d5.jpg.250x182.jpg,徐汇,龙华,俞一小区,0,,,4000,近地铁;,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,,,,,,,False,,False,,
