hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2449070867775766528,整租·汇成五村 1室1厅 南,https://image1.ljcdn.com/lease-image/house/b9d96c3d-a11e-4863-a518-c739923bae31.jpg.250x182.jpg,徐汇,上海南站,汇成五村,36,1室1厅1卫,南,3600,随时看房;,高楼层/6层,2020-02-04,,整租,季付,3600,0,1800,,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,False,民水,True,https://image1.ljcdn.com/lease-image/house/67f3617a-05d1-4975-a205-5267caad1f23.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/5440b6e5-3951-46d9-ac6f-95b18fd8cb27.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/b1cc08e1-5165-475e-8d17-561feea6ada5.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/b9d96c3d-a11e-4863-a518-c739923bae31.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/bca136c1-4a94-44c4-8862-1fa92136b36e.jpg.780x439.jpg;,
SH2431181004434571264,整租·汇成四村 2室0厅 南,https://image1.ljcdn.com/lease-image/house/d79b5b4a-bb2a-4cb6-81bd-b683606be342.jpg.250x182.jpg,徐汇,上海南站,汇成四村,50,2室0厅1卫,南,4200,随时看房;,高楼层/6层,2020-01-15,,整租,季付,4200,0,2100,,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,False,民水,False,https://image1.ljcdn.com/lease-image/house/d79b5b4a-bb2a-4cb6-81bd-b683606be342.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/47850ed1-9049-4d21-ae13-6c4959fb0fbe.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/601c3e2f-2a5c-457a-9a66-f279786cd09d.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/1310d05e-076c-4974-b469-9cfe9adc9841.jpg.780x439.jpg;,
SH2422502127118327808,整租·汇成三村 2室0厅 南,https://image1.ljcdn.com/lease-image/house/69dac66b9b6ac48854cb0d6e9e5c21ce.jpeg.250x182.jpg,徐汇,上海南站,汇成三村,52,2室0厅1卫,南,4600,随时看房;,中楼层/6层,2020-01-04,,整租,季付,4600,0,2300,,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,False,民水,False,https://image1.ljcdn.com/lease-image/house/56ec989bfddecc20bc6a3b2dc915d94e.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/0da896ac07dcf67ce9de23ed8d5b08af.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/69dac66b9b6ac48854cb0d6e9e5c21ce.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/167502314450c1c8bdb2afe965dfcb52.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/42ac529c6792dedc6ace4ba2e6ed60e1.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/e4d02d8199cb97fd44ea995586e91675.jpeg.780x439.jpg;,
SH2314440832545202176,整租·汇成三村 2室0厅 南,https://image1.ljcdn.com/lease-image/house/86fc5c463dfdf6561560b33609e62a35.jpeg.250x182.jpg,徐汇,上海南站,汇成三村,54,2室0厅1卫,南,4500,随时看房;,中楼层/6层,2020-01-02,,整租,季付,4500,0,2250,,False,True,True,True,True,False,True,False,False,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,False,民水,False,https://image1.ljcdn.com/lease-image/house/86fc5c463dfdf6561560b33609e62a35.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/ff528bf61809964dd4d70f7a60e4918d.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/39e7160061760d1b567270b89ebcc2c4.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/2c9d997f2d28c1ccf8501bfe913894b2.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/4c706c4c8e830fd572ca8d92b0e7d6d0.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/67edf3d03b0c0cc9c779d3332c6bb09e.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/504f2dc3-9f81-4c13-b133-d6f9825cc22e.png.780x439.jpg;,【装修描述】房子是居家装修，南北全明户型，房屋家具家电都配置齐全，随时可以看房【交通出行】小区门口多路公交：720.56.178.770.824.831.956.958等【周边配套】有菜市场、银行、超市、24小时便利店、植物园、公交直达徐家汇
SH2429656865034993664,整租·楼园小区 2室1厅 南,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20200218110553137,徐汇,上海南站,楼园小区,61,2室1厅1卫,南,5800,随时看房;,中楼层/6层,2020-02-21,,整租,季付,5800,0,2900,,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,False,民水,False,,
SH2413113054402183168,整租·光华园 2室1厅 南,https://image1.ljcdn.com/310000-inspection/47d65ec7-218e-4f4b-a356-ef1c5aabb572.jpg.250x182.jpg,徐汇,上海南站,光华园,62,2室1厅1卫,南,4000,,中楼层/6层,2020-02-18,,整租,季付,4000,0,需咨询,,True,True,True,True,True,False,True,True,True,True,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/47d65ec7-218e-4f4b-a356-ef1c5aabb572.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f554296f-f5c7-4c0c-9350-b235f75ede5e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/5377afd0-c958-421c-bcf9-aecd8f7ec8e4.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/ff4bb8b8-20fa-42b0-a17a-64f532f620df.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/0f9478c2-574a-4156-94d9-8c17234229d7.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/test-53451ea9-c994-4ea0-b830-e080e3a206f9.png.780x439.jpg;,【房源亮点】房子是业主自住装修，目前里面家具家电齐全，中间楼层，采光良好，房子面积比较大，生活空间充足【交通出行】公交：111路、157路、218路、326路、718路、720路、731路、755路、50路、56路、131路、804路、847路、101路、103路、156路、鲁莘线、徐闵支线；轨道：1号线【周边配套】综合商场：沃尔玛；医院：上海体育医院、大华医院、徐汇区凌云街道社区卫生服务站；银行：中国银行、中国工商银行
SH2432567082798284800,整租·光华园 2室1厅 南,https://image1.ljcdn.com/310000-inspection/b15f175a-c418-4b10-87dd-58e87b540630.jpg.250x182.jpg,徐汇,上海南站,光华园,58,2室1厅1卫,南,4000,随时看房;,高楼层/6层,2020-02-24,,整租,季付,4000,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,1年以内,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/b15f175a-c418-4b10-87dd-58e87b540630.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/c34ec4ce-3496-46a3-9f09-a6f323c8145e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/d55f8bf9-7413-4309-b428-2ca7333532fe.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/1a98c9cd-e2b0-467e-9624-4e6a4aeca531.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f37c3afd-d397-4c7e-abea-fbf4027adcfa.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/ac65c031-ed52-422a-bfee-d2d3adb4f8f2.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/test-4edfe858-2c28-46f9-8b43-d247aae8bd6a.png.780x439.jpg;,【装修描述】房子是简装的收拾一下不会太差，目前里面家具家电齐全，生活配套设施齐全，居住舒适方便【交通出行】公交：111路、157路、218路、326路、718路、720路、731路、755路、50路、56路、131路、804路、847路、101路、103路、156路、鲁莘线、徐闵支线；轨道：1号线【周边配套】综合商场：沃尔玛；医院：上海体育医院、大华医院、徐汇区凌云街道社区卫生服务站；银行：中国银行、中国工商银行 交通出行
SH2404913688307048448,整租·东荡小区 1室1厅 南,https://image1.ljcdn.com/310000-inspection/774b1fac-e23e-4351-84f5-0f9ec1708f3a.jpg.250x182.jpg,徐汇,上海南站,东荡小区,43,1室1厅1卫,南,4000,近地铁;,中楼层/6层,2020-02-24,,整租,需咨询,4000,0,需咨询,1号线，3号线，金山铁路-上海南站-836m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/774b1fac-e23e-4351-84f5-0f9ec1708f3a.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/2b1d7d30-7bb0-4464-b0ae-3c66a0af200d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/361106ab-a169-4956-a739-935607b63799.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/448dd09f-3ce6-410f-9854-c67f3e80ff8a.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/ec524188-1b52-4d08-a072-5e3589385699.jpg.780x439.jpg;,
SH2453409670665347072,整租·汇成三村 1室1厅 南,https://image1.ljcdn.com/110000-inspection/3d9577fe5464209b80b1e29d0bbc1397.jpg.250x182.jpg,徐汇,上海南站,汇成三村,0,,,3500,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,,,,,,,False,,False,,
SH2299837692902375424,整租·光华园 1室1厅 南/北,https://image1.ljcdn.com/310000-inspection/d5538373-cc1e-4106-8b14-15b3245f6418.jpg.250x182.jpg,徐汇,上海南站,光华园,41,1室1厅1卫,南/北,3400,,高楼层/6层,2020-02-22,,整租,季付,3400,0,需咨询,,False,True,True,True,True,False,True,False,True,True,租用车位,民电,暂无数据,2年以内,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/d5538373-cc1e-4106-8b14-15b3245f6418.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/0bbf920e-9617-42c6-8af1-4b24029a8b62.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/dc536d57-42c4-47df-969a-6a4ad8d25b6b.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/dfe48d62-11b8-48c6-9f49-0a9355acb005.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/5499db0d-d2b2-4305-8187-69ca2877631b.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/1e5dec06-f5bd-46c5-be7a-7a87a93dab8d.jpg.780x439.jpg;,【户型介绍】房间朝南，房子采光和通风都超好，一梯两户，简单装修拎包入住。【交通出行】公交956，770，56，50等多辆公交四通八达，距离上海南站1号线和3号线距离也都比较近，出行方便【周边配套】门口就是菜市场，配套成熟，距离便利店，银行，医院，农工商超市，沃尔玛商超距离也比较近，为您的生活带来很多便利
