hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2298568205771481088,整租·田林十二村 2室1厅 南,https://image1.ljcdn.com/lease-image/house/27d20e89-4cdb-48b0-a363-667cbeb97bb8.jpg.250x182.jpg,徐汇,田林,田林十二村,48,2室1厅1卫,南,5600,近地铁;随时看房;,低楼层/6层,2020-02-25,,整租,季付,5600,0,2800,1号线，12号线-漕宝路-537m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,False,民水,False,https://image1.ljcdn.com/lease-image/house/27d20e89-4cdb-48b0-a363-667cbeb97bb8.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/6ba2e041-3fd1-4b1b-91ef-618928e9bc3e.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/117513aa-9093-4eef-a665-81f7101e17ba.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/bc4981b4-f5ae-43c0-984e-a7a8dc5251f4.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/afc693e9-a0f8-4e23-b1f1-f230436bc34e.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/c5c5ddf3-6b9d-4ecb-93a5-c7f428038e43.jpg.780x439.jpg;,
SH2425297562551992320,整租·田林三村 1室1厅 南,https://image1.ljcdn.com/lease-image/house/9b528cf2-03f2-4f35-9dc8-ee2ca9356a62.jpg.250x182.jpg,徐汇,田林,田林三村,33,1室1厅1卫,南,4700,近地铁;随时看房;,中楼层/6层,2020-01-02,,整租,季付,4700,0,2350,1号线，12号线-漕宝路-1152m;1号线，12号线-漕宝路-1152m;1号线，12号线-漕宝路-1152m;,False,True,False,True,True,False,True,False,True,False,暂无数据,民电,自采暖,暂无数据,随时可看,随时入住,False,民水,True,https://image1.ljcdn.com/lease-image/house/9b528cf2-03f2-4f35-9dc8-ee2ca9356a62.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/18297cd0-7779-478f-82b7-9a50a0985839.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/01a86650-6f00-4812-9fc6-5e96cb8a13e0.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/c6313946-a5ea-4679-b54a-26751369c16e.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/967b47ba-dc6b-4f71-84ad-7199eacb4a5a.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/a006b7b5-7de1-42bb-8d90-515bd4807a05.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/919d4237-44a0-4c09-a480-a5a968516b8d.png.780x439.jpg;,【房源亮点】该房屋为轻托管房源，房屋出租无服务费，自带管家服务，入住无需担心业主问题，家具家电齐全拎包入住，物品维修24小时上门处理，适合单身白领、情侣居家【交通出行】小区后门出去读书方便安全，交通便利3、4、9号线地铁均在旁边，公交方便，距离宜山路地铁站500米，距离桂林路地铁站900米，出门即多条公交路线【周边配套】生活服务配套齐全，能满足家庭自住的正常需求，菜场有宜山路菜市场、田林十三村菜市场距离小区比较近，上海市第六人民医院在小区门口，大型超市有沃尔玛、家乐福等
SH2413008384430178304,整租·田林三村 1室1厅 南,https://image1.ljcdn.com/lease-image/house/ebc28f1e-be24-45eb-9fa2-03e7170abe8c.jpg.250x182.jpg,徐汇,田林,田林三村,32,1室1厅1卫,南,4600,近地铁;随时看房;,中楼层/6层,2019-12-16,,整租,季付,4600,0,2300,1号线，12号线-漕宝路-1152m;1号线，12号线-漕宝路-1152m;1号线，12号线-漕宝路-1152m;,False,True,False,True,True,False,True,False,True,False,暂无数据,民电,自采暖,暂无数据,随时可看,随时入住,False,民水,False,https://image1.ljcdn.com/lease-image/house/75db1f56-6d52-447a-8f23-29d9cc9c6193.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/ebc28f1e-be24-45eb-9fa2-03e7170abe8c.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/f687d44c-f625-4757-9e71-8d4a860e6efb.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/d7415fa7-5c85-416d-bbf2-8223c04a032c.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/614d120d-2c2b-4bd2-92f9-6633c8b90e15.png.780x439.jpg;,【房源亮点】该房屋为轻托管房源，房屋出租无服务费，自带管家服务，入住无需担心业主问题，家具家电齐全拎包入住，物品维修24小时上门处理，适合单身白领、情侣居家【交通出行】小区后门出去读书方便安全，交通便利3、4、9号线地铁均在旁边，公交方便，距离宜山路地铁站500米，距离桂林路地铁站900米，出门即多条公交路线【周边配套】生活服务配套齐全，能满足家庭自住的正常需求，菜场有宜山路菜市场、田林十三村菜市场距离小区比较近，上海市第六人民医院在小区门口，大型超市有沃尔玛、家乐福等
SH2433335833097674752,整租·宜山路701弄 1室0厅 南,https://image1.ljcdn.com/lease-image/house/69b4080f-4143-4728-8a13-de722e987ee2.jpg.250x182.jpg,徐汇,田林,宜山路701弄,30,1室0厅1卫,南,4500,近地铁;随时看房;,中楼层/6层,2020-01-13,,整租,季付,4500,0,2250,12号线-桂林公园-826m;12号线-桂林公园-826m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,False,民水,False,https://image1.ljcdn.com/lease-image/house/69b4080f-4143-4728-8a13-de722e987ee2.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/ebd72bd0-5c49-4cb0-b8e8-22be96a72ed5.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/2f24b945-dff0-4b28-8669-ef65d0fbd382.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/85b000a6-dfcb-4963-8c67-eaa9b63c6c20.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/6f0e00b5-375a-4822-a71c-18777241ca82.jpg.780x439.jpg;,
SH2435289705198665728,整租·田林六村 1室0厅 南,https://image1.ljcdn.com/lease-image/house/d8067e4b-09fa-4541-bc8b-7d200fe49e3a.jpg.250x182.jpg,徐汇,田林,田林六村,32,1室0厅1卫,南,4700,近地铁;精装;随时看房;,高楼层/6层,2020-01-16,精装修,整租,季付,4700,0,2350,12号线-桂林公园-639m;12号线-桂林公园-639m;,False,True,True,True,True,False,True,False,False,False,暂无数据,民电,自采暖,暂无数据,随时可看,随时入住,False,民水,True,https://image1.ljcdn.com/lease-image/house/d8067e4b-09fa-4541-bc8b-7d200fe49e3a.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/58564ded-4c46-450e-a30f-90c15510c0ff.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/fc293457-be59-4c2b-8b14-f4cee10af2aa.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/a5575a3e-9a1f-4ab6-9859-4be22a5b275b.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/4c0defaf-aeed-4620-b01a-1d49c95009a5.png.780x439.jpg;,
SH2422195274228170752,整租·田林七村 2室0厅 南,https://image1.ljcdn.com/lease-image/house/13614343-603f-4795-bb00-52ef286d6ae4.jpg.250x182.jpg,徐汇,田林,田林七村,47,2室0厅1卫,南,6200,近地铁;精装;随时看房;,高楼层/6层,2020-01-10,精装修,整租,季付,6200,0,3100,12号线-桂林公园-753m;12号线-桂林公园-753m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,自采暖,暂无数据,随时可看,随时入住,False,民水,True,https://image1.ljcdn.com/lease-image/house/454f4ce0-d22e-4e7f-8c8d-b2180597a3dc.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/fd9b067b-bea7-42da-be41-72c51e3e6b88.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/f5b58858-780d-46ab-bd97-40c286bc1d72.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/6265468e-6eb7-43f9-89f5-2464bc9ac0af.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/97f96c97-a145-4096-8ef6-80bfba1b9664.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/13614343-603f-4795-bb00-52ef286d6ae4.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/9a382260-ff66-4556-a751-e7ba0d992df8.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/e8e70fad-4c53-4c29-91b0-4bd008ae196b.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/d64d18af-8e8b-4c1d-badc-bff04c1c1da2.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/3bfd56a4-4c1a-4df4-a0be-0c3bd79bf325.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/f28537ed-27ac-49ed-85bc-4e52ec1721b0.png.780x439.jpg;,【户型介绍】此房是南北通透的两房，板楼，采光通风都很好。一梯四户的边套。【出租原因】这个房子是前面业主一直自己住的房子，后来卖给现在房东，现在房东不用所以交给我们链家来打理，可以稳定住两年。【周边配套】房子是离地铁站最近的小区之一，到九号线走路三fengzhong，到沃尔玛三fengzhong，到田林路购物街街三fengzhong，出门就是公交站，出行方便
SH2298305379635044352,整租·田林十四村 1室0厅 南,https://image1.ljcdn.com/lease-image/house/9e1df486-334a-4ae7-b6b2-edee91b24d0a.jpg.250x182.jpg,徐汇,田林,田林十四村,37,1室0厅1卫,南,4800,近地铁;随时看房;,高楼层/6层,2020-01-06,,整租,季付,4800,0,2400,3号线，4号线，9号线-宜山路-915m;3号线，4号线，9号线-宜山路-915m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,False,民水,True,https://image1.ljcdn.com/lease-image/house/878b13c7d4dc6f08b1f78b9ebab8a644.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/9e1df486-334a-4ae7-b6b2-edee91b24d0a.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/696b301b-69ac-4e67-b702-3a0c5a9f2deb.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/55569a4a-6888-4fa2-81c9-801ede045809.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/f67f2fa7ca8e2a60a81d675f767b30b1.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/c519dd1d3ce074729a10cb6ffeb2f8ae.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/2a8ad983-ec60-437c-9fd6-c3540b17b613.png.780x439.jpg;,【装修描述】精装修一室一厅，品牌家具家电，全部齐全，。。。。。。。。。。【周边配套】配套齐全，超市商场，沃尔玛超市，徐汇日月光商场，小区楼下就是菜市场【小区介绍】田林十四寸，模范小区，距离9号线桂林路地铁站700米，步行的哦
SH2436254704473481216,整租·田林十三村 1室0厅 南,https://image1.ljcdn.com/lease-image/house/367cdbd8-6ba6-4088-89f7-5466c4320371.jpg.250x182.jpg,徐汇,田林,田林十三村,35,1室0厅1卫,南,4600,近地铁;随时看房;,中楼层/6层,2020-02-21,,整租,季付,4600,0,2300,12号线-桂林公园-1057m;12号线-桂林公园-1057m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,自采暖,暂无数据,随时可看,随时入住,False,民水,True,https://image1.ljcdn.com/lease-image/house/367cdbd8-6ba6-4088-89f7-5466c4320371.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/175904b1-7861-40c1-a402-0df38e45809a.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/993b643b-fd98-4f4c-b26d-605fb5d0b6ad.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/0c4dc1ab-bae5-4970-8d3f-93c8d88ebe6d.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/8c1d1993-5583-45d4-a661-b5cc31fed8fc.jpg.780x439.jpg;,【户型介绍】整租一居室 ，朝正南带阳台，南北通透带一个小客厅，卫生间干湿分离，中间楼层，精品!【周边配套】配套齐全，超市商场，沃尔玛超市，徐汇日月光商场，小区楼下就是菜市场【小区介绍】田林十三村，模范小区，距离9号线桂林路地铁站700米，步行的哦
SH2391285563962425344,整租·钦州花苑 2室1厅 东南/南/西南,https://image1.ljcdn.com/lease-image/house/53a7d2e2-3394-4a46-b6e6-8592b11fa4ad.jpg.250x182.jpg,徐汇,田林,钦州花苑,109,2室1厅1卫,东南/南/西南,8900,近地铁;随时看房;,高楼层/29层,2020-02-12,,整租,季付,8900,0,4450,9号线-桂林路-777m;9号线-桂林路-777m;,False,True,False,True,False,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,True,民水,True,https://image1.ljcdn.com/lease-image/house/229da630-db06-408d-8b36-a3c0e3014da4.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/a30f7dcb-374e-470f-b095-de9bcb0fc58d.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/05efd92a-190a-4a4e-88bb-aa8582671795.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/4cab1a60-e1f2-440e-97ec-94c395d9a7ec.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/53a7d2e2-3394-4a46-b6e6-8592b11fa4ad.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/b4c4da35-c3ab-466f-b5cc-237e0da36545.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/b264e123-4ca7-49ef-afae-cc17b0b6f6a1.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/b04d5296-9817-4c26-9276-5e31e4d18834.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/f218a5a1-d2cc-4fa2-bbe9-a625826e2983.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/7fe574df-2dee-4b16-9804-0b982f60a09d.png.780x439.jpg;,【房源亮点】该房屋为轻托管房源，房屋出租无服务费，自带管家服务，入住无需担心业主问题，家具家电齐全拎包入住，物品维修24小时上门处理，适合单身白领、情侣居家【交通出行】小区后门出去读书方便安全，交通便利3、4、9号线地铁均在旁边，公交方便，距离宜山路路地铁站535米，距离桂林路地铁站900米，出门即多条公交路线。【周边配套】生活服务配套齐全，能满足家庭自住的正常需求，菜场有宜山路菜市场、田林十三村菜市场距离小区比较近，上海市第六人民医院在小区门口，大型超市有沃尔玛、家乐福等。
SH2435418995474833408,整租·桂林新苑 2室1厅 南,https://image1.ljcdn.com/lease-image/house/560ba2ac-9cd8-491b-a263-cf24bb154392.jpg.250x182.jpg,徐汇,田林,桂林新苑,88,2室1厅1卫,南,8600,近地铁;精装;随时看房;,中楼层/18层,2020-01-16,精装修,整租,季付,8600,0,4300,9号线-桂林路-1089m;,False,True,False,True,True,False,True,False,True,False,暂无数据,民电,自采暖,暂无数据,随时可看,随时入住,True,民水,True,https://image1.ljcdn.com/lease-image/house/560ba2ac-9cd8-491b-a263-cf24bb154392.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/ee0a6b20-2648-4bcd-9da3-39c2d9d57c65.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/960a3c95-c552-4ffc-92c1-9643256bc8b8.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/df8656e5-3263-4dce-950e-2ad2708994a5.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/4a227e79-9b9e-4edb-95a0-e524a862fb66.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/06a0cb0a-1a7e-4674-ba9a-dcbd858e517c.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/766f677c-4d32-4373-9893-c402f0f36591.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/d038fd14-ad87-4cd4-bb31-a4e1b55e5ea0.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/231f2889-135d-4797-9586-7c56ae03cba4.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/6c7df04e-5f00-4287-a365-f445444da68c.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/1f518896-e092-4a81-8dc9-f0dfec16a5e6.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/09e91c1a-89b9-4405-adec-fb9d5a815447.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/b1fa6870-065d-4fd6-98cc-2fd5bf2ffd2e.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/f77d367d-8b58-4ee0-88e3-8de9c08a5b6c.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/8daa3970-982e-4747-a29e-5609c141a422.png.780x439.jpg;,
