hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2429683023474589696,整租·漕溪三村 2室1厅 南,https://image1.ljcdn.com/lease-image/house/acff9e8c-5e5e-4e19-8fa7-7e7f1fcc6e51.jpg.250x182.jpg,徐汇,万体馆,漕溪三村,49,2室1厅1卫,南,5990,近地铁;精装;随时看房;,中楼层/5层,2020-01-13,精装修,整租,季付,5990,0,2995,3号线-漕溪路-657m;3号线-漕溪路-657m;3号线-漕溪路-657m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,自采暖,暂无数据,随时可看,随时入住,False,民水,True,https://image1.ljcdn.com/lease-image/house/ab8fc9e1-db93-4d4b-beea-704a66385bf8.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/0225c000-d912-49c3-97ef-2d4fa854558f.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/acff9e8c-5e5e-4e19-8fa7-7e7f1fcc6e51.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/9d978fca-3552-477b-bae9-4509bf3a0f73.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/b74090f9-19f4-4d32-8107-d647647545c4.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/d321947f-91d0-495e-ab27-dcf923af85a0.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/17919020-4ba5-4468-8930-797c18ffa06e.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/324fc3e9-1ac3-4d95-a505-d166719fa757.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/e9f1758c-0e8c-4830-a671-712fdb0ec847.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/a0867b8b-d927-4766-ad0d-cf1a8f1cbda5.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/7b6e01e0-266f-46e1-a4f9-f97afc8dfe80.jpg.780x439.jpg;,
SH2162278336213295104,整租·龙吴路13弄 1室1厅 南,https://image1.ljcdn.com/310000-inspection/ce54f10f-d1be-4339-82ee-64f26dd51f02.jpg.250x182.jpg,徐汇,万体馆,龙吴路13弄,44,1室1厅1卫,南,3800,近地铁;,中楼层/6层,2020-02-23,,整租,季付,3800,0,需咨询,11号线(嘉定北-迪士尼)，11号线(花桥-926m;11号线(嘉定北-迪士尼)，11号线(花桥-926m;11号线(嘉定北-迪士尼)，11号线(花桥-926m;11号线(嘉定北-迪士尼)，11号线(花桥-926m;,True,True,True,True,True,True,True,False,True,True,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/ce54f10f-d1be-4339-82ee-64f26dd51f02.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/aadc48e8-343f-4678-8c12-8d14ed313298.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b0cdbe2b-7208-4298-a82e-4b21ce9ef381.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/018f5c94-54b7-4179-9afa-fd326732f5d8.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/aa0465a9-6391-44e8-a9d3-56c28ac6a762.png.780x439.jpg;,【房源亮点】房子位于小区的中间位置，安静不吵闹。同时，在三楼，优质楼层。房间面积大，并随时可起租。【装修描述】装修已经刷过墙面，整体虽然图片看着比较旧，但在入住后稍加布置，将焕然一新。【出租原因】房间一直空置着，本来想着自己住的，后面别的原因就没住。目前是以出租为主。
SH2399773763689521152,整租·龙山新村 1室0厅 西北,https://image1.ljcdn.com/310000-inspection/e6d11961-b201-4009-b24f-1b18a4fd4091.jpg.250x182.jpg,徐汇,万体馆,龙山新村,30,1室0厅1卫,西北,3900,近地铁;,中楼层/6层,2020-02-21,,整租,季付,3900,0,需咨询,7号线，12号线-龙华中路-1183m;7号线，12号线-龙华中路-1183m;7号线，12号线-龙华中路-1183m;7号线，12号线-龙华中路-1183m;7号线，12号线-龙华中路-1183m;7号线，12号线-龙华中路-1183m;,True,True,True,True,True,True,True,True,True,True,租用车位,民电,暂无数据,1年以内,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/51983e67-5285-46c4-b037-eaa1cf6727b0.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e6d11961-b201-4009-b24f-1b18a4fd4091.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/7833ccc2-07e4-42d4-a0be-78166b6b48dd.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/dccd46d7-ad0e-4430-9904-3918ec79185b.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/73199845-d297-44c7-87be-0746e5c167b8.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/7df16cf0-eada-44a0-8179-ded6292f33a3.jpg.780x439.jpg;,【房源亮点】装修不错，价格还可以谈的，小区配套啊，生活都很好，有人情味的小区【装修描述】装修的话还是很不错的，，，，，，，，，，，，，，，，，，，，，，，，，，，，，【交通出行】四号线上海体育场站，一号线，十一号线，交通便利，公交站点众多，出行方便【周边配套】美罗城、港汇，汇联商厦，星游城等各大商场，徐家汇公园，菜市场，配套成熟【小区介绍】小区位于零陵路，天钥桥路交汇处，南靠上海体育场，东有龙华医院，小区里有个大型菜市场。位置闹中取静
SH2424384138309550080,整租·漕溪二村 1室0厅 南,https://image1.ljcdn.com/310000-inspection/5c08c4b7-50b0-4d13-bd23-e6fad8884770.jpg.250x182.jpg,徐汇,万体馆,漕溪二村,15,1室0厅0卫,南,2000,近地铁;随时看房;,低楼层/29层,2020-02-21,,整租,季付,2000,0,需咨询,1号线，4号线-上海体育馆-1058m;1号线，4号线-上海体育馆-1058m;1号线，4号线-上海体育馆-1058m;1号线，4号线-上海体育馆-1058m;,True,True,True,True,True,True,True,True,True,True,暂无数据,民电,自采暖,2年以内,需提前预约,随时入住,True,民水,True,https://image1.ljcdn.com/310000-inspection/5c08c4b7-50b0-4d13-bd23-e6fad8884770.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/4b2f1ee8-b416-4989-8c19-8110163f63d9.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/3cb46d91-95b8-4fc4-a9a1-d58480f368a4.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/baa04d4b-05be-44f1-8087-1244b933ce41.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/c57a12fb-6b01-4235-91b7-4cab8988fe13.jpg.780x439.jpg;,【房源亮点】临 地铁线【交通出行】1号线，12线，3线，交通便利【周边配套】有全家，漕溪菜市场，医院，生活便 捷。
SH2391096819586441216,整租·漕溪一村 1室0厅 南,https://image1.ljcdn.com/310000-inspection/4899e134-4ea7-4352-8214-c6e6741a4c42.jpg.250x182.jpg,徐汇,万体馆,漕溪一村,20,1室0厅0卫,南,3900,近地铁;随时看房;,高楼层/5层,2020-02-20,,整租,季付,3900,0,需咨询,11号线(花桥-迪士尼)，11号线(嘉定北-1184m;11号线(花桥-迪士尼)，11号线(嘉定北-1184m;11号线(花桥-迪士尼)，11号线(嘉定北-1184m;11号线(花桥-迪士尼)，11号线(嘉定北-1184m;11号线(花桥-迪士尼)，11号线(嘉定北-1184m;,True,True,True,True,True,True,True,True,True,True,暂无数据,民电,自采暖,1年以内,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/4899e134-4ea7-4352-8214-c6e6741a4c42.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/bac62cd9-3352-4cff-a840-66c4d1a6acbe.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e31692b3-b8f6-4b33-920b-16cab0077969.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/446380c9-f4a0-4ba7-a26f-c518d19997ca.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/0f058f71-6731-411f-9109-56ea392de244.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/9596eb37-49bc-4e72-ad98-f9e5569e33a7.jpg.780x439.jpg;,【房源亮点】精装修双南两房，配套齐全，采光好，家具家电齐全，业主诚意出租【交通出行】3号线（漕溪路站）；1/12号线（漕宝路站）；3/12号线（龙漕路站）【周边配套】小区旁边有漕溪公园，出门有漕溪菜市场、宏润菜市场，农工商超市，宜家家居，汇阳光场，徐汇日月光，仁爱医院，上海市第八医。
SH2436894519191404544,整租·漕溪四村 1室1厅 南,https://image1.ljcdn.com/310000-inspection/872e0308-3cab-42d6-a42d-7f82e58fb5a0.jpg.250x182.jpg,徐汇,万体馆,漕溪四村,40,1室1厅1卫,南,5500,近地铁;精装;,高楼层/6层,2020-02-23,精装修,整租,季付,5500,0,需咨询,11号线(花桥-迪士尼)，11号线(嘉定北-1137m;11号线(花桥-迪士尼)，11号线(嘉定北-1137m;11号线(花桥-迪士尼)，11号线(嘉定北-1137m;11号线(花桥-迪士尼)，11号线(嘉定北-1137m;,True,True,True,True,True,False,True,False,True,True,暂无数据,民电,集中供暖,1年以内,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/872e0308-3cab-42d6-a42d-7f82e58fb5a0.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/1da6d35c-b0a9-49e7-9e61-1cd75400f6a0.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/6c681b8e-96d0-4320-8962-976fc0a7df4f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f5765b2c-5f66-4c4f-ab64-bd685bdc0159.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/d40973b4-be1c-44fe-bb9f-03f8535d9e1a.png.780x439.jpg;,【装修描述】精装修一房，户型板正，采光好视野好，房子保养的还挺好的，干净整洁。中楼层，减少了上下爬楼梯的苦恼【交通出行】公交站台：120路;166路;301路;326路;720路;809路;徐闵夜宵专线，近地铁3号线、12号线龙漕路一杯奶茶的时间即可到达【周边配套】出门有如海超市，漕溪菜市场，该小区近徐汇日月光、汇阳广场、光大会展、上海第八人民医院等
SH2381062370841083904,整租·凯翔小区 2室1厅 南,https://image1.ljcdn.com/310000-inspection/pc1_cnD3Tt1Am_1.jpg.250x182.jpg,徐汇,万体馆,凯翔小区,66,2室1厅1卫,南,5500,近地铁;,低楼层/18层,2020-02-09,,整租,需咨询,5500,0,需咨询,3号线-漕溪路-772m;3号线-漕溪路-772m;3号线-漕溪路-772m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,True,民水,True,https://image1.ljcdn.com/310000-inspection/pc1_cnD3Tt1Am_1.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/9bdaaf43-aa61-4004-b2a0-4451367b769d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/ff8ef354-97a0-45d5-ab11-8b1b1c948473.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/0b26a6d3-b334-42da-ae8f-da483764fbde.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/ac560c25-64d9-4f3c-9d00-f8688609ac9b.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/9f773f90-2403-4b49-9d3b-2c0867ee4bca.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/standard_70a57786-f8cb-4db7-a9b9-9f110df7a478.png.780x439.jpg;,
SH2463709909863645184,整租·龙山新村 1室1厅 南,https://image1.ljcdn.com/110000-inspection/fd49f8025145decb02e0e8783bb13dd1.jpg.250x182.jpg,徐汇,万体馆,龙山新村,39,1室1厅1卫,南,4500,新上;近地铁;,中楼层/6层,2020-02-25,,整租,季付,4500,0,需咨询,7号线，12号线-龙华中路-1183m;7号线，12号线-龙华中路-1183m;7号线，12号线-龙华中路-1183m;7号线，12号线-龙华中路-1183m;7号线，12号线-龙华中路-1183m;7号线，12号线-龙华中路-1183m;,True,True,True,True,True,True,True,True,True,True,暂无数据,民电,暂无数据,1年以内,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/110000-inspection/fd49f8025145decb02e0e8783bb13dd1.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/3c5b0c70a5e77b88bfcec21e03eb6da8.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/c0034db2c550e7a6aaf097499715ed3c.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/b3a911d10ad223cae8d928654e33a183.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/83ebc429-e020-4e03-b5c4-37590c0ee089.png.780x439.jpg;,【房源亮点】交通方便+随时入住+旁边繁华，吃喝一体，玩的开心，玩的尽兴，玩的多【装修描述】简单装修，房子干净整洁，采光好，居家一房，拎包即住.....【交通出行】徐汇万体馆板块享受徐家汇商圈配套，出门左右双地铁4号山海体育场站和11号和1号游泳馆体育馆站和7号线东安站【周边配套】美罗城、港汇，汇联商厦，星游城等各大商场，徐家汇公园，菜市场，配套成熟【小区介绍】小区所在位置繁华，配套齐全，还有美罗城，永新坊，腾飞大厦，星游城，飞洲国际大型超市，距离龙华医院只需962米（此数据来自百度地图），居家生活便利，小区门口就是地铁4号线上海体育场
SH2415945699696058368,整租·天钥新村 2室1厅 南,https://image1.ljcdn.com/310000-inspection/5db63ef0-2128-42b3-8c7b-12199a12eef0.jpg.250x182.jpg,徐汇,万体馆,天钥新村,53,2室1厅1卫,南,6200,近地铁;,中楼层/6层,2020-02-24,,整租,季付,6200,0,需咨询,1号线，9号线，11号线(花桥-迪士尼)，11号线(嘉定北-1195m;1号线，9号线，11号线(花桥-迪士尼)，11号线(嘉定北-1195m;1号线，9号线，11号线(花桥-迪士尼)，11号线(嘉定北-1195m;1号线，9号线，11号线(花桥-迪士尼)，11号线(嘉定北-1195m;1号线，9号线，11号线(花桥-迪士尼)，11号线(嘉定北-1195m;1号线，9号线，11号线(花桥-迪士尼)，11号线(嘉定北-1195m;1号线，9号线，11号线(花桥-迪士尼)，11号线(嘉定北-1195m;1号线，9号线，11号线(花桥-迪士尼)，11号线(嘉定北-1195m;1号线，9号线，11号线(花桥-迪士尼)，11号线(嘉定北-1195m;1号线，9号线，11号线(花桥-迪士尼)，11号线(嘉定北-1195m;1号线，9号线，11号线(花桥-迪士尼)，11号线(嘉定北-1195m;1号线，9号线，11号线(花桥-迪士尼)，11号线(嘉定北-1195m;,True,True,True,True,True,True,True,True,True,True,租用车位,民电,暂无数据,2年以内,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/5db63ef0-2128-42b3-8c7b-12199a12eef0.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/0d8c0895-c3c4-4992-8a95-b31b089a3fff.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/c6d16d1e-10a2-47d7-a599-578f4919b731.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/50622c0c-6f47-42c6-aa7c-655c4145a6be.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/df08c3f1-36c8-4c7b-93d2-12a490e9290e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/060f17c8-c748-4d36-8a7f-a4c1e06a668a.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/2302981b-4ea5-4940-a420-c9a3d830e92a.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/382523ba-2bfd-4289-95cc-a6ae67351b5d.png.780x439.jpg;,【房源亮点】交通方便+随时入住+旁边繁华，吃喝一体，玩的开心，玩的尽兴，玩的多【装修描述】精装修，房子干净整洁，两室一厅，居家两房，。。。。。。。。。。。。。。。。【交通出行】徐汇万体馆板块享受徐家汇商圈配套，出门左右双地铁4号山海体育场站和11号和1号游泳馆体育馆站和7号线东安站【周边配套】美罗城、港汇，汇联商厦，星游城等各大商场，徐家汇公园，菜市场，配套成熟【小区介绍】小区所在位置繁华，配套齐全，还有美罗城，永新坊，腾飞大厦，星游城，飞洲国际大型超市，距离龙华医院只需962米（此数据来自百度地图），居家生活便利，小区门口就是地铁4号线上海体育场
SH2433304040667619328,整租·龙山新村 1室1厅 南,https://image1.ljcdn.com/110000-inspection/796ce5a85b7156c52f1c29e2f3e0d336.jpg.250x182.jpg,徐汇,万体馆,龙山新村,38,1室1厅1卫,南,5000,近地铁;,中楼层/4层,2020-02-19,,整租,季付,5000,0,需咨询,7号线，12号线-龙华中路-1183m;7号线，12号线-龙华中路-1183m;7号线，12号线-龙华中路-1183m;7号线，12号线-龙华中路-1183m;7号线，12号线-龙华中路-1183m;7号线，12号线-龙华中路-1183m;,True,True,True,True,True,True,True,True,True,True,暂无数据,民电,暂无数据,1年以内,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/110000-inspection/796ce5a85b7156c52f1c29e2f3e0d336.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/7ebe800e8c0aac15e4b59d58605e888d.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/f047f2ce82c85aaf3896226d94d46162.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/c0a5a57c32972eb46b65ff8060abffca.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/836985c0b3114f2c6cbb2cf0a1c46ceb.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/eb580145bab828d4e86fe33aeec06cba.jpg.780x439.jpg;,【房源亮点】交通方便+随时入住+旁边繁华，吃喝一体，玩的开心，玩的尽兴，玩的多【装修描述】简单装修，房子干净整洁，采光好，居家一房，拎包即住.....【交通出行】徐汇万体馆板块享受徐家汇商圈配套，出门左右双地铁4号山海体育场站和11号和1号游泳馆体育馆站和7号线东安站【周边配套】美罗城、港汇，汇联商厦，星游城等各大商场，徐家汇公园，菜市场，配套成熟【小区介绍】小区所在位置繁华，配套齐全，还有美罗城，永新坊，腾飞大厦，星游城，飞洲国际大型超市，距离龙华医院只需962米（此数据来自百度地图），居家生活便利，小区门口就是地铁4号线上海体育场
