hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2436090441100435456,整租·日晖二村 1室0厅 南,https://image1.ljcdn.com/lease-image/house/ca2234f5133ab1844c993036401a22d0.jpeg.250x182.jpg,徐汇,斜土路,日晖二村,32,1室0厅1卫,南,5300,近地铁;随时看房;,低楼层/6层,2020-01-18,,整租,季付,5300,0,2650,7号线，12号线-龙华中路-1168m;7号线，12号线-龙华中路-1168m;7号线，12号线-龙华中路-1168m;7号线，12号线-龙华中路-1168m;7号线，12号线-龙华中路-1168m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,False,民水,True,https://image1.ljcdn.com/lease-image/house/ca2234f5133ab1844c993036401a22d0.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/565600f3e4c8832881770abdea9e453a.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/ddf00c86dbc7e512c98d28df1ae2b04e.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/2e29a396bc87f5323ebf1709e6fb008e.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/af25a038a8053ec5c18a0143e0d5a1c3.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/720cd9be6a225795004bb5b3ee003fe6.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/4a353a4f-cf97-4e8e-b0f9-0c05f37b0f4b.png.780x439.jpg;,
SH2433820890916454400,整租·大木小区 2室1厅 南/北,https://image1.ljcdn.com/lease-image/house/1949023429288c9d2cc7e9d037e80350.jpeg.250x182.jpg,徐汇,斜土路,大木小区,59,2室1厅1卫,南/北,6500,近地铁;精装;随时看房;,高楼层/6层,2020-01-14,精装修,整租,季付,6500,0,3250,9号线-打浦桥-814m;9号线-打浦桥-814m;9号线-打浦桥-814m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,自采暖,暂无数据,随时可看,随时入住,False,民水,True,https://image1.ljcdn.com/lease-image/house/e908de215280c943ce811deeb19dd639.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/1949023429288c9d2cc7e9d037e80350.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/33266f2eb3ef48fc0f0968a08fe0a343.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/084b4040b8a41fa0dca77561fa318129.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/13e3bbb9983e6444ec767b7c5f236d27.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/20157e5db5efe5d917402ad4970f90e4.jpeg.780x439.jpg;,
SH2340603105197948928,整租·瑞金尊邸 2室2厅 南,https://image1.ljcdn.com/lease-image/house/40cbb15e-8958-4079-bc01-4ec001c78e34.jpg.250x182.jpg,徐汇,斜土路,瑞金尊邸,88,2室2厅1卫,南,10300,近地铁;精装;随时看房;,中楼层/12层,2019-12-12,精装修,整租,季付,10300,0,5150,4号线-鲁班路-699m;4号线-鲁班路-699m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,自采暖,暂无数据,随时可看,随时入住,True,民水,True,https://image1.ljcdn.com/lease-image/house/f4619dfb-4626-4d6d-89b7-357e8f3add18.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/e248430c-695f-44b3-ab85-e0c05442b532.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/06bb8e57-7279-4ea9-b848-ba246f67e26f.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/c1625c64-b561-4c31-81bf-ffb7c940d206.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/669acfbf-fdf1-4d3e-8047-19af37c87aab.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/2ffb168e-e902-40ce-8390-c3208c75c810.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/2624063e-1fc1-4ad2-918e-824f1753b9cd.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/40cbb15e-8958-4079-bc01-4ec001c78e34.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/d901d8f1-cafe-4694-b231-5640009892a6.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/e10de547-cbe6-4c2e-924f-f01332f784b4.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/ed9dc5c0-df6a-4ce7-86d2-840ac8d365a3.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/303eb756-c4d1-4e7b-b5e1-a66a353cc091.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/951b2a4e-f20f-4d1c-8815-be502faf98eb.png.780x439.jpg;,
SH2334512522302070784,整租·瑞金尊邸 2室1厅 东南/南,https://image1.ljcdn.com/lease-image/house/d43da3b2-ab14-4bab-870f-1c6631859c0f.jpg.250x182.jpg,徐汇,斜土路,瑞金尊邸,96,2室1厅1卫,东南/南,10500,近地铁;精装;随时看房;,高楼层/18层,2020-01-01,精装修,整租,季付,10500,0,5250,4号线-鲁班路-699m;4号线-鲁班路-699m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,自采暖,暂无数据,随时可看,随时入住,True,民水,True,https://image1.ljcdn.com/lease-image/house/d43da3b2-ab14-4bab-870f-1c6631859c0f.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/59bdc5e1-f9c4-467b-86c4-f8448a202fc8.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/a3e5023a-9249-4fc5-bc4b-8d91b9d79245.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/6ffc9c2856e5580129caafc7391bb306.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/d62780050a6298a701c65ed788d02609.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/7c8252a9186bcd6fce3635c7eca15d3e.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/c0bc36fc63910db292b0803147fc3ba4.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/c57b013a-7ec7-4d90-9f89-c7d2ebc16ed7.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/1d346789-89db-4083-8bd7-3c12971a3d65.png.780x439.jpg;,
SH2463104634374864896,整租·西木小区 1室1厅 南,https://image1.ljcdn.com/110000-inspection/d54a272967f545832d91ba2164e8a81c.jpg.250x182.jpg,徐汇,斜土路,西木小区,0,,,4200,新上;近地铁;,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,,,,,,,False,,False,,
SH2409175038977908736,整租·零陵公寓 1室1厅 南,https://image1.ljcdn.com/310000-inspection/178191de-5f6f-496b-a3e9-65b6722d585a.jpg.250x182.jpg,徐汇,斜土路,零陵公寓,38,1室1厅1卫,南,4000,月租;近地铁;,高楼层/6层,2020-02-21,,整租,季付,4000,0,需咨询,4号线，7号线-东安路-911m;4号线，7号线-东安路-911m;4号线，7号线-东安路-911m;,True,True,True,True,True,False,True,False,True,True,租用车位,民电,自采暖,1~3个月,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/178191de-5f6f-496b-a3e9-65b6722d585a.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/46e43250-5c3d-47cb-a347-0e588d9d6e97.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/39d1b97f-d0e8-4614-8ce7-b6b3a2506552.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/619f478a-d7a9-4670-8fa1-57ff6c95e208.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/63411cb7-a6ac-4718-a8b7-c2b19ee71a55.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/c7b060dd-1c78-46f9-93ae-b476453f8c81.jpg.780x439.jpg;,【房源亮点】房源目前可以短租3个月，业主也能付中介费，价格不要设限，阿姨很好说话【出租原因】房东多余房产出租，业主阿姨很好说话，急租，只要客户能看上房子，其他的都不是问题【小区介绍】该小区距大木桥地铁站20米，旁边菜市场，便利店众多，生活便利，，
SH2454302485817597952,整租·日晖六村 1室0厅 南,https://image1.ljcdn.com/110000-inspection/b61dcd83-433b-47ba-986a-b07745eb0812.jpg.250x182.jpg,徐汇,斜土路,日晖六村,32,1室0厅1卫,南,4000,近地铁;精装;,低楼层/5层,2020-02-20,精装修,整租,季付,4000,0,需咨询,7号线，12号线-龙华中路-1192m;7号线，12号线-龙华中路-1192m;7号线，12号线-龙华中路-1192m;7号线，12号线-龙华中路-1192m;7号线，12号线-龙华中路-1192m;,False,True,True,True,False,False,True,False,True,False,暂无数据,民电,暂无数据,2年以内,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/110000-inspection/b61dcd83-433b-47ba-986a-b07745eb0812.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/9e3c72ae-a46e-45e0-9776-61de7adb9197.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/e5de2194-ebca-4116-88de-d3e3d531897e.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/824e167f-4ef8-4082-83a5-4986cf0c3dd3.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/f34e5457-1640-428c-9bdd-191554d34c1f.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/84e5922b-6ea4-452b-aa39-6e5de98a0f4e.png.780x439.jpg;,【装修描述】全部全新精装修，品质家电，精致家具，房东诚意出租，，，，，，【交通出行】出门零陵路大木桥路上4号12号线大木桥地铁站，公交站45，104，327，572路公交车【小区介绍】小区位置好，有菜场，超市，早点，家政，理发店，南门出门就是地铁口，
SH2380181405058465792,整租·日晖六村 1室1厅 北,https://image1.ljcdn.com/310000-inspection/8929226b-1b89-4da1-9bee-0ef19ca2b06c.jpg.250x182.jpg,徐汇,斜土路,日晖六村,34,1室1厅1卫,北,4200,近地铁;精装;随时看房;,中楼层/5层,2020-02-22,精装修,整租,季付,4200,0,需咨询,7号线，12号线-龙华中路-1192m;7号线，12号线-龙华中路-1192m;7号线，12号线-龙华中路-1192m;7号线，12号线-龙华中路-1192m;7号线，12号线-龙华中路-1192m;,True,True,True,True,True,False,True,False,True,True,暂无数据,民电,暂无数据,1年以内,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/2c580da4-9bb1-4bfe-9057-341e49e212e5.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/5b8cd2df-461c-42a9-b730-e99879818952.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/8929226b-1b89-4da1-9bee-0ef19ca2b06c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/3b2ab3e9-6f2b-4d79-a157-1365a3677f56.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b1c45150-40e2-43cf-9df9-5dee9584e710.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/259d57f5-45fb-4082-ba77-58263e696485.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b462fc90-137e-465c-bea9-a4ac4f88b9ba.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/9f466592-4eb6-4d8b-9025-a70bc31a55ee.jpg.780x439.jpg;,【房源亮点】房源精装修，大木桥路地铁口200米，交通便利，超市，菜场，医院，娱乐等配套齐全，小区还有日晖绿地作为公共活动空间【交通出行】大木桥路地铁站与嘉善路地铁站中间位置，还有多条公交线路通过，交通极其便利【周边配套】小区位于大木桥路地铁站与嘉善路地铁站中间位置，交通便利，沿斜土路往东步行600米为中山医院，菜场，超市，娱乐设施等配套实施齐全
SH2438410872176254976,整租·日晖六村 1室1厅 北,https://image1.ljcdn.com/310000-inspection/7a6c9db8-f8db-4b52-bd7d-24715015a7af.jpg.250x182.jpg,徐汇,斜土路,日晖六村,32,1室1厅0卫,北,3500,近地铁;,中楼层/5层,2020-02-09,,整租,需咨询,3500,0,需咨询,7号线，12号线-龙华中路-1192m;7号线，12号线-龙华中路-1192m;7号线，12号线-龙华中路-1192m;7号线，12号线-龙华中路-1192m;7号线，12号线-龙华中路-1192m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/7a6c9db8-f8db-4b52-bd7d-24715015a7af.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/addca210-a484-46ff-8859-d7dc3996ad21.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/9af243c6-8d68-458f-962a-39301487af14.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/78cf90bf-c94c-462a-9166-055b9c59c485.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/ffa16080-9ef5-42d0-8c4d-939937e876d4.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/2d89992e-7c1d-4450-b21e-b74eda63f06b.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/33cb8840-af0d-45d2-b7c8-6a35bf610606.jpg.780x439.jpg;,
SH2434564629104427008,整租·中山新村 1室1厅 北,https://image1.ljcdn.com/310000-inspection/29904318-1677-4788-b0dd-fc26570a6535.jpg.250x182.jpg,徐汇,斜土路,中山新村,28,1室1厅1卫,北,3900,近地铁;,中楼层/6层,2020-02-22,,整租,需咨询,3900,0,需咨询,4号线，12号线-大木桥路-910m;4号线，12号线-大木桥路-910m;4号线，12号线-大木桥路-910m;4号线，12号线-大木桥路-910m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/29904318-1677-4788-b0dd-fc26570a6535.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a6a83272-ea21-425a-8e9f-cafbb3a0a9ee.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/d3ca7dba-2ce7-4081-8862-bd9a2b39b096.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/3b7ea7ef-8993-4d9b-b7c6-f48788d74752.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/52b8cccf-fef7-4185-a772-29b35a840108.png.780x439.jpg;,
