hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2429690713899286528,整租·苑宏新村 1室1厅 南,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20200218110553137,徐汇,徐汇滨江,苑宏新村,39,1室1厅1卫,南,3800,随时看房;,高楼层/6层,2020-01-08,,整租,季付,3800,0,1900,,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,自采暖,暂无数据,随时可看,随时入住,False,民水,True,,
SH2396336973196296192,整租·苑宏新村 1室1厅 南,https://image1.ljcdn.com/310000-inspection/c0dd5fb3-83ba-4a46-83e3-d024828127bf.jpg.250x182.jpg,徐汇,徐汇滨江,苑宏新村,33,1室1厅1卫,南,3500,,低楼层/6层,2020-02-22,,整租,季付,3500,0,需咨询,,False,False,True,True,True,False,True,False,True,False,暂无数据,民电,自采暖,1年以内,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/c0dd5fb3-83ba-4a46-83e3-d024828127bf.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/36ffbf3e-dbc5-44df-b161-7fc3407255c9.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/1ea56acf-8325-49ef-8b40-38826dd0bfb0.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f2c32284-a06a-4d9a-a878-dc91d166f253.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/72f6580f-2e62-4bb5-9c44-7070ef5508c9.jpg.780x439.jpg;,【装修描述】室内精装，拎包入住 卧室温馨舒适，搭配心仪 厨房设施齐全，让美味来的更加轻松【交通出行】小区门口交通便利，到达11号线龙耀路地铁站仅2千米，到达3号线石龙路地铁站2千米 多辆公交车通行，56路，178路 714路【周边配套】有大型商场商场奥特莱斯，有新罗秀菜市场， 2千米大华医院，3千米上海市第八人民医院，裕席超市，农工商超市， 中国农业银行8百米，邮政储蓄银行九百米
SH2462767971240509440,整租·长峰小区 1室1厅 南,https://image1.ljcdn.com/110000-inspection/6efd88baacb3dbd8a2d4f9c40efb0595.jpg.250x182.jpg,徐汇,徐汇滨江,长峰小区,54,1室1厅1卫,南,4500,新上;近地铁;,高楼层/6层,2020-02-23,,整租,需咨询,4500,0,需咨询,11号线(嘉定北-迪士尼)，11号线(花桥-947m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/110000-inspection/6efd88baacb3dbd8a2d4f9c40efb0595.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/e1605881249d349626b663e1e27934f0.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/69ddc784b603501f5038d499592ac1ae.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/eabd84a5a781941815ff92e108d6f51c.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/7ddefc96-0b5c-4ab2-9a3f-86b617973b7d.png.780x439.jpg;,
SH2436889605027397632,整租·苑宏新村 2室1厅 南,https://image1.ljcdn.com/310000-inspection/8270d5d0-1d5e-4520-96c6-3132b1a0ccaa.jpg.250x182.jpg,徐汇,徐汇滨江,苑宏新村,60,2室1厅1卫,南,5200,精装;,低楼层/6层,2020-02-24,精装修,整租,季付,5200,0,需咨询,,True,True,True,True,True,True,True,True,True,True,租用车位,民电,自采暖,3年以内,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/8270d5d0-1d5e-4520-96c6-3132b1a0ccaa.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/830e2b8c-0f22-47a1-af03-4726007d1c9b.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/d267ed1f-c8f0-4e20-bb0d-39b98c7aad10.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/cfefdbe3-1908-49f8-83e9-2561be0f3d52.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b41c95a2-6441-44ed-90b2-891fc03c3d52.jpg.780x439.jpg;,【装修描述】室内精装，拎包入住，卧室温馨舒适，厨房设施齐全，让生活更加舒适！【交通出行】小区门口交通便利，到达11号线龙耀路地铁站仅2千米，到达3号线石龙路地铁站2千米 多辆公交车通行，56路，178路， 714路。【周边配套】有大型商场商场奥特莱斯，有新罗秀菜市场， 大华医院2km左右，上海市第八人民医院3km左右，裕席超市，农工商超市， 中国农业银行800米，邮政储蓄银行900米。
SH2435492781720862720,整租·苑宏新村 1室1厅 南,https://image1.ljcdn.com/310000-inspection/cc5e77a1-f24a-4200-8cae-f9966de1bda0.jpg.250x182.jpg,徐汇,徐汇滨江,苑宏新村,35,1室1厅1卫,南,4600,,高楼层/6层,2020-02-22,,整租,需咨询,4600,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,一般下班后可看,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/43866abc-a922-4513-9a32-cea1b4e0b257.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/cc5e77a1-f24a-4200-8cae-f9966de1bda0.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/42f5bb1b-99cd-4ae2-9a35-c88d8c03c247.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/980ca3a8-2d7a-4fea-8199-96e545dd259c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b8256852-1f66-4cc4-8a53-9b887b103aa4.jpg.780x439.jpg;,
SH2412824748355485696,整租·尚海湾豪庭 1室2厅 南,https://image1.ljcdn.com/310000-inspection/abd555af-035a-47ca-bb66-e71646e86fa6.jpg.250x182.jpg,徐汇,徐汇滨江,尚海湾豪庭,64,1室2厅1卫,南,13000,近地铁;精装;,中楼层/36层,2020-02-25,精装修,整租,季付,13000,0,需咨询,4号线，7号线-东安路-1127m;4号线，7号线-东安路-1127m;,True,True,True,True,True,True,True,False,True,True,租用车位,民电,自采暖,2年以内,需提前预约,随时入住,True,民水,True,https://image1.ljcdn.com/310000-inspection/895451c1-c9e2-4c05-8627-edeb3b022e12.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/98dc8712-402f-41ee-8053-5ee516ba70ab.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/abd555af-035a-47ca-bb66-e71646e86fa6.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/716d1b70-c511-4a56-864a-a56aa7debba2.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a715157c-0947-4646-b487-9c1c99720ca3.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/ed744a93-f80d-4656-9fc9-3950a13e4aec.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b8590492-e806-4ec4-9f21-71c222eb72a1.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/1acb5382-83b4-435e-885b-d1640edb8737.png.780x439.jpg;,【房源亮点】此房是尚海湾里稀有精装一房，卧室朝南，进行奢适自然的生活，家电家具齐全，可拎包入住。高区窗外景观也很好，视野极好，业主诚意出租。【装修描述】开发商统一精装，全进口厨具卫浴、地暖新风+中空，软水系统一应俱全，给您良好的居住体验。【交通出行】小区出门向南行100多米，即可到达龙腾大道，开车可以直达浦东；步行到龙华路7号，12号地铁站，只需要620米（百度地图距离），还有云锦路11号地铁站；交通便利。【出租原因】业主闲置的房子，诚意出租，可随时起租！！！！！！！！！！！！【周边配套】商场：绿地缤纷城，保利时光里，正大乐城， 公园：滨江绿化长廊 东安公园 医疗：中山医.院，龙华医院 盛大花园 兼有上海户外美术馆，位置交通良好。步行10min到商场，紧靠黄浦江，小区出门就是龙腾大道，滨江跑道，【小区介绍】小区绿化高，管理好，服务周到，距离滨江步道仅200米，江景资源很好，小区整体密度低，人文艺术氛围浓厚，规划由严格且密集，居住人群素质较高，社区年轻有活力。整个项目由8幢住宅、15个单元构成。
SH2450003476613709824,整租·尚海湾豪庭 1室2厅 南,https://image1.ljcdn.com/310000-inspection/80ac4969-c56e-43b4-951e-bbe757f1871c.jpg.250x182.jpg,徐汇,徐汇滨江,尚海湾豪庭,64,1室2厅1卫,南,11000,近地铁;精装;,中楼层/37层,2020-02-25,精装修,整租,季付,11000,0,需咨询,4号线，7号线-东安路-1127m;4号线，7号线-东安路-1127m;,True,True,True,True,True,True,True,True,True,True,租用车位,民电,自采暖,暂无数据,需提前预约,2020-02-29,True,民水,True,https://image1.ljcdn.com/310000-inspection/6daf0157-80e9-493d-a1e2-aca7531e91e9.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/80ac4969-c56e-43b4-951e-bbe757f1871c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/ea9acdb3-1a6b-42b9-99b3-333b0d1110af.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/1d3a264c-0d98-4b9e-b36d-149df26a1391.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/12795174-46ec-4969-a39e-1362eb1e805e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/1d8d9266-e87d-44e8-a245-dc8548c869b2.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b0e10a1c-25c9-4105-8168-0f56bf0db8f8.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/1acb5382-83b4-435e-885b-d1640edb8737.png.780x439.jpg;,【房源亮点】此房源于该小区在租房源中颇具优势！楼栋位于前排，高区瞰江视线开阔无遮挡。考虑到疫情的严峻形势，房东叔叔主动降价，以示关怀。【户型介绍】户型图一目了然，一房两厅一厨一卫。厅朝南带阳台，卧室带飘窗平行且居于客厅东侧。【装修描述】麻雀虽小五脏俱全，因之前用于自住，装修时所用材料均经过精心挑选，绿色环保且实用性强，局部嵌入设计理念，隐藏着对生活美好的向往。【交通出行】小区旁，7号线12号线在龙华中路站交汇，及稍远处4号线龙华站，驱车2Min即可上内环高架！立体交通顺达城市各中-心。【周边配套】商场林立，绿地缤纷城，保利时光里，正大乐城，各大品牌商争相入驻，延展了徐家汇的繁华，对接外滩名流畅。共同构筑浦江岸线上耀眼城市综合体。滨江8.4Km的开发区域变身为水上创意空间，水上剧场，塔剧吊场点缀其间，兼有上海户外美术馆！【小区介绍】这俨然是一座自然山水公园，社区围绕水面次第铺展，从总体到布局，风情园林，开敞的人工特色水景星罗棋布。曲岸回环。水脉绵长，以风雨连廊为依托，高大的热带乔木于林深处层层叠进，露天泳池，全落地窗宁谧将景观园林将异域的遐思尽情描绘！
SH2227264002549874688,整租·百汇园 2室2厅 南,https://image1.ljcdn.com/310000-inspection/57e32454-03f2-4a19-93c2-f3362913e72d.jpg.250x182.jpg,徐汇,徐汇滨江,百汇园,114,2室2厅1卫,南,17000,近地铁;精装;,低楼层/35层,2020-02-25,精装修,整租,季付,17000,0,需咨询,7号线-后滩-1129m;7号线-后滩-1129m;7号线-后滩-1129m;7号线-后滩-1129m;,True,True,True,True,True,True,True,True,True,True,暂无数据,民电,自采暖,3年以内,需提前预约,随时入住,True,民水,True,https://image1.ljcdn.com/310000-inspection/f17cf392-9eed-4133-ae7c-fbd835c723a7.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/36cc00c4-addb-4619-83f2-282c4296d321.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e4ca733b-e71f-455f-80b3-2d7dd971d87c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/789c2184-5b3f-4859-ad4c-6fcf9a8fdeae.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/523e62c5-bf31-4b0c-b789-1bae3d2c5de4.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/57e32454-03f2-4a19-93c2-f3362913e72d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/9f165a84-3041-4dcd-89b4-90378491eee5.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/46f61f30-9e3a-4c0b-8aa6-48044d91bca2.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/40f15679-bd32-47c7-b258-558c0fbb2487.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f9bc3dd6-f5ae-4174-be41-0749d3c0e5ad.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e1843d44-f464-441c-b2ef-74c251d4fffc.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/75dc6785-504e-44d0-ab86-b37615492a18.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/1abf0114-f2ec-4eab-a1af-bcf7c17111ae.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e4ef82b5-8023-4e42-87a9-a3f15117ec02.jpg.780x439.jpg;,【房源亮点】百汇园两室精装修，户型方正，两房朝南，厅朝南，采光很好。两个房间和客厅都可以看到江景。【户型介绍】两房朝南，厅朝南，户型方正，两房一卫，两个房间包括厅都能看到江景。【装修描述】业主精装修的高区两居室，整体风格简约舒适，屋里的基础家具一应俱全。【交通出行】小区出门右转 步行800米可到达11号线 云景路地铁站，出门也有公交车站，出行方便。【周边配套】有大型商场 绿地商场 保利时光里 和绿地缤纷城 小区门口有菜市场
SH2378755799565467648,整租·民苑小区 2室1厅 南,https://image1.ljcdn.com/310000-inspection/b6a9774c-ca82-4a15-ba15-f2354b8f734b.jpg.250x182.jpg,徐汇,徐汇滨江,民苑小区,70,2室1厅1卫,南,10500,近地铁;精装;,高楼层/6层,2020-01-13,精装修,整租,季付,10500,0,需咨询,11号线(嘉定北-迪士尼)，11号线(花桥-920m;11号线(嘉定北-迪士尼)，11号线(花桥-920m;,True,True,True,True,True,True,True,True,True,True,暂无数据,民电,暂无数据,1年以内,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/f66a533d-5589-411d-8322-0306480ca4da.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a14601f5-8de1-45ba-a203-1e56ec6b294e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b083f3d3-de87-4bb0-85fc-d194b697877c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b6a9774c-ca82-4a15-ba15-f2354b8f734b.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/2950dab7-e4a1-456c-a04d-da46a939264f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/33fe8db2-8ac2-4e65-b7f8-caef6fb943eb.jpg.780x439.jpg;,【房源亮点】南北通透两房，居家装修两室户，房间有一个阁楼，采光无遮挡，全明格局。【交通出行】地铁11号线云锦路，地铁11/12号线龙华站，多路公交站线交汇。交通出行便利。【周边配套】生活设施齐全：配有生活菜市场，商场配有：云锦天地，卜蜂莲花超市，正大乐城，绿地缤纷城。
SH2249794614141919232,整租·尚海湾豪庭 2室2厅 南,https://image1.ljcdn.com/310000-inspection/3710c945-37cb-42fa-b830-0fb1a55ff348.jpg.250x182.jpg,徐汇,徐汇滨江,尚海湾豪庭,94,2室2厅1卫,南,16500,近地铁;精装;,中楼层/31层,2020-02-09,精装修,整租,季付,16500,0,需咨询,4号线，7号线-东安路-1127m;4号线，7号线-东安路-1127m;,True,True,True,True,True,True,True,False,True,True,暂无数据,民电,自采暖,2年以内,需提前预约,随时入住,True,民水,True,https://image1.ljcdn.com/310000-inspection/58bed8b6-30f6-4380-9e86-e72f9c2f3fe4.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/35f865b5-29bb-4ef7-b340-b3028c8b1b78.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/3710c945-37cb-42fa-b830-0fb1a55ff348.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/25849f73-841e-4c0a-9a9b-fcc3e084a20c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/0e403fc3-82ea-4046-9318-937426b42069.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/1f14e2f7-6598-46b7-9e5b-585b4032fd98.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/8c59397b-4ea7-4c7c-abd6-640c298bbf8b.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/8fa238f0-50e5-4539-a00e-644a7dc6c862.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20141226/d486a0a1-0ac3-4a04-855a-4180361b54a0.jpg.780x439.jpg;,【房源亮点】房子空间大，，是尚海湾为数不多的94平的大一房，房子目前格局是一个大卧室，一个小书房（衣帽间），储物空间大，适合物品多的租客【出租原因】房子之前一直自己住，装修标准高，业主现在搬家到其他区了，希望找一个爱惜房子的租户！【小区介绍】1房子位于地铁7.12号线龙华中路站，500米。交通方便                 2房子相邻绿地缤纷城，保利时光里，正大乐成等场所，交通便利                 3房子房子新，房间配套现代化，省心！
