hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2298571804912402432,整租·南宜花苑 1室1厅 南,https://image1.ljcdn.com/lease-image/house/7d6130f6-e761-42ec-a429-b078069ab902.jpg.250x182.jpg,徐汇,徐家汇,南宜花苑,38,1室1厅1卫,南,5000,近地铁;精装;随时看房;,中楼层/7层,2019-12-16,精装修,整租,季付,5000,0,2500,3号线，4号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1143m;3号线，4号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1143m;3号线，4号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1143m;3号线，4号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1143m;,False,True,False,True,True,False,True,False,False,False,暂无数据,民电,自采暖,暂无数据,随时可看,随时入住,False,民水,True,https://image1.ljcdn.com/lease-image/house/7d6130f6-e761-42ec-a429-b078069ab902.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/07f3fcd9-5327-4dfa-89df-69a67181d034.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/8360ebdb-0a20-493f-bf2c-2ba7923a1aa3.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/36971363-1da0-4d98-b1ad-b74a4e89df9e.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/3fd98bc5-425c-45c6-9832-348dd9ab8f5f.png.780x439.jpg;,
SH2311658161712668672,整租·乐山六七村 1室1厅 东南,https://image1.ljcdn.com/lease-image/house/99dcf2d3-e7d0-4fbe-9da0-18651c4c112c.jpg.250x182.jpg,徐汇,徐家汇,乐山六七村,38,1室1厅1卫,东南,5200,近地铁;精装;随时看房;,中楼层/7层,2020-02-17,精装修,整租,季付,5200,0,2600,3号线，4号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1078m;3号线，4号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1078m;3号线，4号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1078m;3号线，4号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1078m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,False,民水,True,https://image1.ljcdn.com/lease-image/house/99dcf2d3-e7d0-4fbe-9da0-18651c4c112c.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/b95c08b9-2a89-4cbb-98b5-7554a8fa84fe.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/8fe68a14-df83-413e-8b9e-d68d7bd93df4.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/ba724114-58b7-4659-b0b0-520d0e9b4944.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/76cafd6b-44ac-4ab5-839a-07d7418e0b38.png.780x439.jpg;,
SH2335516028794044416,整租·广元西路420弄 1室1厅 南,https://image1.ljcdn.com/lease-image/house/7241bd9d-9213-4471-991d-911bb98077e6.jpg.250x182.jpg,徐汇,徐家汇,广元西路420弄,41,1室1厅1卫,南,5680,近地铁;精装;随时看房;,高楼层/6层,2020-01-10,精装修,整租,季付,5680,0,2840,10号线(新江湾城-虹桥火车站)，11号线(花桥-959m;10号线(新江湾城-虹桥火车站)，11号线(花桥-959m;10号线(新江湾城-虹桥火车站)，11号线(花桥-959m;10号线(新江湾城-虹桥火车站)，11号线(花桥-959m;,False,False,False,False,True,False,True,False,False,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,False,民水,False,https://image1.ljcdn.com/lease-image/house/60df4e45-eac1-4c10-b8fb-66a3e6918ae4.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/7241bd9d-9213-4471-991d-911bb98077e6.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/def960c8-53d4-4cd4-b8de-480789d76878.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/d7362818-6f12-483f-87e9-f935fb3c58c0.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/7905e80e-cb8b-48c1-9163-4b5211be6fcc.jpg.780x439.jpg;,
SH2422495782335676416,整租·乐山六七村 1室1厅 南,https://image1.ljcdn.com/lease-image/house/f4e994e7-8b3e-42f9-b9d5-e2fd64e7a0e7.jpg.250x182.jpg,徐汇,徐家汇,乐山六七村,34,1室1厅1卫,南,4800,近地铁;精装;随时看房;,高楼层/7层,2019-12-29,精装修,整租,季付,4800,0,2400,3号线，4号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1078m;3号线，4号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1078m;3号线，4号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1078m;3号线，4号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1078m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,自采暖,暂无数据,随时可看,随时入住,False,民水,True,https://image1.ljcdn.com/lease-image/house/28e26713-9b87-48b3-b1da-4845c091920f.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/f4e994e7-8b3e-42f9-b9d5-e2fd64e7a0e7.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/27663f63-d72b-41db-9c5d-593ed495c22a.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/1f1935ee-4177-4314-88b5-396e4fe30b80.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/e4c4ed40-5a69-4859-9dda-117fe740b4fe.png.780x439.jpg;,
SH2430360402170232832,整租·虹二小区 1室1厅 南,https://image1.ljcdn.com/lease-image/house/bfa4dbe3-069a-4496-a5ec-777e97a7d190.jpg.250x182.jpg,徐汇,徐家汇,虹二小区,34,1室1厅1卫,南,4800,近地铁;精装;随时看房;,中楼层/5层,2020-01-09,精装修,整租,季付,4800,0,2400,3号线，4号线，9号线-宜山路-1093m;3号线，4号线，9号线-宜山路-1093m;3号线，4号线，9号线-宜山路-1093m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,False,民水,True,https://image1.ljcdn.com/lease-image/house/777cde86-1a10-4f82-9f61-a2609f4eb032.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/bfa4dbe3-069a-4496-a5ec-777e97a7d190.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/fed2ed8c-c993-4a6b-b3fc-231e9635ec71.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/4d8bdcf4-d787-47d6-b5e6-9a85fc8b9738.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/a39712e5-4b74-4e6a-88a8-27315be09b8b.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/f30b36fb-144e-4680-b734-8e59a7338d3d.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/834c5dc7-825f-4d40-8bdd-eea8206ae3ff.png.780x439.jpg;,
SH2433234738442674176,整租·乐山一村 1室1厅 南,https://image1.ljcdn.com/lease-image/house/6c3ca07a-a4e7-4e5a-aa17-868e8db9a79c.jpg.250x182.jpg,徐汇,徐家汇,乐山一村,45,1室1厅1卫,南,5200,近地铁;随时看房;,高楼层/6层,2020-01-13,,整租,季付,5200,0,2600,3号线，4号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-928m;3号线，4号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-928m;,False,False,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,False,民水,False,https://image1.ljcdn.com/lease-image/house/6c3ca07a-a4e7-4e5a-aa17-868e8db9a79c.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/44c2746c-94b0-4c6d-81d7-7f62f4b06c9b.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/bc221ace-d1ae-4c1a-8e45-c100505e4f0c.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/1109ec1e-d560-47ed-9ecc-991c159ccb14.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/59b3aa6c-83a9-493c-85da-c51e3f011ce1.png.780x439.jpg;,
SH2421047376824508416,整租·泰东新村(徐汇) 1室1厅 南,https://image1.ljcdn.com/lease-image/house/1e9f4ffe-1612-470b-9744-d8f3ee8ee3b9.jpg.250x182.jpg,徐汇,徐家汇,泰东新村(徐汇),42,1室1厅1卫,南,5680,近地铁;随时看房;,中楼层/6层,2020-01-03,,整租,季付,5680,0,2840,1号线，4号线-上海体育馆-771m;1号线，4号线-上海体育馆-771m;1号线，4号线-上海体育馆-771m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,False,民水,False,https://image1.ljcdn.com/lease-image/house/3c539a1b-6c18-4744-adcf-71b2558c65f4.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/1e9f4ffe-1612-470b-9744-d8f3ee8ee3b9.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/16771218-1276-42b7-83fe-ed404a78afab.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/c6f8368d-9293-477a-ab32-e1bc0de27280.jpg.780x439.jpg;,
SH2359449585606737920,整租·东方时空公寓 1室1厅 南,https://image1.ljcdn.com/lease-image/house/c0bc4457-e3c3-4b4f-81ce-8c5fe3fd9347.jpg.250x182.jpg,徐汇,徐家汇,东方时空公寓,0,,,6800,新上;近地铁;精装;随时看房;,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,,,,,,,False,,False,,
SH2438172239179284480,整租·兆丰帝景苑 1室1厅 南,https://image1.ljcdn.com/lease-image/house/9b9d092e-2905-43db-a9c5-346ffffbab28.jpg.250x182.jpg,徐汇,徐家汇,兆丰帝景苑,57,1室1厅1卫,南,9000,近地铁;精装;随时看房;,高楼层/25层,2020-01-20,精装修,整租,季付,9000,0,4500,10号线(新江湾城-虹桥火车站)，11号线(花桥-1159m;10号线(新江湾城-虹桥火车站)，11号线(花桥-1159m;10号线(新江湾城-虹桥火车站)，11号线(花桥-1159m;10号线(新江湾城-虹桥火车站)，11号线(花桥-1159m;10号线(新江湾城-虹桥火车站)，11号线(花桥-1159m;,False,True,True,False,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,True,民水,False,https://image1.ljcdn.com/lease-image/house/2f4bc205-bed6-47b6-ab72-ba5cd3059007.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/9b9d092e-2905-43db-a9c5-346ffffbab28.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/d393d33e-665c-45dc-bdec-420910f70170.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/976fd0f0-a848-4349-94c2-72bde04591cc.jpg.780x439.jpg;,
SH2421641228774023168,整租·虹桥路400弄 2室2厅 西南,https://image1.ljcdn.com/lease-image/house/170199d6-1250-459d-9651-e423facb41c2.jpg.250x182.jpg,徐汇,徐家汇,虹桥路400弄,74,2室2厅1卫,西南,8600,近地铁;随时看房;,高楼层/18层,2020-01-04,,整租,季付,8600,0,4300,3号线，4号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-942m;3号线，4号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-942m;3号线，4号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-942m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,True,民水,True,https://image1.ljcdn.com/lease-image/house/00b5aac8-0e34-4ee5-ae7c-cd4fc3dc6f8f.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/5cd6f7f5-2459-46f7-8bef-bb2f4fd8646a.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/170199d6-1250-459d-9651-e423facb41c2.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/95971f03-e90f-4bcb-b23d-be210e701b1d.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/a839120e-d25a-422d-98fd-851d023a0884.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/d0a4da68-b844-418b-bbcf-e9f6d1be17d4.jpg.780x439.jpg;,
