hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2317354584772706304,整租·百龙小区 2室1厅 南,https://image1.ljcdn.com/lease-image/house/8eb950dd3b6e040fee5174ea0b0753b0.jpeg.250x182.jpg,徐汇,植物园,百龙小区,85,2室1厅1卫,南,5800,精装;随时看房;,低楼层/15层,2020-02-05,精装修,整租,季付,5800,0,2900,,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,True,民水,False,https://image1.ljcdn.com/lease-image/house/8eb950dd3b6e040fee5174ea0b0753b0.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/91b9bfb4aebbfaec0c2d9a1624166fae.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/e71d9be09ef2874b12a9d78c80021c08.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/b03aa2defad1b800e8e3030de2c8965a.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/21b1f38021415a371ec8ce6dd95542d6.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/3906ebb38e5a44f4ff17b414ce9c2cdf.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/061c42f602a587b70430878e4b4bf319.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/05b8f0b58f7c13f8a1c18fc5451a88c9.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/f098abb1a16112ced30c9c300e8bb983.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/a978c499-82ce-490f-a456-e7b9acae672a.jpg.780x439.jpg;,【装修描述】房子是居家装修，每个房间都有窗户，房屋家具家电都配置齐全，随时可以看房【交通出行】小区门口多路公交：720.56.178.770.824.831.956.958等【周边配套】有菜市场、银行、超市、24小时便利店、植物园、公交直达徐家汇
SH2414540895467872256,整租·罗秀三村 2室1厅 南,https://image1.ljcdn.com/lease-image/house/bd3950da-4507-472d-9776-f779d9ea47ab.jpg.250x182.jpg,徐汇,植物园,罗秀三村,52,2室1厅1卫,南,4600,随时看房;,中楼层/6层,2020-02-23,,整租,季付,4600,0,2300,,False,True,True,True,False,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,False,民水,False,https://image1.ljcdn.com/lease-image/house/1286ce0c-5558-4604-9661-2da80270c2d5.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/6738dbbf-90ab-4995-b672-118810d3e2a9.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/251e5b83-15e6-4c1a-a872-6b55f79556e8.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/c0935745-5241-4651-846a-c6bebf1f3157.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/8767c75d-d571-43a7-a93f-eef96ddb26d7.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/bd3950da-4507-472d-9776-f779d9ea47ab.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/1ef65428-7dbb-4b72-844e-7fc50f132daf.png.780x439.jpg;,
SH2462762932371996672,整租·园南二村 1室1厅 东南,https://image1.ljcdn.com/110000-inspection/c1b693a913b7fad6876d9ad7e449cacb.jpg.250x182.jpg,徐汇,植物园,园南二村,47,1室1厅1卫,东南,3400,新上;,高楼层/18层,2020-02-24,,整租,需咨询,3400,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,True,民水,True,https://image1.ljcdn.com/110000-inspection/c1b693a913b7fad6876d9ad7e449cacb.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/2ad0f15373d933f7f315924af0a2b01e.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/8a09ce20f98fab6a9802560dbcf04dcc.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/1396140063448c0cc6b2dc55f7b3c38b.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/6db22e8d830da38da1f5dccfd89ed760.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/a26503de211283554eee97bacc93d72e.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/eb2064766bbf05b67167ee34819c7e3d.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/d5ef5789f9ecf8e335533537e422712a.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/9da8f454904698037760e5bf722a2b35.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/standard_d25e282d-38f3-4437-a744-d1ce613f7bea.png.780x439.jpg;,【房源亮点】电梯房，采光优良，视线无遮挡，风景好，房间干净整洁，家电可协商匹配【交通出行】地铁：临上海南站地铁站2公里左右，通1号线，3号线，另有在建15号线，出行方便。 公交：131，180，718，720，810，820，824，973，南南线等。【周边配套】北邻上海植物园，植物多样，环境优美，空气清新；西邻上中，南邻上中路。
SH2434560142265040896,整租·罗秀三村 2室1厅 南,https://image1.ljcdn.com/310000-inspection/e30bc888-dd8e-4d13-9acb-3233ee6c2c54.jpg.250x182.jpg,徐汇,植物园,罗秀三村,64,2室1厅1卫,南,3800,,中楼层/6层,2020-02-21,,整租,需咨询,3800,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/e30bc888-dd8e-4d13-9acb-3233ee6c2c54.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/8f5625da-6b17-46c6-973d-b1b4ae7983d6.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b6378990-08d8-43c7-829f-81e51403b459.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/50faef0e-3924-4f70-9c16-ff21523e29a1.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/87bd5b46-b662-43db-bc35-5146ef21fedb.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/83c6cc1f-5675-48f4-b1b1-341e425d1ae4.jpg.780x439.jpg;,
SH2422997634869362688,整租·华沁家园 1室2厅 南,https://image1.ljcdn.com/310000-inspection/e4b1d1be-6db1-4874-8ef8-18e451ed3abb.jpg.250x182.jpg,徐汇,植物园,华沁家园,56,1室2厅1卫,南,4000,随时看房;,中楼层/34层,2020-02-23,,整租,季付,4000,0,需咨询,,False,False,False,False,False,False,False,False,False,False,租用车位,民电,暂无数据,2年以内,需提前预约,随时入住,True,民水,False,https://image1.ljcdn.com/310000-inspection/e4b1d1be-6db1-4874-8ef8-18e451ed3abb.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/1fd5c585-9397-4ace-8d12-4e45bb3c8d41.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/2e35147b-7614-4002-8694-acfa87af3f01.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/41253edd-67ea-47f2-900c-fc2c5a935b16.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20170509/b7232e2f-1219-4af0-8ceb-c7700dcd1bea.jpg.780x439.jpg;,【户型介绍】本房为两梯六户边套，采光好，精装修户型正气，有钥匙，看房方便，房东诚心出租【周边配套】小区处于中外环之间，植物园滨江附件，有沃尔玛，联华等大型超市，还有龙湖天街，凌云壹街坊等广场。【小区介绍】华沁家园是2012年动迁房，房龄新。小区绿化面积大，小区居民文化素质高，
SH2431177873504075776,整租·华沁家园 1室1厅 南,https://image1.ljcdn.com/310000-inspection/50b5a923-5e57-41d1-8f66-c9f776d80de8.jpg.250x182.jpg,徐汇,植物园,华沁家园,56,1室1厅1卫,南,3700,,低楼层/28层,2020-02-24,,整租,季付,3700,0,需咨询,,False,False,False,False,False,False,True,False,True,True,租用车位,民电,暂无数据,2年以内,需提前预约,随时入住,True,民水,False,https://image1.ljcdn.com/310000-inspection/50b5a923-5e57-41d1-8f66-c9f776d80de8.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/96ed63d5-218d-400a-afda-95c39d3338b2.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/02d870bf-9087-4f28-84e9-2215c58495ea.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/3e4aa72a-64f2-4d0a-afc9-9e8f88e82fc3.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/b9311a02-edc6-4172-8d5f-14058b280a21.png.780x439.jpg;,【交通出行】小区出行便利，有56、958，178、956等多路公交，去漕河泾仅三站，徐家汇五站！【周边配套】小区处于中外环之间，植物园滨江附件，有沃尔玛，联华等大型超市，还有龙湖天街，凌云壹街坊等广场。【小区介绍】华沁家园是2012年动迁房，房龄新。小区绿化面积大，小区居民文化素质高。
SH2431831553274281984,整租·园南三村 1室1厅 南,https://image1.ljcdn.com/310000-inspection/5ea670dc-0457-42cd-81e1-ba0ab4c6db88.jpg.250x182.jpg,徐汇,植物园,园南三村,40,1室1厅1卫,南,3500,,中楼层/6层,2020-02-22,,整租,需咨询,3500,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/5ea670dc-0457-42cd-81e1-ba0ab4c6db88.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/54661d7e-e521-415c-934a-9e3d0005ffbf.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/124bb122-ac56-400b-97ab-3b75c71451c4.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/9f5ce9dc-6672-4637-821b-d0237dfdc542.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a5c3fd18-a7c8-4482-ad62-7c2116f4df8a.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/4bd4ecdc-609c-487a-9a6e-343361f09e35.png.780x439.jpg;,【交通出行】小区里有园南幼儿园等校，学习氛围浓厚，门口有多家蔬果店、长桥菜市场。嘉陵菜市场两个大型菜市场，买菜方便，距小区一千米处有沃尔玛超市及多家连锁便利店。购物便捷。有长桥街道卫生服务点，西南医疗院正在建设，就医方便。【周边配套】小区里有园南幼儿园等校，学习氛围浓厚，门口有多家蔬果店、长桥菜市场。嘉陵菜市场两个大型菜市场，买菜方便，距小区一千米处有沃尔玛超市及多家连锁便利店。购物便捷。有长桥街道卫生服务点，西南医疗院正在建设，就医方便。【小区介绍】小区位于中环路旁，绿化面积大，房子建于1988年，有一定的历史底蕴。
SH2424532748791185408,整租·鑫隆花园 3室1厅 北,https://image1.ljcdn.com/310000-inspection/596ac441-2266-4a6f-9279-f30d07efd04e.jpg.250x182.jpg,徐汇,植物园,鑫隆花园,0,,,5200,随时看房;,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,,,,,,,False,,False,,
SH2369572892746203136,整租·园南三村 2室1厅 南,https://image1.ljcdn.com/310000-inspection/98cd0b64-6dff-4c41-8a0e-e5b6dfdc8329.jpg.250x182.jpg,徐汇,植物园,园南三村,62,2室1厅1卫,南,4800,,中楼层/6层,2020-02-12,,整租,季付,4800,0,需咨询,,True,True,True,True,True,False,True,False,True,True,租用车位,民电,暂无数据,3年以内,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/98cd0b64-6dff-4c41-8a0e-e5b6dfdc8329.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/68464e64-9b5e-4b7d-befe-c65211e008d3.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/5b00282f-b304-4468-9158-0353c630739e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/1cafad9e-9a95-49ec-bd44-2d2aa6e9f4cb.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e644dbc3-76a7-4ad1-b6a6-c7f8ce3eb325.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20171112/9af665a6-77d3-45de-b6e6-48c599cebf4b.jpg.780x439.jpg;,
SH2453593503251300352,整租·华滨家园 2室2厅 南/北,https://image1.ljcdn.com/310000-inspection/492deb2a-0ff1-4f18-9edf-20903c2c4e96.jpg.250x182.jpg,徐汇,植物园,华滨家园,90,2室2厅1卫,南/北,5800,,高楼层/35层,2020-02-23,,整租,需咨询,5800,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,True,民水,True,https://image1.ljcdn.com/310000-inspection/c7a77308-0b10-4a66-bde9-28ee20b16116.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/85d6e605-d6b1-447a-8294-3e2e999490d3.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/492deb2a-0ff1-4f18-9edf-20903c2c4e96.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/7195f10b-02dd-45ad-a6e0-d7f9c624d459.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/62dc733f-e267-4557-bb0f-0d8a2bbfb244.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/85af82b8-a3ba-4e99-a963-05d6c8d50f3f.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/ef0da991-e194-41da-837b-e686938992c3.png.780x439.jpg;,
