hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2396950615969505280,整租·鞍山三村 1室1厅 北,https://image1.ljcdn.com/310000-inspection/74622a5f-3419-4c57-b8be-22cbe1486b01.jpg.250x182.jpg,杨浦,鞍山,鞍山三村,24,1室1厅1卫,北,3000,近地铁;,低楼层/5层,2020-02-23,,整租,需咨询,3000,0,需咨询,8号线-江浦路-736m;8号线-江浦路-736m;8号线-江浦路-736m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/74622a5f-3419-4c57-b8be-22cbe1486b01.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e15dc5a1-42c1-4a4f-94d9-48b1f265a20b.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/534dd2d9-98bd-4a8d-86ea-8b87c76cd16a.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/1a5e32b2-9854-4917-8569-5a8c28485a50.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/a2ee9e6a-82cf-4106-a746-5e04cc9c40d3.png.780x439.jpg;,【房源亮点】鞍山沿线简装一居 出行便利 一楼朝北  房东方诚意出租 配套成熟 购物方便【出租原因】房东有上海有置换房，这套是老房子了，准备出租，房东方意诚，没有高要价【周边配套】沿线路段，旭辉MALL、紫荆广场、君欣时代广场，商圈繁华，超市便利店便捷，配套成熟，交通便利
SH2438145178159562752,整租·鞍山三村 1室0厅 南,https://image1.ljcdn.com/110000-inspection/00b60417-a0ea-44bb-90f2-dc214658ec22.jpg.250x182.jpg,杨浦,鞍山,鞍山三村,32,1室0厅0卫,南,3000,近地铁;随时看房;,中楼层/5层,2020-02-23,,整租,需咨询,3000,0,需咨询,8号线-江浦路-736m;8号线-江浦路-736m;8号线-江浦路-736m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/110000-inspection/1b51690f-cd01-44ca-afc9-b4ee8ccc8456.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/00b60417-a0ea-44bb-90f2-dc214658ec22.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/42131dd4-922b-4bd4-9a49-6841b30203ef.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/e9b0fbb0-1020-4508-b215-d721a4ad5fd3.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/a80c2dd7-25d2-416b-8567-a15188e700fc.jpg.780x439.jpg;,
SH2462231271690993664,整租·密云小区 2室0厅 南,https://image1.ljcdn.com/110000-inspection/a8bc8e1da255d8f93e76ae632e709a9d.jpg.250x182.jpg,杨浦,鞍山,密云小区,35,2室0厅1卫,南,3500,新上;近地铁;随时看房;,低楼层/6层,2020-02-22,,整租,需咨询,3500,0,需咨询,10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1027m;10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1027m;10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1027m;10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1027m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/110000-inspection/a8bc8e1da255d8f93e76ae632e709a9d.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/cdbcf93c73411155b5b164aca5aa7c30.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/9aa5169c8b480050d24ef5172db35faf.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/4cd4ba1943510fff72021b663545570e.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/prod-78e5a612-e0c7-42da-8cf2-1040a5f11ed1.png.780x439.jpg;,
SH2460698678478766080,整租·铁岭路50弄 1室1厅 南/北,https://image1.ljcdn.com/110000-inspection/c57b4edc-4a18-461d-856f-7c08ad532976.jpg.250x182.jpg,杨浦,鞍山,铁岭路50弄,35,1室1厅1卫,南/北,4000,新上;近地铁;,高楼层/5层,2020-02-23,,整租,季付,4000,0,需咨询,8号线-鞍山新村-897m;8号线-鞍山新村-897m;8号线-鞍山新村-897m;,True,True,True,True,True,False,True,False,True,True,暂无数据,民电,暂无数据,1年以内,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/110000-inspection/13132e66-efc8-4d82-b89a-6501bd419632.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/c57b4edc-4a18-461d-856f-7c08ad532976.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/61a86c8b-87ab-4468-b981-85d05f1d2972.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/7f50e55e-cbac-4399-8bd6-c8b50d4beee8.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/afe1954e-d572-41c9-ad74-9c8f3bb61f04.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/0e6d6794-1547-49a1-84c0-12337397c97a.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/2646a5e9-42d2-4d11-9546-acd6479ec99f.jpg.780x439.jpg;,【房源亮点】房屋朝南 阳光充足 住房空间大邻地铁 朝南 配套齐全 居家装修【装修描述】居家装修 房间干净整洁【交通出行】1.地铁：8号线江浦路站，鞍山新村站；10号线同济大学站； 2.公交：抚顺路铁岭路站【出租原因】上一任租客到期【周边配套】1.地铁：8号线江浦路站，鞍山新村站；10号线四平路站；公交：抚顺路铁岭路站 2.公园：松鹤公园，和平公园 3.医院：新华医院 4.商场：紫荆广场，凤凰广场，杨浦商场，旭辉超市，卫百辛大厦【小区介绍】铁岭50弄小区 79年房 医院 超市 公园 银行 地铁站配套齐全
SH2417882627445882880,整租·鞍山三村 1室1厅 南,https://image1.ljcdn.com/310000-inspection/d6b7dd78-d876-4696-898b-6a33daffabc1.jpg.250x182.jpg,杨浦,鞍山,鞍山三村,32,1室1厅1卫,南,3700,近地铁;随时看房;,中楼层/6层,2020-02-24,,整租,需咨询,3700,0,需咨询,8号线-江浦路-736m;8号线-江浦路-736m;8号线-江浦路-736m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/d6b7dd78-d876-4696-898b-6a33daffabc1.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/19df0ce4-5af3-417b-98ae-566189760df1.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/90432517-7a1b-4101-9556-5c17727a048f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/2647255c-a8a1-4c94-bce4-004dbc0a93ec.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a67d951c-0d44-4eef-a2d2-b3984e9e01f7.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/187b9a88-3360-437b-9614-5c3db7e66f16.png.780x439.jpg;,【房源亮点】家具家电配备齐全，可直接拎包入住，近8号鞍山新村地铁口。。【户型介绍】卧室朝南，带阳台，向阳房，温暖舒适。。。。。。。。。。。。。【周边配套】沿线路段，购物旭辉MALL、君欣时代广场、紫荆广场，三甲新华医院，生活超市便利、配套成熟
SH2454881870815698944,整租·本溪路149弄 1室0厅 南,https://image1.ljcdn.com/110000-inspection/05082e1d-72a0-450e-98bd-e4ba4ec325d7.jpg.250x182.jpg,杨浦,鞍山,本溪路149弄,31,1室0厅1卫,南,3300,近地铁;,中楼层/5层,2020-02-24,,整租,季付,3300,0,需咨询,10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1122m;10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1122m;10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1122m;,True,True,True,True,True,True,True,False,True,True,免费使用,民电,暂无数据,2年以内,需提前预约,2020-03-15,False,民水,False,https://image1.ljcdn.com/110000-inspection/05082e1d-72a0-450e-98bd-e4ba4ec325d7.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/d5c33d47-7d38-44e4-a349-ef153048f29f.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/41b850d5-9cb8-4506-9c4e-0492865b2f1f.jpg.780x439.jpg;,【房源亮点】中楼层，卧室朝南，采光充足。位置在本溪路江浦路交叉处，近江浦路地铁站，繁华地段，交通便利，近新华医院，紫荆广场，松鹤公园【交通出行】小区门口就是公交站牌 ，近8号线江浦路地铁站和鞍山新村地铁站【周边配套】菜场， 新华医院，紫荆广场，松鹤公园，民办打一都近在咫尺的繁华地段，交通便利，近新华医院，紫荆广场【小区介绍】近本溪路，交通便利，小区安全措施到位。繁华地段，交通便利，近新华医院，紫荆广场
SH2437526067095797760,整租·锦西路63弄 1室1厅 南,https://image1.ljcdn.com/310000-inspection/dee7c341-c2df-46d8-a011-7ef66575d697.jpg.250x182.jpg,杨浦,鞍山,锦西路63弄,32,1室1厅1卫,南,4000,近地铁;,低楼层/6层,2020-02-12,,整租,需咨询,4000,0,需咨询,8号线-江浦路-893m;8号线-江浦路-893m;8号线-江浦路-893m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/b5e2b736-5f14-4b63-b850-0b8b22c8344f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/dee7c341-c2df-46d8-a011-7ef66575d697.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/5e3e2d93-c427-40bf-a1db-25a7908ca0d7.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/cf426fa9-8a7c-4e6e-880e-ca07f25ec368.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e91ea30f-12aa-4537-a55a-03cf2d0e64b1.jpg.780x439.jpg;,【房源亮点】屋内有空间感，露台房东有改造过，房屋保养较好，房东对房屋较爱惜【装修描述】基本家具家电俱全，内部简装，带露台，拎包入住，一室改两室，一居室的价格，租两居室【周边配套】沿线路段，旭辉MALL、紫荆广场、君欣时代广场，超市便利店便捷。。。。。。
SH2399972562752258048,整租·鞍山四村第三小区 1室0厅 南,https://image1.ljcdn.com/310000-inspection/c731f98a-fd4d-4570-bd20-c7fffa173df6.jpg.250x182.jpg,杨浦,鞍山,鞍山四村第三小区,35,1室0厅1卫,南,3600,近地铁;随时看房;,中楼层/5层,2020-02-23,,整租,季付,3600,0,需咨询,8号线-江浦路-841m;8号线-江浦路-841m;8号线-江浦路-841m;8号线-江浦路-841m;,False,True,True,True,True,False,True,False,True,True,暂无数据,民电,暂无数据,2年以内,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/c731f98a-fd4d-4570-bd20-c7fffa173df6.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/52e9caed-813f-4e7f-8a86-2bd87bf54f82.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a6df6832-ccc6-4c9c-b0c9-10dae6fc4c7b.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b63043d7-9fd3-42f4-8a53-2a2e3f22c9ee.jpg.780x439.jpg;,【户型介绍】该房属于朝南对分门，精装修，家具家电全配可以随时入住，业主诚意出租。【交通出行】8号线鞍山新村、四平路，10号线同济大学、四平路，锦西路公交站 。8号线鞍山新村距离小区只有50米、8号线10号线四平路站只有700米。 多条公交线路经过锦西路公交站。（以距离信息均来自于百度地图）【周边配套】和平公园距离小区500米， 松鹤公园距离小区1公里， 小区边上三个集吃、喝、玩、乐、购于一体的大型广场旭辉广场、君欣时代广场、紫荆广场距离小区分别是100米、900米、1000米。新华医院距离小区也只有1000米。（以上距离均来自于百度地图
SH2375268335605514240,整租·鞍山四村第三小区 1室0厅 北,https://image1.ljcdn.com/310000-inspection/6ee089fb-331c-419e-bfb0-2bcf884bcb71.jpg.250x182.jpg,杨浦,鞍山,鞍山四村第三小区,29,1室0厅1卫,北,4000,近地铁;精装;随时看房;,中楼层/5层,2020-02-15,精装修,整租,季付,4000,0,需咨询,8号线-江浦路-841m;8号线-江浦路-841m;8号线-江浦路-841m;8号线-江浦路-841m;,True,True,True,True,True,False,True,False,True,True,暂无数据,民电,暂无数据,2年以内,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/6ee089fb-331c-419e-bfb0-2bcf884bcb71.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/32d5fa4b-5c46-4585-a369-7987fe7468c7.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/3a72c736-15c7-4c29-a46c-63e2362777c6.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/cc0ee93f-b6a8-48ef-b23d-4546b4131662.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f9c7f4a0-9c28-448f-a6ae-d1b8e6a9e7a0.jpg.780x439.jpg;,【户型介绍】房子位于3楼，属于朝北一门关，精装修，家具家电全配可以随时入住。【交通出行】8号线鞍山新村、四平路，10号线同济大学、四平路，锦西路公交站 。8号线鞍山新村距离小区只有210米、8号线10号线四平路站只有560米。 多条公交线路经过锦西路公交站。（以距离信息均来自于百度地图）【周边配套】和平公园距离小区400米， 松鹤公园距离小区1.1公里， 小区边上三个集吃、喝、玩、乐、购于一体的大型广场旭辉广场、君欣时代广场、紫荆广场距离小区分别是200米、580米、780米。新华医院距离小区也只有800米。以上距离均来自于百度地图
SH2429453125410111488,整租·本溪路149弄 1室1厅 南,https://image1.ljcdn.com/310000-inspection/60e1c5fe-6c8f-4772-a903-54c544d90752.jpg.250x182.jpg,杨浦,鞍山,本溪路149弄,32,1室1厅1卫,南,3500,近地铁;随时看房;,中楼层/5层,2020-02-23,,整租,季付,3500,0,需咨询,10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1122m;10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1122m;10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1122m;,True,True,True,True,True,True,True,False,True,True,免费使用,民电,暂无数据,1年以内,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/60e1c5fe-6c8f-4772-a903-54c544d90752.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/5b889836-52da-47b0-8a61-1a08b6b3eb99.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/d2863227-bac8-4da5-b11e-e9c38b75bef7.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/325e4e4b-b397-4058-8c38-109b7389db20.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b804ea4e-bc00-4906-98f8-1720ce1766ff.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/8dee42d4-e1f3-483d-9761-e17348f4cfab.jpg.780x439.jpg;,【房源亮点】户型方正，卧室朝南，低楼层 采光无遮挡。大概位置在本溪路江浦路交叉处，近江浦路地铁站，繁华地段，交通便利，【装修描述】业主自住装修，干净整洁，配有电视 沙发 桌椅，适合单身合租客户【交通出行】小区门口就是公交站牌 ，离8号线江浦路地铁口100米，离10号线同济大学站500米【出租原因】上一任租客到期，房子现在空置出来了【周边配套】菜场 新华医院，紫荆广场，松鹤公园，民办打一都近在咫尺
