hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2428778993995227136,整租·明园大楼 1室1厅 南,https://image1.ljcdn.com/310000-inspection/prod-2d01666a-c1fc-43f4-9375-1104fa36fe56.jpg.250x182.jpg,杨浦,东外滩,明园大楼,47,1室1厅1卫,南,3600,近地铁;随时看房;,低楼层/22层,2020-02-24,,整租,需咨询,3600,0,需咨询,4号线，12号线-大连路-850m;4号线，12号线-大连路-850m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,True,民水,True,https://image1.ljcdn.com/310000-inspection/prod-2d01666a-c1fc-43f4-9375-1104fa36fe56.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-2e8c78a9-5d0a-4802-b957-784cd356e339.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-cad5a5b4-b5f6-4622-be85-d11bac5816b6.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-d0ac9cad-ada4-4d53-8787-82bde71ca8d0.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-5fca3deb-5def-4d68-a3f7-07eb66a8ad74.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/prod-f3fd778f-7455-45a9-bef2-2f84e7723e24.png.780x439.jpg;,【户型介绍】此房全明通透户型，房间朝南自带阳台，采光充足，通风好，单栋电梯房。【交通出行】明园大楼位于杨浦区许昌路长阳路口，交通四通八达，近地铁四号线大连路站，车站均1部车可达。小区边生活设施成熟，各大广场均一站公交【周边配套】有宝 地广场、海上海弘基休闲广场保利翡翠广场等商超，八埭头综合圈。公交方面，有轨交12号线，步行到达江浦公园站。另外还有19路、25路、 317路13路等线路。
SH2435373686816522240,整租·明园村小区 1室1厅 南,https://image1.ljcdn.com/310000-inspection/af03e24f-ce48-4006-b31f-206d014336a0.jpg.250x182.jpg,杨浦,东外滩,明园村小区,42,1室1厅1卫,南,4200,近地铁;,中楼层/6层,2020-02-24,,整租,需咨询,4200,0,需咨询,12号线-宁国路-1154m;12号线-宁国路-1154m;12号线-宁国路-1154m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/60cdf914-a0a8-4875-83f0-60b1f284f133.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/af03e24f-ce48-4006-b31f-206d014336a0.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/9404519e-d80c-41d1-b6f4-f42efd29d15c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/7dd541fa-152d-4aa3-907b-19b2b3637524.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/6ab650b1-69d3-49f2-a0d3-6b71a63f1f51.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/efdf4b1e-3e5b-4141-ab82-1f400c7a8c51.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b51f79cc-2925-4cc8-a456-bb311b4653c9.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/c27646c9-3006-4abd-903a-9cab261dadd2.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/eb2c0ce7-9e02-43b2-b5ff-2e800c164d24.png.780x439.jpg;,【交通出行】小区是属于地铁口房源，出门步行150米左右是12号线江浦公园3号口，步行900米是4号线大连路站可直达陆家嘴，以及明年的18号线地铁也与12号线交接，还有江浦路隧道，小区门口就是80路，960路，许昌路长阳路公交站。【周边配套】①交通: 12号线江浦公园站双轨交通。80路公交，960路公交②商场:边最近的长阳茶馆+宝 地广场的盒马先生+长阳路欧尚超市+东外滩的滨江国际+百联滨江③银行:楼下中国银行，农工商银行分行【小区介绍】小区虽然是老公房，但是小区绿化高，鸟语花香，干净舒适，小区楼栋间距宽，所以房子的采光都充足，私密性强，小区内设幼儿园，公办的明园村幼儿园上学方便。
SH2423912537730064384,整租·眉州路515弄 1室0厅 南,https://image1.ljcdn.com/310000-inspection/pc1_Od7F9rR1C_1.jpg.250x182.jpg,杨浦,东外滩,眉州路515弄,35,1室0厅1卫,南,3800,近地铁;随时看房;,高楼层/7层,2020-02-24,,整租,需咨询,3800,0,需咨询,12号线-宁国路-763m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/61bea510-a6b4-4ef8-b7e9-4bf47f217537.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/pc1_Od7F9rR1C_1.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/07dd735b-c5fc-4dbc-af1b-5f1ef7347b4b.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/76d3b7ba-7e48-47b6-9c93-a5bdf3512f1f.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/standard_ce11b476-eabd-47cf-9ec4-7594931ab72c.png.780x439.jpg;,【交通出行】地铁12号线与四号线双轨，地铁18号线预计在2020年底进行通车。小区出行方便，距离地铁12号线宁国路站仅有400米左右。【周边配套】商场有百联滨江购物广场，欧尚超市与世纪联华。医疗上有红房子妇产科医院杨浦中医院与上海康复医院。菜场仅有400米左右，有渭南路菜市场，加上眉州路商铺一条街，生活质量高。滨江沿线有渔人码头配套，八埭头整体配套，长阳创谷园区。【小区介绍】与杨浦区东外滩板块，上海内环内。小区房子均是板式结构，一梯五户，小区比较老旧，90年代的房子
SH2428038219233755136,整租·杭州路233号 1室0厅 南,https://image1.ljcdn.com/310000-inspection/a9a3c075-3746-4c81-8db4-887ed629a894.jpg.250x182.jpg,杨浦,东外滩,杭州路233号,36,1室0厅1卫,南,4200,随时看房;,中楼层/7层,2020-02-24,,整租,需咨询,4200,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/a9a3c075-3746-4c81-8db4-887ed629a894.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e6e37d14-a8bd-4929-b7ce-f0d87331d4be.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/c5119605-04df-4718-a155-534cd4c2c893.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b1148ec5-cd4d-48a9-ba13-2c209294a914.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/7dae9571-c247-46dc-9133-df3387b9139c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/ba1c3fbf-6ec4-476f-a433-f3fe812104d9.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/31c7151a-513a-4ae7-81f8-a40ec5aa5fd3.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/97811d62-49e2-412a-b1d1-3cee1c4a43d7.jpg.780x439.jpg;,【房源亮点】有钥匙，看房子比较方便，业主心态比较好，方便谈价，房子采光好【户型介绍】卧室朝南，厨卫朝北，采光充足，全明房型.通风好适合年经人，格局明显【装修描述】业主精装修，装修比较偏暖色，住着比较舒适，采用环保材料进行装修【出租原因】房东不住在这边，所以房子空着，就用来出租.不想空着，增加收入【周边配套】百联超市，欧尚超市，红房子医院，杨浦中医院，眉州路平凉路一条街吃喝玩乐
SH2415819265111498752,整租·明园村小区 1室0厅 南,https://image1.ljcdn.com/310000-inspection/95fa9e27-ce7f-4c18-aab5-4fbd4e56f96e.jpg.250x182.jpg,杨浦,东外滩,明园村小区,0,,,3800,近地铁;,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,,,,,,,False,,False,,
SH2419483652883742720,整租·明园村小区 2室1厅 南,https://image1.ljcdn.com/110000-inspection/8308154466a5ca6919076c054c7e2e12.jpg.250x182.jpg,杨浦,东外滩,明园村小区,55,2室1厅1卫,南,5200,近地铁;,高楼层/6层,2020-02-25,,整租,需咨询,5200,0,需咨询,12号线-宁国路-1154m;12号线-宁国路-1154m;12号线-宁国路-1154m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/110000-inspection/34bfb2722a9451e732cd0acd2e9b0f1a.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/8308154466a5ca6919076c054c7e2e12.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/480c824fd3c090328023dcd1be04362f.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/6cf2ba5ae90475057e6a843bb911cd2d.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/cdba7a24ddf479af9e1614a08a35c573.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/1d27d3f5312a02bc529f8139cb1ea0fd.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/23e35a4a682ed3fba6e57643292fca02.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/7b2689c66d1f3d96a18ca665ed0e93f8.jpg.780x439.jpg;,【交通出行】地铁口房源，出门步行150米是12号线江浦公园3号口，步行900米是4号线大连路站可直达陆家嘴，以及明年的18号线地铁也与12号线交接，还有江浦路隧道，小区门口是许昌路长阳路公交站，80路，960路公交车。【出租原因】房东住另一套房子，这套主要是用来出租的，目前没有自主的打算。【周边配套】①交通: 12号线江浦公园站双轨交通。80路公交，960路公交②商场:边最近的长阳茶馆+宝 地广场的盒马先生+长阳路欧尚超市+东外滩的滨江国际+百联滨江③银行:楼下中国银行，农工商银行分行
SH2381907506638094336,整租·眉州路354弄小区 1室1厅 南,https://image1.ljcdn.com/310000-inspection/2a24bcf1-e6c2-4f49-9c2e-001194ac229c.jpg.250x182.jpg,杨浦,东外滩,眉州路354弄小区,35,1室1厅1卫,南,4600,近地铁;随时看房;,高楼层/4层,2020-02-17,,整租,需咨询,4600,0,需咨询,12号线-宁国路-978m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/2a24bcf1-e6c2-4f49-9c2e-001194ac229c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/fed58b28-d118-467d-9a39-548f520a071c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/cdc7904b-b9ff-4258-9faf-f0f378b21aa4.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/39079401-3daa-4537-b8f3-920206a53e27.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/05fb8cd7-c23c-4afb-8a5b-6694402a4208.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e0764933-3b8e-4b24-be4f-4b769cf3b3dc.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/ead07723-3622-4460-b0b4-9634880aa9bd.jpg.780x439.jpg;,【交通出行】地铁12号线与四号线双轨，地铁18号线预计在2020年底进行通车。小区出行方便，距离地铁12号线宁国路站仅有800米左右。【周边配套】商场有百联滨江购物广场，欧尚超市与世纪联华。医疗上有红房子妇产科医院杨浦中医院与上海康复医院。菜场仅有400米左右，有渭南路菜市场，加上眉州路商铺一条街，生活质量高。滨江沿线有渔人码头配套，八埭头整体配套，长阳创谷园区。【小区介绍】位于杨浦区东外滩板块，上海内环内。小区房子均是板式结构，一梯八户，小区比较老旧，90年代的房子
SH2432498279880605696,整租·申泉小区 2室1厅 南,https://image1.ljcdn.com/310000-inspection/2616b665-b028-4b7e-b67d-79fb3902dbf6.jpg.250x182.jpg,杨浦,东外滩,申泉小区,51,2室1厅1卫,南,5300,随时看房;,高楼层/6层,2020-02-17,,整租,需咨询,5300,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/2616b665-b028-4b7e-b67d-79fb3902dbf6.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/32164e85-a544-465f-888d-855d559ac0fe.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b2ca5652-6960-4553-b276-0c6d61c8bb62.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/1fe89e69-be00-40f7-94dd-dbe307fee40b.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/90641bad-ca6a-4ccb-8cc9-d9691d60d7ef.jpg.780x439.jpg;,
SH2421582597185609728,整租·眉州路110弄 2室1厅 南/北,https://image1.ljcdn.com/310000-inspection/daeef76a-c8fa-4208-af70-def5901affc0.jpg.250x182.jpg,杨浦,东外滩,眉州路110弄,54,2室1厅1卫,南/北,5000,,中楼层/6层,2020-02-17,,整租,需咨询,5000,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/8376ff7c-df89-43ec-86de-b2dfdec986bf.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/daeef76a-c8fa-4208-af70-def5901affc0.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/c3abac2b-1243-45eb-a160-095954a2a490.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/4cbcacba-6a43-40f3-99d7-8ad547132a6d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/89f918fe-b253-424c-87ce-cab929aeacda.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a46979ff-1c85-4ccc-90bc-1d14290dee03.jpg.780x439.jpg;,【装修描述】卧室朝南，厨卫朝北，采光充足，全明房型.通风好适合年经人，格局明显【交通出行】地铁12号线与四号线双轨，地铁18号线预计在2020年底进行通车。小区出行方便，距离地铁12号线宁国路站1000米左右。【周边配套】商场有百联滨江购物广场，欧尚超市与世纪联华。医疗上有红房子妇产科医院杨浦中医院与上海康复医院。菜场仅有400米左右，有渭南路菜市场，加上眉州路商铺一条街，生活质量高。滨江沿线有渔人码头配套，八埭头整体配套，长阳创谷园区。
SH2420134267255799808,整租·眉州路515弄 1室1厅 南,https://image1.ljcdn.com/310000-inspection/8cf51f82-bbef-47cf-9817-dfde6b15d37a.jpg.250x182.jpg,杨浦,东外滩,眉州路515弄,34,1室1厅1卫,南,4500,近地铁;随时看房;,中楼层/7层,2020-02-17,,整租,需咨询,4500,0,需咨询,12号线-宁国路-763m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/9157d440-f98d-4503-8ef4-8677b52ad730.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/8cf51f82-bbef-47cf-9817-dfde6b15d37a.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e31d3d2c-1a8e-401f-acac-fb16bebe878c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/7c6d667c-4151-4eec-8e33-2e082ed96002.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/1871b527-db4e-4f0d-8fea-b6ede0c5594d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/8ec2ea79-aa8e-44f2-b439-aa049bc73f09.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/1af31884-edf5-4e56-81b2-1b38c80d7c1a.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/prod-fe67d5fe-a620-4449-a0e5-4e2171316200.png.780x439.jpg;,【交通出行】地铁12号线与四号线双轨，地铁18号线预计在2020年底进行通车。小区出行方便，距离地铁12号线宁国路站仅有400米左右。【周边配套】商场有百联滨江购物广场，欧尚超市与世纪联华。医疗上有红房子妇产科医院杨浦中医院与上海康复医院。菜场仅有400米左右，有渭南路菜市场，加上眉州路商铺一条街，生活质量高。滨江沿线有渔人码头配套，八埭头整体配套，长阳创谷园区。【小区介绍】与杨浦区东外滩板块，上海内环内。小区房子均是板式结构，一梯五户，小区比较老旧，90年代的房子
