hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2453500999915552768,整租·高境二村 1室1厅 南,https://image1.ljcdn.com/110000-inspection/17cfcd95-b7e3-4e54-9e33-20209266738b.jpg.250x182.jpg,宝山,高境,高境二村,56,1室1厅1卫,南,3400,近地铁;,低楼层/6层,2020-02-23,,整租,需咨询,3400,0,需咨询,3号线-殷高西路-300m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/110000-inspection/17cfcd95-b7e3-4e54-9e33-20209266738b.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/709da64d-ad1b-4c5c-a9ed-f0562a764b9b.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/07e96032-ef49-40c3-ab8f-873b7eead5ef.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/3d674576-6ef8-46c8-b6d1-c0f9dc0992fa.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/8b914d5f-1b10-43d5-bab3-a791d588ba3a.jpg.780x439.jpg;,
SH2371617979223261184,整租·高境二村 1室1厅 南,https://image1.ljcdn.com/310000-inspection/e4d13484-5297-4a5b-9183-b4ed45f1c954.png.250x182.jpg,宝山,高境,高境二村,50,1室1厅1卫,南,3500,近地铁;,高楼层/6层,2020-02-23,,整租,需咨询,3500,0,需咨询,3号线-殷高西路-300m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/e4d13484-5297-4a5b-9183-b4ed45f1c954.png.780x439.jpg;https://image1.ljcdn.com/310000-inspection/2e489522-fabd-45d5-a0f9-b3add038b949.png.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f6da9292-f226-408e-91b5-113514ce39ff.png.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f10d120e-00bd-40f7-b878-455cca5a4985.png.780x439.jpg;https://image1.ljcdn.com/310000-inspection/c4b5aeec-1fc2-4fe0-b7d8-19ffc4d047f9.png.780x439.jpg;,
SH2426717438768062464,整租·高境一村 1室1厅 南,https://image1.ljcdn.com/310000-inspection/pc1_5F0LMVHY4_1.jpg.250x182.jpg,宝山,高境,高境一村,41,1室1厅1卫,南,3200,近地铁;随时看房;,高楼层/6层,2020-02-23,,整租,需咨询,3200,0,需咨询,3号线-殷高西路-345m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/pc1_5F0LMVHY4_1.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/31f0fafe-69f6-45b3-bf39-967a9cf89af7.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f722d6e0-382e-45bd-a858-c1ec4a951c4d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/1d0a21d0-ceba-42fa-9c4b-59de76396db4.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a48ee4c3-9f4d-47f3-9d1a-a3710df35485.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/standard_27bae77f-367f-4399-9f4b-ef32ae6b40de.png.780x439.jpg;,
SH2427304874833625088,整租·殷高小区 1室1厅 南,https://image1.ljcdn.com/310000-inspection/40a42bb9-6973-4f91-8211-078284416025.jpg.250x182.jpg,宝山,高境,殷高小区,48,1室1厅1卫,南,3200,近地铁;随时看房;,低楼层/6层,2020-01-17,,整租,需咨询,3200,0,需咨询,3号线-殷高西路-837m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/40a42bb9-6973-4f91-8211-078284416025.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a9db56e2-835f-4e3a-88a9-767fa7a88ded.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/00c44c83-1f2f-4c30-90b6-6bea36422349.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/9ea0f47a-ab64-42cd-ace0-82fcc2c66c7a.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/99d84b26-6c81-4e73-82ec-30836fa5145a.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/77a68f3b-7e04-4e31-9ade-28ef0f0e3655.png.780x439.jpg;,
SH2396431994851696640,整租·高境二村 1室1厅 南,https://image1.ljcdn.com/310000-inspection/pc1_OqrdUJQWf_1.jpg.250x182.jpg,宝山,高境,高境二村,40,1室1厅1卫,南,3500,近地铁;随时看房;,低楼层/6层,2020-02-23,,整租,需咨询,3500,0,需咨询,3号线-殷高西路-300m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/apc_KZq24wywV_1.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/pc1_OqrdUJQWf_1.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/apc_QZWNXwbdr_1.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/standard_3f88dcc4-d847-4476-b232-efeab9f05687.png.780x439.jpg;,
SH2438186354144976896,整租·逸仙路1321弄 1室1厅 南,https://image1.ljcdn.com/110000-inspection/a555e907-8425-4752-9e87-0fce4d0dbffc.jpg.250x182.jpg,宝山,高境,逸仙路1321弄,43,1室1厅1卫,南,3500,随时看房;,中楼层/6层,2020-02-24,,整租,需咨询,3500,0,需咨询,3号线-殷高西路-868m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/110000-inspection/a555e907-8425-4752-9e87-0fce4d0dbffc.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/88f4f1bb-32e3-4b7b-80d0-766cce095096.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/b11e63f1-8d33-44fd-8fc6-51508392d826.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/5de15544-d89a-4b78-a095-dffb18129fb6.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/standard_c5673827-87e7-4556-8e60-da8ac3257bf0.png.780x439.jpg;,
SH2457990606127890432,整租·逸仙路1321弄 1室1厅 南,https://image1.ljcdn.com/110000-inspection/5381562fdc255aee5be0e15005436d3a.jpg.250x182.jpg,宝山,高境,逸仙路1321弄,43,1室1厅1卫,南,3500,近地铁;随时看房;,中楼层/5层,2020-02-25,,整租,需咨询,3500,0,需咨询,3号线-殷高西路-868m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/110000-inspection/5d531b867c110b57f99bc9efb30e108a.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/5381562fdc255aee5be0e15005436d3a.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/b44512b680a4381d69a7ef02570d0c19.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/09b40934b03f08be8036c70638ec1a56.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/1f20b09ca39f599dbf68c29ac81034a3.jpg.780x439.jpg;,
SH2432608233366487040,整租·景瑞遇道 1室0厅 北,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20200218110553137,宝山,高境,景瑞遇道,21,1室0厅1卫,北,2700,近地铁;随时看房;,低楼层/6层,2020-01-24,,整租,需咨询,2700,0,需咨询,3号线-殷高西路-911m;3号线-殷高西路-911m;,False,False,False,False,False,False,False,False,False,False,暂无数据,商电,自采暖,暂无数据,需提前预约,随时入住,True,商水,False,,
SH2428168484887740416,整租·逸仙二村 1室1厅 南,https://image1.ljcdn.com/310000-inspection/81f52b12-2da8-4b2d-8adf-633432979a12.jpg.250x182.jpg,宝山,高境,逸仙二村,36,1室1厅1卫,南,3500,随时看房;,中楼层/6层,2020-02-23,,整租,需咨询,3500,0,需咨询,3号线-殷高西路-1154m;3号线-殷高西路-1154m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/81f52b12-2da8-4b2d-8adf-633432979a12.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b7970303-e0aa-4679-995f-c541deb88a4b.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/4a4d90d5-fb33-43cb-b1a7-2217261df333.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/3e6b25aa-9694-454a-ab00-7f4a51f05ab9.png.780x439.jpg;,【交通出行】交通：近地铁，地铁10号线殷高东路站，3号线殷高西路站，交通便利，小区门口502路，960路，875路，1608路，99路公交车经过，出行方便【出租原因】房子可以长期出租，标准的一室户，房东人好，可以长租，适合一人或情侣入住【周边配套】配套：乐购，联华，易盛客多个超市，三门路菜市场，国权北路菜市场，品之味，东北一品饺子馆，美食城，建设，交通，工商，邮政，工农等银行。
SH2424404290144837632,整租·景瑞遇道 1室0厅 东,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20200218110553137,宝山,高境,景瑞遇道,21,1室0厅1卫,东,3000,近地铁;随时看房;,中楼层/6层,2020-01-24,,整租,需咨询,3000,0,需咨询,3号线-殷高西路-911m;3号线-殷高西路-911m;,False,False,False,False,False,False,False,False,False,False,暂无数据,商电,自采暖,暂无数据,需提前预约,随时入住,True,商水,False,,
