hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2401258463008399360,整租·靖宇东路85弄 1室1厅 北,https://image1.ljcdn.com/310000-inspection/a742ed68-4689-4767-b2be-cbeb5eb4f2e8.jpg.250x182.jpg,杨浦,黄兴公园,靖宇东路85弄,28,1室1厅1卫,北,3000,近地铁;,低楼层/6层,2020-02-24,,整租,季付,3000,0,需咨询,8号线-黄兴公园-1058m;8号线-黄兴公园-1058m;,True,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,2年以内,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/a742ed68-4689-4767-b2be-cbeb5eb4f2e8.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/0e80e78e-92b8-4dd4-9282-60003b0c2081.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/813bbd58-2874-496d-a91e-5791572041ac.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/646a2653-596d-4738-abdb-14c63f32d291.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/859e3158-1b38-4772-b4fc-b849037ae128.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/f7bd0115-353f-45c8-a6bd-354815bec68c.png.780x439.jpg;,【房源亮点】房屋装修简单，可塑性强，可以稳定居住，对于租客不设限。老人居住也比较便利。【交通出行】地铁：8号线延吉中路地铁站，公交：142路，169路，220路，515路，812路，103路，大桥四线【出租原因】业主买进挂户口，一直用于出租，基本但年内用不到此房，租客可以是老年人，居家人，稳定居住。【周边配套】生活设施配套齐全，安图医院，联华超市，上海银行，建设银行，上海工商银行；安图路菜市场，敦化路菜市场，轨道交通地铁8号线延吉中路地铁站。【小区介绍】这个小区是老校区，配套成熟，小区南门出口有菜市场，和公交。西门是靖宇东路。
SH2414512338540429312,整租·控江四村 1室1厅 南,https://image1.ljcdn.com/310000-inspection/84c554ff-5daf-4f8b-b8d0-8b289da9d571.jpg.250x182.jpg,杨浦,黄兴公园,控江四村,31,1室1厅1卫,南,3000,近地铁;随时看房;,中楼层/4层,2020-02-22,,整租,需咨询,3000,0,需咨询,8号线-延吉中路-858m;8号线-延吉中路-858m;,True,True,True,True,True,False,True,False,True,True,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/84c554ff-5daf-4f8b-b8d0-8b289da9d571.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b6e0cbf2-2634-46ac-9d24-40c1d89add19.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/360da776-805f-4a42-b06e-616abbe0f774.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b04dff01-871e-4705-be80-8f48a791e0ae.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/e4841b8d-b906-434c-ab04-51c18b81629b.png.780x439.jpg;,
SH2420746728954404864,整租·安图新村 1室1厅 南,https://image1.ljcdn.com/310000-inspection/17da6ab9-472d-4915-8c1c-7114dd2673dc.jpg.250x182.jpg,杨浦,黄兴公园,安图新村,33,1室1厅1卫,南,3000,近地铁;随时看房;,高楼层/5层,2020-02-14,,整租,需咨询,3000,0,需咨询,8号线-黄兴公园-1118m;8号线-黄兴公园-1118m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/17da6ab9-472d-4915-8c1c-7114dd2673dc.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/4314df5a-c4d6-46ed-a03f-c04d7c1a651c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/1614fad0-5e80-441a-b378-4555f14d097b.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/4a265c3d-6f28-4388-997a-b025f6a54802.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/d0447abe-c27e-4bb6-963c-8e983adb8fee.png.780x439.jpg;,
SH2433944625141530624,整租·控江四村 1室0厅 西,https://image1.ljcdn.com/310000-inspection/1546c8b3-6146-43bb-9dcd-9a6013489d14.jpg.250x182.jpg,杨浦,黄兴公园,控江四村,16,1室0厅1卫,西,2200,近地铁;随时看房;,低楼层/4层,2020-02-25,,整租,需咨询,2200,0,需咨询,8号线-延吉中路-858m;8号线-延吉中路-858m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/1546c8b3-6146-43bb-9dcd-9a6013489d14.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/d35f35a2-1ab9-4bf7-b646-9cded8c8ead1.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/1235d6ff-85ae-4f4e-98ab-67458ce704c3.jpg.780x439.jpg;,
SH2337512306466373632,整租·松花一村 2室1厅 南/北,https://image1.ljcdn.com/310000-inspection/cb74b56a-44a9-45e1-b8ef-623884abcaef.jpg.250x182.jpg,杨浦,黄兴公园,松花一村,29,2室1厅1卫,南/北,3800,近地铁;精装;随时看房;,中楼层/5层,2020-02-19,精装修,整租,季付,3800,0,需咨询,8号线-黄兴公园-908m;8号线-黄兴公园-908m;,True,True,True,True,True,False,True,False,True,True,暂无数据,民电,暂无数据,3年以内,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/1ad88448-7faf-4289-bfab-6e50f05e6110.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/cb74b56a-44a9-45e1-b8ef-623884abcaef.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/94c9492c-7790-4122-af00-f8a8c1e7426d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/28a81b34-19df-4ff2-9047-76fe9f09f433.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/7b269154-f6ec-4dfc-99d2-90dfcaeaa3dd.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/76c53459-bc79-4973-baf1-53ec5323e09c.jpg.780x439.jpg;,【房源亮点】松花一村一个复试的房子算是一个两房了，价格划算精装修 房东诚心在出租，【周边配套】教育：上海理工大峃 内江路小峃交通：8号线延吉东路地铁站商场：长白商店【小区介绍】松花江路位于图门路松花江路，三面被松花江路 图门路 和延吉东路，南靠延吉东路82弄
SH2436849520056221696,整租·长白三村 1室1厅 北,https://image1.ljcdn.com/310000-inspection/633bd4b5-ce21-41c8-9b10-128e7556f1c7.png.250x182.jpg,杨浦,黄兴公园,长白三村,35,1室1厅1卫,北,3800,近地铁;随时看房;,中楼层/5层,2020-02-25,,整租,需咨询,3800,0,需咨询,8号线-黄兴公园-998m;8号线-黄兴公园-998m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/633bd4b5-ce21-41c8-9b10-128e7556f1c7.png.780x439.jpg;https://image1.ljcdn.com/310000-inspection/408a2a34-3b01-42b2-9b45-2d27ef4bb327.png.780x439.jpg;https://image1.ljcdn.com/310000-inspection/3eaba0ab-64fd-476a-8f6f-1c76e3df8a44.png.780x439.jpg;https://image1.ljcdn.com/310000-inspection/906cd605-f8eb-4749-ab6f-67be985032aa.png.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a3de34d1-4d8e-49bb-907a-ef20acf21820.png.780x439.jpg;https://image1.ljcdn.com/hdic-frame/standard_64a4ce45-d8f8-4579-878e-803d024c2df3.png.780x439.jpg;,【房源亮点】房子之前是业主自己在住，现在出租，之前自己住的时候维护的很好，干净整洁，很舒适，家的感觉。【装修描述】简单装修，业主维护良好，整体干净整洁，所需居住需求的家具家电房子里面都有。【交通出行】小区靠8号线延吉中路地铁站200米，菜市场在小区斜面对过，旁边有小世界美食广场，仅靠延春公园，黄兴公园，小区门口海域薯条公交路线，有直达五角场商圈的60路公交，有直达提篮桥的28路，还有连接杨浦和宝山的812路【周边配套】公园：黄兴公园，延春公园，杨浦公园；超市：大润发超市，环球超市；菜市场：永吉路菜市场，安图路菜市场，敦化路菜市场；肯德基，COCO，好德，全家便利店【小区介绍】小区是老小区，大小门总共有8个，出行很方便。小区所在位置生活配套齐全，小区内还有幼儿园。
SH2402073081855352832,整租·控江四村 1室0厅 南,https://image1.ljcdn.com/310000-inspection/911d67be-2389-452d-8aaf-54473cfc5949.jpg.250x182.jpg,杨浦,黄兴公园,控江四村,31,1室0厅1卫,南,3200,近地铁;,低楼层/6层,2020-02-24,,整租,季付,3200,0,需咨询,8号线-延吉中路-858m;8号线-延吉中路-858m;,False,False,False,False,False,False,False,False,False,False,租用车位,民电,暂无数据,1年以内,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/911d67be-2389-452d-8aaf-54473cfc5949.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/65d85a70-6b1c-4671-9cd6-51a773d90074.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/6294cadf-26cb-4a70-bec3-de8c4b783401.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/58b9914a-8b3a-43de-9642-b50ea7bdf750.png.780x439.jpg;,
SH2432547586717261824,整租·沧州路180弄 1室1厅 南,https://image1.ljcdn.com/310000-inspection/35cb25b0-9454-4717-b448-036b22aed804.jpg.250x182.jpg,杨浦,黄兴公园,沧州路180弄,0,,,3300,近地铁;随时看房;,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,,,,,,,False,,False,,
SH2370797206803587072,整租·松苑小区 1室1厅 南,https://image1.ljcdn.com/310000-inspection/a8703038-de62-4cc5-86d6-fff20631fb55.jpg.250x182.jpg,杨浦,黄兴公园,松苑小区,46,1室1厅1卫,南,3600,近地铁;,高楼层/7层,2020-02-13,,整租,季付,3600,0,需咨询,8号线-黄兴路-1150m;,True,True,True,True,True,True,True,True,True,True,暂无数据,民电,暂无数据,2年以内,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/a8703038-de62-4cc5-86d6-fff20631fb55.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/29a0a399-6f1a-4e5a-a92d-3d2bca9e152f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/8b4fbd85-30e7-4d23-93bf-ffede65f5b0b.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/8965ec26-182e-4b4b-a646-ae321265a7d9.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/5fc8c4fd-1f6b-4634-80ef-67f588546a92.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/67481e3e-2967-4582-9580-f1807885b253.jpg.780x439.jpg;,
SH2330924383713107968,整租·松花一村 1室1厅 南/北,https://image1.ljcdn.com/310000-inspection/1c33752b-eecb-4175-9822-2a473b64a199.jpg.250x182.jpg,杨浦,黄兴公园,松花一村,38,1室1厅1卫,南/北,3200,近地铁;随时看房;,高楼层/5层,2020-02-22,,整租,季付,3200,0,需咨询,8号线-黄兴公园-908m;8号线-黄兴公园-908m;,False,True,True,True,True,False,True,False,True,True,暂无数据,民电,暂无数据,1年以内,需提前预约,随时入住,True,民水,False,https://image1.ljcdn.com/310000-inspection/52d392a4-e41f-47ab-b226-cb6094bfe0d7.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/74e1ac61-0fe0-4814-91f8-8d2d03543af5.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/1c33752b-eecb-4175-9822-2a473b64a199.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/be52383c-0730-497d-a61d-d2676a80186c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/cba1e52f-dfd8-4e53-af78-4443521d43e6.jpg.780x439.jpg;,
