hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
,,,,,,0,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,,,,,,,False,,False,,
SH2362076044552577024,整租·逸仙路773弄 1室0厅 南/北,https://image1.ljcdn.com/310000-inspection/9a4c2cee-56be-4ecb-a87c-63c5ee0a93ba.jpg.250x182.jpg,杨浦,五角场,逸仙路773弄,35,1室0厅1卫,南/北,3500,近地铁;随时看房;,中楼层/6层,2020-02-23,,整租,季付,3500,0,需咨询,3号线-江湾镇-325m;,False,False,False,False,False,False,True,False,True,False,暂无数据,民电,暂无数据,1年以内,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/9a4c2cee-56be-4ecb-a87c-63c5ee0a93ba.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/9361d10c-0b91-4742-bc83-4d1d69182be6.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/244bbc94-ece6-4acc-aad3-219c3dea1ac3.jpg.780x439.jpg;,【房源亮点】离三号线江湾镇站300米左右，交通便利，房子在四楼采光好，【户型介绍】这个房子是一室一厨一卫的，是一个过道厅，房间朝南，采光好【装修描述】该房属于普通装修，【交通出行】距地铁三号线江湾镇站300米左右 可直达虹口龙之梦 上海火车站 公交：713、749、60、108、502路等【周边配套】配套完善 购物：华联吉买盛 联华 华润万家 距地铁三号线江湾镇站300米左右·【小区介绍】位于虹口、杨浦交界地段 小区门口基础设施齐全 交通便利公交站台就在小区门口
SH2388124966986973184,整租·国年路65弄 1室1厅 南,https://image1.ljcdn.com/310000-inspection/d0d20518-340c-4588-b6b5-ecf8e25c8036.jpg.250x182.jpg,杨浦,五角场,国年路65弄,36,1室1厅1卫,南,3800,近地铁;,高楼层/6层,2020-02-24,,整租,需咨询,3800,0,需咨询,10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1097m;10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1097m;10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1097m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/d0d20518-340c-4588-b6b5-ecf8e25c8036.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a81f074b-9540-49fc-92ab-347957701266.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/70412dd7-aee4-4445-9a5b-f75d9c94a0d8.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/56001f79-5b66-47bf-b833-6220812c21ab.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/eab3ccdb-9a3f-4447-9997-8f4d9a3b91c2.png.780x439.jpg;,
SH2433218585750421504,整租·三门路358弄 1室1厅 南,https://image1.ljcdn.com/310000-inspection/1b401d34-cb19-424b-ab4a-9da5af2a2d7f.jpg.250x182.jpg,杨浦,五角场,三门路358弄,44,1室1厅1卫,南,3500,近地铁;,低楼层/7层,2020-02-13,,整租,需咨询,3500,0,需咨询,3号线-江湾镇-984m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/1b401d34-cb19-424b-ab4a-9da5af2a2d7f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a76ad811-2d02-4760-92ce-ef811958af03.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/1b5d6041-1d76-48dd-b840-e7b0adbbc499.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f78cbfc7-b0fb-4e0e-a866-1ac439644c18.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/9e708f3b-f4df-409e-adad-72b95a4c4560.png.780x439.jpg;,
SH2389735904119373824,整租·国定路700弄 1室1厅 南,https://image1.ljcdn.com/310000-inspection/b301fd67-f96b-4cb1-966d-928344ae4001.jpg.250x182.jpg,杨浦,五角场,国定路700弄,38,1室1厅1卫,南,3300,近地铁;随时看房;,低楼层/6层,2020-02-14,,整租,需咨询,3300,0,需咨询,10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1099m;10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1099m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/b301fd67-f96b-4cb1-966d-928344ae4001.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/5b0f010b-6e8e-485a-87a9-6ce8fe505849.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/fbff99ec-e60d-4ac9-9d4d-48fd1c2cd1a0.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/dfe5cfef-1163-424a-9296-bfd97b6c83d5.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/2c13d9ec-5c3d-4deb-b618-3fa3465c8f8b.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/ababaa4c-c656-4e96-bc03-8c481c9f014c.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/cf9fb30b-e702-4f7a-9667-2280209c3f45.png.780x439.jpg;,
SH2424668720107356160,整租·三门路510弄 2室1厅 南,https://image1.ljcdn.com/310000-inspection/prod-d69e5967-8f61-48bb-91f3-da6ada7d7f05.jpg.250x182.jpg,杨浦,五角场,三门路510弄,52,2室1厅1卫,南,4000,近地铁;随时看房;,高楼层/6层,2020-02-17,,整租,需咨询,4000,0,需咨询,3号线-江湾镇-850m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/prod-d69e5967-8f61-48bb-91f3-da6ada7d7f05.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-cd7f62d6-3ed3-492b-8b1b-5100f2ebb9f4.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-b2d8b8bc-3342-415d-8f20-3e32982722af.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-e0259670-4805-44d2-ab82-f4a5f94f6d5a.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-40be673e-d140-4b97-9203-12181dc67e50.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-a1e1a8df-bc56-488f-a69f-49ec0ee26bc8.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-7f3e79ed-021c-466a-affa-e3de7fdeadab.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-849a4c4e-badf-4a99-8833-62f3abc0fc04.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-a423a0b1-0bb9-4eb7-b43c-be512f03ae19.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/prod-0e95e930-8aca-4aa7-a8c7-a9ce16c80c2b.png.780x439.jpg;,
SH2415162096133079040,整租·逸仙路773弄 2室0厅 南,https://image1.ljcdn.com/310000-inspection/b70624cb-b13f-40c2-9e77-6bfbb47af2e5.jpg.250x182.jpg,杨浦,五角场,逸仙路773弄,52,2室0厅1卫,南,3900,近地铁;随时看房;,低楼层/6层,2020-02-23,,整租,需咨询,3900,0,需咨询,3号线-江湾镇-325m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/78884bd6-6a45-4004-8f74-8b28638dd4f5.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/7d140964-9460-4180-b68d-da6691f7afff.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b70624cb-b13f-40c2-9e77-6bfbb47af2e5.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/ec08493b-4919-4cb3-8665-6f835529216c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/bff7d2f1-88de-4536-8d71-df72203fb7b1.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/prod-0ee5b007-099f-49b7-b149-756bcbce9df8.png.780x439.jpg;,【房源亮点】房子是这一块价格比较低廉的房子，没有比这套房子价格还低的房子了。【户型介绍】进门右手边是卫生间、往前右手边是厨房、左手边是过道和餐厅，对向是次卧，再往左手边走是主卧，主卧带阳台。【交通出行】小区在万安路和逸仙路交汇处，江湾（逸仙路）公交站就在小区门口，有302、952、749、100、751、116B、118、502、51、52、552、713、812、850路停靠。【出租原因】业主买到房子不久，人现在在外区住，这套房子暂时不住，在我们链家挂牌出租。【周边配套】小区门口有快客便利店、众力馒头店、味家老百姓大食堂，如家快捷酒店、美乐水果店、红苹果糕点房，小区南侧万安路上有芳洁洗衣、永辉超市、华联超市，配套齐全，离江湾医院只有一站公交。【小区介绍】位于虹口、杨浦交界地段，小区门口各种配套齐全，交通便利，公交站就在小区门口，离江湾镇地铁站380米（数据来源于高德地图）
SH2408732422935158784,整租·三门路358弄 1室1厅 南,https://image1.ljcdn.com/310000-inspection/5ab7c1f6-05a6-4f98-bde0-68c317df5e25.jpg.250x182.jpg,杨浦,五角场,三门路358弄,43,1室1厅1卫,南,4000,随时看房;,低楼层/7层,2020-02-11,,整租,需咨询,4000,0,需咨询,3号线-江湾镇-984m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/f8eec287-da47-4e25-85e4-93ca5e261b0a.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e7fc413a-b6c1-48b6-b2e3-770180fc9ce6.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/5ab7c1f6-05a6-4f98-bde0-68c317df5e25.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/86abbe6d-1480-452e-81b6-5a21b81bd6bf.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/39753876-de9f-440a-841f-4008eda55a63.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/dd95e307-f0ec-4c6f-94d6-56278e213ad1.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/cf476bbd-9811-4af4-abaa-29acfd9ac3a2.png.780x439.jpg;,
SH2462283988992000000,整租·复旦零号宿舍 1室1厅 南,https://image1.ljcdn.com/110000-inspection/168d0f9c3f0a684c608d776ecf9f65e9.jpg.250x182.jpg,杨浦,五角场,复旦零号宿舍,38,1室1厅1卫,南,4580,新上;近地铁;,低楼层/6层,2020-02-25,,整租,需咨询,4580,0,需咨询,10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1130m;10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1130m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/110000-inspection/168d0f9c3f0a684c608d776ecf9f65e9.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/d728c6ea5f7e191bd70a85ce6a2c61df.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/6d31b2d59bff939da6754fb204a0d0bb.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/93b8040c6375e47d01d21c372ee1244a.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/8d1e26a5-c511-4783-9faa-26702ec3cf6c.png.780x439.jpg;,
SH2455815068483321856,整租·东方家园 1室1厅 南,https://image1.ljcdn.com/shfdfs-image/20170302/a8fe0a8a-1a83-4a8a-93ba-0d61ef028981.jpg.250x182.jpg,杨浦,五角场,东方家园,46,1室1厅1卫,南,5200,近地铁;,中楼层/6层,2020-02-21,,整租,需咨询,5200,0,需咨询,10号线(新江湾城-虹桥火车站)，10号线(新江湾城-911m;10号线(新江湾城-虹桥火车站)，10号线(新江湾城-911m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/shfdfs-image/20170302/f3a9b7f9-0f39-4a92-a7fc-c6ecb04ee374.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20170302/3fe61e23-1375-48b7-bfb9-c0c555b85999.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20170302/b0322298-9c6a-49ed-805a-dfce0937a945.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20170302/a8fe0a8a-1a83-4a8a-93ba-0d61ef028981.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20170302/08dde00e-0843-449d-b7d5-35a822b4e24b.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20170302/c858ecf9-7fee-489b-9e5c-97c7e25903be.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20170302/c9a68f9e-d73b-4ed9-9b9a-b444b99268e0.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20170302/ef04b075-0f3f-481a-b3bd-0523f7d23742.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20170302/57298c48-6908-401a-a8e2-ed975623d0c3.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20170302/f9bf9b27-2483-4cf7-abc9-12b945b71c09.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20170302/18628a2b-290e-4bd3-acca-cd7436b2dd48.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20170302/8f805915-a25e-487a-bf7e-53dbaba11012.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/99ac3dc6-5061-4ea6-b2e7-7153829ee29a.png.780x439.jpg;,
