hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2401968151241179136,整租·水电新村 1室1厅 南,https://image1.ljcdn.com/310000-inspection/ac16ef37-70a1-4b2b-a690-5953cae8cefb.jpg.250x182.jpg,杨浦,新江湾城,水电新村,50,1室1厅1卫,南,3500,,高楼层/6层,2020-02-21,,整租,需咨询,3500,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/ac16ef37-70a1-4b2b-a690-5953cae8cefb.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/4e793c53-7279-4b0f-ba0f-aa535b14e77c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/7adc5442-53a2-4414-ab1b-8cfe50697fd2.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/fff1c7eb-44fd-4dbe-8043-85ad59760e81.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/ba167c15-2470-4394-bd87-11315f57b040.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/prod-0f61ba4b-17a5-4f24-9833-3b6c84959b8b.png.780x439.jpg;,
SH2396416703710887936,整租·三湘未来海岸 1室1厅 南,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20200218110553137,杨浦,新江湾城,三湘未来海岸,37,1室1厅1卫,南,5000,随时看房;,高楼层/9层,2020-01-13,,整租,需咨询,5000,0,需咨询,10号线(新江湾城-虹桥火车站)，10号线(新江湾城-954m;10号线(新江湾城-虹桥火车站)，10号线(新江湾城-954m;10号线(新江湾城-虹桥火车站)，10号线(新江湾城-954m;,False,False,False,False,False,False,False,False,False,False,暂无数据,商电,自采暖,暂无数据,需提前预约,随时入住,True,商水,False,,
SH2412345535819423744,整租·华润置地橡树湾 1室2厅 南,https://image1.ljcdn.com/310000-inspection/581fb8a8-b2ce-4f6e-93bb-2bd981036917.jpg.250x182.jpg,杨浦,新江湾城,华润置地橡树湾,63,1室2厅1卫,南,7500,精装;随时看房;,中楼层/11层,2020-02-21,精装修,整租,季付,7500,0,需咨询,,True,True,True,True,True,True,True,False,True,False,租用车位,民电,自采暖,2年以内,需提前预约,随时入住,True,民水,True,https://image1.ljcdn.com/310000-inspection/82da9f14-e1c5-4643-8635-b02754ab1185.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/24aa9492-f621-452b-99c8-b85d2202b81e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/3ad83254-95b3-4e66-9a11-05e0d8468871.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/ccc66cf0-b1fc-4e18-b538-85412e1a201f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/49d8a02c-3b5d-4ddb-a2fa-d7bbbb48a91c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/581fb8a8-b2ce-4f6e-93bb-2bd981036917.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/057ed6d0-6bea-447e-933a-e53d623fc94a.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/18e78a6f-1215-4ab8-8a41-dcabb3247618.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/17594fc9-4cfb-4146-9efd-7d16925becca.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/8fa0089d-863a-4ba0-ba9f-ba08e8c742a2.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/f56c39f0-cf29-4977-a257-492d41657f61.png.780x439.jpg;,
SH2400592461564493824,整租·新江湾时代花园 2室2厅 南,https://image1.ljcdn.com/310000-inspection/pc1_68fHwjGI5.jpg.250x182.jpg,杨浦,新江湾城,新江湾时代花园,87,2室2厅1卫,南,6200,精装;,高楼层/6层,2020-01-20,精装修,整租,季付,6200,0,需咨询,,True,True,True,True,True,True,True,True,True,True,租用车位,民电,自采暖,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/4edb09d1-879f-48fa-8fd7-8874063f07d4.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/848fa27d-4dee-4c61-9ba2-502fd98b36f9.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/pc1_68fHwjGI5.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/d734f23c-1a40-4e54-9d68-a7ff6248d013.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/9c9ad814-1027-46dd-9811-9cd45530701c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/aa4e6a58-61aa-4aba-b00e-5964faa2041e.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/standard_0ad0e71c-48be-4616-83e5-f0ad56014d09.png.780x439.jpg;,
SH2421723487229460480,整租·世纪江湾 2室2厅 南,https://image1.ljcdn.com/310000-inspection/d50b53d3-7e84-4ed6-9748-d990b48ab520.jpg.250x182.jpg,杨浦,新江湾城,世纪江湾,68,2室2厅1卫,南,7000,近地铁;随时看房;,低楼层/7层,2020-02-17,,整租,需咨询,7000,0,需咨询,3号线-淞发路-1117m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/3ca386de-98f7-459c-b3d0-c29357ee257c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/0425f9e7-92c4-4f32-9b44-2cd8d317bd19.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f8aac781-ce12-47e0-95e4-957c6d97e593.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/d50b53d3-7e84-4ed6-9748-d990b48ab520.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/d034f125-a4b5-47e2-8b16-05810bf05952.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/323372ba-32d9-495d-beff-8d24d9d58b0e.jpg.780x439.jpg;,
SH2237019974164291584,整租·润地华庭 2室2厅 南,https://image1.ljcdn.com/310000-inspection/827d31ef-f389-4b2d-b8ca-29ca2cbc44cc.jpg.250x182.jpg,杨浦,新江湾城,润地华庭,103,2室2厅1卫,南,7500,近地铁;精装;,低楼层/18层,2020-02-19,精装修,整租,季付,7500,0,需咨询,10号线(新江湾城-虹桥火车站)，10号线(新江湾城-895m;10号线(新江湾城-虹桥火车站)，10号线(新江湾城-895m;,True,True,True,True,True,True,True,True,True,True,暂无数据,民电,暂无数据,3年以内,需提前预约,随时入住,True,民水,True,https://image1.ljcdn.com/310000-inspection/827d31ef-f389-4b2d-b8ca-29ca2cbc44cc.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/82104461-275d-4815-8bdb-8a7b218a4696.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e64e1467-85b6-4a30-a06c-e82ae89bc614.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/35d24cfc-f188-4e0a-9864-91326d3501cd.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/34eb16fd-5621-4780-b3dc-fc5b3e865409.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/8d622281-f9d1-43fc-8865-f81312a6829a.jpg.780x439.jpg;,【房源亮点】小区安保人员全天二十四小时巡逻，进出需要和房东打电话，安全系数较高。【装修描述】开发商统一精装交付，没有地暖，有中*央空调，家具都是红木家具，品质好【出租原因】本房租客到期，业主希望下个有缘人能入住进来，保养好房子，诚意出租【周边配套】小区有人行门，出去就是10号线新江湾城站和悠方购物广场。开车到五角场商圈约10min，到陆家嘴约半小时
SH2405517599732400128,整租·华润置地橡树湾 1室2厅 南,https://image1.ljcdn.com/310000-inspection/47726ba4-7c9d-4c3f-9a7a-d020723ecadb.jpg.250x182.jpg,杨浦,新江湾城,华润置地橡树湾,63,1室2厅1卫,南,7000,精装;随时看房;,低楼层/13层,2020-02-15,精装修,整租,季付,7000,0,需咨询,,True,True,True,True,True,True,True,False,True,True,暂无数据,民电,自采暖,3年以上,需提前预约,随时入住,True,民水,True,https://image1.ljcdn.com/310000-inspection/47726ba4-7c9d-4c3f-9a7a-d020723ecadb.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/bc6ba20d-24b4-449c-a5d3-6f01c68d41b6.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/d8318abb-1216-49b3-a325-0c9c0fb4165e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a7d172c8-c3d2-4cd8-8939-338571e9c36b.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/940f1daa-88b8-479d-86bc-73239ccc8b95.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/90adff95-d2ee-4636-8603-3bd2f38e4ac2.jpg.780x439.jpg;,
SH2417866836822999040,整租·新江湾时代花园 2室2厅 北,https://image1.ljcdn.com/310000-inspection/a161964d-2755-4bd2-a97b-e198fc3fd965.jpg.250x182.jpg,杨浦,新江湾城,新江湾时代花园,81,2室2厅1卫,北,6500,精装;,低楼层/5层,2020-02-21,精装修,整租,季付,6500,0,需咨询,,True,True,True,True,True,True,True,True,True,True,租用车位,民电,自采暖,3年以上,一般下班后可看,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/eff1df56-ae3f-4d50-bb61-8839a75f8d8e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/23e0a551-7277-4a83-9488-0ac837c5d779.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a161964d-2755-4bd2-a97b-e198fc3fd965.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/0cb8a76c-8bb5-477c-baf3-d1e519e61e03.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/0bd6292a-372f-4559-a020-46b4069df841.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/bd9f71c5-13c8-470f-80fe-ef6f31568377.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/6ef15c88-03b1-475f-82d1-04d34d7b515a.jpg.780x439.jpg;,【交通出行】地铁：10号线新江湾城站、8号线市光路站 公交：538路、61路、1201路、90路、870路等 自驾车：中环高架、逸仙路高架、军工路、翔殷路隧道等众多交通主干道四通八达！【周边配套】环境优美，旁边有湿地公园，适宜居住，有银行，便利店，干洗店，美发店，本溪路幼儿园，复旦科技园，配套设施齐全。【小区介绍】小区2000年竣工内部环境优美有多层组成，主力户型以83、87平2房为主，97平3房、61平1房为辅，以及少量特殊户型组成。目前政府出资6000万进行内部改造，改善内部停车位、外墙面、活动健身等公共设施更好服务本小区业主！
SH2400663883984945152,整租·三湘未来海岸 2室1厅 南,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20200218110553137,杨浦,新江湾城,三湘未来海岸,44,2室1厅1卫,南,7000,近地铁;,中楼层/10层,2020-02-24,,整租,需咨询,7000,0,需咨询,10号线(新江湾城-虹桥火车站)，10号线(新江湾城-954m;10号线(新江湾城-虹桥火车站)，10号线(新江湾城-954m;10号线(新江湾城-虹桥火车站)，10号线(新江湾城-954m;,False,False,False,False,False,False,False,False,False,False,暂无数据,商电,自采暖,暂无数据,需提前预约,随时入住,True,商水,False,,
SH2436159508628635648,整租·水电新村 1室1厅 南,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20200218110553137,杨浦,新江湾城,水电新村,49,1室1厅1卫,南,3000,,中楼层/6层,2020-01-21,,整租,需咨询,3000,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,False,民水,True,,
