hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2423071391680577536,整租·市光四村 1室1厅 南,https://image1.ljcdn.com/310000-inspection/pc1_degkGr2tx_1.jpg.250x182.jpg,杨浦,中原,市光四村,44,1室1厅1卫,南,3000,近地铁;随时看房;,低楼层/6层,2020-02-16,,整租,需咨询,3000,0,需咨询,8号线-嫩江路-383m;8号线-嫩江路-383m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/pc1_degkGr2tx_1.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/c999053a-f581-44e0-a4a6-dce6d8f01c41.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/82befbeb-c39a-4238-b4c6-e81aa09db441.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/dfaa9fbe-b8da-4fac-a020-ec985e6efe68.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e9ef4017-e933-4759-8e2b-4472d3656015.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/standard_1e79666c-02e2-491c-a7be-4c7412a4947f.png.780x439.jpg;,
SH2413029777930715136,整租·中原纪联小区 2室1厅 南,https://image1.ljcdn.com/310000-inspection/prod-6d82f836-0206-4a53-828b-dbd8df6014bc.jpg.250x182.jpg,杨浦,中原,中原纪联小区,40,2室1厅1卫,南,3000,近地铁;,高楼层/7层,2020-02-23,,整租,需咨询,3000,0,需咨询,8号线-市光路-699m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/prod-6d82f836-0206-4a53-828b-dbd8df6014bc.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-dded8aa3-f31b-4bc7-bf31-da1338e055f6.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-46a84fd9-5f49-407a-9aa7-ba2d85e040f2.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-62661b13-00d3-4fa5-b814-2c6cd3ade979.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-2d135f74-6771-46a5-9359-489dc0bc63ed.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/prod-1bd8e727-d145-4109-ac42-d3568dad74ea.png.780x439.jpg;,
SH2423163389099376640,整租·市光三村 1室1厅 南,https://image1.ljcdn.com/310000-inspection/9f777cd0-9ac0-4b96-a6ec-49790b8d3d7b.jpg.250x182.jpg,杨浦,中原,市光三村,44,1室1厅1卫,南,3000,随时看房;,高楼层/6层,2020-02-19,,整租,需咨询,3000,0,需咨询,8号线-嫩江路-988m;8号线-嫩江路-988m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/9f777cd0-9ac0-4b96-a6ec-49790b8d3d7b.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/fca4f565-c41e-4f8a-91ee-b48339a586ed.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/33ad18f2-0d21-4e8e-a7c2-c5959260f00b.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/fe568306-83fb-4e89-9d7d-62cd951f7ce9.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f23d5ffa-163e-486e-afb8-f00047b7187b.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/fda60c2c-6859-4cbb-a70e-6c0c65de366e.png.780x439.jpg;,
SH2426154040913305600,整租·殷行一、二村 1室1厅 北,https://image1.ljcdn.com/310000-inspection/5c6a31f0-346e-431b-95f6-20162862a077.jpg.250x182.jpg,杨浦,中原,殷行一、二村,20,1室1厅1卫,北,2000,近地铁;,中楼层/6层,2020-02-23,,整租,季付,2000,0,需咨询,8号线-市光路-1140m;,True,True,True,True,True,True,True,True,True,False,暂无数据,民电,暂无数据,1年以内,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/5c6a31f0-346e-431b-95f6-20162862a077.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b1b91429-dcf5-4124-91c0-8a74aa88a8d0.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/cba2a7f6-5992-42a1-98e5-8d1c38486b4a.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/666c9021-f89c-4669-993b-793401269b8d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e3b694d3-d51c-4e90-9435-7c3913c07e1b.jpg.780x439.jpg;,【房源亮点】总高6楼，该房位于3层，采光好，南北通透。主卧朝南，宽敞舒适。 适合人群：年轻白领一族，热爱生活；单身且渴望有宁静空间，崇尚自由随性的生活态度。【装修描述】简约风格，简洁明快，实用大方。 精心布局，合理的避免空间浪费，使自己从杂乱的禁闭中解脱出来。现代简约风格强调少即是多，舍弃不必要的装饰元素，追求时尚·现代的简约造型，娱乐色彩。【交通出行】交通方便，通勤主要方式主要是地铁8号线，公交方便，有124路、147路、325路、813路、537路、124路、147路，577路等【周边配套】配套齐全，商场林立，清美超市，城发百货，元华超市，欧尚超市。紧挨菜市场：殷行菜市场，国泰市场等，生活购物方便。【小区介绍】小区地址：殷行一二村。 所属区域：杨浦中原。 环线位置：中外环间。 产权描述：70年住宅产权。 物业类别：住宅建筑。 年代：1990年左右建成。
SH2463068429327286272,整租·梅林小区 2室1厅 南,https://image1.ljcdn.com/310000-inspection/test-859df345-c41d-418f-a3a0-235444522aae.png.250x182.jpg,杨浦,中原,梅林小区,55,2室1厅1卫,南,4200,新上;近地铁;,高楼层/6层,2020-02-23,,整租,需咨询,4200,0,需咨询,8号线-翔殷路-879m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/test-859df345-c41d-418f-a3a0-235444522aae.png.780x439.jpg;https://image1.ljcdn.com/310000-inspection/test-8fe60546-e95f-49df-8a90-ce4f52c2ce9e.png.780x439.jpg;https://image1.ljcdn.com/310000-inspection/test-8b748588-aa3f-4089-a241-4a938ec55192.png.780x439.jpg;https://image1.ljcdn.com/310000-inspection/test-04fe4dfb-42c2-4c2d-a5c6-33312cbf075e.png.780x439.jpg;https://image1.ljcdn.com/310000-inspection/test-863286a3-6160-4870-a9bf-8737aaf73b48.png.780x439.jpg;https://image1.ljcdn.com/310000-inspection/test-5aca189f-4ed2-4cd9-8267-b746295ad63e.png.780x439.jpg;https://image1.ljcdn.com/hdic-frame/test-56217760-8fbd-4be7-9ecb-dab002d92886.png.780x439.jpg;,
SH2459925668814143488,整租·国和二村 1室1厅 南,https://image1.ljcdn.com/shfdfs-image/20170513/e1537cd1-32f6-4849-bdf8-8815d930a337.jpg.250x182.jpg,杨浦,中原,国和二村,39,1室1厅1卫,南,3500,新上;近地铁;随时看房;,高楼层/6层,2020-02-25,,整租,需咨询,3500,0,需咨询,8号线-嫩江路-357m;8号线-嫩江路-357m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/shfdfs-image/20170513/f7c84ab9-7e16-4157-a7fd-beea512e24ad.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20170513/748e256f-4965-4149-b459-ba97554cff81.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20170513/9fa986b8-aa40-42b4-b78e-45d3fd9a1f6a.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20170513/e1537cd1-32f6-4849-bdf8-8815d930a337.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20170513/602e0c92-e255-4d88-b589-d12a13ecae52.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20170513/5ff1dd77-8633-43c1-a8ca-4b284d85e7a5.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20170513/320d8927-fb80-481f-953b-f7f7e6843331.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20170513/e4571897-7872-4836-aad2-d0209649e3e7.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20170513/41c53c6f-da4d-40ff-9764-ce84753c470f.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20170513/33741b2f-1a58-4d65-b00d-58d00c77fc4c.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20170513/a53d7bd8-0dd1-42cc-8c4e-22b36aee3dc5.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20170513/24e4dd29-0bb6-4429-95a2-bc0f6e70f98d.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/10b2c395-2911-4cdf-8b3f-afae2396b27e.png.780x439.jpg;,
SH2463053869438214144,整租·国和一村 1室1厅 南,https://image1.ljcdn.com/110000-inspection/708cfd55294f739f2d3232782f2f2e44.jpg.250x182.jpg,杨浦,中原,国和一村,0,,,3700,新上;近地铁;,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,,,,,,,False,,False,,
SH2458549751704977408,整租·民星二村 1室1厅 南,https://image1.ljcdn.com/110000-inspection/708e82a5d5f248e9a57035468a2ba88d.jpg.250x182.jpg,杨浦,中原,民星二村,38,1室1厅1卫,南,4200,近地铁;精装;随时看房;,低楼层/6层,2020-02-22,精装修,整租,季付,4200,0,需咨询,8号线-翔殷路-952m;8号线-翔殷路-952m;,True,True,True,True,True,False,True,True,True,True,租用车位,民电,暂无数据,1年以内,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/110000-inspection/708e82a5d5f248e9a57035468a2ba88d.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/c9a9817f85bd4459947f0cfb0f90a72d.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/baa21c55cedbaf23f34c783fd1e3d2f1.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/8bdf2e9c1bf8c183601973729193f725.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/07751c349ad42d42899a6b7609baa019.jpg.780x439.jpg;,
SH2458742094098079744,整租·梅林小区 1室1厅 南,https://image1.ljcdn.com/110000-inspection/c062fe74-4013-4ca9-bf72-9b306488abf9.jpg.250x182.jpg,杨浦,中原,梅林小区,36,1室1厅1卫,南,3300,近地铁;,低楼层/6层,2020-02-19,,整租,需咨询,3300,0,需咨询,8号线-翔殷路-879m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,2020-03-08,False,民水,False,https://image1.ljcdn.com/110000-inspection/c062fe74-4013-4ca9-bf72-9b306488abf9.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/79a01864-f4c9-4523-b409-51f26e653126.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/1cf5fd24-53ea-469b-9b19-cfe25956bd87.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/e02918d1-3815-4958-ad5e-79c298a94977.jpg.780x439.jpg;,
SH2458761120702808064,整租·开鲁三村 1室1厅 南,https://image1.ljcdn.com/110000-inspection/e9e0fc188ff01ed04c42d3c6ccb67aa0.jpg.250x182.jpg,杨浦,中原,开鲁三村,41,1室1厅1卫,南,3400,近地铁;,高楼层/6层,2020-02-25,,整租,需咨询,3400,0,需咨询,8号线-嫩江路-977m;8号线-嫩江路-977m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/110000-inspection/e9e0fc188ff01ed04c42d3c6ccb67aa0.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/e98f54debb2fb308468ed9e9c5d4c729.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/366726f8e68447b461dc53d3ca9c4a4e.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/a027863ae4bd46c3fd1dcacac69e2c16.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/f920b7b57f2694be78522a663dbf8e9b.jpg.780x439.jpg;,【房源亮点】价格便宜，房东诚意出租，房屋户型好，5楼的楼层位置采光好，配套设施齐全。交通出行方便.【户型介绍】价格便宜，房东诚意出租，房屋户型好，5楼的楼层位置采光好，配套设施齐全。交通出行方便.【交通出行】接近地铁8号线市光路站，小区门口即使公交站点，多路公交交汇处，出行方便。【出租原因】房东空置房屋，出租来帮助来在各地的在上海打拼的朋友，希望这里会是你的第二个家。【周边配套】欧尚超市，中原城市广场，国和1000，五角场，国和一村幼儿园，兰生复旦，小蝌蚪音乐幼儿园，上海体育学院，长海医院，市东医院，东方肝胆医院，共青国家森林公园4A级景区，黄兴公园。【小区介绍】虽是上个世纪80/90年代老公房，但是小区绿化好，居住人多为上海老一辈人，人好好相处！邻里关系融洽！，吃喝玩乐样样不缺！紧挨地铁8号线市光路站，更有直达五角场的90路和大桥三线等定点公交.
