hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2420271685916958720,整租·凯兴苑 1室0厅 南,https://image1.ljcdn.com/310000-inspection/a385864b-f168-4366-aef8-0e9971eff412.jpg.250x182.jpg,杨浦,周家嘴路,凯兴苑,26,1室0厅0卫,南,1000,近地铁;,低楼层/6层,2020-02-19,,整租,需咨询,1000,0,需咨询,8号线-黄兴路-1179m;8号线-黄兴路-1179m;8号线-黄兴路-1179m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,一般下班后可看,随时入住,False,民水,True,,
SH2462148701557637120,整租·黎平大楼 1室1厅 南,https://image1.ljcdn.com/310000-inspection/34a4805f-dbc9-4eff-a1d4-1e98ae0abe0b.JPG.250x182.jpg,杨浦,周家嘴路,黎平大楼,50,1室1厅1卫,南,3950,新上;近地铁;随时看房;,中楼层/18层,2020-02-24,,整租,需咨询,3950,0,需咨询,12号线-爱国路-1169m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,一般下班后可看,随时入住,True,民水,True,https://image1.ljcdn.com/310000-inspection/34a4805f-dbc9-4eff-a1d4-1e98ae0abe0b.JPG.780x439.jpg;https://image1.ljcdn.com/310000-inspection/6d3fc632-21c4-44a7-8d3f-a326b6372b79.JPG.780x439.jpg;https://image1.ljcdn.com/310000-inspection/6730b1e0-8640-4e82-bdba-c731d9c5c855.JPG.780x439.jpg;https://image1.ljcdn.com/310000-inspection/411c0a3c-2bb9-4774-8550-45c9a9cae86a.JPG.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a48a5cc3-b8eb-494e-b6d8-aca45c0636ba.JPG.780x439.jpg;,
SH2426584786530746368,整租·广远新村 1室0厅 东南/北,https://image1.ljcdn.com/310000-inspection/08a113c7-6228-4279-aebe-d871a02b1594.jpeg.250x182.jpg,杨浦,周家嘴路,广远新村,30,1室0厅1卫,东南/北,2800,,中楼层/4层,2020-02-21,,整租,需咨询,2800,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/08a113c7-6228-4279-aebe-d871a02b1594.jpeg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/ada89d6b-cd57-4650-a6b8-c4d77f69507d.jpeg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/14bbcd91-630b-480a-ab49-441a4a87de2e.jpeg.780x439.jpg;,
SH2428311286015066112,整租·浦罡小区 1室1厅 南,https://image1.ljcdn.com/310000-inspection/55c77a48-f081-47bc-b17f-9d50409af32b.jpg.250x182.jpg,杨浦,周家嘴路,浦罡小区,38,1室1厅1卫,南,4200,近地铁;,高楼层/6层,2020-02-22,,整租,需咨询,4200,0,需咨询,8号线-黄兴路-1199m;8号线-黄兴路-1199m;8号线-黄兴路-1199m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,一般下班后可看,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/70c24018-d893-486e-8139-389a793b3b0e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/c11c9267-8eb3-47fb-bfc6-07dc8dc47151.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/55c77a48-f081-47bc-b17f-9d50409af32b.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/8b0fe9c4-a228-4837-a035-d14370829258.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b709306b-5f3c-4345-bfac-1520b6a3c4b1.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/be893cb5-7428-4f54-a837-d7d1cac15eb0.png.780x439.jpg;,【户型介绍】房子干净整洁，保养维护比较好，正规朝南一室户，采光好，小区近地铁12号线【交通出行】距离十二号线宁国路站350米，距离欧尚超市150米，距离菜市场200【周边配套】近地铁12号线宁国路站、欧尚、长阳创谷、美食广场生活方便，交通便利【小区介绍】欧尚购物约300米，多层采光充足，地铁12号线约600米，小区配套成熟
SH2417331389189070848,整租·广远新村 1室1厅 南,https://image1.ljcdn.com/310000-inspection/6e2864ce-1157-4333-bf1e-3a651b379ae7.jpg.250x182.jpg,杨浦,周家嘴路,广远新村,42,1室1厅1卫,南,3400,,中楼层/5层,2020-02-20,,整租,需咨询,3400,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/6e2864ce-1157-4333-bf1e-3a651b379ae7.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/26d5c097-4c41-47d5-9cbd-733147f5c7c8.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/fe078123-b048-4422-839c-d10356ce5d08.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/66d8a011-cd82-42cf-b2c2-e8f1e11eba1f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/5360ff7a-d123-4a22-a247-23a92feff1dc.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/420c8b16-30ca-4911-af92-e1f4b593347c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/c88147fe-0a40-4e93-bfcd-b90db8f10f62.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/c1d6dbfc-4378-4425-9b50-bd487edb304b.jpg.780x439.jpg;,
SH2450039931951915008,整租·控江路645弄 1室1厅 南,https://image1.ljcdn.com/310000-inspection/b19a15cd-3fcb-4470-aac3-9cbe56e68a5f.jpg.250x182.jpg,杨浦,周家嘴路,控江路645弄,43,1室1厅0卫,南,4000,近地铁;,高楼层/6层,2020-02-24,,整租,需咨询,4000,0,需咨询,8号线-延吉中路-813m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/b19a15cd-3fcb-4470-aac3-9cbe56e68a5f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/7df65d18-4371-4e1d-b5e1-bae158add68c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a1fc35de-ca05-4e1e-bb05-1dd0e62a6350.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/99ab9325-de2d-46c0-a11f-b926094d39ed.jpg.780x439.jpg;,
SH2436000723092652032,整租·汽车公寓小区 1室1厅 南,https://image1.ljcdn.com/310000-inspection/0abdeac4-ff5a-45d4-beae-548b48a66646.jpg.250x182.jpg,杨浦,周家嘴路,汽车公寓小区,34,1室1厅1卫,南,3800,近地铁;,高楼层/6层,2020-02-23,,整租,需咨询,3800,0,需咨询,8号线-黄兴路-1073m;8号线-黄兴路-1073m;8号线-黄兴路-1073m;8号线-黄兴路-1073m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/0abdeac4-ff5a-45d4-beae-548b48a66646.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/716526f6-e42e-458b-9cdb-d4de5ac7e069.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/46a294c2-e040-415f-b9f9-f66138c993ee.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/508e2a73-c7a4-4424-9f1d-3dfe1a2b6d16.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/1dc11eac-c07d-42ea-b2a5-16485ba4eebe.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e2bfccbb-60e5-4706-8fb4-2ddd59bf28ed.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/7f8e4c8d-bd2a-4142-9fd9-19877c9713dc.jpg.780x439.jpg;,
SH2399806502547496960,整租·广远新村 1室1厅 南/西/北,https://image1.ljcdn.com/310000-inspection/d776699c-29c1-4c85-b0d7-a4e807372435.jpg.250x182.jpg,杨浦,周家嘴路,广远新村,0,,,3300,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,,,,,,,False,,False,,
SH2460050927583756288,整租·双辽路200弄 1室0厅 南,https://image1.ljcdn.com/110000-inspection/9640dc6bf4d92864e3bec1da0be0a250.jpg.250x182.jpg,杨浦,周家嘴路,双辽路200弄,37,1室0厅1卫,南,4200,新上;近地铁;,中楼层/7层,2020-02-23,,整租,需咨询,4200,0,需咨询,12号线-江浦公园-1090m;12号线-江浦公园-1090m;12号线-江浦公园-1090m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,True,民水,False,https://image1.ljcdn.com/110000-inspection/9640dc6bf4d92864e3bec1da0be0a250.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/bfdda938adba0d1c33ac735d82a60ca3.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/de611370460a322fc62614c3d9f3bc54.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/d3019c652708d4936833c98c6f519894.jpg.780x439.jpg;,
SH2389010274041733120,整租·广远新村 2室1厅 南,https://image1.ljcdn.com/310000-inspection/6d2689ed-71f0-4b8f-b0a9-634d39c1ff1e.jpg.250x182.jpg,杨浦,周家嘴路,广远新村,50,2室1厅1卫,南,4200,随时看房;,中楼层/6层,2020-02-23,,整租,季付,4200,0,需咨询,,True,True,True,True,True,False,True,False,True,True,租用车位,民电,暂无数据,2年以内,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/6d2689ed-71f0-4b8f-b0a9-634d39c1ff1e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a48e41f5-d143-48f9-9bfd-23c87b589d2f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/67fa19e6-7599-475a-92d9-62b987e62502.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e080b119-5d3f-45f0-9275-a7a3030e8824.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/7ce1908e-bb5b-48c3-b5f0-2fec55ddf30f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/343478cc-aa99-44d1-a270-ea3213f7115f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/1838a9eb-9fa5-423e-9952-1c94d5dbabb2.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/82bf60ee-80ee-44c3-886b-78ab249a1463.png.780x439.jpg;,【房源亮点】该房子价格低，业主诚心出租，并且长租两年基本没问题，有问题好商议。【装修描述】居家装修，双人床两张，家具全配，双南两房，楼层好采光好。。。【周边配套】广远新村位于上海市杨浦周家嘴路，由广元房产开发有限公司建成，总建筑面积80000，总占地面积5000，共计房屋1501户，小区物业公司为上海方达物业经营公司。
